,"7. The roots of plants are underground, so they are hard to see, but they have many functions. What do plant roots do? Let's explain in detail using knowledge of plant structure and function. ",storage,support,carry
0,It absorbs water that sprays plants,0,0,0
1,water absorption,0,0,0
2,"Absorption of nutrients, absorption",0,0,0
3,water absorption,0,0,0
4,It absorbs water,0,0,0
5,It absorbs water and nutrients through its roots to help plants grow well,0,0,0
6,It absorbs water from the ground and makes it available. It often stores nutrients.,0,0,0
7,"Plant fixation, nutrient absorption",0,0,0
8,The roots absorb water as much as possible by widening the surface area as possible.,0,0,0
9,water absorption,0,0,0
10,Plant roots absorb nutrients and water from the ground and carry them to stems and leaves.,0,0,1
11,It functions to absorb nutrients.,0,0,0
12,Filter using the intubation pressure function and transport energy to the body and water pipes.,0,0,0
13,It absorbs nutrients.,0,0,0
14,It prevents landslides by holding the soil firmly.,0,0,0
15,It absorbs water to make a living for plants.,0,0,0
16,It absorbs and supports moisture,0,1,0
17,It keeps the plants from falling down,0,0,0
18,Plant roots can absorb moisture and nutrients by applying the maximum contact area with a minimum volume.,0,0,0
19,Plant roots hold the plant in place and get nutrients from the ground.,0,0,0
20,It absorbs nutrients and water.,0,0,0
21,The roots of the plant take a distant form and serve to absorb nutrients and moisture in the ground.,0,0,0
22,It absorbs water from the ground and supports plants.,0,1,0
23,"Moisture absorption, nutrients absorption",0,0,0
24,Roots support plants from falling and absorb water and nutrients.,0,1,0
25,It absorbs water and nutrients and supports plants.,0,1,0
26,There is a growth point. It absorbs nutrients from the roots to the ground,0,0,0
27,"It has a function to absorb moisture from the ground and maintain life. In addition, it is embedded in the ground with fine roots and sticks out its roots deeply so that it is not selected by large weather events such as typhoons.",0,0,0
28,"Staying on the ground, absorbing nutrients",0,0,0
29,"Plant roots, along with moisture, serve to absorb nutrients, support plants, and store nutrients.",0,1,0
30,It makes plants live,0,0,0
31,Drink water,0,0,0
32,Plants grow,0,0,0
33,I don't know,0,0,0
34,Unknowingness,0,0,0
35,Unknowingness,0,0,0
36,Unknowingness,0,0,0
37,"In order for animal insects in the ground to live better,",0,0,0
38,Unknowingness,0,0,0
39,Unknowingness,0,0,0
40,It feeds on plants and nourishes them,0,0,0
41,Eat nourishment.,0,0,0
42,The roots distribute nutrients evenly throughout the plant and help the plant grow well.,0,0,0
43,I don't know.,0,0,0
44,The roots of the plant are in the ground and absorb soil nutrients and moisture from the soil.,0,0,0
45,It makes it clear,0,0,0
46,It makes the air dry,0,0,0
47,Roots nourish the ground.,0,0,0
48,Unknowingness,0,0,0
49,It nourishes the roots,0,0,0
50,It provides nutrients to the food,0,0,0
51,Nutrient and water absorption,0,0,0
52,It absorbs water,0,0,0
53,It supports the plant.,0,1,0
54,It supports the plant.,0,1,0
55,It provides nutrients to the food,0,0,0
56,Don't let the wind blow you away. I absorb water. I don't know I love you,0,0,0
