,"Breathing: Oxygen absorption, carbon dioxide release",ecosystem,Respect for Life,Human
0,"""",0,0,0
1,"""1. Supporting and supporting water",0,0,0
2,"2. Store nutrients made from leaves""",0,0,0
3,"Rooted in the soil to support the entire body, it absorbs water and inorganic nutrients from the root hairs and supplies them through the water pipes, accepts oxygen, releases carbon dioxide, and stores the remaining nutrients in the root hairs and epidermal cells",0,0,0
4,It supports plants to support the body and absorbs and stores water to make nutrients,0,0,0
5,It absorbs water and sends it to grass for photosynthesis,0,0,0
6,Plant roots absorb nutrients from the ground and send them to the whole plant,0,0,0
7,"Store water, support plants, and store nutrients.",0,0,0
8,keep from being swayed by the wind,0,0,0
9,Support plants and store nutrients,0,0,0
10,"The root serves to firmly support the plant to support the body, which is called the ""supportive action"" of the root.  Just as we cannot live without water, plants cannot live without water. Sucking such important water from the ground into the body of a plant is called the ""absorption"" of the root. The principle that the roots absorb water can be explained by osmotic pressure. Almost all of the membranes that make up the plant are semi-permeable membranes. When plants absorb water from their roots, comparing root hairs and water in the soil, the water in the soil is low and the root hairs are relatively high. In order to achieve concentration equilibrium, low concentration of moisture in the soil permeates into the high concentration of root hairs through the cell membrane. The roots absorb not only water but also nutrients in the water through this absorption.",0,0,0
11,It supports the plants without shaking and sucks nutrients from the ground.,0,0,0
12,"And it supports you.""",0,0,0
13,Plant roots absorb nutrients into the ground and hold the plant in place.,0,0,0
14,"""Plant roots absorb nutrients into the ground",0,0,0
15,"It holds the plant.""",0,0,0
16,Plant roots take in water,0,0,0
17,"Support, Absorption, Storage",0,0,0
18,to store or supply moisture,0,0,0
19,"Water absorption, nutrients absorption, and supporting functions",0,0,0
20,absorption of nutrients,0,0,0
21,"Nutrient absorption, water absorption, support",0,0,0
22,Store nutrients,0,0,0
23,Bees nourish,0,0,0
24,Sucking in the water or not going to the country in the wind,0,0,0
25,a suction of water,0,0,0
26,It absorbs nutrients,0,0,0
27,Plants need water to grow their roots,0,0,0
28,"Plants have roots, stems, leaves, etc",0,0,0
29,nourish the life of leaves and stems,0,0,0
