,"1. Using the air conditioner above the amount of power, the current was excessive and the air conditioner was turned off. At this time, other electronics such as TVs and refrigerators that were connected to the same outlet did not turn off. Let's explain in detail why the other electronics connected to the same code did not turn off even though the air conditioner was turned off, using our knowledge of how electricity works and how to connect the electronics. ",q1_parallel,q1_current flow,q1_power amount,q1_fuse
0,I don't know.,,,,
1,Parallel connection,,,,
2,Parallel connection,,,,
3,"Electronics are connected in parallel, so parallel connections have the same voltage",,,,
4,"This is because it is not a serial connection, but a parallel connection.",,,,
5,It seems that the power of the air conditioner is turned off simply by controlling the power from the air conditioner itself.,,,,
6,This is because it is wired in parallel so as not to affect other electronic products.,,,,
7,Parallel connection,,,,
8,It seems to have used parallelism.,,,,
9,Because it's connected in parallel,,,,
10,"This is because when electricity is connected in parallel, even if one power is turned off, the power of other devices is not turned off.",,,,
11,This is because all electrical devices are connected in parallel.,,,,
12,There are disconnections and non-disconnections depending on DC and parallel connections.,,,,
13,Because it is a parallel connection.,,,,
14,"Even if the air conditioner is turned off due to parallel connection, there is no reason for other home appliances to be turned off inevitably.",,,,
15,"Use of multi-tap should be reduced, and items with a lot of power should be used separately instead of using multi-cap.",,,,
16,"The air conditioner cord and other electronics cord are connected in parallel, so even if one is broken, the other does not.",,,,
17,The air conditioner is broken.,,,,
18,An excessive current cut off electricity and turned off all connected home appliances in parallel.,,,,
19,"Even if electronics are connected in parallel and one product is powered off, other products are not powered off.",,,,
20,This is because electronics are connected in parallel.,,,,
21,This is because home appliances are connected in parallel.,,,,
22,"Because the circuits are connected in parallel, each electronic product receives power independently.",,,,
23,The current of other electronic devices was not cut off thanks to the operation of the overcurrent prevention circuit in the air conditioner and the power of the air conditioner was quickly cut off.,,,,
24,This is because the outlet is a parallel connection.,,,,
25,Because it's connected in parallel,,,,
26,There is no problem with other electronics because the power to the outlet is somewhat unaffordable,,,,
27,"Because the circuit of the outlet is made up of parallel connections, other products are fine even if one goes wrong. In parallel connections, all connected products use the same current. When the batteries are connected in parallel, there is no change in the amount of the battery, and there is a change in the usage time. The parallel connection of the product reduces time, and the amount of power received is the same.",,,,
28,It's connected in parallel,,,,
29,"Since circuits are connected in parallel, circuits are connected separately from each other's turning off and on, so electronic products do not affect turning off and turning on each other even if they are connected to the same code.",,,,
30,I don't know,,,,
31,I don't know,,,,
32,I don't know,,,,
33,I don't know,,,,
34,I don't know,,,,
35,I don't know,,,,
36,I don't know,,,,
37,"""I turned off and turned on the multi-cam I think it's because the cord in the air conditioner is broken.",,,,
38,"""",,,,
39,I don't have a full electrical cord,,,,
40,"The TV, refrigerator, and high school have electricity",,,,
41,The air conditioner uses a little bit of electricity,,,,
42,I don't know.,,,,
43,"The air conditioner was used more than the amount of electricity, so the current flowed excessively and broke down, and the other electronic products without the air conditioner did not turn off because the current was flowing normally.",,,,
44,The air conditioner broke down because it couldn't block the electricity because it had too much electricity.,,,,
45,I think it's because the air conditioner alone has too much electricity and other electronics are connected to the same concept but flowers are in different places.,,,,
46,"The electricity from the ground overflowed and the cord exploded, and the electricity went into other TV lights",,,,
47,I used too much electricity.,,,,
48,"The other one had less electricity and used a lot of air conditioners, so electricity flowed.",,,,
49,"The ground was filled with electricity, and the cord was torn apart",,,,
50,The chords didn't go in well,,,,
51,It's all,,,,
52,It's in parallel,,,,
53,The fuse is blocked,,,,
54,This is because the motor of the air conditioner does not stop right away.,,,,
55,This is because the motor of the air conditioner does not stop right away.,,,,
56,It's all,,,,
57,"The fuse on the air conditioner is down, so the other place is fine.",,,,
58,Because the fuse is not blocked.Ida.,,,,
59,Because only the air conditioner was cut off by using a fuse,,,,
60,"When the power of the air conditioner is exceeded, the fuse automatically turns off and the air conditioner turns off",,,,
61,The fuse is off,,,,
62,This is because the connection method of electronic products is different.,,,,
63,This is because only the fuse in the line connected to the air conditioner was turned off.,,,,
64,a phenomenon caused by FUSE,,,,
65,"""The air conditioner uses more power, so I didn't use a lot of electricity, but I think it's because of the air conditioner, so I can easily use other power if the air conditioner is turned off",,,,
66,"""FUSE""",,,,
67,Because it's a different front,,,,
68,"This is because air conditioners use as much current as they use, and other electronic products use as much as they use.",,,,
69,I don't know,,,,
70,The problem is difficult to understand.,,,,
71,Because electronics are connected in parallel,,,,
72,Because electricity is not connected.,,,,
73,I used the air conditioner more than my electricity,,,,
74,"""It's connected in parallel",,,,
75,"""",,,,
76,Other electronics did not turn off even if the air conditioner was turned off by parallel connection.,,,,
77,The electrical cord is different,,,,
78,"Even if it's in the same code, it's connected in parallel",,,,
79,"If more than one electronic device is used, the electronic device's power is turned off. However, other electronic products such as TVs and refrigerators do not turn off by themselves because they have not used more than the amount of electricity.",,,,
80,"It's connected in parallel, so even if one is turned off, the rest is still alive",,,,
81,Because of the parallel connection,,,,
82,It's because the battery and the light bulb are connected differently.,,,,
83,The electricity seems to have been connected in parallel,,,,
84,The others were parallel connections,,,,
85,Because of the parallel connection to the battery,,,,
86,The current flows the most only in the AC,,,,
87,I think only the one connected to the air conditioner is broken,,,,
88,I don't understand.,,,,
89,"This is because the wires were connected in parallel, not in series.",,,,
90,Due to the parallel connection of electricity,,,,
91,Because it's a parallel connection,,,,
92,"I connected the wire with parallel connection, but there was only one wire, so the current was excessive and ruptured, and the rest had two wires, so the current kept flowing",,,,
93,Due to the parallel connection of electricity,,,,
94,I don't know.,,,,
95,Because it was connected in parallel.,,,,
96,You could use a series or parallel.,,,,
97,Other electronics do not seem to turn off because of the parallel connection,,,,
98,Parallel connection of batteries,,,,
99,Discharge due to excessive current flow from air conditioning machines unlike other electronic products,,,,
100,"The air conditioner was cut off because electricity was connected to the military, but the remaining home appliances did not turn off because electricity flows in the other way.",,,,
101,"Because it is connected by a parallel connection of the battery, even if one is turned off, all of them do not turn off.",,,,
102,This is because both TVs and refrigerators are connected in parallel.,,,,
103,The wires of other electronics and the air conditioner are not connected to each other,,,,
104,"It seems that TVs, refrigerators, and air conditioners were using different wires and different power sources. Also, I think the air conditioner may have a system that automatically stops when power is used too much.",,,,
105,I don't know.,,,,
106,??106.0,,,,
107,I used the air conditioner too much,,,,
108,It's a parallel connection of light bulbs,,,,
109,I see,,,,
110,The air conditioner's motor overheated.,,,,
111,Only the refrigerator is running too much with the current,,,,
112,I used too much electricity,,,,
113,The level of current flow is different,,,,
114,It's connected in parallel,,,,
115,Parallel connection,,,,
