,"10. The Earth is known to spin itself along its axis of rotation. This phenomenon is called the rotation of the Earth, and what are some of the natural phenomena that occur in the rotation of the Earth? Let's use our knowledge of Earth's rotation to explain it in detail. ",q10_Daytime,q10_Byulilju,q10_Season,q10_Time difference,q10_Circulation
0,I don't know.,,,,,
1,atmospheric circulation,,,,,
2,the appearance of the season,,,,,
3,"Forward power, day and night",,,,,
4,Day and night occur,,,,,
5,"Through the rotation of the earth, night and face change occurs",,,,,
6,Day and night are caused by the rotation of the earth.,,,,,
7,The seasons change,,,,,
8,Day and night occur.,,,,,
9,Night and day.,,,,,
10,"Due to the Earth's rotation, large-scale weather phenomena such as typhoons receive forward force during the process, which can lead to a warp in direction.",,,,,
11,Day and night change due to the rotation of the Earth.,,,,,
12,Day and night occur through the rotation of the earth.,,,,,
13,Day and night occur.,,,,,
14,"It is necessary to have a rotation to maintain the current atmospheric circulation cells, thus maintaining the current climate.",,,,,
15,Night and day change.,,,,,
16,"Day and night occur in a day, and rotation causes convection and ocean current circulation.",,,,,
17,Night and day form.,,,,,
18,"On Earth's rotation, the surface facing the sun becomes day and vice versa.",,,,,
19,Night and day.,,,,,
20,Day and night change.,,,,,
21,"Because the Earth's axis of rotation rotates in a tilted state, day and night change, the circadian motion of the celestial body occurs, the western side of the orbit of the satellite occurs, and the reciprocating direction of the Foucault pendulum changes",,,,,
22,"Forward power, day and night",,,,,
23,Day and night occur.  A roundabout movement takes place.,,,,,
24,"Headley Circulation, Day and Night, Equatorial Expansion",,,,,
25,Day and night occur and change the circulation of the atmosphere and seawater.,,,,,
26,"Forward power, pendulum movement",,,,,
27,"There are days and nights. The Earth rotates every 24 hours, which creates day and night. There are cases where these phenomena do not occur well in the polar regions, which is called the polar and white night phenomena.",,,,,
28,Day and night created,,,,,
29,"The rotation changes day and night, and several cells are created in the atmospheric circulation. It is the source of the turning power of the sea breeze and the typhoon. The forward force is important for calculating the trajectory of a shell or aircraft.",,,,,
30,I don't know,,,,,
31,I don't know,,,,,
32,I don't know,,,,,
33,I don't know,,,,,
34,I don't know,,,,,
35,I don't know,,,,,
36,I don't know,,,,,
37,I don't know,,,,,
38,I don't know,,,,,
39,I don't know,,,,,
40,I don't know,,,,,
41,I don't know.,,,,,
42,"The weather changes this year, including spring, summer, fall, and winter.",,,,,
43,I don't know.,,,,,
44,I don't know,,,,,
45,I don't know,,,,,
46,I don't know,,,,,
47,I don't know,,,,,
48,I don't know,,,,,
49,I don't know,,,,,
50,The earth is rolling,,,,,
51,I see the moon and the sun,,,,,
52,Day and night change.,,,,,
53,"Seasonal change, day and night",,,,,
54,"Seasonal change, day and night",,,,,
55,The earth is rolling,,,,,
56,Day and night occur.,,,,,
57,Day and night are natural phenomena,,,,,
58,The Earth's rotation changes the seasons,,,,,
59,Seasons change?,,,,,
60,Day and night occur.,,,,,
61,Day and night occur.,,,,,
62,Day and night are caused by the rotation of the earth.,,,,,
63,Day and night are caused by the rotation of the earth,,,,,
64,The earth is spinning fast,,,,,
65,Night and day.,,,,,
66,There are mornings and nights and seasons.,,,,,
67,Natbam is changing and Nalsh is changing,,,,,
68,The seasons change,,,,,
69,Night and day occur,,,,,
70,Night and day occur.,,,,,
71,Day and night occur,,,,,
72,Day and night come and a year comes,,,,,
73,Day and night come. Seasons change,,,,,
74,Day and night occur,,,,,
75,"""1.Time changes.",,,,,
76,"Day and night occur.""",,,,,
77,Earth's rotation creates day and night.,,,,,
78,Day and night are caused by the rotation of the earth,,,,,
79,Night and day occur,,,,,
80,Day and night occur and owls go hunting at night.,,,,,
81,Night and day occur,,,,,
82,Night and day form,,,,,
83,Night and day.,,,,,
84,Daytime and rooms are fresh and the seasons are born. And time varies from country to country,,,,,
85,Night and day occur on Earth.,,,,,
86,The rotation produces night and day,,,,,
87,Day and night occur.,,,,,
88,Seasons vary from country to country,,,,,
89,Day and night occur,,,,,
90,Day and night occur. (The part that receives the sun or the part that doesn't),,,,,
91,A day goes round regularly with 24 hours.,,,,,
92,Day and night occur.,,,,,
93,Day and night occur.,,,,,
94,Day and night come and time goes.,,,,,
95,"The trees seem to be moving, and there are days and nights again",,,,,
96,"When the earth rotates, day and night occur, so it affects our lives a lot.",,,,,
97,I don't know.,,,,,
98,Day and night occur by rotationDay and night occur and affect our lives.,,,,,
99,"Through the rotation of the earth, the face changes at night.",,,,,
100,"As the earth rotates, day and night occur, and day and night occur, the temperature decreases at night when the sun is not shining, and the low temperature that the sun shines rises",,,,,
101,"The most obvious natural phenomena caused by the Earth's rotation are night and day. Daytime is the place where the sun shines, and night is the place where the sun does not shine. In addition, the Earth's rotation speed is due to the Earth's rotation, which occurs 24 hours a lap and for a day.",,,,,
102,I don't know.,,,,,
103,??103,,,,,
104,Day and night change.,,,,,
105,I don't know,,,,,
106,to,,,,,
107,Night and day occur.,,,,,
108,There is day/night to explain in detail,,,,,
109,I don't know,,,,,
110,??110,,,,,
111,the ebb and flow,,,,,
112,There is a typhoon,,,,,
113,"the growth of flowers, trees, and grass",,,,,
114,Day and night occur,,,,,
115,Night and day occur,,,,,
116,Month,,,,,
117,"If the earth doesn't go around, some places will continue to be cold and others will continue to be hot, making it difficult to live",,,,,
118,The day is gone,,,,,
119,night and day,,,,,
120,"Night and day spring, summer, fall, and winter",,,,,
121,from west to east,,,,,
122,Japanese food,,,,,
123,I don't know,,,,,
124,Day and night occur.,,,,,
125,I don't know much about the Earth,,,,,
126,Japanese food,,,,,
127,??127,,,,,
128,even though I'm a loser,,,,,
129,I don't know,,,,,
130,I don't know.,,,,,
131,"Day when the sun is visible and night when the sun is invisible occurs, and the season occurs.",,,,,
132,He,,,,,
133,The rotation of the earth changes the seasons,,,,,
134,"Day when the sun is visible and night when the sun is invisible occurs, and the season occurs.",,,,,
135,I forgot,,,,,
136,A day goes by.,,,,,
137,Day and night occur.,,,,,
138,I don't know.,,,,,
139,night and day,,,,,
140,Day and night are achieved by the rotation of the earth.,,,,,
141,"There are natural phenomena such as earthquakes, volcanic eruptions, tsunamis, and landslides",,,,,
142,"On Earth's rotation, we can see night and day",,,,,
143,I don't know,,,,,
144,Night and day have come.,,,,,
145,The natural phenomenon that occurs when the earth rotates is an eclipse,,,,,
146,We can walk.,,,,,
147,The moon rises and sets.,,,,,
148,The earth rotates and the moon revolves,,,,,
149,Day and night occur,,,,,
150,night and day,,,,,
151,Day and night repeat,,,,,
152,Four seasons appear,,,,,
153,"By the Earth's rotation, the sun, moon, and star appear to be visible from the east for a day and disappear to the west. Because day and night are caused by the rotation of the earth",,,,,
154,"By the Earth's rotation, the sun, moon, and star appear to be visible from the east for a day and disappear to the west. Day and night are caused by the rotation of the earth.",,,,,
155,Day and night are created by the rotation of the earth.,,,,,
156,Day and night change,,,,,
157,"By the Earth's rotation, the sun, moon, and star appear to be visible from the east for a day and disappear to the west. Day and night are caused by the rotation of the earth.",,,,,
158,The rotation of the earth changes the altitude of the sun,,,,,
159,Day and night occur,,,,,
160,"There are four seasons in the mid-level region. The earth rotates and is fair around the sun, so there is a season.",,,,,
161,?ã·,,,,,
162,the occurrence of day and night,,,,,
163,"By the Earth's rotation, the sun, moon, and star appear to be visible from the east for a day and disappear to the west. Day and night are caused by the rotation of the earth.",,,,,
164,The seasons change,,,,,
165,The seasons change,,,,,
166,"By the Earth's rotation, the sun, moon, and star appear to be visible from the east for a day and disappear to the west.",,,,,
167,.,,,,,
168,The seasons change,,,,,
169,The plants differ from season to season,,,,,
