,"12. About 2,000 years ago, there were three countries on the Korean Peninsula: Silla, Baekje, and Goguryeo. For about 700 years, three countries (Silla, Baekse, and Goguryeo) fought many wars to take over the Han River. Eventually, Silla unified the three kingdoms. Let's explain how Silla unified the three kingdoms.",q12_Nadang Alliance, q12_War Victory,q12_Dang-river,q12_Han River Charge,q12_Nadze Alliance
0,"""After Baekje fell and Goguryeo fell,",,,,,
1,Silla won the war against the Party,,,,,
2,Alliance with the Party-Destroying Baekje-Destroying Yeongaesomun-Destroying Goguryeo-Destroying Goguryeo-,,,,,
3,Taking the Han River - Forming the Nadang Alliance - Unification,,,,,
4,Silla ate Baekje and Goguryeo. That's it,,,,,
5,Silla united with the Tang Dynasty to defeat Goguryeo and Baekje,,,,,
6,"Silla and Tang combined to form a combined army of Nadang to destroy Goguryeo and Baekje in order, and after a war, the land of certain Gangnam was acquired as Silla's territory",,,,,
7,"Baekje, Goguryeo, and Silla",,,,,
8,"Taking over the Han River basin, forming the Nadang Alliance for Unification",,,,,
9,Silla conquered Baekje and Goguryeo in order to create a unified Silla.,,,,,
10,I won everything in the war,,,,,
11,"Silla joined hands with the Tang Dynasty to attack the back of Baekje, which had an alliance with Silla in the past, and unified the three kingdoms by destroying Goguryeo.",,,,,
12,Because Silla won the war.,,,,,
13,Unification was achieved in union with the Tang Dynasty.,,,,,
14,He signed a Nadang alliance with the Tang Dynasty and invaded Baekje and Goguryeo.,,,,,
15,I don't understand.,,,,,
16,Silla won the war,,,,,
17,"Silla held hands with the Tang, held Goguryeo, and later captured Baekje.",,,,,
18,Because I won the war.,,,,,
19,"Silla attacked Baekje and Goguryeo by forming the Nadang Alliance. At that time, Goguryeo and Baekje were weakened by corruption.",,,,,
20,"Silla formed a Nadang alliance with the Tang Dynasty, destroying Baekje and destroying the next Goguryeo kingdom.",,,,,
21,"And the party drove it out.""",,,,,
