,"16. The particles that make up the material do not stay still and move constantly on their own. This is called particle motion, and what are some of the natural phenomena caused by particle motion? Let's explain it in detail using our knowledge of particle motion. ",q16_Diffusion,q16_Atmosphere,q16_Heat conduction,q16_State change
0,"WJSN, fighting!",,,,
1,"When you fart, other people smell, too",,,,
2,Move actively because of the high temperature,,,,
3,River,,,,
4,the expansion of a solid,,,,
5,the flow of air,,,,
6,the expansion of railways in summer and contraction in winter,,,,
7,Waking up from the ice as a vibration,,,,
8,have a spread of ink,,,,
9,a wave,,,,
10,Wind is the movement of particles of air from high pressure to low pressure.,,,,
11,air flow,,,,
12,"The phenomenon of particle motion is atmospheric pressure, which is the pressure caused by the gas moving actively and colliding in all directions.",,,,
13,Balloon (Keep Round),,,,
14,"""Balloons""",,,,
15,"Air enters by blowing the balloon, and particles hit the inner wall of the balloon as the particles move, making the balloon puffy.""",,,,
16,You can feel various emotions,,,,
17,I don't know,,,,
18,The movement of the region drains the wind from the balloon.,,,,
19,Unknowingness,,,,
20,"Air is put into the balloon, and since there are many particles in the air, the movement of the particles causes the balloon to lose its air",,,,
21,I have no idea.,,,,
22,"Fine dust, flood, earthquake, typhoon, yellow dust, tsunami",,,,
23,Clouds! Rain...,,,,
24,Is it a typhoon or a sinkhole?,,,,
25,"Floods, earthquakes, typhoons, etc.step",,,,
26,A balloon that grows as the distance between particles increases when the wind blows.,,,,
27,The particles vibrate wildly,,,,
28,photoelectric effect,,,,
29,static electricity,,,,
30,All natural phenomena proceed in the direction of decreasing entropy,,,,
31,I don't know.,,,,
32,the rotation of the earth,,,,
33,Haha,,,,
34,a fever of fever,,,,
35,a vacuum cleaner,,,,
36,"When you boil a liquid like water, the temperature rises and the particles move more actively than before boiling",,,,
37,Weather phenomena,,,,
38,There is a Brownian phenomenon,,,,
39,"the movement of water, liquids, etc",,,,
40,"Evaporation of water, volume expansion of bag of potato chips, etc",,,,
41,"Brownian motion, heat, etc. of pollen, etc",,,,
42,"For example, microwave ovens have the principle of making food warm by vibrating the water molecules of food in the microwave.",,,,
43,I don't know.,,,,
44,The electron in an atom uses an electron cloud because it moves constantly and cannot be located.,,,,
45,There is water boiling.,,,,
46,photoelectric effect,,,,
47,A wave is emitted from the atom.,,,,
48,"When you knock on the desk, the particle movement occurs in it.",,,,
49,Brownian Movement,,,,
50,"The pressure inside the gas is formed by the motion of the gas particles. The reason why smoke and dust are scattered irregularly is because they collide with air particles, which is called brown motion.",,,,
51,diffusion of ink,,,,
52,have a spread,,,,
53,electronic motion,,,,
54,Blowing balloons,,,,
55,"When water is left still at room temperature, it flies into the air without reaching the boiling point.",,,,
56,Unknowingness,,,,
57,"The state of water changes with temperature. In the cold winter, the movement of the particles that make up the water slows down, so the water turns into a solid state.",,,,
58,Oxidation,,,,
59,the rotation of the earth,,,,
60,I don't know.,,,,
61,Unknowingness,,,,
62,Do.,,,,
63,Don't know,,,,
64,I don't know.,,,,
65,I don't know.,,,,
66,I don't know,,,,
67,ã»ã»ã¹,,,,
68,I don't know.,,,,
69,Unknowingness,,,,
70,The particles warm up as they continue to move,,,,
71,Ju6urykyj'trht yegmf;n po áá­á¹áá®áá²ã-ãáá§ã-n-,,,,
72,"Everyone, I don't know",,,,
73,the destruction of the earth,,,,
74,Moreugesseum ^^,,,,
75,I don't know.,,,,
76,"Space Planets Ordinal Mercury 1/2 Venus/3 Earth/4 Mars/5 Jupiter/6 Saturn/7,000 Pluto/8 Neptune",,,,
77,Particles exercise because they are fat.,,,,
78,Blood moves through the veins,,,,
79,Moisture forms.,,,,
80,It's the wind. It feels like the wind is blowing because the particles of air move and come to us. I think it's a similar phenomenon that the wind moves clouds.,,,,
81,I don't know.,,,,
82,I don't understand.,,,,
83,I don't know.,,,,
84,"Is it a phenomenon where water, soil, and wind move?",,,,
85,I don't know.,,,,
86,FDGKDJKGJDFKLGMLK,,,,
87,the active movement of a gas in the air,,,,
88,"I knew it, but I forgot.",,,,
89,I don't know,,,,
90,"I don't know exactly what the particles are, so I don't know",,,,
91,"The movement of the crust (the particles in the mind move the crust as they continue to circulate)/When the particles collide, heat is generated.",,,,
92,I don't know.,,,,
93,The particles in the balloon move actively and escape through a very small gap in the balloon,,,,
94,I don't know.,,,,
95,I don't know.,,,,
96,You have to move in order for creatures to survive,,,,
97,I don't know!,,,,
98,"The state in which particles are formed is often called solid, exe, and gas, and among them, particles that form an exe, such as water, do not form a tighter structure than solids, so the shape changes even when stirred by hand, but the particle does not disappear and only changes shape.The balloon is deflated.",,,,
99,I don't know.,,,,
100,The wind is blowing.,,,,
101,There is something that the clouds move. I don't know why.,,,,
102,Clouds form as water vapor in the air rises into the sky.,,,,
103,Oxygen,,,,
104,"""Because particles work out, there's no space between them",,,,
105,"It's because particles move due to natural phenomena """,,,,
106,Balloon,,,,
107,The answer is evaporation and diffusion because evaporation and diffusion are made by the motion of particles.,,,,
108,"As the particles move, they become gases and evaporate and diffuse into the air",,,,
109,There is diffusion. An example of diffusion is the spread of odors,,,,
110,"Natural phenomena caused by particle motion include evaporation and diffusion. As the particles move, they change into gases and evaporate, and after evaporation, they diffuse into the air.",,,,
111,"Natural phenomena include evaporation and diffusion The particles ""evaporate"" and ""evaporate"" into the gas are ""diffused""!",,,,
112,"There is evaporation and diffusion in the phenomena caused by particle motion. The particles move, they become gases, they evaporate, they evaporate, and then they diffuse into the air.",,,,
113,"Particles evaporate into gases as they move, evaporate, and then diffuse into the air",,,,
114,"Natural phenomena caused by particle motion include evaporation and diffusion. As the particles move, they become gases and evaporate, evaporate, and then diffuse into the air.",,,,
115,to have evaporation,,,,
116,"There are evaporation and diffusion in phenomena caused by particle motion. As the particles move, they evaporate into gases, evaporate, and diffuse into the air.",,,,
117,I don't know.,,,,
118,"Particles are subject to rain, wind, or natural disasters.",,,,
119,I don't know about particle motion.,,,,
120,"I don't know. Thunder, wind, rain, clouds",,,,
121,I don't know,,,,
122,It's all over the place,,,,
123,I don't know,,,,
124,earthquake and tsunami,,,,
125,"Not at all, I don't know if I'm dead or alive.",,,,
126,I don't know,,,,
127,There are earthquakes and tsunamis,,,,
128,I don't know. I don't know,,,,
129,The tree,,,,
130,Natural phenomena include wind lamps. This is because wind is the particle of air.,,,,
131,I'm not sure about the particles,,,,
132,The air in the balloon is escaping little by little,,,,
133,I don't know^^,,,,
134,The particles will go up,,,,
135,I don't know.,,,,
136,The particles go up,,,,
137,"If you flap it with a fan, it's cool because of the particle movement",,,,
138,particles of air in the wind,,,,
139,Let's wear... Let's wear clothes!,,,,
140,Particles are separated and the amount increases,,,,
141,Water,,,,
142,Moreugesseum,,,,
143,Lack of knowledge,,,,
144,Air,,,,
145,What was the exercise on the particle?,,,,
146,Typhoon due to the very vigorous movement of particles,,,,
147,It gets hot when you move without staying still.,,,,
148,I don't know,,,,
149,"When the volume decreases, the particles move close together, and when the volume increases, they move apart from each other and move widely.",,,,
150,Helium gas balloon,,,,
151,"Pollen, fine dust, etc",,,,
152,a balloon containing helium gas,,,,
153,The moisture in the clothes after washing vaporizes and turns into water vapor.,,,,
154,Earthquake,,,,
155,The wind rises.,,,,
156,I don't know.,,,,
157,The wind rises.,,,,
158,I don't know,,,,
159,It's o m n o m n,,,,
160,"Waves will occur due to particles of water, earthquakes and volcanoes will occur due to particles of the ground, and particles in the sky will also cause wind.",,,,
161,"""Earthquake lights...",,,,
162,"""",,,,
163,I don't know. Ahhhhhhhh,,,,
164,I don't know,,,,
165,I didn't know,,,,
166,"When the temperature gets hot, the particle becomes active",,,,
167,I'm not sure.,,,,
168,I don't know.,,,,
169,I don't know.,,,,
170,A solid has particles attached to it and the liquid moves gradually and the gas moves as the particles separate the particles from each other,,,,
171,I don't know.,,,,
172,be photosynthetic,,,,
173,I don't know.,,,,
174,I can hear the sound.,,,,
175,There's a wave. The particles move around.,,,,
176,",,",,,,
177,Unknowingness,,,,
178,I can hear the sound,,,,
179,..,,,,
180,Unknowingness,,,,
181,Electricity works.,,,,
182,cigarette smoke,,,,
183,There is a diffusion phenomenon.,,,,
184,"I'm sorry, friends",,,,
185,The air is flowing.,,,,
186,a supernatural phenomenon,,,,
187,"If you spray perfume, it spreads.",,,,
188,Smoke diffuses into the air.,,,,
189,"The particles are vibrating themselves. It has a property that changes accordingly. For example, in a solid, a liquid turns into a gas.",,,,
190,a solar wind,,,,
191,convective conduction radiation,,,,
192,The motion of the gas particles results in the pressure of the gas.,,,,
193,The s and p waves of the earthquake are measured by the fluctuations in the crust. This is because the particles of the earth's crust shake. It is said that this shaking is caused by the convection of the mantle. The convection of these mantles is also because the solid particles in the mantle move.,,,,
194,The gas diffuses,,,,
195,"Diffusion occurs in the case of gases, evaporation occurs in the case of liquids, and heat conduction occurs in the case of solids.",,,,
196,The diffusion of smell is an example.,,,,
197,"Dust is flying as you do brown exercisesWhen the ink is dropped into the water, the ink is mixed due to diffusion.",,,,
198,...,,,,
199,I don't know.,,,,
200,Don't know,,,,
201,I really don't know,,,,
202,I really don't know,,,,
203,The particles are so small that they shake greatly when there is a small movement,,,,
204,A solid becomes a liquid and a liquid becomes a gas,,,,
205,A typical example of a bicycle?,,,,
206,I don't know.,,,,
207,"The water vaporizes into the sky, turns into clouds from the sky, and then it becomes rain again and falls to the ground",,,,
208,"A solid changes into a liquid or a liquid changes into a gas, etc",,,,
209,The sun's fission of light and heat.,,,,
210,the movement of a person,,,,
211,the flow of water,,,,
212,I don't know.,,,,
213,"The valley in the mountain is constantly flowing. In winter, it can change from liquid to solid.",,,,
214,I don't know.,,,,
215,"""Change in sound and wavelength",,,,
216,a solid-liquid gas of heat that is precipitated by temperature,,,,
217,"Solvent solidification""",,,,
218,?,,,,
219,Unknowingness,,,,
220,"Storms, clouds, things like that",,,,
221,Unknowingness,,,,
222,"""No, if you stay still, it's zero gravity. Thoughts, home.""",,,,
223,"""",,,,
224,Water evaporates or ice sublimates due to particle motion.,,,,
225,"""It's a balloon",,,,
226,Particle motion is called particle motion when a particle bounces against a wall,,,,
227,"Storms, clouds, things like that",,,,
228,A typhoon occurs because the air keeps moving,,,,
229,early morning dew on grass,,,,
230,Lock any particle in the magnetic field,,,,
231,"If you put air in the balloon and let go of your hand without tying it, the balloon flies wildly.",,,,
232,Yellow dust,,,,
233,"If you put a crushed ping pong ball in hot water, it expands",,,,
234,I don't know,,,,
235,a hot-air balloon rising,,,,
236,the rise of a hot air balloon,,,,
237,"Water flowing from the waterfall, floating clouds, etc",,,,
238,"If you put a crushed ping pong ball in hot water, it expands.",,,,
239,I don't know.,,,,
240,There is an aurora.,,,,
241,"""A charged particle in the solar wind of the sun",,,,
242,The atmosphere changes its excited state by colliding with oxygen or nitrogen molecules and their ions in the Earth's high-rise atmosphere,,,,
243,It's related to particle motion when it happens.,,,,
244,"""",,,,
245,"""I don't know.",,,,
246,"""",,,,
247,"When water is cut off, the movement of the particles becomes active, which evaporates and heats the water. These phenomena can also be seen as particle motion.",,,,
248,"When water is boiled, the movement of the particles becomes active, which evaporates and heats the water. These phenomena can also be seen as phenomena caused by particle motion.",,,,
249,"When water is boiled, the movement of the particles becomes active, which evaporates and heats the water. These phenomena can also be seen as phenomena caused by particle motion.",,,,
250,"""Bravo Movement""",,,,
251,"Once upon a time, a man named Brown was in the water",,,,
252,"It's a concept that I came up with while I was exercising when pollen was sprayed. I didn't know why at the time, but it was solved by publishing a paper that revealed that Einstein was an ""irregular movement"" caused by intermolecular collisions in modern times.""",,,,
253,"""Bravo Movement""",,,,
254,"It's a concept that a person named Brown came up with while watching exercise when pollen was sprayed on water. I didn't know why at the time, but it was solved by publishing a paper that revealed that Einstein was an irregular movement caused by intermolecular collisions in modern times.""",,,,
255,"""The higher the heat temperature understood by thermal energy, the more the particle motion",,,,
256,"""It's getting faster""",,,,
257,a hot-air balloon rising,,,,
258,Hot air balloon floating into the sky,,,,
259,edwedwedw,,,,
260,I don't know.,,,,
261,Mr,,,,
262,Unknowingness,,,,
263,I don't understand.,,,,
264,I don't know,,,,
265,I don't know.,,,,
266,I don't know.,,,,
267,I don't understand.,,,,
268,Unknowingness,,,,
269,I don't understand.,,,,
270,I don't understand.,,,,
271,I don't know,,,,
272,Mall,,,,
273,I don't know.,,,,
274,Hot air balloon,,,,
275,I don't know.,,,,
276,I don't know,,,,
277,I don't know.,,,,
278,Unknowingness,,,,
279,I don't understand.,,,,
280,It's about activating particles by applying heat.,,,,
281,I don't understand.,,,,
282,I don't know.,,,,
283,Unknowingness,,,,
284,"For example, when particles become active in a balloon, the balloon swells.",,,,
285,I don't know.,,,,
286,diffusion and evaporation,,,,
287,I don't know,,,,
288,I don't know.,,,,
289,?,,,,
290,I don't know,,,,
291,Bebebebebebebebebebebebebebebebebebebebe,,,,
292,Particles go to the gym and exercise,,,,
293,Doesn't the particle move and change the shape of the object ^^:,,,,
294,yes,,,,
295,"If you put air in the balloon and leave it, the size of the balloon is reduced.",,,,
296,ãThe particles are moving,,,,
297,Well.,,,,
298,I don't know.,,,,
299,That's why the material is alive,,,,
300,Things that are very scary things,,,,
301,""".?",,,,
302,"""",,,,
303,I don't know.,,,,
304,I don't know what the particles are,,,,
305,"Thanks to particle motion, we can play with balloons",,,,
306,Keep exercising to keep the substance from cooling down,,,,
307,Unknowingness,,,,
308,Various,,,,
309,I don't know,,,,
310,to have air,,,,
311,"The water between the cracks in the stones is frozen by the low temperature, and the stone cracks",,,,
312,I've never heard of a particle called exercise,,,,
313,There's a typhoon,,,,
314,"Oh, my",,,,
315,It becomes smaller than the original particle size.,,,,
316,"The more air is put into the balloon, the bigger the volume, so the particles are moving actively",,,,
317,Brownian motion is the movement of pollen particles here and there as they collide with water molecules in the air,,,,
318,Heat is generated as the particles move,,,,
319,Unknowingness,,,,
320,I don't know.,,,,
321,The natural phenomenon caused by particle motion is liquid.,,,,
322,It makes the food delicious,,,,
323,I don't know.,,,,
324,There are phenomena such as diffusion and evaporation.,,,,
325,Spreading,,,,
326,Spreading,,,,
327,"Particle motion can be divided into solid, liquid, and gas motion. Goje vibrates in place by very strong attraction between molecules. Liquids have weaker bonds than solids.It diffuses. Gases have very weak intermolecular attractions, so they have active particle movements.",,,,
328,Spreading,,,,
329,Diffusion by concentration difference,,,,
330,"Temperature of matter, change of state, transfer of matter",,,,
331,Spreading,,,,
332,Spreading,,,,
333,"Brownian motion, diffusion of gas",,,,
334,Spreading,,,,
335,"When radiation is applied to an atom, electrons pop out, and the protruding electrons move with kinetic energy.",,,,
336,It's diffusion. It's spread around by the motion of molecules.,,,,
337,the shape is maintained,,,,
338,"For example, when water is boiled, the particles move",,,,
339,Air,,,,
340,Air,,,,
341,I don't know.,,,,
342,"If there's warm heat, the particle movement becomes active, but even just a little heat does particle movement",,,,
343,Air,,,,
344,"Dew on leaves or grass. a phenomenon in which saturated water vapor in a gas attaches to a leaf or grass, resulting in droplets",,,,
345,"The air, the air, moves around the world non-stop",,,,
346,The scent spreads,,,,
347,Air,,,,
348,I'm sorry. I don't know,,,,
349,I don't know.,,,,
350,Balloon,,,,
351,"When you get on a plane, the sunblock explodes, and things like sunblock, when you go up high, the particles spread",,,,
352,Unknowingness,,,,
353,the movement of air,,,,
354,I don't know.,,,,
355,"""San-San-San-San-San-Sea""",,,,
356,Degree,,,,
357,one's work,,,,
358,"The same""",,,,
359,Thunder,,,,
360,Hail,,,,
361,Unknowingness,,,,
362,I don't know.,,,,
363,"When fart mushrooms spew out spores, they blow away particles",,,,
364,rain or snow,,,,
365,I don't know.,,,,
366,I have no idea.,,,,
367,Many electrons collide with each other.,,,,
368,I learned it but I can't remember,,,,
369,The odor particles are spreading and smelling.Move in the direction of the wind,,,,
370,I don't know,,,,
371,Vibration,,,,
372,Wind... This is because the air moves according to the difference in temperature even if the wind stays still.,,,,
373,I don't know,,,,
374,Wind,,,,
375,I don't know,,,,
376,"When the heat is heated in summer, the train tracks expand.",,,,
377,The waves spread.,,,,
378,The water is flowing.,,,,
