,"17. The color change of the red cabbage indicator indicates that the more basic solution is added to the acidic solution, the weaker the acidity, and the more acidic solution is added to the basic solution, the weaker the basicity. Mixing acidic and basic solutions will reduce the acidity and basicity before mixing. Let's explain in detail why acidity and basicity weaken when acidity and basicity meet, using your own knowledge of acid and base.",q17_acid-based adaptation,q17_equivalent ratio,q17_loss of properties,q17_conflict properties
0,Eun-seo,,,,
1,It's M and D,,,,
2,Acid and salt are enemies,,,,
3,I'm the opposite,,,,
4,Acid dissolves basicity,,,,
5,It's very basic,,,,
6,I don't know,,,,
7,Unknown,,,,
8,"When acidity and basicity meet, they become more neutral",,,,
9,"This is because when acidity and basicity meet, they become neutralized.",,,,
10,Acids and bases meet and become neutral.,,,,
11,"When acidic and basic meet, they become neutral and become weak",,,,
12,"Acidic substances dissolve in water to produce H+ ions, and basic substances produce OH- ions. Therefore, when both acidity and basicity are dissolved in water, H2O is produced and neutralized.",,,,
13,"The acid - ramen base is +. In other words, you can think of it as math.",,,,
14,"This is because when acidity and basicity meet each other, they become increasingly neutral, and they become more and more proportional.",,,,
15,The acidity and basicity are different,,,,
16,"When acid and base meet, they become neutralized",,,,
17,I don't know,,,,
18,I don't know,,,,
19,"This is because basic solutions have the properties of absorbing basicity, and acidic solutions have the properties of absorbing acidity",,,,
20,"When mixed, it becomes neutral.",,,,
21,"It is natural that the acidity weakens when the acid meets the base, and the base weakens when the base meets the acid.",,,,
22,Don't know,,,,
23,What substances are acidic and which substances are basic?,,,,
24,The opposite substances met and weakened each other,,,,
25,"When acidity and basicity meet, they weaken because they weaken each other.",,,,
26,Acid basic fighting with each other,,,,
27,"Since acidity and basicity are opposite, high ph concentration and low basicity are acidic",,,,
28,Because it's high in acidity,,,,
29,The acidity is relative,,,,
30,This is because they cause a neutralization reaction with each other through oxidation-reduction.,,,,
31,"Acid and basicity meet to weaken the two components through neutralization, which weakens their properties",,,,
32,I don't know,,,,
33,neutralization reaction,,,,
34,This is because a neutralization reaction occurs.,,,,
35,It's because of the neutralization reaction,,,,
36,"This is because when acid and base meet, they become neutralized.",,,,
37,"Naturally, as they fuse together, the pH concentration increases, and the basicity decreases, so both the acidity and the basicity are weakened",,,,
38,It is because the acidity and the basicity do not go together.,,,,
39,"This is because when acidity and basicity meet, the two mix and gradually lose their properties.",,,,
40,"When an acid is suitable for a base or a base, the concentration of hydrogen ions or hydroxide ions decreases after a neutralization reaction occurs and the salt is generated, so the concentration of hydrogen ions and hydroxide ions, which are the measures of the acid and base, decreases.",,,,
41,"Acids and bases have opposite ph concentrations, and when they meet, they do something called a neutralization reaction, weakening both.",,,,
42,"Since the pH of the acid and the base is the opposite, it also acts the opposite in terms of redox.",,,,
43,"Acid and basicity are at opposite points, because when the two are mixed, the concentration of the two decreases.",,,,
44,It's because of the neutralization reaction,,,,
45,Because they're the opposite,,,,
46,"This is because acids and bases have opposite properties, and when the two meet, a neutralization reaction occurs.",,,,
47,"Assuming that the acidity of 1 base is -1, it becomes 1+(-1)=0.",,,,
48,This is because acids and bases meet to cause a neutralization reaction.,,,,
49,"Acid produces hydrogen ions and basic hydroxide ions, and when they meet, a neutralization reaction that changes to water occurs.",,,,
50,neutralization reaction,,,,
51,"When acidity and basicity meet, a neutralization reaction occurs and water is generated.",,,,
52,Because it neutralizes.,,,,
53,Because two substances that have different properties meet,,,,
54,"When acidity and basicity meet, they are neutralized by opposite properties",,,,
55,I don't know,,,,
56,This is because acids and bases neutralize each other's conditions.,,,,
57,"When smoke and acid combine, water is created and neutralized",,,,
58,"Acids and bases divide acidity and basicity based on pH, so when acids and bases meet, they gradually become neutral.",,,,
59,I don't know.,,,,
60,I don't know,,,,
61,I don't know,,,,
62,It's just that,,,,
63,I don't know.,,,,
64,I don't know.,,,,
65,I can't think of anything.,,,,
66,"(Playing the guitar"")",,,,
67,I don't know.,,,,
68,I don't know,,,,
69,I don't know,,,,
70,"5. The color change of the red cabbage indicator indicates that the more basic solution is added to the acidic solution, the weaker the acidity, and the more acidic solution is added to the basic solution, the weaker the basicity. Mixing acidic and basic solutions will reduce the acidity and basicity before mixing. Let's explain in detail why acidity and basicity weaken when acidity and basicity meet, using your own knowledge of acid and base. *",,,,
71,Let's look at the science book,,,,
72,How do I know?^^,,,,
73,"If a basic solution is added to an acidic solution, the acidity in the acidic solution is lost to the basic solution, and if an acidic solution is added to the basic solution, the basic solution loses the understanding basicity of the acidic solution.",,,,
74,"A strong acid weakens the basicity, but a similar amount neutralizes it",,,,
75,hjjnjljojfjoduioikjkioucjuuiduiirfjjhiui6yiojyitjkjkjkjdjjkkh998oi50498jkjkjkhkckkjjkccxjchjdfjh-poioijkhhdiohf087598jkjkkkjkjcjcvjkvjkjkvbcjfj,,,,
76,"There are many trees in the mountain, and I don't know the base.",,,,
77,"Acid = Gastric fluid in our body, basic = Soapy water",,,,
78,"Since it's a material that's different in acidity and basicity,",,,,
79,"Acid and basicity merge together and become neutral when they meet one on one. So fishy fish, which is a basic ingredient, becomes neutral when you drop an acidic lemon, and the fishy smell disappears.",,,,
80,I don't know.,,,,
81,This is because acidic and basic substances are mixed together.,,,,
82,This is because acidity and basicity neutralize each other.,,,,
83,Because it neutralizes water,,,,
84,"""The acidity weakens",,,,
85,"""",,,,
86,FLGMFKMKMV,,,,
87,Acid and basicity are weakened because they are solutions with opposite properties.,,,,
88,I don't know.,,,,
89,I don't understand.,,,,
90,I don't know because I didn't concentrate during class in 5th grade,,,,
91,Acid weakens each other because it weakens the base and the base weakens the acidity.,,,,
92,"This is because if you add more basicity to acidity than acidity, the acidity weakens, and if you add more acidity to acidity, the basicity weakens.",,,,
93,"This is because when acid and base are mixed, they become more neutral",,,,
94,"If more basic substances are added to acidic substances than acidic substances, they become basic substances, and if more acidic substances are added to basic substances, they become acidic substances.",,,,
95,"When acidity and basicity meet, they become weak because they merge together",,,,
96,It has a different nature,,,,
97,"The acidity is high and the base is weak, so both are weak.",,,,
98,"Acids and bases are at opposite poles. So when the two meet, they become neutralized and their power weakens. For example, when food comes to the duodenum from the stomach, basic objects come out of the duodenum to neutralize the sex of stomach acid.Acid is a substance with high ph concentration and basic is a substance with weak PH concentration. When you two meet,",,,,
99,"The pH concentration of the acid decreases, and the basic concentration of the pH decreases, and the properties of each other weaken.""",,,,
100,I don't know.,,,,
101,This is because acidity and basicity have opposite properties.,,,,
102,"Because acidity and basicity are opposite to each other, acids and bases break each other and weaken each other.",,,,
103,"""Optics and bases are different from each other, so when we meet each other,",,,,
104,"It's because we get weak while breaking each other.""",,,,
105,This is because acidity and basicity have different properties.,,,,
106,Red cabbages lose their acidity because they lose their acidity,,,,
107,This is because acidic and basic substances pair up in a mixed solution and lose their respective properties,,,,
108,Acid substances and basic substances meet each other and lose their properties.,,,,
109,"If you pair each other up, you'll understand each other's temper",,,,
110,"Acid substances and basic substances are mixed, and they weaken each other is weakened",,,,
111,This is because acidic and basic substances pair each other in the mixed solution and lose their respective properties.,,,,
112,This is because two solutions that have opposite properties meet and lose their properties,,,,
113,"It pairs acidic and basic substances in the mixed solution. Therefore, they lose their respective properties are lost. Therefore yes.",,,,
114,"In the mixed solution, acidic and basic substances pair up and lose their angular properties",,,,
115,This is because acidic and basic substances match each other in the mixed solution and lose their respective properties.,,,,
116,It's because it neutralized,,,,
117,This is because acidic and basic substances pair each other in the mixed solution and lose their respective properties.,,,,
118,M and D,,,,
119,I don't know.,,,,
120,",,",,,,
121,Acid weakens the basicity and base weakens the acidity,,,,
122,The color is changing,,,,
123,Acid basicity,,,,
124,I don't know.,,,,
125,"Because cabbage indicators are basic, they lose their acidic properties",,,,
126,This is because acidity and basicity meet to create neutral properties.,,,,
127,Acid and basicity are mutual (áá¡áá¥ã;),,,,
128,"Since basicity and acidity have opposite properties, calculating the two at equal ratios weakens the acidity and basicity.",,,,
129,I learned it too long ago.,,,,
130,Forgot.,,,,
131,"Acids and bases are opposite substances, so when they meet, a phenomenon called neutralization occurs, and when an acid and a base meet, they both weaken. (e.g., when you have a stomachache, take medicine to calm you down)",,,,
132,I don't know.,,,,
133,Forgot.,,,,
134,Because it's different in acidity and basicity?,,,,
135,Red cabbage changes color if you use indicatorSo the acid and the base become weak,,,,
136,I don't know.,,,,
137,I don't know.,,,,
138,Acid and basicity weaken because they are the opposite,,,,
139,Because acidity and basicity neutralize.,,,,
140,cabbage wrap,,,,
141,They react differently depending on the indicator,,,,
142,"Since acidity and basicity are the opposite substances,",,,,
143,The upper pole of an acid is basic and the upper pole of an acid is acidic,,,,
144,Because it's acidic,,,,
145,The relationship between acidity and basicity weakens when they meet each other,,,,
146,I forget to use it. Haha,,,,
147,It's because the two components weaken when they meet.,,,,
148,"When the two substances are mixed, the properties of either side are weakened.",,,,
149,It depends on what you put into the solution,,,,
150,Because acids and bases have different properties,,,,
151,It depends on what you put into the solution,,,,
152,This is because the proportion of one indicator decreases and increases,,,,
153,depend on the addition of the solution,,,,
154,"When basic and acidic meet, the basic becomes weak, and when acid and basic meet, the acid becomes weak, and when they meet each other, they become weak",,,,
155,?????????,,,,
156,Because acids and bases are opposite substances.,,,,
157,Forgot.,,,,
158,Because acids and bases are opposite substances.,,,,
159,I don't know,,,,
160,"Acids and bases have different properties, so they become neutral when they meet",,,,
161,"If you put a lot of acidity in a basic bottle, the acidity weakens, and if you put a lot of basicity in an acidic bottle, the acidity weakens.",,,,
162,Because image and smoke are substances that are opposite,,,,
163,I don't know,,,,
164,be devoid of intelligence,,,,
165,Mountain and Yeom Ki-hoon,,,,
166,Acids and bases are the opposite,,,,
167,I don't know,,,,
168,I don't know.,,,,
169,I don't know.,,,,
170,"Acid is lemon or cider, and basic is soapy water.",,,,
171,"When an acid and a base meet, they become neutralized",,,,
172,"When you put them together, they become water",,,,
173,I don't know.,,,,
174,This is because a neutralization reaction occurs.,,,,
175,It's neutralized by acidity and basicity,,,,
176,",,",,,,
177,I don't know.,,,,
178,A neutral reaction takes place and turns into a solution that has a neutral property,,,,
179,...,,,,
180,I don't know.,,,,
181,"This is because when an acid and a base meet, a neutralization reaction occurs.",,,,
182,I don't know.,,,,
183,This is because hydrogen ions and hydroxide ions meet to cause a neutralization reaction.,,,,
184,This is because hydrogen ions in the acid react with hydroxide ions in the basic solution to become water.,,,,
185,"When hydrogen ions in the acidic solution and hydroxide ions in the basic solution meet, the neutralization reaction occurs and the amount of hydroxide ions is limited, so if hydrogen ions are continuously supplied, the basic property will be weakened.",,,,
