,"18. Most people now use smartphones, which are small computers in their hands that they couldn't imagine 20 years ago. Many changes have occurred due to the development of science and technology. How has the development of science and technology changed our lives? ",q18_convenience,q18_information,q18_problem
0,Seol-a,,,
1,a lot of changes,,,
2,It made it more convenient,,,
3,I can live a more comfortable life,,,
4,I can't live without,,,
5,I started using Wi-Fi That's so sweet,,,
6,It's easy to answer questions about our lives,,,
7,a good change,,,
8,You can get where you want a little faster,,,
9,It makes our lives convenient,,,
10,You can move conveniently with fast transportation.,,,
11,It made life easier,,,
12,"It created mechanization and automation in the manufacturing system, and it was able to perform a tremendous computation of 10 billion times a second. In addition, things that cannot be done due to human physical factors have become possible.",,,
13,It made life easier and the speed of information spread faster.,,,
14,Communication from a long distance became convenient.,,,
15,It made life easier,,,
16,It's convenient,,,
17,Poor eyesight and gives us knowledge.,,,
18,Convenience,,,
19,It's made our lives more convenient than before,,,
20,It becomes more convenient.,,,
21,"Even if people are far away, they can contact each other by phone, and even without a camera, they can save pictures on small phones.",,,
22,There are good things and bad things because of the development of science and technology,,,
23,"With the development of science and technology, people can live more conveniently.",,,
24,It made our lives more convenient.,,,
25,"In the past, it took nearly a month to get to Jeju Island from Seoul, but due to the development of science, it will arrive in two to three hours.",,,
26,It makes you feel comfortable.,,,
27,the development of transportation and communication,,,
28,I made him live a convenient life,,,
29,"Without the development of current science and technology, the spread of information would decrease exponentially.",,,
30,It has reduced human activity and changed the type of leisure life.,,,
31,"Through the development of science and technology, our lives are now very convenient, but during the development of science and technology, there is also a problem of global pollution that cannot be handled by our technology",,,
32,What?,,,
33,the development of transportation and communication,,,
34,"With the development of science and technology (nanotechnology), it is possible to produce small products more conveniently.",,,
35,Giving you a lot of convenience,,,
36,made life convenient,,,
37,Better information can be obtained by reducing our movement. So our lives became more convenient,,,
38,"I can go to Seoul in an hour, talk to a person on the other side of the world, and have penetrated deep into our daily lives, so I can not live without science and technology.",,,
39,"With the development of science and technology, people are living more convenient lives than before.",,,
40,"Group intelligence decline, intellectual level down, people are easily instigated, privacy violations,",,,
41,"It allowed me to enjoy an improved daily life in almost every way. One of the most promising technologies in the future is the Internet of Things, which is expected to develop clothes that analyze biological rhythms that were seen in movies until a few years ago.",,,
42,It makes our lives rich.,,,
43,It made human life more convenient.,,,
44,It became convenient.,,,
45,Life will be easier,,,
46,The development of science and technology provides us with a more convenient and prosperous life.,,,
47,It gave me a convenient life.,,,
48,"It has made life convenient, but it has caused environmental pollution and is causing damage to mankind.",,,
49,"The actual distance is the same, but with the development of transportation, the time it takes to travel has been shortened.",,,
50,"You can talk to everyone in the world through the Internet. ""Back""",,,
51,It made our lives comfortable.,,,
52,It has a very big impact on our way of life,,,
53,everything,,,
54,This is because the technology of hyper-proliferation simplifies the complexity of the present world,,,
55,People's dreams grow bigger because things that they have only imagined come true.,,,
56,It allowed me to live a convenient life,,,
57,"On the positive side, it made people's lives more convenient, and on the negative side, it indiscriminately developed, destroyed the environment, and eliminated various jobs.",,,
58,Quick sharing of information,,,
59,It brought convenience and allowed us to imagine a bigger future.,,,
60,I don't know.,,,
61,Unknowingness,,,
62,Do.,,,
63,Much,,,
64,I don't know.,,,
65,I don't know.,,,
66,a technical change,,,
67,"(Playing the guitar"")",,,
68,I don't know.,,,
69,Unknowingness,,,
70,poor eyesight,,,
71,I'll let you go of me,,,
72,Convenient.,,,
73,a convenient way to live,,,
74,"It made our lives more convenient, but on the contrary, it also brought negative things that cause Internet addiction such as games.",,,
75,"It has become more convenient in many ways, but there are bad effects such as game addiction",,,
76,The computer is the only thing that hurts,,,
77,It makes it more convenient and faster than before.,,,
78,It's convenient,,,
79,"Without it, it will be empty, and without it, it will be impossible.",,,
80,"Science and technology have developed and medical technology has also developed. Also, we can watch TV at night because of the advanced technology.",,,
81,"I can carry it around comfortably, so I can live comfortably.",,,
82,It helped me live a better life and the economy.,,,
83,It helped make our lives convenient and prolong our lives further.,,,
84,Convenience,,,
85,I don't know.,,,
86,FKMGKMGL,,,
87,I can find things I am curious about quickly and easily and live a convenient life.,,,
88,Many convenient functions have become more convenient than before science and technology developed.,,,
89,"Yes (smartphone search function, contact, payment function, game, photography function)""",,,
90,a prosperous and bitter world,,,
91,It makes us feel comfortable I think there will be a door in Doraemon,,,
92,"People have become much more convenient because most of our lives have been changed to technology related to science and technology. For example, in the past, it took more than a few days from Seoul to Busan, but now we can go there for an hour.",,,
93,It provided convenience and help in life.,,,
94,Science and technology make our lives more convenient.,,,
95,There are many functions and objects that I couldn't imagine before,,,
96,It made life easier,,,
97,a convenient life,,,
98,"Problems such as cyberbullying, malicious comments, and game addiction occur a lotIn addition to transportation, time-saving, and food, clothing, and shelter-changing environments, technology has made human life easier, not now, but from the past.",,,
99,I got access to information easily and I have more daily living areas.,,,
100,"However, cyberbullying and hacking systems have increased.""",,,
101,"Refrigerator, air conditioner.TV, computer, cell phone, etc. made many scientific advances. It has become much more convenient and convenient than the old facilities. It has become a more livable environment.",,,
102,"You can get the necessary information anytime, anywhere.",,,
103,"As science and technology developed, our lives became more convenient, but due to the development of artificial intelligence, people's jobs decreased.",,,
104,"""With the development of science and technology, life has become much more convenient, but it's not something that humans can do",,,
105,"Artificial intelligence has replaced work, so many jobs have disappeared, and people want it",,,
106,"I think it will be difficult to choose a job.""",,,
107,Life has become easier,,,
108,"Because I can call and text, I can talk with my girlfriend So it's convenient",,,
109,I was able to call someone far away,,,
110,It also affected the economy and gave people a lot of convenience.,,,
111,It also raises new social problems,,,
112,"It made our lives easier, but if we do a lot, our eyes will get worse",,,
113,The development of science and technology can help our lives and cause new social problems.,,,
114,"It gives us a good influence and convenience in our lives, but there are also many disadvantages that are the opposite",,,
115,"In the old days, I couldn't even call because I didn't have electronic devices. However, in this era, many electrons are developed, so it is very convenient.",,,
116,Many inconveniences have disappeared in my life Sometimes it's a bad influence on society,,,
117,The development of science and technology helps our lives and causes new social problems.,,,
118,"In the past, you could search in only one place, but now you can search on the go",,,
119,The development of science and technology makes our lives more convenient and at the same time helps us produce more new things.,,,
120,M and D,,,
121,There are good and bad effects on our lives. We can share information with each other,,,
122,"However, even if you have poor eyesight or walk on a crosswalk, you can use your cell phone to cause an accident.""",,,
123,It has made a more convenient change for the elderly who have difficulty moving or those who are not feeling well.,,,
124,It relieves the discomfort,,,
125,I feel more comfortable,,,
126,Making our lives more convenient,,,
127,"Thanks to the development of science and technology, I can enjoy my boring day with my smartphone",,,
128,Conversations with people far away can be communicated immediately and things you don't know can be known immediately,,,
129,"It makes our lives faster and more accurate.(Information, etc.)",,,
130,It makes our daily lives more comfortable. (ããã),,,
131,It became more convenient to talk to people from afar,,,
132,"The more science and technology develops, the more convenient it will be, but many diligent people disappear, and if science develops too much, I will not want to live 2018 is the best right now",,,
133,It's convenient,,,
134,"It has made a lot of changes. In the past, it took a long time to make calls from a certain location, such as a public phone, but now there has been a change in the development of science and technology that eliminates the need for public phones.",,,
135,I can call and take pictures easily.,,,
136,It's more convenient,,,
137,It's convenient. People only use cell phones,,,
138,The small computer is so comfortable that I use my smartphone,,,
139,"As cell phones have grown, computers have also come out with the latest coffee machines.",,,
140,"It used to be a folder phone 20 years ago, but now it can be used conveniently because it comes out with a touch tongue.""",,,
141,It allowed people to live convenient lives.,,,
142,be more convenient,,,
143,"The number of jobs that people do has decreased, and science and technology has given them many advantages such as medical care.",,,
144,a lot of changes,,,
145,It has made our lives more convenient,,,
146,It helps make our lives more convenient,,,
147,The existence of it helped,,,
148,"Convenience, leisure, etc",,,
149,It has become convenient for living.,,,
150,You've made a good change,,,
151,It made it easier and more convenient to live.,,,
152,"With the development of science and technology, we gave many things such as movement and knowledge to our lives.",,,
153,Communication and Internet became convenient,,,
154,"Even if we are far away, we can quickly communicate each other's news over the phone.",,,
155,"The time and space constraints are less than before.""",,,
156,It allows you to live comfortably,,,
157,It makes our lives more convenient and faster,,,
158,"It's good, but sometimes it's bad",,,
159,You can deliver the news without going in person.,,,
160,to be able to live a more convenient life than before,,,
161,I made it convenient.,,,
162,"A smartphone, or machine, answers a sentence that I don't know",,,
163,"Communication has developed, making it easier to talk to people around the world.",,,
164,It's much more convenient,,,
165,"We exchange a lot of information without meeting each other, such as SNS and the Internet",,,
166,"5G came out due to all IT technologies, AI, and the era of the 4th Industrial Revolution.",,,
167,Our country has developed,,,
168,I don't know.,,,
169,Let our lives be at peace,,,
170,It makes you feel more comfortable,,,
171,Life has become convenient due to the development of science and technology,,,
172,Convenience,,,
173,It helped us feel convenient in our daily lives.,,,
174,Life has become easier,,,
