,"2. I bought a winter heating device, and I heard that it is better to install it at the bottom of the classroom, not on the wall of the classroom, to make the entire classroom warm. Let's explain in detail why it's good to install a heating device at the bottom of the classroom using our knowledge of the movement of heat in the gas. ",q2_convection,q2_density difference
0,"Since warm air goes up and cold air goes down, it is efficient to install heating devices above and below air conditioners.",,
1,convection phenomenon,,
2,convection of air,,
3,"Warm air is low in density, so it goes up",,
4,"Warm air goes up and cold air goes down, so air conditioners are recommended to be installed above and hot air fans on the bottom.",,
5,This is because warm air moves up and cold air moves down.,,
6,"Cold air sinks due to its high density, and warm air floats upward due to its low density. It is efficient to install a heating device at the bottom because cold air must be heated to circulate air.",,
7,Warm air moves up,,
8,"This is because warm air is denser than cold air, so warm air goes down and cold air goes up.",,
9,It is because hot air goes up because of its low density.,,
10,"Warm wind goes up, so it should be installed underneath so that all the air gets warm as it goes up from below.",,
11,"Hot air has the characteristic of going up from bottom to bottom, so it is efficient to install it underneath.",,
12,"Since the cold air sinks downward due to the convection phenomenon of the gas, it is recommended to install a heating machine downward.",,
13,"Heat can move from bottom to top by convection, making the whole warm.",,
14,"This is because when installed on the floor according to the principle of convection, the cold air at the bottom heats up again, and the cold air sinks back to the floor.",,
15,"Since the hot wind goes down and the cold wind goes up, it is advantageous to install the heating device at the bottom.",,
16,"Hot air is lighter than cold air, so you have to install it at the bottom so that warm air comes up from the bottom and gets warm quickly",,
17,This is because the heat from the heating appliance rises from bottom to top by convection.,,
18,This is because warm air is light and goes up.,,
19,Gas should be installed below because warm gases are raised by convection.,,
20,Warm air can warm the entire classroom because it has the property of going up.,,
21,This is because the gas has a property of facing upward as the temperature increases.,,
22,This is because hot air has the property of trying to rise above cold air.,,
23,The warm wind goes up^ The cold wind comes down.,,
24,"When heating devices are installed at the bottom, the entire classroom is warmed by convection caused by density differences.",,
25,"This is because when heating devices are installed at the bottom of the classroom, warm air below the classroom moves toward the cold air above the classroom by convection.",,
26,Warm air goes up and cold air goes down,,
27,"This is due to convection. Basically, warm liquid-gas has the property of going up and cold liquid-gas has the property of going down. When a heating device is installed at the bottom of the classroom, the air below becomes warm and goes up, and the cold air above goes down, and as it heats up again, gas circulation occurs. Therefore, it is better to install it below the top",,
28,The warm air goes up,,
29,"The movement of heat in a gas is carried by convection in which the gas molecules move directly, and the higher temperature gas floats upward in one space due to its lower density. Therefore, convection is efficient only when the heat source is located below.",,
30,The heat is coming out.,,
31,I don't know,,
32,I went to school,,
33,I don't know,,
34,If you install the heating system above... I don't know,,
35,"If the heater is installed on top, it will go to Hanbanhan, so it will ride the wall below",,
36,It warms you up from the bottom,,
37,Because there are more coats on the bottom than on the top?,,
