,"20. Abnormal kidney function can lead to various diseases and, in severe cases, death. What does the kidney do in our body, so if something goes wrong, will it cause disease? Let's explain it in detail using knowledge of kidney function. ",q20_Pee,q20_Hormone,q20_Waste,q20_Reabsorption
0,Moon Byul,,,,
1,It's hard to get rid of toxins,,,,
2,I get sick because I can't filter out the wastes well,,,,
3,It filters out the wastes from New Year's Eve,,,,
4,"Kidney filters out the waste, and if it doesn't work, it can lead to death by wrapping upholstery",,,,
5,The kidneys filter out waste.,,,,
6,I don't know,,,,
7,I'll let you live,,,,
8,get rid of waste,,,,
9,It filters out the wastes,,,,
10,The kidney is responsible for filtering out wastes and elements in the body.,,,,
11,It's where the kidneys filter out the wastes,,,,
12,"Wastes (ammonia, elements, and excess water in the body that occurs when cells breathe with proteins) cannot be released.",,,,
13,"Filtration, absorption, re-secretion and urine.",,,,
14,"""Excuse""",,,,
15,"The waste in the house is piled up, and the amount of water is out of control.""",,,,
16,the act of filtering out wastes,,,,
17,I don't know,,,,
18,I don't know.,,,,
19,I don't know,,,,
20,Kidneys are vital organs for our bodies,,,,
21,I work on urine.,,,,
22,This is because the kidneys play a role in filtering out waste.,,,,
23,This is because the kidneys play a role in filtering out waste.,,,,
24,Kidneys help people live.,,,,
25,It filters out the wastes.,,,,
26,It detoxifies the bad components of the body.,,,,
27,Urinary stones occur because of poor urine,,,,
28,a place for waste discharge,,,,
29,"Glucose, amino acids cannot be reabsorbed",,,,
30,"I don't know exactly, but I know it's a body purification.",,,,
31,It secretes hormones and produces waste.,,,,
32,"The kidney reabsorbs sodium components and water by various hormones, and if there is an abnormality in the kidney, the body cannot perform these activities, causing problems.",,,,
33,Unbelievable,,,,
34,"Hormones are released, wastes are discharged abnormally",,,,
35,This is because the kidneys play an important role in our bodies.,,,,
36,The kidneys are essential because they filter out the wastes in our bodies,,,,
37,I can't pee,,,,
38,"If there is something wrong with the kidneys, it causes problems in the excretory system and affects our entire body",,,,
39,"The kidneys are the digestive system and are responsible for various aspects such as the breakdown of nutrients in the body, and when abnormalities occur, problems such as nutrient deficiency in the body occur.",,,,
40,"The kidneys are responsible for our excretion, so there will be abnormal excretion.",,,,
41,The excretory organ discharges wastes out of the body.,,,,
42,The kidneys are responsible for filtering out urine.,,,,
43,The filtration will be eliminated and waste will not escape into the blood.,,,,
44,It will not allow waste to be removed. That's why there's something wrong with the body.,,,,
45,It releases wastes,,,,
46,It releases wastes.,,,,
47,The kidneys are responsible for filtering out wastes from our bodies.,,,,
48,Kidneys are kidneys and work related to urine.,,,,
49,"It plays a role in allowing waste and substances that the body does not need to be discharged from the body, and if this function is abnormal, it causes diseases because it cannot properly discharge waste.",,,,
50,"The kidneys filter waste from blood vessels and reabsorb essential ingredients in our bodies, such as amino acids and glucose. Diabetes and proteinuria can occur when kidney problems occur, and amino acids and glucose are released through urine.",,,,
51,It excrete wastes from the body.,,,,
52,"If my kidneys, which filter wastes from the blood, fail to function, the release of wastes is not smooth, causing diseases.",,,,
53,I couldn't pee,,,,
54,"This is because it plays a role in filtering out waste, so if there is an abnormality in the kidneys, waste accumulates in the body, causing an abnormality",,,,
55,"The kidneys filter out the elements in our bodies from the blood and release them out of our bodies However, if it does not work properly, it does not remove the elements in the body properly, which causes problems in the body.",,,,
56,I don't know,,,,
57,"Since the kidney is an organ that discharges waste accumulated in our body through digestion and circulation, various diseases can appear in the body if kidney abnormalities occur.",,,,
58,a buildup of waste in the body,,,,
59,"The kidneys can absorb water to control osmotic pressure, and they can filter out carbohydrates or proteins needed in our bodies. Therefore, abnormal kidneys can cause abnormalities in the body.",,,,
60,I don't know.,,,,
61,I don't know,,,,
62,I don't know,,,,
63,"Yes, yes",,,,
64,I don't know.,,,,
65,I don't know.,,,,
66,.....................................,,,,
67,I don't know,,,,
68,I don't know,,,,
69,I don't know,,,,
70,purify the blood,,,,
71,in a roundabout way,,,,
72,I don't know the human body :>,,,,
73,a dying disease,,,,
74,"Our organs prevent harmful cells from entering our bodies, and if something goes wrong with our organs, we cannot filter out all harmful cells, and some enter our bodies and reproduce, causing disease",,,,
75,66 88 - áá§ãTongue66 ã,,,,
76,Disease 1 diabetes 2 peam 3 drugs,,,,
77,The kidneys let the bad ingredients out of the pee and poop.,,,,
