,"21. After climbing a high mountain or running 100 meters, there are various changes in our bodies. What changes will happen to our bodies after a sudden exercise? And what does that change do? Let's explain in detail using knowledge of body changes after exercise. ",q21_breathing,q21_oxygen deficiency,q21_sweat,q21_energy,q21_muscle,q21_nervous, q21_constancy,q21_waste,q21_heart
0,Whee In,,,,,,,,,
1,It gets hard,,,,,,,,,
2,I'm out of breath and I breathe a lot to get oxygen to my lungs,,,,,,,,,
3,I can't breathe well,,,,,,,,,
4,The heart beats faster.,,,,,,,,,
5,"When we exercise, our bodies sweat.",,,,,,,,,
6,My heart is beating fast,,,,,,,,,
7,I'm tired,,,,,,,,,
8,My heart is beating fast,,,,,,,,,
9,Your heart beats faster and your breathing gets faster,,,,,,,,,
10,The reason for sweating is to maintain the body fluid concentration.,,,,,,,,,
11,My heart is beating fast,,,,,,,,,
12,"More exercise increases the amount of oxygen required. Therefore, you need to get oxygen faster, so your heart rate and breathing are faster",,,,,,,,,
13,"Breath becomes steep, related to energy generation and movement of consumer gases.",,,,,,,,,
14,"""I'm out of breath.",,,,,,,,,
15,"This is because oxygen is needed to make the energy needed for life faster.""",,,,,,,,,
16,I'm sweating,,,,,,,,,
17,I don't know.,,,,,,,,,
18,"I sweat, my heart beats fast, and it's hard.",,,,,,,,,
19,"sweating, breathing difficulty",,,,,,,,,
20,"I get short of breath after exercising, but my breathing becomes steeper",,,,,,,,,
21,I'm out of breath.,,,,,,,,,
22,My heart starts beating fast and I'm out of breath.,,,,,,,,,
23,I'm out of breath.,,,,,,,,,
24,Rapid exercise speeds up your heart rate and makes you short of breath. I'm tired.,,,,,,,,,
25,My heart beats fast and I'm out of breath,,,,,,,,,
26,The heart beats faster because running makes the oxygen supply more active.,,,,,,,,,
27,It allows blood to flow well from the heart to the blood vessels,,,,,,,,,
28,Changes in oxygen demand,,,,,,,,,
29,"Sympathetic nerves act, heart beating fast and breathing fast",,,,,,,,,
30,"Sympathetic nerves are excited, dilating pupils and reducing digestive juices",,,,,,,,,
31,My heart is beating fast. This is to maintain homeostasis in our bodies.,,,,,,,,,
32,"After exercising, the sympathetic nerves actively work out, dilating the pupil of the body and stimulating the heartbeat",,,,,,,,,
33,h,,,,,,,,,
34,Oxygen demand changes,,,,,,,,,
35,"After rapid exercise, the heart movement becomes tight due to the sympathetic nerves, which speeds up the heart rate.",,,,,,,,,
36,We need air from our bodies,,,,,,,,,
37,Breathing accelerated More active oxygen,,,,,,,,,
38,"Sweat and breathe faster. Exercise increases the amount of oxygen your body needs, so you breathe quickly to get more oxygen.",,,,,,,,,
39,The body uses a lot of oxygen to speed up breathing to maintain improvement.,,,,,,,,,
40,"After exercising rapidly, the heart rate of our hearts rises and we are out of breath.",,,,,,,,,
41,"Heart rate increase, respiratory rate increase, sympathetic nerve activation, etc",,,,,,,,,
42,"Because the heart needs oxygen, the blood that carries oxygen from our bodies circulates quickly.",,,,,,,,,
43,I don't know.,,,,,,,,,
44,"On high mountains, oxygen is aided, making breathing more difficult after running.",,,,,,,,,
45,My heart beats fast and I try to make my heart beat slowly,,,,,,,,,
46,one's heart beats fast,,,,,,,,,
47,My heart rate is going up. This is to replenish the oxygen consumed in our bodies faster.,,,,,,,,,
48,Oxygen breathing is required in the brain.,,,,,,,,,
49,"Because you need more oxygen, you breathe faster and your heart beats faster.",,,,,,,,,
50,Breathing becomes short due to lack of oxygen after rapid exercise.,,,,,,,,,
51,I'm out of breath. I have a fever.,,,,,,,,,
52,The use of oxygen requires more oxygen,,,,,,,,,
53,Breathing gets faster.,,,,,,,,,
54,"When you exercise, your body temperature increases and your heart rate goes up",,,,,,,,,
55,"The heart rate and breathing become faster, which is a phenomenon that occurs to satisfy the amount of oxygen used to run, which is more than when you normally walk",,,,,,,,,
56,I don't know,,,,,,,,,
57,"Breathless and heart rate increases. This is also to maintain the oxygen concentration reduced by exercise, so it plays a role in maintaining homeostasis.",,,,,,,,,
58,Sweat is generated,,,,,,,,,
59,"It consumes a lot of ATP during exercise, so you need to synthesize a lot of ATP. So, because you need a lot of oxygen and nutrients to synthesize ATP, you breathe more often and loudly to get a lot of oxygen.",,,,,,,,,
60,I don't know.,,,,,,,,,
61,I don't know,,,,,,,,,
62,I don't know,,,,,,,,,
63,I don't know,,,,,,,,,
64,I don't know.,,,,,,,,,
65,You'll be out of breath,,,,,,,,,
66,...............................,,,,,,,,,
67,Rnnnnnnnnnnnnnnnnl,,,,,,,,,
68,I'm sweating,,,,,,,,,
69,I'm sweating and exhausted,,,,,,,,,
70,difficulty in breathing,,,,,,,,,
71,ã¹ã´ã´áá©á«áá©á« on,,,,,,,,,
72,Sweat smell. I need to pee,,,,,,,,,
73,Sweating. I want to pee. (Because of cup ramen),,,,,,,,,
74,The body exhausts itself by consuming its functions.,,,,,,,,,
75,I'm sweating and out of breath,,,,,,,,,
76,jhvfhklhfkljdhrfihdfkjhrfkjjkdjfkkjfhfkuif,,,,,,,,,
77,"After climbing a high mountain or running 100 meters, you feel out of breath, tired, lost weight, and hungry. And I'm sweating.",,,,,,,,,
78,I'm sweating,,,,,,,,,
79,My heart beats fast and I sweat.,,,,,,,,,
80,"The brain is running out of oxygen and you're out of breath. When climbing a mountain, the altitude becomes cold and oxygen decreases.",,,,,,,,,
81,I don't know.,,,,,,,,,
82,I'm out of breath and my heart is beating fast.,,,,,,,,,
83,"I'm out of breath because when we exercise, we need a lot of oxygen.",,,,,,,,,
84,My heart beats fast as I breathe faster,,,,,,,,,
85,The food in the body falls out,,,,,,,,,
86,GFGMDFMKLFD,,,,,,,,,
87,"Exercise rapidly reduces abnormal carbon dioxide, so take a big breath.",,,,,,,,,
88,"Excessive exercise can cause adverse effects, but moderate exercise can reduce weight and help blood circulation",,,,,,,,,
89,"I sweat, my face is hot, and I have a feverAnd my stomach hurts",,,,,,,,,
90,You may need a lot of oxygen and a lot of moisture because your whole body is tired,,,,,,,,,
91,"Your heart and breathing speed up. These also help strengthen the muscles, such as accelerating blood circulation.",,,,,,,,,
92,Carbon dioxide is released.,,,,,,,,,
93,Breathless and sweaty. These changes help your body not to overdo it,,,,,,,,,
