,24. 'Korea' was created when the word 'Goryeo' was spread abroad by Arabian merchants. Let's explain the economy of the Goryeo Dynasty that can be seen through this fact. ,q24_trade,q24_commercial development,q24_political power
0,Red Velvet,,,
1,an Arabian merchant's compound,,,
2,I had an exchange with Arabia,,,
3,be of the Goryeo system,,,
4,"During the Goryeo Dynasty, Arabian merchants also came and exchanged",,,
5,Korean insiders,,,
6,Goryeo interacted with many countries,,,
7,Unknowingness,,,
8,I stayed with the Arabs,,,
9,He was active in interacting with Arabian merchants.,,,
10,It actively interacted with other countries and grew its economy.,,,
11,active exchange with other countries,,,
12,"During the Goryeo Dynasty, it began to exchange with various western regions such as Arabia.",,,
13,Trade activity was brisk.,,,
14,Trade with Arabia,,,
15,We had a lot of exchanges,,,
16,We traded in various ways,,,
17,I don't know.,,,
18,There were a lot of good things,,,
19,"In the past, our ancestors had many exchanges with foreigners",,,
20,Facilitated exchanges with other countries.,,,
21,He seems to have been close to foreign kings by exchanging and communicating a lot with them and making friends with foreign kings.,,,
22,a great deal of interaction,,,
23,"During the Goryeo Dynasty, there was a lot of exchange between various Western countries and neighboring countries.",,,
24,I did a lot of trade with foreign countries,,,
25,"Goryeo had a huge and active trade center called Byeokrando. Through this, it can be seen that Goryeo has active exchanges with other countries and recognized the culture of other countries.",,,
26,trade is brisk,,,
27,Trade was brisk through the main merchant's stronghold of Byeollando,,,
28,I traded with Arabian merchants,,,
29,"Unlike the Joseon Dynasty, it was open-minded. Korea is now used to refer to Korea because there were many transactions with foreign merchants.",,,
30,Foreign trade was brisk.,,,
31,"I know the economy, but I don't",,,
32,h,,,
33,active trade through the Byeokran Islands,,,
34,"During the Goryeo Dynasty, trade was active.",,,
35,Vigorous.,,,
36,There was active exchange with foreign countries.,,,
37,I had a lot of exchanges with foreign countries,,,
38,"During the Goryeo Dynasty, transactions with foreigners were actively carried out.",,,
39,"During the Goryeo Dynasty, he actively exchanged with merchants in the West through the Silk Road.",,,
40,The foreign economy was brisk. The Goryeo people played politics on a grand scale.,,,
41,We can expect active economic relations with other countries.,,,
42,Overseas trade activities were active.,,,
43,People from various countries and Goryeo merchants traded. I think I was able to reach Goryeo through the trade wind.,,,
44,It was an economic era with active trade with other countries.,,,
45,Trade was brisk.,,,
46,"It had a wide range of trade networks, such as not stopping in neighboring countries but trading with Arabian merchants.",,,
47,Goryeo traded a lot with other countries.,,,
48,It had an economic market large enough for merchants to come from abroad.,,,
49,"During the Goryeo Dynasty, they interacted with Arabian merchants.",,,
50,The greatness of Goryeo was known to Arabia.^^,,,
51,Trade was brisk,,,
52,The economy of the Goryeo Dynasty influenced many countries,,,
53,It can be seen that Goryeo was an advanced country that had trade and exchanges with many other countries.,,,
54,The economy of Goryeo was active in exchange with foreign countries,,,
55,We traded through the fireplace,,,
56,"I have engaged in trade activities not only with countries close to me, such as Japan and China, but also with countries more diverse and far away than before.",,,
57,Unknowingness,,,
58,It can be seen that they have exchanged with many countries such as Arabia.,,,
59,I don't know.,,,
60,Unknowingness,,,
61,I don't know,,,
62,issue,,,
63,I don't know.,,,
64,I traded,,,
65,................................,,,
66,(Playing the guitar),,,
67,It's amazing. It' LOL,,,
68,Unknowingness,,,
69,brisk trade,,,
70,"áá©á¯Roll, play, play, play, roll, roll, roll, roll, roll, roll, roll, roll",,,
71,a great deal of foreign exchange,,,
72,in a lively exchange,,,
73,actively interacted with various countries,,,
74,buying and selling,,,
75,jkfkjfjdjmjfjkjkjkkjfj;kjnjdjfskjfjkfjjjkfjkjk,,,
76,"""It's originally Goryeo, but Arabic merchants can't pronounce Goryeo well, so is it Korea?",,,
77,"I pronounced it like this and it became Korea.""",,,
78,The exchange was active,,,
79,They sell things like Goryeo intestines,,,
80,"Goryeo boasted tremendous diplomatic power to exchange with Arabia. Arabian merchants called Goryeo Korea, and the word Korea was coined.",,,
81,Arabian merchants sent specialties to Korea.,,,
82,Exports and imports seem to have been made well.,,,
83,"During the Goryeo Dynasty, the economy probably developed by exchanging with many countries and exchanging with many ethnic groups.",,,
84,It would have been very famous because it would have even come to an Arabian merchant,,,
85,I don't know.,,,
86,Goryeo interacted with many countries.,,,
87,I think I'm selling things because I'm still a little poor.,,,
88,I think I had a lot of exchanges with other countries.,,,
89,"""",,,
90,Because of my country name,,,
91,Goryeo was active in ancient times and had good diplomatic relations,,,
92,"As trade became active during the Ryeo period, the economy was very excellent during the Goryeo Dynasty.",,,
93,through exchanges between countries?,,,
94,I can confirm that the economy has developed,,,
95,I think I've had a lot of exchanges with other countries.,,,
96,interact with many countries,,,
97,It seems to have a lot of exchanges with foreign countries.,,,
98,The Goryeo Dynasty traded more than the Joseon Dynasty.Its reputation is known even to Arabia by active exchanges with other countries such as trade.,,,
99,"It can be seen that Goryeo was a large country at that time by exchanging with its neighboring countries, Yeojin, Song, and Why, and trading to a distant region called Arabia.",,,
100,I don't know.,,,
101,There was active exchange with foreign countries.,,,
102,"Goryeo is a country that has been opened compared to before, so since the Goryeo Dynasty, the name of Korea has been known abroad, and the name of Korea is called ""Korea"" in English.",,,
103,It can be seen that Arabian merchants had a lot of exchanges with the Goryeo people.,,,
104,It seems that exchanges with foreign countries occurred actively.,,,
105,It's up to me,,,
106,It's because Arabian merchants don't know anything,,,
107,"During the Goryeo Dynasty, it was difficult for foreign merchants to pronounce the word Goryeo, so it was called Korea Therefore, since our country exchanged with the outside world, our economy would not have been bad.",,,
108,"The development of commerce and water industry, and the creation of a festival",,,
109,Goryeo was also an intermediate trading port between China and Japan to West Asia,,,
110,"Trade was active, commerce and handicrafts were developed, and money was made.",,,
111,You can see that trade with other countries was active!,,,
112,"The word ""Korea"" is difficult in foreign countries, so it is considered to be easy to consider.",,,
113,I don't think it would have been me,,,
114,"Trade is active, commerce and handicraft development, and currency is made.",,,
115,"It was hard to pronounce Goryeo, so I pronounced it Korea",,,
116,There was active exchange with other countries.,,,
117,M and D,,,
118,It can be seen that people would have traded a lot during the Goryeo Dynasty in Korea.,,,
119,There was active interaction with the neighboring country.,,,
120,Because Korea trades with other countries,,,
121,Our country is an insider.,,,
122,Our country used to do a lot of trade in the past,,,
123,I don't know,,,
124,I think that people far away wanted to go to our country's goods,,,
125,I think I have a lot of money because I bought things while going to other countries.,,,
126,Interacting a lot with Arabs (ããã),,,
127,It can be seen that the economy had a lot of exchanges with other countries during the Goryeo Dynasty.,,,
128,"It's nice that foreigners can get to know our country with any stories, but what can I do? (Laughing) (Laughing)",,,
129,"For foreigners, Korea sounds like Korea",,,
130,"Korea sounds like that when people from other countries call it, and the economy will be active because it becomes popular.",,,
131,I traded with a foreign country.,,,
132,You can see that he traded a lot with Arabian merchants,,,
133,Kyoryo was so popular that we exchanged a lot,,,
134,I don't understand.,,,
135,The Japanese said Koryo and became Koryo,,,
136,People call Korea Korea Korea,,,
137,"I think I was doing really well in Goryeo I think I was better off than I am now, considering that all but Silla were unified",,,
