,"2) In the experiment above, if you change the direction of the current, how does the compass needle move? ", q26_against
0,It's turning the other way around,
1,The direction of the needle changes.,
2,It's the other way around,
3,I think it's going to go the other way,
4,It turns upside down,
5,N and S are likely to change,
6,I don't know. All of them.,
7,"On the contrary,",
8,It's turning.,
9,I think I'll keep going back and forth.,
10,It's changing,
11,I think it's going to be ruined,
12,The needle in the compass will also move.,
13,"If you change the direction of the current, the current will go in reverse, so the needle on the compass will change in reverse.",
14,I think it's going to move the other way around,
15,I don't know,
16,It's moving the other way around,
17,I don't know because I don't understand.,
18,It will move to where the battlefield flows,
19,I've folded the seedlings.,
20,.,
21,I think I'll move back to the other side.,
22,somewhere,
23,somewhere,
24,It's moving the other way around.,
25,I think it's going to go the other way around,
26,In the opposite direction,
27,The other way around,
28,You can do it in the opposite direction,
29,It's hard to budge.,
30,I don't know.,
31,I'll go the other way,
32,It will move in a different direction.,
33,I don't know.,
34,I think it's going to turn north or south,
35,the magnetic force of an electron,
36,I don't know,
37,The needle will move in the direction of the current,
38,ã and áá©á¨,
39,Do it yourself. It's worth seeing,
40,I think the needle is going to move the other way,
41,It looks like it's going to change in the opposite direction,
42,It goes back in a different direction.,
43,"If the compass was on the left, it would change to the right.",
44,"For example, if the compass was on the left, it would change to the right.",
45,The compass needle turns the other way around.,
46,It changes the other way around.,
47,I went in the direction of the current,
48,The needle will go in that direction.,
49,It's the opposite,
50,Changed,
51,It will spin faster.,
52,change one's course,
53,It's getting faster,
54,It will change,
55,I doubt it.,
56,It's going the other way around,
57,I don't know.,
58,We're going east,
59,I don't know,
60,I don't know.,
61,"The compass is likely to change direction, too",
62,The direction of movement is likely to move more and more.,
63,It's turning the other way around,
64,I'm sorry,
65,I don't know,
66,It will change differently,
67,I don't know.,
68,Don't know,
69,I'm changing it the other way around,
70,N and S are switched.,
71,It changes the other way around.,
72,It changes symmetrically.,
73,Move in the opposite direction,
74,It's moving the other way around.,
75,It changes the other way around.,
76,It's moving the other way around.,
77,It changes the other way around.,
78,It rotates 180 degrees.,
79,It will move in the opposite direction to the existing direction.,
80,The compass needle moves in the opposite direction to the original direction.,
81,The compass needle will move to the other side.,
82,Changing the direction of the current changes the needle on the compass in the opposite direction.,
83,It's moving in the opposite direction,
84,Changing the direction of the current reverses the direction of the needle on the compass.,
85,It will be opposite to the direction of rotation before changing direction.,
86,h,
87,It will rotate in the opposite direction.,
88,.,
89,"Changing the direction of the current also changes the direction of the magnetic field created by the wire, and the movement of the compass needle also changes in the opposite way.",
90,"Since the direction of the current is changed by receiving a magnetic force according to the flow of the existing current, the direction of the magnetic force is changed accordingly, and the direction indicated by the compass is reversed unlike the original.",
91,The direction is reversed.,
92,.,
93,"When the direction in which the current flows is called the right thumb and the other four fingers of the right hand are bent, these four fingers indicate the movement of the magnetic field that occurs. When the direction of the current changes, the direction of the thumb changes, and the movement of the four fingers also moves in the opposite direction, so the compass needle will move in the opposite direction.",
94,"The compass needle changes direction from north to south. This is because the direction in which the current flows is reversed, so the direction of the magnetic field generated in the compass changes.",
95,It goes back to 180 degrees.,
96,Changing the direction of the current causes the compass needle to move in reverse.,
97,"When the direction of the current changes, the direction of the magnetic field changes, so the needle's movement changes in reverse",
98,"When the direction of the current changes, the direction of the magnetic field also changes in reverse, so the compass moves backwards.Changing the direction of the current will cause the compass needle to rotate 180 degrees from the conventional direction.",
99,"Changing the direction of the current will also reverse the direction of the magnetic field formed. Thus, the opposite direction of the magnetic field means that the compass's reaction is also the opposite, so the compass needle will move in the opposite direction instead of turning back.",
100,the opposite direction,
101,The direction changes.,
102,Move in the opposite direction.,
103,"On the contrary,",
104,"On the contrary,",
105,"On the contrary,",
106,It's changing,
107,move accordingly,
108,It's moving the other way around.,
109,I don't understand.,
110,The movement of the compass needle changes along the direction of the current,
111,I don't know.,
112,It will change in a different direction.,
113,It changes in the direction of the current,
114,It's moving the other way around.,
115,It's going the other way around,
116,It changes the other way around.,
117,I think the compass will change the direction of the car,
118,It changes the other way around.,
119,The movement will change.,
120,I don't know.,
121,I don't understand.,
122,The needle moves in the direction of the current,
123,To change in the opposite direction,
124,It changes in the opposite direction of the changing current.,
125,It's moving the other way around.,
126,It's moving the other way around,
127,It moves in the opposite direction to before changing the direction of the current,
128,.,
129,It's changing,
130,It's changing,
131,It's moving backwards,
132,Hold it the other way around,
133,It's moving in the opposite direction,
134,It's turning the other way around,
135,I don't know.,
136,It's going the other way,
137,The needle goes where the current flows,
138,"On the contrary,",
139,Opposition,
140,It changes in the opposite direction,
141,"Compass changed direction, too",
142,"The compass changes direction, too",
143,It's going the other way around.,
144,I'm just gonna move around in a giddy way,
145,I don't know,
146,I don't know,
147,"On the contrary,",
148,The compass needle moves the other way around,
149,I have no idea.,
150,The compass turns in the opposite direction,
151,It will change the other way around.,
152,The compass needle moves in reverse,
153,It will turn the other way around.,
154,It changes the other way around.,
155,Let's go back,
156,"On the contrary,",
157,It's going the other way around.,
158,It changes the other way around,
159,The other way around,
160,It changes the other way around.,
161,It changes the other way around,
162,The compass needle changes direction.,
163,Just don't experiment;;,
164,It changes the other way around,
