,1) Let's talk about the exploration process that the scientist who discovered the unexplained phenomenon decides on the inquiry problem and then goes on to the next step,q27_hypothesis,q27_Other exploration
0,1. Make an exploration plan 2. Explore. 3. Organize the contents of the exploration.,,
1,Planning for Exploration,,
2,keep an inquiry diary,,
3,Organize the phenomenon of inquiry.,,
4,I'll see it for myself,,
5,Planning for Exploration,,
6,a subject of inquiry,,
7,I'm experiment,,
8,an exploratory plan,,
9,I don't know.,,
10,Let's do an experiment.,,
11,Variable control,,
12,make an estimate of the problem,,
13,"After making an inquiry plan, conduct an experiment and presentation",,
14,Knowledge,,
15,Think about why this phenomenon occurred and experiment with it.,,
16,Think about why this phenomenon happened and experiment,,
17,"""I get knowledge from similar examples or other scientists about unexplained phenomena",,
18,"""",,
19,to predict or anticipate the matter,,
20,I don't know,,
21,I'm experiment,,
22,Let's do an experiment.,,
23,"You can set up a topic of inquiry, decide what you need, and write an experiment that you have explored in one go",,
24,"Financial statements, the need for exploration, materials, and exploration",,
25,I'm exploring,,
26,I don't know,,
27,Deciding what to prepare for the expedition,,
28,Museum exhibition,,
29,Collect data observed and measured during the experiment.,,
30,Collecting materials for inquiry materials,,
31,ã,,
32,I think I will think about the knowledge I know about the inquiry problem and look for or observe the data I don't know.,,
33,Experiment,,
34,"Investigate, practice, organize.",,
35,"Experiments, government photographs, and collects measured data.",,
36,Deciding what process to explore,,
37,planning one's,,
38,"First, write the material or explanation of inquiry.",,
39,I don't know.,,
40,Collect data.,,
41,I'm going to do an experiment myself,,
42,Study until you know it,,
43,"When you're done exploring, organize and let many people know.",,
44,I think I'll be ready to explore.,,
45,Hypothesis Setting -> Experimental Design -> Experimental -> Conclusion Drawing,,
46,.,,
47,a hypothetical,,
48,"Research, fighting!",,
49,I don't know,,
50,hypothesis setting,,
51,I'm observing,,
52,I'm going to explore again,,
53,an exploratory investigation,,
54,"Choose a topic, explore a topic,",,
55,establish a hypothesis,,
56,Establish a hypothesis.,,
57,I don't like it.,,
58,All right.,,
59,Establish a hypothesis.,,
60,to investigate the problem,,
61,Observation,,
62,I have no idea.,,
63,establish a hypothesis,,
64,make a hypothesis to predict the outcome,,
65,I don't know,,
66,Hypothesis setting,,
67,Establish a hypothesis and conduct an experiment to verify the hypothesis.,,
68,Establish a hypothesis that is a tentative answer.,,
69,"Establish hypotheses, design experiments, conduct experiments, derive results, generalize",,
70,Planning for Exploration,,
71,establish a hypothesis,,
72,to re-estimate and explore phenomena,,
73,hypothesis setting,,
74,I'll look into the data on the problem,,
75,hypothesis setting,,
76,"Observation, data collection",,
77,Observation of the phenomenon of inquiry,,
78,Establish a hypothesis.,,
79,Establish a hypothesis.,,
80,I don't know.,,
81,look for relevant data,,
82,hypothesis setting,,
83,Establish a hypothesis for the question of inquiry. Then do the experiment.,,
84,Experimental Design - Experimental Results - Results Derived - Generalization,,
85,"Hypothesis. It is to anticipate the outcome of this quest. However, if the hypothesis and the experimental results are different, the hypothesis must be re-established.",,
86,Problem Awareness- Hypothesis Setting- Variable Control- Data Transformation- Results- Generalization,,
87,observe the phenomenon,,
88,"Do research or experiment, or use various methods.",,
89,Yes,,
90,B and B?,,
91,Make a hypothesis.,,
92,Investigate the question of inquiry,,
93,make a hypothesis,,
94,"Establishing a hypothesis, defining a problem, exploring, comparing it to a hypothesis",,
95,Hypothesis setting,,
96,"After deciding on the question of inquiry (the subject), we set up a hypothesis, and conduct an experiment according to that hypothesis.",,
97,"Here, the road is divided into two branches, and first, if the hypothesis is correct, the experiment is completed and the report is written.(Organizing Theory)",,
98,"Second, if the hypothesis is not correct, it is hypothesized again.Experiment with the hypothesis and write a report when it is correct.(Summary of Theory)""",,
99,Hypothesis setting,,
100,L.,,
101,I don't know.,,
102,Setting a topic for inquiry Organizing the results of an investigation,,
103,Organize what you know and look for what you don't know,,
104,a subject of inquiry,,
105,Establishing a hypothesis,,
106,Decide on the subject.,,
107,Establish a hypothesis and set up an experiment accordingly,,
108,Hypothesis is established based on the results from the phenomenon,,
109,make a hypothesis,,
110,I don't know.,,
111,Don't know,,
112,What...?,,
113,Identify and compare scientific situations similar to the phenomenon and explore phenomena that cannot be explained.,,
114,presentation of data research theory,,
115,A hypothesis must be established.,,
116,find a way to solve the question of inquiry,,
117,hs and hs,,
118,"Yes, 3 lines",,
119,make an inquiry plan,,
120,I don't know.,,
121,I don't know.,,
122,It's amazing,,
123,Start of inquiry,,
124,I don't know.,,
125,I'm just going to announce it,,
126,I'm so cute.,,
127,Well,,
128,Observation-Creating Results-Submission (or presentation),,
129,.,,
130,I'm inventing it,,
131,.,,
132,careful consideration of the process of explanation,,
133,I don't know.,,
134,Planning,,
135,All right.,,
136,do research,,
137,"Planning an inquiry, conducting an inquiry, organizing an experiment",,
138,"After exploring the question of inquiry and finding the correct answer, make a presentation, put it in a textbook, and give more test questions to students.",,
139,I'm exploring,,
140,Collect data from observations and measurements during the experiment,,
141,Make a hypothesis with thoughts or inquiry results.,,
142,ã´ ã´ ã´ ã¹ ã¹ ã,,
143,"""Making a Hypothesis""",,
144,Planning,,
145,Observing,,
146,"""Organizing""",,
147,I'm exploring,,
148,"Hypothesis-making, planning, observing, organizing",,
149,..............,,
150,"theory, knowledge",,
151,Let's find out and experiment with the phenomenon,,
152,Make a hypothesis.,,
153,make a hypothesis,,
154,Creating a Hypothesis,,
155,Make a hypothesis,,
156,Making a hypothesis.,,
157,hypothesizing,,
158,"Establishing a hypothesis, giving examples, and giving accurate conclusions",,
159,I'm measuring it,,
160,Scientists set a problem and explore it or make a hypothesis,,
161,"After creating a scientific research paper, it organizes theories, knowledge, and thoughts.",,
162,Use knowledge of the process of inquiry.,,
163,solve it,,
164,?,,
165,make an inquiry plan,,
