,"2) Let's gather the data that we observed and measured during the experiment, and then explain the process of exploration in the next order",q28_Data Interpretation,q28_Data Interpretation and Exploration Process
0,I'm announcing.,,
1,Organizing materials,,
2,I'll announce it,,
3,Report the phenomenon of inquiry and organize it.,,
4,Announcement,,
5,Organize it into data and convert it into easy to see and understand (data conversion),,
6,Exploratory organization,,
7,Try it again.,,
8,an inquiry journal,,
9,I don't know.,,
10,Think about the mistakes and re-experiment.,,
11,generalization,,
12,Study the results.,,
13,Announcement.,,
14,Knowledge,,
15,Think about the mistakes and re-experiment,,
16,Think about the mistakes and re-experiment,,
17,be unable to explain,,
18,Results?,,
19,I don't know,,
20,Organize data,,
21,?,,
22,I'll put the data in the drawing paper,,
23,"Organizing, presenting",,
24,Let's do an experiment,,
25,I don't know,,
26,To organize your research into a table or graph,,
27,Well,,
28,Let the world know.,,
29,Explanation,,
30,h,,
31,I think I will study and analyze whether the data I measured are correct.,,
32,Organize the results of the inquiry.,,
33,Organizing,,
34,Collect the data and make a conclusion about the data.,,
35,I'm going to,,
36,inquiry theorem,,
37,I look for content to supplement my inquiry.,,
38,I don't know.,,
39,make a research presentation,,
40,I'm going to do an experiment,,
41,Preparation for presentation,,
42,Scientists organize their research and inform many people and others.,,
43,I think we'll let a lot of people know what we don't know.,,
44,"Draw conclusions. If not, set the hypothesis again",,
45,.,,
46,I don't know,,
47,Wishing for success in the experiment,,
48,I don't know,,
49,Organize the contents,,
50,I send the data to a famous science magazine,,
51,I think and organize it,,
52,a survey of research materials,,
53,I don't know,,
54,Derive the results of the experiment and produce results,,
55,Organize and interpret results,,
56,No.,,
57,All right.,,
58,Analyze the data and verify that the hypothesis is correct.,,
59,organize the data,,
60,Thesis Junbi,,
61,I don't remember,,
62,Generalize.,,
63,produce results,,
64,I don't know,,
65,Making Inquiry Conclusions,,
66,Statistics are produced based on the measured data.,,
67,"Based on the collected data, the true truth of the hypothesis is revealed.",,
68,"Generalize if it matches the hypothesis, and return to the hypothesis setting if it does not",,
69,Classifying,,
70,Organize the results and interpret the results.,,
71,draw a conclusion,,
72,interpretation of data,,
73,It's an experimental action,,
74,Data interpretation,,
75,Experiment,,
76,Organize the data and check the accuracy of the data,,
77,"After judging the consistency with the hypothesis, the conclusion is generalized if it is consistent, and the hypothesis is modified otherwise.",,
78,Draw a conclusion.,,
79,I don't know.,,
80,organize the collected data,,
81,Derive the results of the data,,
82,"If a conclusion is drawn based on the experimental results, but it is different from your own, you must change the experimental method or reset the hypothesis. Finally, a generalized conclusion is drawn.",,
83,Inductive Exploration Method,,
84,Interpret data and draw conclusions.Interpret the data and draw conclusions based on the interpretation-ã¡,,
85,variable control,,
86,Analyze the data.,,
87,Analyze and compare.,,
88,What?,,
89,I'm exploring,,
90,It's a conclusion drawing.,,
91,draw a conclusion,,
92,"After collecting the measured data, we compare it with the hypothesis and draw conclusions.",,
93,"""",,
94,Exploring,,
95,I don't know,,
96,We will see if all of them are logically correct.,,
97,"Then write a report.(Summary of Theory)""",,
98,I have to make a presentation.L.,,
99,I don't know.,,
100,Organize data,,
101,Organize the measured data,,
102,inquiry theorem,,
103,I don't know,,
104,Prove it.,,
105,draw a conclusion,,
106,I'm setting up a hypothesis,,
107,draw a conclusion by comparing it with the hypothesis,,
108,a double-crossing,,
109,Don't know,,
110,What?,,
111,Collect and synthesize the observed and measured data.,,
112,Experiment,,
113,I need to organize the data.,,
114,to gather and organize data,,
115,Haha,,
116,I'll blow it out,,
