,1) Why did the hot iron burn even though it didn't light it?,q29_Firepoint,q29_Temperature
0,Because of the air,,
1,The heat on the hot iron was transferred to the cloth and burned.,,
2,The iron is hot,,
3,"If the iron plate gets hot enough to cause a fire, it'll cause a fire",,
4,Because of the electricity,,
5,"When the heat of the iron became hotter and exceeded the temperature at which it caught fire, the iron plate, which is a cloth, became a de-material and caught fire.",,
6,The hot iron was burned with a spark for pressure,,
7,The object will not decompose and the body will pile up.,,
8,It's because the iron is hot and the fabric is on fire,,
9,"If you stick the cloth on for sand while the iron is hot, it can cause a fire.",,
10,"Because the iron keeps heating up, it sticks to the cloth and burns the iron plate.",,
11,"""",,
12,Because it's hot!,,
13,The iron plate was hot and the cloth caught fire.,,
14,Because the power of the iron started the fire,,
15,It's because of the steam,,
16,The cloth caught fire because it was on the ironing board.,,
17,The hot heat from the iron caught the cloth on fire and the iron board caught fire,,
18,I'm not good at catching fire,,
19,"The iron plate was hot, so the cloth stuck to the brush",,
20,Because the iron was heated by electricity,,
21,The iron is hot,,
22,The fire was transmitted from the cloth to the ironing board,,
23,by the absorption of heat,,
24,in one's arms,,
25,It's too hot to eat inside,,
26,The iron plate is heated,,
27,The heat gradually spread to the cloth and caught fire.,,
28,Electricity makes the iron hot and burns because it's hot,,
29,"If you keep the iron on, it gets hot",,
30,It gets hot using electricity,,
31,It would have been burned by the heat.,,
32,"Since Darami is a tool that spreads wrinkles on clothes with hot heat, it seems that the iron plate is on fire as hot heat continues to be applied to one place.",,
33,It's hot,,
34,The hot iron caught fire because it was much higher than the temperature of the cloth iron plate.,,
35,I think it burned because of the temperature of the iron.,,
36,It's because the iron is heated.,,
37,Because irons make hot heat with electricity,,
38,"""Because the fire gets hotter over time.",,
39,"""",,
40,Since the ironing board is made of fabric,,
41,This is because the iron was hot and the iron plate was heated.,,
42,Because heat heats up,,
43,The hot heat of the iron seems to have ignited the fabric by placing it on the part where the fabric is located instead of standing the bottom of the iron while the iron is hot.,,
44,This is because the iron plate where the hot iron was placed was heated and the fire broke out.,,
45,"The fabric originally catches fire easily, and in addition, since the iron was left unattended, the iron is used through electricity, so there are many cases of fire.",,
46,"The temperature above the ignition point, de-materials, and oxygen were all satisfied",,
47,.,,
48,Heat,,
49,The iron is hot,,
50,It's hot,,
51,The temperature has risen,,
52,The hot iron gives a continuous heat to the plate,,
53,Because it's the season,,
54,due to heat,,
55,"When the fire went out, it was still burned by the heat remaining.",,
56,The ironing board caught fire because the cloth was placed as a medium for burning water,,
57,"High-temperature heat was rapidly applied to one part, causing it to burn due to instantaneous heat.",,
58,at a temperature above the ignition point,,
59,It's hot,,
60,This is because the temperature reached the ignition point of ignition.,,
61,The temperature got really high,,
62,"""",,
63,The iron is hot,,
64,Because the temperature has exceeded the combustion point,,
65,This is because the temperature has gradually increased to reach the temperature at which a fire occurs.,,
66,This is because the burning point of the cloth and the burning point of the iron plate are different.,,
67,The temperature was so high that it burned.,,
68,This is because the temperature reached the ignition point of ignition.,,
69,"In order to catch fire, the temperature corresponding to more than the firing point of the object to catch fire must be adjusted, because the iron described above was the temperature corresponding to more than the firing point of the cloth.",,
70,This is because the iron plate is so hot that it burns.,,
71,The temperature of the iron plate increased and it became an environment where it was easy to react with oxygen and burn,,
72,The temperature is high enough to reach the ignition point,,
73,"Because the iron has hot heat and the iron plate is cloth, heat is applied to the fabric and it catches fire.",,
74,Because cloth is a substance that burns easily,,
75,This is because the temperature of the iron has reached the ignition point of the cloth.,,
76,Yeah.,,
77,Because the iron is hot,,
78,Because the temperature is high,,
79,"The purpose of the iron is to spread the cloth by heating it with electricity, so when heat is applied, it burns and catches fire",,
80,"Because the heat of the iron heats the fabric,",,
81,This is because the temperature of the hot iron was higher than the ignition point of the cloth.,,
82,"It's a hot iron. The higher the heat, the better the fire burns",,
83,to be hot,,
84,"The hot iron is constantly placed on the iron plate, so the fabric easily heats up and fires.",,
