,"3. The butane gas fuel used to cook food outdoors is liquid in the butane gas cylinder, but when it comes out, it becomes a gas and catches fire. Why do we keep gas-based substances in a liquid state? Let's explain in detail using our knowledge of the state change of matter.",q3_particle arrangement,q3_storage,q3_reactivity,q3_confirmation
0,I don't know.,,,,
1,It's very responsive,,,,
2,Low boiling point and remains gaseous at room temperature,,,,
3,To make the volume smaller,,,,
4,"This is because if stored in a gaseous state, all of them will be blown away.",,,,
5,This is because the boiling point of butane gas is low at room temperature,,,,
6,I don't understand.,,,,
7,Low boiling point and cannot be stored as liquid at room temperature,,,,
8,This is because the heat of vaporization generated when a liquid becomes a gas absorbs ambient heat.,,,,
9,for storage,,,,
10,Beutane in a gaseous state is stored in a liquid state with low reactivity because it has high reactivity.,,,,
11,"At the same amount, the volume of the gas is larger than the volume of the liquid, so it must be stored as a liquid to store it in less space.",,,,
12,"Since it is stored in a high pressure state, a combustible gas such as butane gas can be used relatively safely.",,,,
13,This is because gases react with other substances.,,,,
14,"As the pressure is lowered, the gas maintained in a liquid state by the high pressure expands again and becomes gas.",,,,
15,"It exists as a liquid because of the pressure of pressing butane gas, but if it exists as a liquid, the distance between molecules and molecules is very short, so it does not catch fire easily in a liquid state.",,,,
16,"Gas is bulky and difficult to carry around, so it is carried in a small liquid state",,,,
17,It exploded,,,,
18,This is because it needs to be liquid to prevent deterioration as much as possible.,,,,
19,The liquid is less reactive.,,,,
20,"To prevent it from expanding and bursting,",,,,
21,"Since the gas is larger in volume than the liquid, when stored in a gaseous state, it is stored in a smaller amount than when stored in a liquid state.",,,,
22,I doubt it.,,,,
23,It is easy to store and can contain more liquid. (The volume of the liquid is smaller than the volume of the gas.) You can see how much is left by shaking the butane gas.,,,,
24,"Since the gas is denser than the liquid, storing the gas in a liquid state can store a relatively larger amount.",,,,
25,This is because the volume occupied when a substance exists as a liquid is smaller than when it exists as a gas.,,,,
26,"When you're in a liquid state, it's denser than when you're in a gaseous state",,,,
27,"The reason for storing in a liquid state is to contain a larger amount.  A liquid has less space between molecules than a gas. It is also stored as a liquid, not a gas, because it is easy to change its state into a gas.",,,,
28,I can put a lot more in here,,,,
29,"If gaseous fuel is stored in a liquid state, a large amount of capacity can be stored in a small volume, and gaseous fuel can guarantee stability because combustion occurs mainly in a gaseous state.",,,,
30,I don't know,,,,
31,Condensation?,,,,
32,take a person's hand,,,,
33,I don't know,,,,
34,I don't know,,,,
35,I don't know,,,,
36,I don't know,,,,
37,I don't know,,,,
38,Because it evaporates,,,,
39,I don't know,,,,
40,I don't know,,,,
41,I don't know.,,,,
42,I don't know.,,,,
43,I don't know.,,,,
44,I don't know,,,,
45,I don't know,,,,
46,I don't know.,,,,
47,I don't know,,,,
48,I don't know,,,,
49,It's a liquid to a sieve,,,,
50,Moda-yong,,,,
51,The temperature is different,,,,
52,The boiling point is high,,,,
53,"If you store it in a gaseous state, it explodes",,,,
54,"If you store it in a gaseous state, it explodes",,,,
55,Moda-yong,,,,
56,Pressure,,,,
57,It's for the possibility of evaporation,,,,
58,"If you keep it in a liquid state, you can store more",,,,
59,"When a liquid changes state into a gas, it uses energy, so it becomes a liquid",,,,
60,It prevents substances from flying away,,,,
61,Because it's easy to burst when it's made of gas,,,,
62,"Since gases are greatly affected by temperature and pressure, they can burst or swell if they are wrong, so they are stored in a liquid state where molecular motion is relatively inactive.",,,,
63,butane gas,,,,
64,"If you do it in a gaseous state instead of a liquid state, it explodes as soon as the outside is hot or the butane gas catches fire",,,,
65,to increase storage capacity,,,,
66,"It's because if you're in a can as a gas, all the gas can leak out",,,,
67,I don't know,,,,
68,The air is cold,,,,
69,It's to keep it easier.,,,,
70,So that it doesn't all fly away,,,,
71,I don't know.,,,,
72,There's a risk of exploding by pulling the particles together,,,,
73,"When the gas is on fire, it's on fire",,,,
74,Butane gas is used to light a fire.,,,,
75,Gas is harder to store than liquid,,,,
76,Butane gas is liquid and does not burn when it hits flammable materials.,,,,
77,Because you can get more pure substances,,,,
78,The air is hot,,,,
79,This is to make it easier to store by making the volume smaller.,,,,
80,I'm going to reduce the volume and add more,,,,
81,I don't know,,,,
82,It's going to be a high topic,,,,
83,"Gas is quickly bulky because particles are separated, but liquids or solids do not become bulky easily because particles are attached.",,,,
84,I don't understand.,,,,
85,The gas can escape,,,,
86,"The particles of gas are separated from each other, but the particles of Exche are attached to each other, so they can store more.",,,,
87,It's because it meets oxygen (?,,,,
88,Because we can't see the gas,,,,
