,2) Why did the fire go out after spraying water on the lit iron?,q30_Temperature drop ,q30_Oxygen
0,The iron plate that was heating up was cooled by water,,
1,"If you spray water on the fire, it goes out, right?",,
2,The water is cold,,
3,Because the fire goes out when it meets water,,
4,"""Since I sprayed water,",,
5,"""",,
6,The fire was extinguished because the water lowered the temperature below the ignition point.,,
7,The fire went out in the water,,
8,The iron is hot and the water is cold,,
9,I spray water to turn off the heat,,
10,"The fire was weak, so I sprayed water and the fire went out.",,
11,Spraying water on a heated iron will cause cold water to extinguish the fire.,,
12,There's more water than fire,,
13,The fire evaporates like water,,
14,This is because fire and water are commonplace.,,
15,I'll sprinkle water,,
16,Water is stronger than fire,,
17,Because the fire is hot and the water is cold cold water takes out the fire,,
18,It's because cold water causes hot fire,,
19,"Like water, fire evaporates",,
20,The water evaporated,,
21,You can block the fire with water,,
22,Because water can put out fire.,,
23,The fire is weak against water,,
24,Because the fire cools when it reaches the water,,
25,The meat didn't work,,
26,Because the water won,,
27,It's because the fire is deflated by water.,,
28,"The water turns off the fire and melts the fire, but the water is cold and the fire is the same So I turn off the light. I touch the water, but the fire is low",,
29,The water is stronger than the fire,,
30,"Since it's electricity, there's no oil if it burns, so you can turn it off with",,
31,It may be because the water is much more than the fire.,,
32,This is because water was poured into the iron plate on fire. I don't know the exact reason.,,
33,The fire wasn't that strong,,
34,This is because the hot iron touches the cold water and the temperature drops.,,
35,"The temperature of the iron plate was high, but when I sprayed water, the temperature of the iron plate went down and the fire seemed to go out",,
36,Fire can neutralize with water.,,
37,The heat and cold met as the cold water ran over the hot iron and the fire went out,,
38,"Water is weaker than fire, and when the fire is heated over time, it gets hot, and when water is sprayed, the fire is extinguished.",,
39,Fire is weak against water,,
40,The water is cold,,
41,Because water is good for fire,,
42,The lights on the iron plate went out well,,
43,"This is because if you spray cold water on the heated iron plate, the heated iron plate will cool down.",,
44,"The fire seems to have been extinguished because the fabric was originally easily wet, so the fire was extinguished quickly.",,
45,I made the temperature below the ignition point,,
46,.,,
47,It's water,,
48,The water is cold,,
49,"Since the water turns off the heat,",,
50,The hot and the cold meet,,
51,Water turns off the fire,,
52,Because the water turns off the light,,
53,Water gets rid of oxygen in a momentarily?,,
54,It's off because the fire is turned off with water,,
55,The polarity of the fire was turned off because of the water,,
56,Because it's not a big fire.,,
57,at a temperature below the ignition point,,
58,My temperature has decreased,,
59,This is because water blocks oxygen and blocks the fire from getting bigger.,,
60,Fire doesn't like water,,
