,1) Please present as soon as you know what the people's rights are related to the example of Hong Gil-dong. ,q31_discrimination,q31_job,q31_judgment,q31_human rights
0,I don't know.,,,,
1,....,,,,
2,have human rights,,,,
3,People can work at companies even if they have problems with their bodies.,,,,
4,"No matter how disabled we are, we should not ignore them and actively engage them.",,,,
5,"""",,,,
6,"The right to learn, to eat well, to grow up healthy",,,,
7,It is the right of the people to work for a company even if they have a disability,,,,
8,People with disabilities are human beings.,,,,
9,All people are equal,,,,
10,"Even if you're not feeling well, you don't discriminate, and you let them in.",,,,
11,This is because people with disabilities are human and human rights.,,,,
12,"No matter how uncomfortable you are, you can do what you want to do.",,,,
13,It does not discriminate against the disabled.,,,,
14,Every citizen has human rights.,,,,
15,Disability can also work for a company,,,,
16,People with disabilities have human rights,,,,
17,People with disabilities also have human rights,,,,
18,"""People think we're talking if we think it's wrong",,,,
19,"If I think I'm at a disadvantage and I'm at a disadvantage, I'm going to take a lawsuit",,,,
20,"""I'll settle it by agreement with the parties",,,,
21,Because everyone has human rights,,,,
22,I don't know,,,,
23,Everyone has rights and can sue if it breaks,,,,
24,I don't know,,,,
25,To our people,,,,
26,Ulri National Handicraft,,,,
27,human right,,,,
28,"I'm in the 6th grade, and if I know this, I'm a genius!",,,,
29,The people can work even if they are injured.,,,,
30,I don't know,,,,
31,People with disabilities can also work for companies.,,,,
32,People with disabilities can enter Company,,,,
33,I don't know.,,,,
34,"You can do what you want without being pressured, and you can file a lawsuit against it.",,,,
35,There is a place where people with disabilities can easily find a job.,,,,
36,You can work with or without a disability.,,,,
37,The opinion of the minority is also accepted because it is the right of the people.,,,,
38,The people of South Korea have the right to live with human rights.,,,,
39,Voting,,,,
40,"If you have a car accident, you can usually go to work.",,,,
41,"Hong Gil-dong is also a person, so he can work even if he has a disability.",,,,
42,I don't know anything.,,,,
43,a presidential election,,,,
44,"Even if you have a disability, you can work at a company if you can.",,,,
45,I don't know anything.,,,,
46,"You can go anywhere whether the company is good or not, but it seems that discrimination is severe when people with disabilities enter.",,,,
47,human right,,,,
48,.,,,,
49,I have no idea.,,,,
50,It's very pleasant,,,,
51,I don't know,,,,
52,ã¹ãã¹ ã¹ã¹ããã,,,,
53,All men are equal,,,,
54,I don't know.,,,,
55,the right of safety,,,,
56,six basic rights,,,,
57,the right to choose a career,,,,
58,the right of liberty,,,,
59,"""Right to freedom, right to work, etc",,,,
60,"""",,,,
61,human right,,,,
62,the right to society,,,,
63,the right to work,,,,
64,.,,,,
65,the right not to be discriminated against,,,,
66,the right to work,,,,
67,morugetseoyo,,,,
68,the right to freedom and equality,,,,
69,equal rights,,,,
70,have the right to apply for a trial There is a three-trial system.,,,,
71,the right of liberty,,,,
72,"to have equal rights, freedom, and litigation",,,,
