,"2) As in the example of Hong Gil-dong, one case can be tried up to three times in our country. What is the reason for running this system?",q32_process
0,I don't know.,
1,"In case a trial is wrong,",
2,I don't know.,
3,It has the rights of the people and for the judge to think,
4,"""Let's not ignore the disabled""",
5,"""",
6,"This is because if you are dissatisfied with the trial, you can try again up to three times to resolve the complaint even a little.",
7,in order to end the trial accurately,
8,There could be a wrong trial,
9,I don't know.,
10,"If you do it three times, don't do anything more.",
11,There may be a wrong trial.,
12,"Because the trial might be wrong, by a majority vote",
13,There are a lot of unfair people.,
14,This is because the victim may feel unfair in the first and second trials.,
15,in order to overcome the obstacles of the people,
16,There's a lot of acid and there's a solid basis,
17,Because he had a lot of money and had a solid basis in the previous trial,
18,Because false statements and false reinforcements can lead to false judgments,
19,It's because there are people who are unfair,
20,I don't know,
21,You're either upset or trying to tell the truth,
22,I'm not going to make it unfair,
23,I'm afraid it'll be unfair,
24,I don't want to be upset,
25,The president made the law,
26,It's similar to the movie god!?,
27,in order to make an accurate judgment,
28,I don't know.,
29,"If you continue to be tried, the answer might be different",
30,"People with disabilities are people, too",
31,operational goods,
32,"This is because one trial may not obtain accurate results, and more accurate results can be known.",
33,People with disabilities are considered because they are not feeling well.,
34,I'm trying to prove it again so that I can win if I lose unfairly,
35,"I'm going to go through one trial, and I'm going to go through three trials, not once, because I can get other evidence or information about the company",
36,"This is because when a judge makes a judgment in a trial, the judgment is different depending on the words of the prosecutor and the lawyer.",
37,To make a more detailed and fair trial,
38,This is because there is a right of the people.,
39,To give you three more chances,
40,Because the person on trial may feel unfair.,
41,Because we can't block the rights of the people,
42,"This is because if you are tried once, you may not be able to do what you want to do unfairly.",
43,This is because they ignore the disabled people.,
44,This is because a single trial is not accurate.,
45,the three-trial system,
46,.,
47,So that there is nothing unfair,
48,for the sake of the people,
49,I don't know,
50,"Once tried, it can lead to unfair results, and it can lead to accurate results on multiple occasions",
51,In order to make the most fair judgment,
52,Trial,
53,The result might be unfair,
54,To make it fairer,
55,To get a fair trial,
56,To give everyone a fair chance.,
57,So that there won't be an innocent person,
58,It might be unfair,
59,This is because the outcome of the trial may be wrong.,
60,"To make a fair and accurate decision,",
61,It might be unfair,
62,the three-trial system,
63,This is because the outcome of the trial may have been wrong.,
64,I'm trying to make it more clear,
65,It is to be fair.,
66,It is to have certainty in the course of the trial.,
67,To reduce the anger over dishonest platemaking.,
68,"Mistakes can exist because it is human's job to judge a case. A person's subjective judgment may also intervene. Therefore, there are three trials for equal trials.",
69,"When there's room for unfairness or misjudgment,",
70,"To make sure no one is wronged,",
71,"In order to prevent anyone from making a wrong decision,",
72,To provide fairness,
73,It is to make an accurate judgment.,
74,for the sake of fair judgment,
75,in order to make a definite judgment,
76,for the right result,
77,The result might be wrong,
78,To ensure fairness,
79,It is to make a definite right decision.,
80,I need to find out exactly,
81,He was allowed to stand trial several times so that nothing could be wronged,
82,The third trial system is operated by ensuring that the results are unconditionally produced by the Supreme Court of the third trial because the results are not easily produced in the first and second trials.,
83,"Because a man is not a god, he cannot know everything, and therefore, he cannot grasp the truth of the case with only one trial.",
84,There could be a wrong trial,
85,I think the judge runs this system because he can make a wrong decision.,
86,A three-trial system is operated for a fair trial.,
87,This is to provide relief by giving two more opportunities in the event that something unfair occurs in the trial or if you are dissatisfied with the trial result.,
88,the fairness of the platemaking,
89,a criminal trial,
90,More equality,
91,The reason for implementing the three-trial system is for a fairer trial.,
92,It's because an innocent person can take the blame,
93,I think they're trying three times to make a clear decision about what's right and wrong through three trials,
94,in case you think it's wrong,
95,I have human rights,
96,"For a fair trial, a three-trial system is operated that allows up to three trials to prevent unfair people from being produced.",
97,We have to be equal and fair,
98,L.in order to be accurate,
99,Because of human rights,
100,To get rid of a little bit of resentment and produce accurate results?,
101,litigation,
102,"To make an accurate and definite trial,",
103,It is to make a fair trial.,
104,It's to reduce unfair cases,
105,It was made possible in consideration of the case where the result of the trial was wrong in the first and second trials,
106,Because the trial could be wrong,
107,"To prevent making a wrong judgment,",
108,To make sure no one is wronged for a more accurate trial,
109,Maybe up to number three forgives me for my mistakes.,
110,This is because a wrong trial may occur or something unfair may occur during the trial process.,
111,"This is because at least once in any trial, a miscarriage of justice and injustice can occur",
112,"This is because when you are in an unfair situation, you cannot get the desired result with a single trial.",
113,To give the trial a chance,
114,for an accurate judgment,
115,Don't write long comments,
116,So that he can solve his injustice,
117,I want you to solve your own injustice,
118,To protect our country,
119,I don't know.,
120,To know that the winner is the winner through three trials,
121,I don't know.,
122,Best out of three,
123,The presiding judge could take bribes,
124,I'm not going to be upset,
125,Three-trial system (local-high-high-high court),
126,.,
127,I filed a lawsuit,
128,.,
129,for an accurate answer,
130,I don't know.,
131,One trial should be tried correctly three times because no one wrongful person can dispute it.,
132,People with disabilities also have a canary,
133,This is because it finds evidence that there was no evidence or the right that a person can have.,
134,"If you do it once, there can be errors in the trial, and if you do it twice, you can't conclude it 1:1 for sure, and if you do it more than four times, there will be too many trials.",
135,This is because the ruling can be made without errors only if it is tried up to three times.,
136,Even disabled people can do anything,
137,for human rights,
138,"If you are tried once, it will be unfair if someone is falsely accused.",
139,It's unfair,
140,In order for everyone to be fair,
141,To instill hope in the disabled,
142,"It's because it's sad to do it once, it's sad to do it twice, and it's good",
143,"To become a good country and make a Korea without discrimination,",
144,This is because you may not like the outcome of the trial.,
145,Because they discriminate and disparage disabled people,
146,This is because the outcome of the trial may not be satisfactory or fair.,
147,This is because he may have been found guilty unfairly.,
148,"To apply the law so that the third trial system is not unfair,",
149,For everyone to be fair,
150,This is because unfair things can happen.,
151,Trials are conducted three times to lead a fair trial because the outcome of the trial may be unsatisfactory or unfair,
152,"We can't make it clear with a single trial, and we can hear each other's opinions and run an accurate trial",
153,It might not be enough for just once,
154,To make sure you're not satisfied with the outcome of the trial or feel unfair,
155,"When you don't like the trial, you have three trials.",
156,Because there may be plates that you don't like.,
157,To prevent unfair distribution,
158,There may be something you couldn't say.,
159,Because the judge could make a mistake in the first trial,
160,"If we end it with one, the victim will feel unfair",
161,That's how the world turns around,
162,"This is because the incident is unfair, but it is even more unfair if you cut the entrance.",
163,I might lose,
164,in order to come to an accurate conclusion,
165,"To be precise, to be precise, to be precise",
166,Because it's an important event.,
167,in order to dispel injustice,
168,I don't know what it means.,
169,"Because once you do it, you can misjudge it",
170,Constitution,
171,I'm trying to get an accurate trial,
172,To relieve the injustice of the people,
173,"This is because a single trial could not make a proper ruling, which could lead to unfairness.",
174,Because it's all fair,
175,It's unfair and it can be punished wrongly,
176,because of objections or possible unfair trials,
177,To relieve the injustice if the first trial went wrong.,
178,To determine the accuracy,
179,This is to review it again in the event of an unequal trial decision by the court.,
180,This is because the law stipulates the right of the people to appeal if the judgment of the local court is deemed unfair.,
181,"The judge can take his side unconditionally, so he can give him three fair chances. Also, lawyers or prosecutors may make mistakes.",
182,To make sure it's accurate,
183,"If you make a wrong trial, it will be unfair and you can get more proper results.",
184,It's because of a definite trial.,
185,"If you do it once, it's not accurate. If you do it even, you can win half and half. If you do it more than three times, it's too complicated",
186,It's because they don't let us get an unfair punishment,
187,To respect human rights,
188,To hear more about the lawsuit's injustice,
189,I don't know,
190,in order to be meticulous,
191,To hear the opinions of various trials,
192,"Because if you keep asking and answering questions, it gets longer",
193,To be considerate of the disabled,
194,We have to decide by majority vote,
195,?,
196,Because human rights are owned by everyone.,
197,"in order to make an accurate decision""Because in the first trial, the jury and the judge made a wrong decision and punishment",
198,"It's because the victim or the perpetrator of the suspect may feel unfair.""",
199,It is to give a chance up to number three times.,
200,in order to be fair,
201,Don't let anything unfair happen to someone.,
202,Hong Gildong is good at many things,
203,for the sake of the people,
204,Forgot.,
205,It's fair,
206,It is to make a more accurate judgment.,
207,"If you win 2 out of 3 times, the loser will be unfair. If you win 2 times, it's a tie and 3 times",
208,"This is because if you continue to file a lawsuit, the trial may not end and the first and second trials will decide. It must come to a conclusion.",
209,"If you do it only once, there might be people who are unfair",
210,"If you find another evidence after the first trial, you may have to reflect it, and it is to find many ways to give a fair opportunity.",
211,"It is for a fair trial. There are countless cases of being cleared of charges through deliberation by the court, the Supreme Court, and the High Court. The appeal and retrial greatly help prove the innocence of the accused. It is possible to dismiss an incompetent lawyer and prepare for the next deliberation with another legal person. For example, the trial of Ahn Jung-geun in Korea was unfairly executed in the first trial.",
212,a three-time punishment,
213,This is because it is fair to give several chances.,
214,Two out of three,
215,in order to make an accurate judgment,
216,I don't know,
217,This is because the judge may make a wrong decision in the first trial.,
218,It is to make a more definite trial.,
219,To prevent unfair or unfair results.,
220,Court.,
221,This is because one cannot be tried accurately with only one time.,
222,It is to make sure that no one is wronged.,
223,I don't know,
224,"You can argue, you can point out what the other person did wrong",
225,in order to guarantee the basic rights of the people,
226,To reduce the number of people who are falsely accused,
227,the third trial,
228,"To minimize unfair situations,",
229,I can't decide with just one trial,
230,It may be too hasty a decision to make a judgment at once,
231,It could be unfair,
232,I don't know,
233,To check it out again,
234,So that all the people can enjoy equality.,
235,For a more accurate trial,
236,I'm going to give you time until the 3rd one,
237,To help people live a better life,
238,The trial could be ruled incorrectly and the victim is innocent.,
239,To tell evidence that I didn't know about the first trial.,
240,"I tried it from the victim's point of view, and it would be unfair if the perpetrator won",
241,I don't know.,
242,I think he runs this system because he can be ridiculous.,
243,"The victim's opinion and the perpetrator's opinion are all different, so no one can say anything about it",
244,To keep the victim from getting annoyed?,
245,It is to make life easier for the disabled.,
246,I don't know...,
247,I don't know.,
248,I don't know.,
249,The trial could go wrong,
250,to prevent injustice,
251,To make sure you don't make an unfair person,
252,"To ensure that all citizens are judged equally and fairly by their abilities,",
253,I need to guarantee my personal rights,
254,To reduce the number of unemployed,
255,The trial will not be perfect,
256,Not to make an unfair person,
257,There might be an error,
258,"""To get a more accurate result,",
259,"If it's not accurate, you can be framed.""",
260,Hong Gil-Dong might not have committed a crime,
261,It's to minimize injustice,
262,I'm sorry that I can't bring an unfair trial,
263,It depends on another piece of evidence or the judge,
264,"In the course of the trial, when a trial against you is not valid, you need to be tried",
265,To make sure there are no people who are wronged,
266,in order to make an accurate judgment,
267,To make a more accurate and correct decision.,
268,It's to make sure no one is wronged.,
269,"In the case of unfair defeat in the platemaking, it is possible to participate in the platemaking again through the Samsimje.",
270,It's to make sure there's no one who's wronged.,
271,I wanted to make you feel free,
272,Because the first and second trials could have been misjudged,
273,To proceed with trials several times so that nothing wrong with the previous trial would happen,
274,It's to make the most equitable results.,
275,the three-trial system,
276,It's because a misjudgment can come out from the first or second trial,
277,The three-trial system is operated to ensure the basic rights of the people by making the trial fair.,
278,To be more accurate and fair,
279,It's a trial in different courts to try to be fair,
280,It is to prevent unfairness from occurring.,
281,It is to make several trials to make a true trial.,
282,It is to proceed three times to avoid misjudgment.,
283,for a definite trial,
284,for human rights,
285,For a fairer trial,
286,for a fair trial,
287,the Three Gods,
288,The lower court could make an unfair decision,
289,To make sure no one is wronged,
290,?,
291,Well...,
292,For those who have been wronged.,
293,I don't understand.,
294,"To get rid of the unfair punishment,",
295,for the sake of the people,
296,"For those who are being punished unfairly,To minimize unfairness,",
297,"To make a judgment that satisfies equity and fairness,",
298,the three-trial system,
299,It is to reduce the number of people who are being taken unjustly.,
300,the three-trial system,
301,"To reduce the number of people who are being punished unfairly,",
302,the three-trial system,
303,This is because I think it is unreasonable to ruin a person's life with one trial.,
304,It's the law.,
305,"For a more accurate judgment,",
306,It is a three-trial system. The order proceeds in the order of the District Court -> the High Court -> the Supreme Court.,
307,To make an accurate judgment.,
308,"If a victim or suspect is tried up to three times by operating a three-trial system, the victim or suspect can be reduced to the maximum extent",
309,Because it may not be accurate,
310,an accurate judgment,
311,I don't know.,
312,It's because the conclusion that can come out in each round can be different,
313,This is because the wrong judgment may be made in the first and second trials.,
314,For the sake of a fair judgment.,
315,The three-trial system allows up to three trials to be held in Korea to protect the people's right to a fair trial.,
316,the three-trial system,
317,It's for a fair trial,
318,To uncover the truth of the case with more detailed and unequivocal evidence,
319,There is a three-trial system so that no one is unjustly judged,
320,It is to make a fair trial.,
321,There could be irregularities and run a three-trial system to rule more carefully,
322,"It's for more accurate judgment, and for those who don't like it after the trial,",
323,This is to make a more accurate trial because there may be mistakes.,
324,It is to solve the problem more accurately.,
325,This is because the first trial could lead to a wrong ruling.,
326,a system to ensure the basic rights of the people by making the trial fair,
327,The third trial system is to reduce unknown human errors as much as possible.,
328,It is to create an equal and fair society in the legislature.,
329,The human rights of the people are guaranteed by operating the three-seam system.,
330,It is because it is unfair to lose once you lose.,
331,The judge is a human being. He can make mistakes. What's wrong?,
332,"""I can't tell for sure at one time.",
333,"""",
334,for accurate judgment,
335,The trial could be wrong,
336,in order to bring a sin to light,
337,very well,
338,I don't know,
339,To hear answers from many people,
340,I don't know,
341,"If I try it once, I can't get the right result",
342,living in equality,
343,To create a trial that is more honest and can only filter out the truth.,
344,ã,
345,QUESTION,
346,Government,
347,Important events need to be more accurate,
348,Because of people's strange minds,
349,I don't know,
350,"Hong Gil Dong was very brave. When I grow up, I want to be brave like a person like Hong Gil Dong.",
351,the legal system,
352,I don't know,
353,I don't know,
354,"Even if I heard that I can't work at Company A because I have a disability, I can do well even if I have a disability  I wanted to work at a company",
355,"We have to listen to other people's opinions because we have to talk about people's rights, objections, etc",
356,"There's something wrong, so I don't want to be upset",
357,To get rid of the wrong person,
358,Not to make an unfair person,
359,To give you two more chances.,
360,This is because once a trial can be unfair.,
361,..........,
362,There could be someone who's wronged,
363,No. 1 trial can be weird,
364,Three-seam Jae-do,
365,Not to make an unfair person,
366,I'm trying to make sure there's no one who's innocent,
367,To make up for the injustice,
368,Court.,
369,It could lead to an unfair trial,
370,"This is because if you do it once, you can have an unfair person.",
371,This is because unfair results can be produced in the first trial.,
372,The move is aimed at relieving the public of the injustice.,
373,"Without proper evidence, the first trial alone did not produce complete evidence of him",
374,Something unfair can happen,
375,h,
376,h,
377,To lead a fairer and fairer trial that is not biased towards one person,
378,in order not to create an unjustified person,
379,It's unfair,
380,It's to make sure there's no one who's wronged.,
381,"In order to protect the people's right to file another claim, which could end unjustly in the first trial",
382,"I saw the trial once, and the answer from the trial might be unfair",
383,I don't know.,
384,To lower the judgment error of the person who makes the judgment and to prevent unfair trial results.,
385,In order to make a fair trial,
386,"If you do it more than three times, you have to do too many trials",
387,I don't know,
388,I wanted to maximize the stability of the people,
389,"To make sure no one is upset,",
390,This is because Hong Gil-dong may feel unfair.,
391,For our country,
392,I don't know.,
393,a three-plate system,
394,It hasn't been decided yet,
395,To judge exactly if he is guiltyTo relieve the injustice of the citizens,
396,Because everyone is precious,
397,To show the truth of the trial.,
398,It's for the human rights of the disabled,
399,"Not once, but several times, to make sure that the crime is identified",
400,This is because there may be something unknown in the previous two trials.,
401,"If it is tried beyond that, the opinions of various judges on the case will be conflicted and the punishment will be stronger.",
402,"To be considerate of people with disabilities,",
403,.......,
404,I wanted to help Hong Gil-dong work,
405,in order to be equal,
