,1) What does the court do? ,q33_trial,q33_legislative,q33_check
0,a trial,,,
1,A criminal is judged and sentenced to death or life imprisonment for several years.,,,
2,trial and punishment,,,
3,A place where you punish someone for doing something bad,,,
4,Where to judge if a criminal did something wrong,,,
5,"We need to make the law stronger, but we need to make it weaker",,,
6,Judgment,,,
7,Make a law.,,,
8,the act of correcting and restraining wrongdoings,,,
9,to make or revise the law and punish those who break the law,,,
10,Determined right from wrong,,,
11,listening to the president's words like Geunhye,,,
12,A man judges what is wrong.,,,
13,"It is a place where judges and lawyers can cover each other's responsibilities and play fair to decide which side the judge takes, and those who do wrong can be punished as much and correct wrongs.",,,
14,A place where people who break the law are tried,,,
15,To solve the problem of wrongdoing by law,,,
16,Where a court rules a person's age when he or she makes a mistake,,,
17,Make a tiger.,,,
18,You do a trial and you decide who is bad or not in a trial.,,,
19,Make a law.,,,
20,Make a law and judge a person who breaks the law.,,,
21,"Making a law or breaking a law, getting them to pay a fine, etc",,,
22,a judge's game,,,
23,a judge's game,,,
24,Manage the law.,,,
25,I don't know,,,
26,Judge as if with God,,,
27,the act of the court,,,
28,Judge and punish those who sinned,,,
29,It controls the law.,,,
30,I don't know.,,,
31,Change the laws you don't need and administer them,,,
32,It controls the law.,,,
33,I try to keep order in the country.,,,
34,A person who commits a crime is given a few years in prison by applying for a writ of exorcism,,,
35,I don't know,,,
36,Helping the wrong person and jailing the wrong person,,,
37,I don't know,,,
38,an institution that makes or uses laws,,,
39,Why would you ask me that? Ask the court for details.,,,
40,The court is a place to help people,,,
41,a job that solves things that are not legal,,,
42,Make a law.,,,
43,It's about making laws and knowing them well.,,,
44,Making laws and finding out about them,,,
45,It sets the law and solves our problems.,,,
46,a ruling based on the law,,,
47,Make a law,,,
48,It's about getting people who commit crimes into prison for a few years or sending the wrong people back to society.,,,
49,Trial,,,
50,trial,,,
51,Courts help the National Assembly and the Government.,,,
52,social guidance,,,
53,national affairs,,,
54,To punish the wrong person,,,
55,Make a new law and judge in court.,,,
56,It's where you set the level of punishment for criminals,,,
57,"When making a new law, judge whether the law is appropriate.",,,
58,national affairs,,,
59,Parliament and the government are running back and forth,,,
60,Trial,,,
61,judging a crime or law,,,
62,a place where punishment is given to the wrong person,,,
63,I don't know.,,,
64,make a legal decision,,,
65,I don't know.,,,
66,I don't know about the law.,,,
67,"Giving compensation and punishment to the accused and the suspect in a case that is happening in the world, and stopping the case from happening again",,,
68,the power of the state,,,
69,Enforce legal matters in accordance with established laws,,,
70,The law implements justice.,,,
71,Courts resolve interventions or disputes between groups and balance power with the National Assembly and the government.,,,
72,Apply the law.,,,
73,the act of making a law,,,
74,The law made by the National Assembly applies.,,,
75,Conflicts between individuals and organizations are adjusted or crimes are judged based on laws enacted and revised by the National Assembly.,,,
76,enact a law,,,
77,Enforce the law.,,,
78,Make a fair trial.,,,
79,A court is a place where a person who makes a new law or commits a crime is punished by applying the existing law.,,,
80,It works by applying the laws enacted by the National Assembly. It also proceeds with a trial and is judged according to the law.,,,
81,"It monitors, checks, and applies the law to the National Assembly and the government.",,,
82,The court checks and monitors what the government and the National Assembly do by separating the three powers. It also decides what judgment to make by applying the laws made in the National Assembly to specific cases.,,,
83,The law enacted by the National Assembly applies.,,,
84,"It exercises judicial power and monitors the National Assembly, which is the legislative branch, and the government, which is the administrative branch, so that the state power does not lean to one side and proceeds with trials to enforce the law.",,,
85,It is to judge disputes or crimes based on the laws enacted by the legislature.,,,
86,"The court serves to enforce the constitution or law enacted by the National Assembly (the Ministry of Legislation). For example, it plays a role in judging a person who violates the Constitution or law by the Constitution and law.",,,
87,"Using the laws enacted by the Constitution and the National Assembly, the cases are judged to be right or wrong, and appropriate punishment is imposed on those who are judged to be wrong. In addition, if those who are judged to have done wrong do not fulfill the punishment they received, they are required to carry out the punishment.",,,
88,"The court takes on the function of the judiciary among the functions of the state, allowing fair and strict laws to resolve disputes and problems between legislative agencies, administrative agencies, and the general public.",,,
89,"Based on laws made by the National Assembly, criminals or conflict situations are judged and punished.",,,
90,"The legislature, that is, the law created by the National Assembly, is applied and enforced to the people, national institutions, etc. through the judiciary, that is, the court.",,,
91,It serves as a judge of illegals with the law,,,
92,"When the National Assembly makes a law, it makes a legal judgment according to a case according to the law so that the government can enforce it according to the law.",,,
93,"The role of separation of the three powers, that is, check each other so that any one of the three powers does not monopolize power. In addition, civil and criminal issues are concluded and tried based on laws made by the National Assembly.",,,
94,"It is an institution of the judiciary that conducts trials in civil and criminal cases as it implements legislation enacted and revised by the National Assembly. In addition, the government has the right to judge violations of the Presidential Decree to hold the government, and the Constitutional Court has the right to request an unconstitutional law review to check the National Assembly to determine whether the bill made by the National Assembly is unconstitutional.",,,
95,"Based on the laws made by the National Assembly and passed by the government, the causes of various problems in society are identified and the sentences of criminals are sentenced or various disputes are resolved.",,,
96,"During the separation of the three powers, the judiciary takes the role of the judiciary and applies the law to the people and the state through trials using bills made by the National Assembly.",,,
97,"Based on the laws enacted by the National Assembly and the constitution enacted by the people, it plays a role in judging criminal, civil, domestic, constitutional, administrative litigation, etc",,,
98,"Courts are institutions that relieve the rights of the people through trials.The National Assembly, which is the legislative branch, and the government, which is the administration, are checked by the separation of powers. As for the work, the law is enforced based on the law made by the National Assembly, and a trial is conducted to determine right and wrong according to the law. In addition, when the public or the police file a lawsuit, it also plays a role in determining the wrongs and punishing them.",,,
99,"The court is called the 'judicial department' and has jurisdiction over the part of the 'judicial department'. At this time, justice is the act of applying the law. In place of the abstract vocabulary of the application of the law, it is to apply the provisions of the law in the law such as criminal law, civil law, and constitution to hold the guilty person responsible for the action, and to relieve the innocent.",,,
100,the enforcement of the law,,,
101,the enforcement of parliamentary laws,,,
102,Enforce the law.,,,
103,judge a crime by law,,,
104,Enforce the law.,,,
105,law enforcement,,,
106,the implementation of a law made by the National Assembly,,,
107,the application of parliamentary legislation,,,
108,Make a law.,,,
109,Make the law,,,
110,a court case,,,
111,"""Civil trial, criminal trial, administrative trial",,,
112,Management of the Real Estate Register Management,,,
113,Referee,,,
114,judgment,,,
115,The court is responsible for applying the law made by the National Assembly.,,,
116,enact a law,,,
117,a judicial decision,,,
118,"It is a place where various trials are held, and civil or criminal trials are held",,,
119,Enforce the law,,,
120,It is a place where laws proposed by the National Assembly are enforced.,,,
121,have a trial,,,
122,I set up a law and I do a trial on it,,,
123,judge right from wrong according to the laws of the country,,,
124,The people shall be judged and tried.,,,
125,Decisions are made in accordance with the designated laws.,,,
126,Practice the law.,,,
127,judge a crime by law,,,
128,It is the body that enforces the laws made by the National Assembly,,,
129,"The law made in the National Assembly is applied, and the trial is conducted.",,,
130,judge and decide by the prescribed,,,
131,Punish criminals,,,
132,The law determines the punishment of a crime,,,
133,a place to judge the wrong person,,,
134,Make the laws of the Republic of Korea and judge crimes,,,
135,enforce the law,,,
136,Make the law,,,
137,reviewing legislation from the National Assembly,,,
138,Judge the law.,,,
139,adjudicate on a legal dispute over a civil or criminal case,,,
140,the exercise of judicial power,,,
141,a legal and financially,,,
142,Make the law and judge the wicked,,,
143,Where to Make the Law,,,
144,Trial,,,
145,the act of establishing and enforcing a law,,,
146,a decision,,,
147,the study of law,,,
148,in the making of the law,,,
149,make a trial in accordance with the law,,,
150,make a trial,,,
151,It makes a fair judgment without being affected by everything,,,
152,The court is in charge of the trial in accordance with the law,,,
153,enact a law,,,
154,It is decided in accordance with the law,,,
155,The criminals are tried.,,,
156,Trial,,,
157,a place that reveals who is right,,,
158,Let's judge.,,,
159,Apply and enforce the law,,,
160,I don't know,,,
161,make a trial in accordance with the law,,,
162,Trial,,,
163,Courts are where criminals are punished and disputes are reconciled,,,
164,Love and War,,,
165,"Act of making a law to determine whether it is a right action or an wrong action, and to punish it in case of wrong action.",,,
166,Do justice and judge justice.,,,
167,Where the law judges and punishes sins,,,
168,Use the law to make a judgment.,,,
169,Judge a crime on the basis of the law.,,,
170,the application of the law to society,,,
171,Where you punish bad people,,,
172,Resolving conflicts between people based on the law,,,
173,lay down the law,,,
174,Referee,,,
175,Do you want to work with the law?,,,
176,I do not remember.,,,
177,It is judged by law.,,,
178,Trial,,,
179,a judicial decision,,,
180,It's a place for a trial.,,,
181,Judge a crime according to the law.,,,
182,None.,,,
183,make a trial,,,
184,judge the law,,,
185,Watch if chrysanthemums cheat.,,,
186,trial in accordance,,,
187,The punishment is determined based on the laws made.,,,
188,Make the law,,,
189,Trial,,,
190,Decide what punishment to impose on those who break the order of the regulations without thinking about the regulations to be followed in the country.,,,
191,be judged in accordance with the law,,,
192,be judged in accordance with the law,,,
193,make a trial,,,
194,Deciding what punishment to impose on those who have broken the order of the regulations without considering the regulations to be observed in the country,,,
195,Review the law.,,,
196,judge right from wrong about the law,,,
197,Deal with the matter of the trial.a place where people who are guilty are tried through the law,,,
198,"to set the law and make judgments, etc",,,
199,Judge people's mistakes.,,,
200,A trial is conducted in accordance with the law.,,,
201,impose a legal punishment,,,
202,I don't know.,,,
203,Trial of the law (a place where people with social discontent visit and release them),,,
204,impose a legal punishment,,,
205,"a place where judges, lawyers, prosecutors, etc. judge a wrong person by law",,,
206,be judged in accordance with the law,,,
207,An organization that judges a person who has committed a crime or who has unjustly overwritten a crime.,,,
208,Determine whether the government's proposed law is justified and necessary.,,,
209,Trial those who break the law.,,,
210,It is judged according to law and conscience.,,,
211,Trial by constitutional law,,,
212,A place to judge a person who has a crime,,,
213,.,,,
214,Revision of laws or making laws,,,
215,Organize the law and discriminate between right and wrong in society.,,,
216,"They judge the sins of the people and punish them, and the government and the National Assembly punish them for wrongdoing.",,,
217,Punish sinners according to the law.,,,
218,Where to judge right and wrong,,,
219,Make laws and finance (probably),,,
220,The law made by the National Assembly is implemented in an integrated manner,,,
221,found guilty,,,
222,It's all right,,,
223,Trial,,,
224,Make a law.,,,
225,Make a law,,,
226,an institution that punishes a wrongdoer accordingly,,,
227,a judicial decision,,,
228,It judges the laws made by the National Assembly.,,,
229,The case is adjudicated.,,,
230,I'm having a trial,,,
231,have a trial,,,
232,a place where a crime is judged through various procedures according to one's conscience,,,
233,to make and enforce laws,,,
234,Make laws and consult together with the National Assembly and the government.,,,
235,Where to make the law,,,
236,have a trial,,,
237,make a trial,,,
238,Trial,,,
239,"When a law is made, the court checks and reviews it and passes it.",,,
240,It is to know the truth of the people who committed the crime and punish them if they do something wrong.,,,
241,A trial is conducted in accordance with the law.,,,
242,to judge the laws made by the National Assembly,,,
243,make a judgment,,,
244,It is judged in accordance with the law.,,,
245,The law determines guilt and innocence.,,,
246,Judge the law made by the National Assembly,,,
247,law enforcement,,,
248,to administer the law,,,
249,The court makes a decision,,,
250,The court will give and take what is right with the National Assembly and the government,,,
251,I don't know,,,
252,I'm making a law,,,
253,"It sets the laws of the country, and to what extent it punishes those who break the law",,,
254,I don't know,,,
255,to administer the law,,,
256,lay down the law,,,
257,They judge criminals for their crimes,,,
258,.............I don't know.,,,
259,Where the law is amended and brought to justice,,,
260,The court conducts a primary examination of the law,,,
261,Make the law,,,
