,"2) Why are the powers and roles of the state divided into the National Assembly, the government, and the courts as above?",q34_power variance,q34_efficiency
0,I'm tired,,
1,This is because only then can the country develop.,,
2,"To do our best in our roles,",,
3,It's because I'm running out of time,,
4,It's hard to do it in one place,,
5,It's hard for one person to do many things and he can do things wrong.,,
6,We're doing different things,,
7,"""Everyone has their own work to do",,
8,"""",,
9,It's hard for one person to do it,,
10,"It's so hard to do what the National Assembly, the government, and the courts do together",,
11,What I do and what I need to do are different,,
12,?,,
13,"This is because if you do it in one place, it will not be solved well.",,
14,"There are things that need to be divided and things that need to be done separately, and I think it's something that needs to be divided...",,
15,Because you can't break the laws of the country,,
16,"If we do different things together, we can solve different things",,
17,Because what you do is different,,
18,It's hard to mix it up,,
19,"It's hard to do it all in one place, so we divided it into several places.",,
20,I've folded the seedlings.,,
21,They divide roles because it is difficult to handle everything in one place.,,
22,I think it's because the work is different and the status is a little different.,,
23,I'm going to get more taxes,,
24,I'm going to get more taxes,,
25,I don't know.,,
26,I thought it would be hard to do it in one place,,
27,The Park Geun Hye made a mistake,,
28,I don't know,,
29,It's because we each have our own work to do,,
30,I think it's because each person has a different kind of work to do.,,
31,"If power is concentrated in a single period of time, corruption or the management of the agency for some reason,",,
32,It's easier to divide things into different fields,,
33,Because everything we do is different.,,
34,"This is because if power is concentrated on one institution, the country can collapse when corruption or the operation of the institution is difficult for some reason.",,
35,I'm going to split it up and decide what to do,,
36,"In order for our country to develop more and more and more,",,
37,We all have different things to study,,
38,in order to make it easier to divide the work,,
39,"The government has no choice but to show off its power if it has a dictatorship, so it is a comforting way to prevent it",,
40,"This is because if power is concentrated in one place, only that place can monopolize power.",,
41,It is because I think the country will be more difficult if we gather together in one place,,
42,"Because these things are so important, it's hard if you don't share them in a complicated way",,
43,Because only one side has power.,,
44,"This is because when the force is tilted to one side, the other side does not develop.",,
45,"Because if one side is bent, the other side doesn't develop",,
46,Each of us has a different job.,,
47,Show your expertise in your field,,
48,It's hard to do it all in one place,,
49,Because it's complicated when things are put together.,,
50,Since I have a lot of work,,
51,It's hard to do it at once,,
52,"This is because the National Assembly helps the government and the court, the government helps the court and the National Assembly, and the court helps the National Assembly and the government.",,
53,I'm good at coaching,,
54,I had too much work to do,,
55,Each of us has a different job,,
56,"This is because the National Assembly, the government, and the court are essential to each other.",,
57,I don't know,,
58,I don't know.,,
59,I had so much work to do,,
60,The National Assembly is:.......... the government is:.......... the courts are:.........,,
61,?,,
62,"Besides the power of the state, it depends on the opinions of citizens and our thoughts",,
63,Because what we do is different,,
64,Because what you do is different things,,
65,I'm sorry,,
66,I don't know.,,
67,be easy,,
68,"""If one place does all the work, I think it's divided because I might not be able to do it because I'm doing this and that, and I don't think I'll be able to do it until the end.",,
69,"Because what you do is different?""",,
70,Don't know,,
71,To disperse and check the power of the state and prevent the monopoly of power,,
72,This is to prevent dictatorship by checking each other by the three power agencies.,,
73,This is to prevent an institution from monopolizing power and violating the freedom and rights of the people.,,
74,This is to achieve a balance of power through the principle of separation of powers.,,
75,the dispersion of power,,
76,This is because dictatorship can be achieved if one side is biased.,,
77,To prevent a phenomenon where power is focused on either side and monopolized,,
78,prevention of monopoly of power,,
79,The move is aimed at decentralizing power through the separation of three powers.,,
80,It separates power to prevent it from being biased to one side.,,
81,"This is because if the power and role of the state are skewed to one side, the people may not be guaranteed human rights or be unjustified.",,
82,This is to protect the rights that the people can basically enjoy by preventing power from gathering in one place.,,
83,It is to prevent the concentration of state power.,,
84,"The power of the state is not concentrated in one place, but is divided into the National Assembly, the government, and the court, so that the power of each other's agencies is dispersed while checking the other agencies. So the power of the state is concentrated in one place, making it difficult for the power of the state to be abused easily.",,
85,This is to prevent dictatorship by separating power from each of the three independent agencies without the power of the state being concentrated in one place,,
86,"The National Assembly, the government, and the courts can separate the powers of the state into three, monitor each other, and apply them to prevent abuse of state power because they can abuse the power of the state and infringe on citizens' human rights of citizens.",,
87,This is to prevent the emergence of a dictatorship by shifting power to one side.,,
88,The reason is that the three agencies check each other's power to check the abuse of power.,,
89,"By preventing state power from being concentrated on one state agency, it is to ensure that state agencies check and balance each other.",,
90,This is to prevent the basic rights of the people from being violated by the concentration of state power to one side.,,
91,"If an agency has all the power of the state, it cannot be prevented when the agency tries to commit irregularities, so that it can share power and keep each other in check and balance.",,
92,"If a state agency has the power of legislation, administration, and judicial law, it can violate the quality of life and human rights of the people through abuse of power, such as creating and enforcing laws that it wants to make and administering accordingly.",,
93,separation of powers,,
94,"If too much power is gathered in a state agency, it can rule the country alone.",,
95,"If one agency has all the power, a reckless state will be created that can threaten beyond the rights of the people and even human rights. It is not difficult for an institution to be in full charge of establishing laws, adjudicating, and running the state, so that the three institutions can divide these powers and adopt and use methods to keep each other in check and control.",,
96,"The move is aimed at preventing the phenomenon of the dictatorship in advance through the separation of the three powers and realizing the divided powers in accordance with the set areas for balanced state management. Also, with the emergence of dictatorships,",,
