,1) Explain the different ways you can do to dissolve all the salt that has not been dissolved in the C beaker. ,q35_temperature,q35_amount of water,q35_stirting
0,"Increase the temperature of the water, increase the stirring speed, etc",,,
1,"Pour hot water, stirring faster with a glass bar.",,,
2,Change the water into hot water,,,
3,Stir more with a glass rod.Leave the C beaker alone,,,
4,You have to shake the beaker with a stick or shake it with your hands to melt it all.,,,
5,"Place the C beaker on an alcohol lamp and stir again while heating, increasing the amount of water in the C beaker",,,
6,Add hot water,,,
7,Keep stirring,,,
8,"Stir for a long time, dissolve in hot water, etc",,,
9,"Pour more water, heat it up",,,
10,Pour hot water and stir with a glass rod.   Use an alcohol lamp.,,,
11,"Pour more water, heat it up",,,
12,Add more water,,,
13,Add more water or keep stirring.,,,
14,Add more land,,,
15,"""After pouring hot water, melt it with a glass rod.",,,
16,"Increase the amount of water.""",,,
17,"""1. Pour hot water into salt and stir with a glass rod to melt it",,,
18,2. Increase the amount of water,,,
19,Add hot water,,,
20,Add more water or salt-soluble substances,,,
21,Melt it with hot water. Wet it with a glass rod,,,
22,Stir it better,,,
23,Dissolve in hot water.and so on,,,
24,go over water,,,
25,Pour hot water,,,
26,I'm going to make it stronger,,,
27,"Increase the amount of water, increase the temperature of water, or stir faster",,,
28,Stir with a glass bar until the salt melts.,,,
29,Observe the same amount of hot or cold water,,,
30,Stir in more water.,,,
31,Put in hot water and heat it up,,,
32,Add more water.,,,
33,"You can increase the amount of water or dissolve all the salt with hot water, and if you stir more continuously, you will be able to dissolve all the salt.",,,
34,Stir more and wait.,,,
35,"""Mix with a glass rod, etc",,,
36,"""Add a little more water""",,,
37,"""1. Add hot water.",,,
38,"2. Increase the stirring speed.""",,,
39,Add hot water to add salt.,,,
40,Dissolve in warm water. Stir a lot faster.,,,
41,Add salt just enough and place in beaker enough.,,,
42,"Stir with a glass bar until it melts, wait until it melts.",,,
43,"""Pour hot water.",,,
44,"Because salt melts faster when you pour hot water.""",,,
45,Add hot water and stir with a spoon or stick,,,
46,Dissolve salt in warm water.      Add water according to the amount of salt.and so on,,,
47,"Dissolve in hot water, mix well, do not mix slowly, speed up a little and stir in the microwave",,,
48,"Stir more, increase the amount of water, or use hot water.",,,
49,Increase the temperature. Add more water.,,,
50,.,,,
51,Reduce the salt particles. Increase the temperature of the water.,,,
52,Add more water,,,
53,hot water,,,
54,apply heat,,,
55,It's boiling. Stir it more,,,
56,Heat up,,,
57,Row áá§á¯,,,
58,Add more water,,,
59,Heat the beaker with an alcohol lamp,,,
60,Pour hot water and melt it little by little.,,,
61,Add more water. Turn up the heat,,,
62,Add more water,,,
63,Add more water. Heat it up. and so on,,,
64,Add more water to the C beaker,,,
65,boil,,,
66,"Stir the water, raise the temperature of the water",,,
67,Add more water.,,,
68,Add more water. Stir harder,,,
69,Heat the fire.,,,
70,"Increase the amount of water, grind salt more finely to increase the surface area to make the reaction work well, heat the water, and use a regular catalyst.",,,
71,"Increase the temperature of the water, add more water. and so on",,,
72,"""Add more water.",,,
73,"Increase the temperature of the water.""",,,
74,There is a way to add more water or raise the temperature of the water,,,
75,Increase the temperature or stir more.,,,
76,Heat beaker to warm water and dissolve salt.,,,
77,Make a mixture and heat it,,,
78,Increase the temperature or add more water.,,,
79,Pour hot water,,,
80,Boil water and add more water,,,
81,Increase the temperature,,,
82,Mix it or empty,,,
83,Lower the temperature of the water.,,,
84,Add the amount of water in the beaker. Heat the water until it does not boil.,,,
85,"Add more water. Add hot water. If there is a lot of salt, add another beaker to melt it",,,
86,Add more water and mix,,,
87,"Add more water to the beaker. By increasing the size of the bottom of the beaker, the salt spreads widely, reducing the gap between the salts, and melting the salt quickly, thereby increasing the size of the bottom of the beaker.",,,
88,Stir well. Boil it until the salt melts.,,,
89,Add more water. Boil the water in the beaker,,,
90,"Heat the beaker of C to raise the temperature.  Since a liquid such as water increases solubility when the temperature is applied, the heating method can dissolve all the insoluble root.",,,
91,Increase the temperature and heat to dissolve the remaining salt.,,,
92,"""1. Heat the C beaker.""",,,
93,2. Add more water.,,,
94,"3. Stir with a glass rod, etc.""",,,
95,Increase the temperature so that the solubility of salt water increases enough to dissolve the salt.,,,
96,Add more water to the salt water.,,,
97,"If you break down sodium chloride in salt water, the salt in salt water disappears and the salt melts.""",,,
98,Add waterI'll work harder to mix it,,,
99,Add a hot solution.,,,
100,"""Heat the fire",,,
101,"""",,,
102,"""Stir it longer with a glass rod.",,,
103,"""",,,
104,Heat it up. Heat it up,,,
105,Mix it with a glass rod,,,
106,"""+ Add more water and mix.",,,
107,"+ Increase the temperature to the melting point.""",,,
108,Add more water,,,
109,Pour in more water.,,,
110,"Bring to a boil, add hot water and melt.",,,
111,Increase the amount of water. Boil water,,,
112,Heat it a little over the heat it up,,,
113,Add more water.,,,
114,Add hot water,,,
115,Boil water or increase the amount of water.,,,
116,Increase the temperature of the water or add more water.,,,
117,Add more water,,,
118,Stir for longer,,,
119,"Add more water, increase the temperature",,,
120,"""Add more water",,,
121,"""",,,
122,Pour hot water. Mix it Shake it. Stir it. Melt it with fire,,,
123,Keep the water warm. Pour in more water.,,,
124,Increase the temperature of the water. Increase the amount of water. Stir to increase the hand.,,,
125,Heat. Add more water.,,,
126,Mix the water,,,
127,"Heat, add more water.",,,
128,I don't know either,,,
129,"Add warm water, add more water, etc",,,
130,"""Add more water to the c beaker",,,
131,"""Heat the beaker""",,,
132,"Add hot water, heat",,,
133,"Water, fire extinguishers, etc",,,
134,Heat the water,,,
135,I don't know.,,,
136,Stir a lot of water,,,
137,Add hot water.Microwave it in a microwave.,,,
138,"Add more water, drain salt, and do not experiment",,,
139,"Dissolve in water with heat, stirring constantly",,,
140,Stir with a glass rod.,,,
141,Keep stirring,,,
142,Keep stirring with a glass bar. Add hot water,,,
143,Stir it with a stick,,,
144,Stir it.,,,
145,Keep stirring with a glass rod.,,,
146,Dissolve salt by heating the water,,,
147,Heat the beaker over heat to dissolve the salt,,,
148,1. Add more water and mix. 2. Keep stirring.,,,
149,"Stir with a stick, etc.",,,
150,Water and salt are used to melt it,,,
151,Boil water and melt it with a dryer,,,
