,"2) How can I compare the richness of salt water in A, B, and C beakers other than a taste?",q36_weight,q36_deposition,q36_measurement,q36_color,q36_taste
0,Try putting in a coin.,,,,,
1,Dry salt water in the sun and see how much salt is left,,,,,
2,to suggest the concentration of the concentration,,,,,
3,Heat an object that floats in water like an egg in salt.,,,,,
4,Shake your hand and smell it.,,,,,
5,"If you put a floating object on salt water, it will float best in dense salt water",,,,,
6,"I don't know. Please look at me, please(Laughing) (Laughing)",,,,,
7,Float the cherry tomatoes,,,,,
8,Measure it with a measuring instrument,,,,,
9,"Same time, same amount of water, same amount of salt",,,,,
10,Run the cherry tomatoes.,,,,,
11,Measure the time until it is completely melted.,,,,,
12,the thickening of water,,,,,
13,Obtain the solution by the thickening formula.,,,,,
14,I don't know. I'm sorry,,,,,
15,Create a tool to compare thickening with crease straws,,,,,
16,Create a tool to make and compare wrinkle straws,,,,,
17,You can tell by adding cherry tomatoes.,,,,,
18,the richness of salt water,,,,,
19,To the extent that cherry tomatoes float,,,,,
20,Measure it with a salinity meter,,,,,
21,Color,,,,,
22,to be smelt,,,,,
23,Seeing with your eyes,,,,,
24,I'm going to add eggs,,,,,
25,Measure the smell or concentration of water,,,,,
26,Compare with litmus paper.,,,,,
27,Try hot and cold water,,,,,
28,Add more salt.,,,,,
29,The smell,,,,,
30,Heat the water over the fire to evaporate in salt water.,,,,,
31,"If you look at the concentration, you can see that the salt water, which has the largest amount of salt left by boiling salt water, is the thickest.",,,,,
32,Experiment in many ways.,,,,,
33,Put in litmus paper,,,,,
34,1. Colors,,,,,
35,"2. Smell""",,,,,
36,You can tell by the richness of the color in salt water.,,,,,
37,Color comparison,,,,,
38,Put the salt in the beaker in moderation.,,,,,
39,Look at the amount of water.,,,,,
40,Compare colors.,,,,,
41,Take a look at it every day,,,,,
42,Pour salt water into something like paper.,,,,,
43,"Smell, compare with eyes",,,,,
44,I think I can tell by the concentration and color.,,,,,
45,"Compare the temperature at which salt is deposited by lowering the temperature. When salt is added and a lot of salt is added, it becomes less thick when it becomes a saturated solution. When you add a little, it becomes a saturated solution, and it's thick.",,,,,
46,.,,,,,
47,I put something in and it floats,,,,,
48,See how much salt is boiled,,,,,
49,Tongue.,,,,,
50,Smell it,,,,,
51,Analyze how much salt contains,,,,,
52,Dry to determine the amount of salt,,,,,
53,Colors,,,,,
54,Use litmus paper or boil water to see the amount of salt,,,,,
55,Pour the water from the beaker onto the filter paper and examine the remaining salt on the filter paper,,,,,
56,Measure the concentration of salt water through an instrument that measures the concentration of water.,,,,,
57,"unbounded, conductive, etc",,,,,
58,I don't know.,,,,,
59,Measure the concentration. See transparency. and so on,,,,,
60,Check the amount of salt that has been boiled over water,,,,,
61,Color and transparency,,,,,
62,Heat the salt water to evaporate the water and compare the amount of salt water left. Measure the weight,,,,,
63,Heat the same amount of salt water to evaporate the water and measure the amount of salt that comes out.,,,,,
64,Measure the salinity.,,,,,
65,Compare the sizes.,,,,,
66,"After boiling the water, check the amount of salt. Measure it with a machine. Observe the amount of salt that has not melted by adding a certain amount of salt, and check the turbidity of the water.",,,,,
67,"Compare the amount of salt left after evaporating, lower the temperature of the salt water to see the order in which the salt comes out.",,,,,
68,Compare the mass.,,,,,
69,Compare the amount of salt that evaporates water,,,,,
70,Try to evaporate the water.,,,,,
71,"By evaporating salt water, it is distinguished as having a lot of salt lumps.",,,,,
72,Add eggs to compare the richness of salt,,,,,
73,Add the same amount of salt at a constant rate and check the order in which it does not dissolve.,,,,,
74,I'll look at the amount of salt left,,,,,
75,Boil until the water is gone,,,,,
76,float an object,,,,,
77,I don't know.,,,,,
78,Use a concentration meter.,,,,,
79,Compare the amount of salt by evaporating all the water. Compare and measure using a machine.,,,,,
80,"If you divide ABC separately and evaporate, the salt comes out. The beaker with a lot of salt has the most salty amount",,,,,
81,Use tools to measure salt,,,,,
82,Boil the salt water of each beaker until the water evaporates and compare the amount of salt remaining to compare the thickness.,,,,,
83,Measure the thickness with a machine. There must be a machine that can be measured.,,,,,
84,Take a certain amount and let the water evaporate in the sunlight,,,,,
