,1) Why do bags of snacks swell up on high mountains?,q37_pressure,q37_air,q37_altitude,q37_temperature
0,There's a lot of oxygen,,,,
1,This is because the pressure of the air increases.,,,,
2,The pressure is getting stronger,,,,
3,I think it's swollen because it's vinyl,,,,
4,because of the pressure,,,,
5,It's full of nitrogen and there's nothing to eat,,,,
6,I think it is because I get close to the sky when I go to a high mountain,,,,
7,Because of the pressure,,,,
8,I'm running out of course,,,,
9,"This is because as the air cools, the air goes down and enters the bag.",,,,
10,It's an alpine region,,,,
11,"The more you go up, the more the wind blows",,,,
12,"There are a lot of trees in the mountain, so there is a lot of air in the bag of snacks are full of air.",,,,
13,This is because the air enters or exits.,,,,
14,"The higher the mountain, the weaker the pressure, and the bag of snacks seems to swell.",,,,
15,"It's because there's less oxygen when you climb a high mountain, so you're under pressure",,,,
16,under pressure,,,,
17,be due to the lack of oxygen,,,,
18,"The more you play, the more pressure you get",,,,
19,"Because the higher you go, the lower your family business gets.",,,,
20,"Because there is less oxygen, the force to press the snack bag outside becomes weak. (Because the air pressure is lowered)",,,,
21,It's because the pressure on the air pressure is strong.,,,,
22,Just,,,,
23,Just,,,,
24,This is because the density of the air is high.,,,,
25,It swells up because the front is low.,,,,
26,It swells up because of its high altitude.,,,,
27,It swells up because of its high altitude,,,,
28,It's because of the high altitude,,,,
29,This is because the temperature has changed.,,,,
30,The plastic bottle expanded by heat and contracted with heat,,,,
31,Because of the strong air pressure,,,,
32,Because of the weak pressure.,,,,
33,be due to a decrease in air pressure,,,,
34,"Because of the high atmospheric pressure of the mountain,",,,,
35,The air pressure and pressure of the temperature of the air in the acid.,,,,
36,Because of the high atmospheric pressure,,,,
37,It's because gravity weakens,,,,
38,It seems to swell due to atmospheric pressure,,,,
39,This is because the air pressure has increased.,,,,
40,"Because of the atmospheric pressure on the mountain,",,,,
41,Because the air is low on the top of the mountain,,,,
42,It is because of the high atmospheric pressure on the mountain.,,,,
43,This is because the front of the mountain is high.,,,,
44,It's because the air pressure is high on the mountain,,,,
45,It's because of the atmospheric pressure.,,,,
46,Because the air pressure is low,,,,
47,It's full of air,,,,
48,"Because the air is cold,",,,,
49,I'm under pressure,,,,
50,There's pressure,,,,
51,It is likely that the air pressure will increase and become full due to the pressure of the air.,,,,
52,"As the height rises, it swells up due to air pressure.",,,,
53,There's not much air left,,,,
54,Nitrogen inside is inflated by pressure,,,,
55,It's because of the pressure.,,,,
56,Air pressure causes the bag to swell,,,,
57,I don't know.,,,,
58,Because the air in the high mountains is different from the air underneath.,,,,
59,It's because there's a lot of nitrogen and oxygen coming in,,,,
60,"The higher you go, the less oxygen in the air",,,,
61,"This is because the pressure in the air increases and goes up, resulting in high pressure.",,,,
62,This is because pressure is applied.,,,,
63,This is because the air pressure is as high as when you're on an airplane.,,,,
64,The pressure of the air is high,,,,
65,Because of the high pressure,,,,
66,Because of the pressure,,,,
67,"It happened because of the pressure difference.For example, if you go up to a high place by car, your ears get blocked",,,,
68,By the wind while climbing the mountain?,,,,
69,"As the altitude increases, the air pressure decreases and the air inside the bag expands",,,,
