,2) Why do plastic bottles that are left outside in the summer get crushed when they are put in the refrigerator?,q38_temperature,q38_pressure,q38_gas molecule
0,Because oxygen is cold,,,
1,Because the air is cold.,,,
2,I don't know,,,
3,I didn't put air on it,,,
4,Because it melts,,,
5,The plastic bottle is weak,,,
6,I think it's because of the temperature change because it suddenly gets cold after being in a hot place,,,
7,It's melted,,,
8,It was hot and I bought it in the cold,,,
9,"The plastic bottle is in contact with the hot air, so the air is inside, because the hot air inside disappears when it meets the cold air.",,,
10,There's a big difference in temperature,,,
11,"Because the air temperature is different,",,,
12,"It is cold in the refrigerator, so the pressure is generated in the plastic bottle and it is crushed.",,,
13,Is there dew when it touches the cold air?,,,
14,"The plastic bottle is hot outside, and suddenly it seems to be crushed in the cold refrigerator",,,
15,The bottle that received the hot air suddenly received the cold air,,,
16,because of the pressure,,,
17,Because the temperature of the air is different.,,,
18,"The plastic bottle expands if it is hot, and if it is cold, the plastic bottle is crushed in reverse.",,,
19,Because the air in the plastic bottle is hot air and the air in the refrigerator is cold.,,,
20,"Because if you put it in the refrigerator, the warm bottle gets cold and contracts.",,,
21,"It was hot, but I think it happened because the temperature suddenly changed like it was getting cold",,,
22,Just,,,
23,Just,,,
24,This is because the air in the plastic bottle evaporated.,,,
25,I don't know,,,
26,"It's hot, but why doesn't my plastic get crushed?;;;;;;?",,,
27,"Because of the cold air in the refrigerator,",,,
28,It's hot outside and cool inside the refrigerator,,,
29,This is because it changed from a hot space to a cold space.,,,
30,I don't know.,,,
31,at a low air pressure,,,
32,under heavy pressure,,,
33,This is because the plastic bottle was expanded by heat and then contracted due to a sudden decrease in temperature.,,,
34,The plastic bottle froze and the water froze,,,
35,The temperature was atmospheric pressure. It's a low-pressure in-he compression pig,,,
36,"From hot air to cold air,",,,
37,I don't know,,,
38,"As the ice ran out of oxygen, oxygen seemed to meet at the bottom",,,
39,This is because the volume of air has decreased as it cools.,,,
40,"Because the temperature of the plastic bottle outside and the temperature of the refrigerator are different,",,,
