,"4. Oxygen, which accounts for about 21% of the air, is colorless, invisible and odorless. But when oxygen is gone, there will be various phenomena on Earth. What happens when oxygen is gone? Let's explain in detail using knowledge of oxygen properties and use. ",q4_combustion,q4_green,q4_life,q4_global environment
0,I don't know.,,,,
1,All life forms based on oxygen breathing will die.,,,,
2,They all die because they can't breathe,,,,
3,"Ultraviolet penetration, oxygen-breathing creatures cannot live, and oxygen is gradually reborn through photosynthesis.",,,,
4,The creatures will not be able to live,,,,
5,People die. Life becomes uninhabitable.,,,,
6,"If oxygen is lost, plants and animals will die out.",,,,
7,I die because I can't breathe,,,,
8,There will be no oxidation reaction and no rust. The creatures will not be able to breathe.,,,,
9,"of a creature, to be unable to breathe",,,,
10,Many organisms that breathe using oxygen are all there.,,,,
11,People cannot survive because they cannot breathe.,,,,
12,"Oxygen does not contain much air content, but if it disappears, it dies because it cannot breathe cells of living things.",,,,
13,Human beings cannot breathe.,,,,
14,"Oxygen is well bonded to various materials, and when it disappears, oxygen in the oxide, which accounts for a significant amount of the earth's land, disappears and the ground collapses.",,,,
15,"The Earth is likely to be in ruins because if oxygen is lost, the human skin will swell and the earth's ozone will be removed.",,,,
16,"Without oxygen, we would all die because we couldn't breathe cells, and plants would photosynthesize, so oxygen wouldn't go away",,,,
17,People die,,,,
18,The oxygen-breathing creatures will die because they cannot breathe oxygen.,,,,
19,"When oxygen is gone, all living things that breathe will die because they cannot breathe.",,,,
20,The ozone layer will be destroyed and more directly damaged by ultraviolet rays.,,,,
21,"Oxygen is a very important gas for life's respiratory activities, so if oxygen disappears, life will not be able to exist.",,,,
22,Iron doesn't rust. Life is almost uninhabitable.,,,,
23,Land creatures cannot survive.,,,,
24,"The earth's crust will collapse, and all organic matter containing oxygen will be broken down.",,,,
25,All living things that breathe with oxygen will die out and the ozone layer will be destroyed and the UV rays entering will increase.,,,,
26,The redox reaction disappears. Life can't survive  The ozone disappears,,,,
27,"The ozone layer, which is made up of an array of oxygen atoms, disappears and ultraviolet rays pass through it, raising the Earth's temperature. Water, which was the catalyst necessary for life to occur in the beginning, is not synthesized due to the absence of oxygen, and life disappears.",,,,
28,"If oxygen disappears now, animals that need oxygen will die, and the soil will not be fertilized and plants will die. Eventually, it becomes a planet where life cannot live. """,,,,
29,I can't breathe,,,,
30,"When oxygen is lost, all combustion reactions or oxidation reactions disappear, and elements that account for a large percentage of living things disappear, so all life phenomena disappear.",,,,
31,People can't live,,,,
32,People die,,,,
33,Animals can't live and people can't live,,,,
34,I don't know,,,,
35,Unknowingness,,,,
36,I don't know,,,,
37,"People, animals, plants, fish, etc. die",,,,
38,"People disappear, flower trees disappear, and there seems to be nothing on Earth",,,,
39,Life and liver die,,,,
40,The weather gets dry and all life dies,,,,
41,be uninhabitable,,,,
42,Life cannot live.,,,,
43,"If the air disappears even a little, we will feel uncomfortable breathing.",,,,
44,I don't know.,,,,
45,"When oxygen is lost, everything that lives and breathes on Earth is lost.",,,,
46,"Oxygen is characterized by resting our pe If the oxygen is gone, the flowers will wither, and the animals and people will dieThe land is dry, the sea is polluted, and everyone is in danger",,,,
47,"Without air, people and animals would not live.",,,,
48,Because I can't breathe without oxygen.,,,,
49,"People, all living things and animals die",,,,
50,be unable to drink water     I can't breathe,,,,
51,People die because they cannot breathe without oxygen.,,,,
52,You can't live without oxygen,,,,
53,Animals and plants die because they can't breathe,,,,
54,"Once oxygen is gone, the Earth's ecosystem is gone",,,,
55,"Once oxygen is gone, the Earth's ecosystem is gone",,,,
56,People die because they cannot breathe without oxygen.,,,,
57,All life is dead.,,,,
58,Breathing becomes thin,,,,
59,People and animal plants will not be able to breathe,,,,
60,"When oxygen is gone, everything that breathes with oxygen dies",,,,
61,the inability of an animal or person to breathe,,,,
62,"If oxygen is gone, it will not catch fire because it is a property of oxygen",,,,
63,"Oxygen is essential for cellular respiration in our bodies, so if oxygen is lost, our bodies will not be able to breathe cells, and eventually die because they cannot produce energy.",,,,
64,Animals and plants can't breathe,,,,
65,"When oxygen is gone, humans cannot breathe, animals cannot live without oxygen, and plants live in oxygen, worms live in oxygen, and fish live in oxygen because there are many reasons why people and animal plants use these neoplas such, oxygen is needed.",,,,
66,The iron does not rust,,,,
67,All animals and plants and people cannot breathe and become uninhabitable planets.,,,,
68,Life dies without breathing,,,,
69,"If oxygen is gone, all living things will die",,,,
70,Life doesn't live.,,,,
71,Animals and plants become uninhabitable.,,,,
72,All living things on Earth die,,,,
73,The ozone layer disappears and the earth burns,,,,
74,"When oxygen is lost, living things die and living things become uninhabitable.",,,,
75,I can't breathe,,,,
76,"""1. People can't breathe (i.e., die)",,,,
77,"2.The plants die.""",,,,
78,"Without oxygen, living things will not be able to breathe. Oxygen is a necessary substance for living things, so if oxygen is lost, all living things will not be able to breathe and all living things on Earth will disappear.",,,,
79,"When oxygen is gone, you can't breathe, you can't burn easily, and iron doesn't rust easily",,,,
80,Human beings die,,,,
81,The creature dies and the fire does not rise.,,,,
82,The creature disappears,,,,
83,The fire won't get bigger,,,,
84,People die,,,,
85,"If people cannot live, of course animals and plants, and if food does not grow, the Earth will be destroyed.",,,,
86,All living things in the world die because they cannot breathe.,,,,
87,I'm dying because I can't breathe,,,,
88,Man dies.,,,,
89,"If oxygen is lost, people or plants cannot live.",,,,
90,People die,,,,
91,"not being able to cook, etc. without catching fire",,,,
92,I don't know.,,,,
93,"Without oxygen, living creatures will die.",,,,
94,I can't breathe. I can't make a fire.,,,,
95,Maybe all living things will die and the world will literally be a wasteland,,,,
96,"Without oxygen, people cannot live and do not catch fire",,,,
97,"Oxygen and fire meet and catch fire, but I don't think I can do it without oxygen.",,,,
98,Oxygen is odorless and colorless.,,,,
99,"Once life is almost gone (plants, humans, animals) and bacteria are gradually losing their food, bacteria will disappear and new life will come out.",,,,
100,"When oxygen is gone, there is no fire.It's hard for animals and plants to live.",,,,
101,The loss of oxygen will make it difficult for living organisms to live through it.,,,,
102,"Without oxygen, many humans and animals are likely to die because they cannot breathe",,,,
103,"Oxygen is a gas that allows humans and other animals to breathe. If oxygen is lost, it will lead to the death of countless humans and animals that maintain their lives with oxygen.",,,,
104,I don't know.,,,,
105,??105.0,,,,
106,"If oxygen is gone, people can't live",,,,
107,Unknowingness,,,,
108,It allows us to breathe,,,,
109,The end of mankind.,,,,
110,The world is ruined because all the creatures are dead,,,,
111,You'll die.,,,,
112,Various diseases will appear,,,,
113,"When oxygen is gone, it cannot live.",,,,
114,Breathing kills.,,,,
115,"Trees, grass, etc. don't grow and people die breathlessly",,,,
116,"When oxygen disappears, living things disappear and other substances disappear",,,,
117,"Both humans and plant animals die, dry and twist, the air in the balloon disappears, and they can't hear or breathe",,,,
118,The plants die,,,,
119,"Without oxygen, I would die",,,,
120,Oxygen is essential,,,,
121,the demise of mankind,,,,
122,Various diseases will appear,,,,
123,death from breathlessness,,,,
124,People are not living,,,,
125,People don't live.,,,,
126,"""1. People search everywhere.",,,,
127,2. More carbon dioxide.,,,,
128,"3. Most of the creatures are hunted.""",,,,
129,PARK JI HOON is so handsome,,,,
130,Oxygen helps us breathe,,,,
131,Of course it's oxygen. You can't see it,,,,
132,"When oxygen is lost in the air, it becomes an uninhabitable world for people.",,,,
133,You can't breathe and the earth and mankind perish.,,,,
134,"When oxygen is gone, plants will wither and people will feel uncomfortable because people cannot breathe",,,,
135,"Humanity will disappear, cities will become more and more jungles, and in a few billion years, new life will emerge on Earth.",,,,
