,"2) The wooden ladle wasn't hot, but why did the metal ladle get hot?",q40_column movement,q40_material
0,It's because the heat doesn't work in the trees,,
1,This is because wooden ladles move heat slowly and metal ladles move heat quickly.,,
2,Metal transfers heat faster than wood,,
3,The temperature is different,,
4,Trees can't get heat,,
5,Metal ladle can move heat well,,
6,Metal properties and wood properties are different and the metal gets hot quickly because it is metal.,,
7,The reason the metal ladle got hot is metal,,
8,"Because metal transfers heat well, wooden ladles do not transfer heat well.",,
9,This is because heat is transferred only to metals.,,
10,Wooden ladle doesn't absorb heat well,,
11,Because of the air,,
12,Metal originally gets hot together when it goes to hot places that are hot.,,
13,"Because metal ladle is iron, it dissolves easily in hot heat.",,
14,Because metal is heat-transferred,,
15,"Wooden ladle does not transfer hot heat, but metal can move heat",,
16,Because wooden ladle can't absorb heat well,,
17,"This is because wood is not made of iron or metal, and hot water is getting colder and colder, and metal keeps it hot.",,
18,"Metal components are easier to move to heat than wooden components, so use a ladle",,
19,Metal moves heat better,,
20,Because metal transfers heat better than wood.,,
21,"I think it is because of the phenomenon that metal gets hot as it gets washed when it gets hot, and the wood does not get hot.",,
22,Metal transfers heat,,
23,Metal transfers heat,,
24,"This is because wooden ladles do not transfer heat well, while metal ladles transfer heat well.",,
25,Metal transfers heat,,
26,Metal,,
27,Because wooden ladle is wood and metal is heated.,,
28,It's because it heats up,,
29,"The wood is hot, but the metal is sensitive to heat.",,
30,I don't know.,,
31,The metal will have heat longer and heat will be transferred better,,
32,Because heat is transferred.,,
33,"Wooden ladle has low thermal conductivity, but iron ladle has high thermal conductivity",,
34,The heat travels through the metal,,
35,"The temperature rises rapidly and heats up, like hot water and rotting hot water.",,
36,Unknowingness,,
37,"This is because heat is not transferred to trees, but heat is transferred to metals well",,
38,Because heat becomes active with this metal,,
39,"This is because heat is not transferred well to trees, but metal is transferred well.",,
40,It is because metal and wood have different substances,,
41,"The temperature of the wooden ladle was not much different, but the temperature of the metal ladle was very cold",,
42,This is because heat is not transferred quickly in wood and heat is transferred quickly in iron.,,
43,This is because metal reacts to water.,,
44,"This is because wooden ladles do not react to water, but metal ladles react to water.",,
45,Metal conducts heat quickly.,,
46,Because the specific heat of the metal is low,,
47,This is because wooden ladles do not receive heat. Metal ladles are heated.,,
48,Because wood is a burning property and metal melts or turns red when it is close to fire.,,
49,Because metals keep heat and trees release heat,,
50,The metal moves heat well,,
51,Metal is more sensitive to heat,,
52,Because wood does not heat up and metal heats up easily,,
53,Because it's the season,,
54,"The wooden ladle doesn't carry heat, but the metal ladle is heated",,
55,This is because the metal ladle heats up quickly.,,
56,Metal absorbs heat,,
57,It's because metal floats faster than wood,,
58,I'm not in season with water,,
59,Because it's metal,,
60,Because wood reflects heat and metal absorbs heat,,
61,"This is because the heat of wooden ladle does not move well, but the heat of metal moves well.",,
62,"This is because trees absorb water and are eco-friendly, but ladles are artificial.",,
63,in a fit of anger,,
64,"The wooden ladle does not move heat, but the metal ladle moves heat",,
65,Metal heats up better,,
66,Metal heats up better,,
67,Because iron is a material that reacts easily to heat.,,
68,It's made of metal,,
69,"Metal ladles have a small specific heat, so heat is transferred quickly",,
70,This is because the thermal conductivity is different.(Metal has greater thermal conductivity than wood),,
71,This is because the thermal conductivity of the metal ladle is greater.,,
72,"It's the same temperature, but the metal ladle is bigger in thermal conductivity, so it's hot.",,
73,Because of the difference in specific heat,,
74,"Metal has a lower specific heat than wood, so temperature changes are faster.",,
75,"Because of the difference between the specific heat and the thermal conductivity,",,
76,Difference in thermal conductivity,,
77,It's because the thermal conductivity is different.,,
78,This is because wood molecules do not get hot easily and metal molecules get hot easily.,,
79,"The wooden ladle has a smaller thermal conductivity than the metal ladle, but the metal ladle has a large amount of heat because of its high thermal conductivity",,
80,Wooden ladles have low heat conductivity and are not good at transferring heat.,,
81,"So the wooden ladle did not get hot. However, the metal ladle became hot because of its high thermal conductivity.""",,
82,"This is because the thermal conductivity of the wooden ladle was lower than that of the metal ladle, so that the heat was not transferred to the point where it became hot.",,
83,"Wooden ladles do not move heat well, while metal ladles do not move heat well compared to metal ladles because they move heat actively.",,
84,"Because the temperature change is inversely proportional to the specific heat, the wooden ladle is hotter than the metal ladle",,
85,"Due to the different thermal conductivity of wooden ladle and metal ladle, wooden ladle did not get hot even when put in hot water due to low thermal conductivity, but metal ladle has high thermal conductivity and gets hot quickly when put in hot water.",,
86,"This is because the distance between molecules is closer than the wooden ladle, so the conduction speed is much faster.",,
87,"The wooden ladle is a non-metal, and there is no medium capable of transferring heat between bonded atoms, but the metal ladle allows free electrons to move freely between the bonded atoms and thus allow free electrons to move freely.",,
88,"This is because wooden ladles have low conductivity, but metal ladles have high conductivity.",,
89,.,,
90,"The wooden ladle had a larger specific heat than the metal ladle, so the metal ladle became hot, but the wooden ladle did not get hot.",,
91,"In the heat applied from the outside, the wooden ladle was not hot because the molecular movement was not active, but on the contrary, the metal ladle became hotter because the molecular movement was active when heated.",,
92,"Metals have high thermal transition properties, whereas trees do not.",,
93,.,,
94,"This is because wooden ladles have a lower specific heat, or the degree to which the heat of an object changes when the same heat is given for the same time, than metal ladles. If you soak it in hot water for a very long time, the wooden ladle will also be very hot.",,
95,"It can be seen that metals have less specific heat than trees because they have active heat movement and trees have less heat movement. Based on this, the metal ladle with a small specific heat becomes hot.",,
96,This is because metal ladles have higher thermal conductivity than wooden ladles.,,
97,"Wood has low thermal conductivity, so the wooden ladle did not heat up because it did not move the heat of hot water well, but metal has high thermal conductivity, so the metal ladle moves the heat of hot water well.",,
