,1) What happened to the air in the bag after several breaths?,q41_oxygen,q41_carbon dioxide,q41_moisture
0,The plastic bag will swell,,,
1,Oxygen is scarce and carbon dioxide increases.,,,
2,There is a lack of oxygen to breathe.,,,
3,There will be air in the plastic bag,,,
4,The bag will be full of moisture,,,
5,It will be full of carbon dioxide,,,
6,It would have turned into hot air.,,,
7,Moisture forms in the bag.,,,
8,"As water droplets form in the bag, it becomes more plump.",,,
9,The air is likely to be warm.,,,
10,The air turned into carbon dioxide,,,
11,The air would have turned into carbon dioxide,,,
12,There will be air in the plastic bag.,,,
13,You won't be able to breathe much because there's a lot of air going out.,,,
14,The air in the bag is about to disappear.,,,
15,The air will get hot because the air is not flowing,,,
16,"At first, the air is full, but it is likely to decrease gradually",,,
17,There will be saliva and water in the bag.,,,
18,"The bag will be filled with carbon dioxide that comes out when a person, not oxygen, breathes and exhale.",,,
19,"At first, it contained oxygen, but when you breathe, it is filled with carbon dioxide because it breathes with oxygen and carbon dioxide comes out.",,,
20,The air in the bag would have turned into air that was not fresh.,,,
21,The air has dwindled.,,,
22,Just,,,
23,Just,,,
24,It becomes opaque white.,,,
25,There will be a lot of carbon dioxide in the bag.,,,
26,A lot of air is gone.,,,
27,It is changed by carbon dioxide.,,,
28,I think the air will warm up,,,
29,It's getting damp.,,,
30,increase in carbon dioxide,,,
31,I think it would have turned into a carbon dioxide hymn.,,,
32,The air seems to have gotten warmer.,,,
33,There is a lot of carbon dioxide.,,,
34,It's going to shrink and get smaller,,,
35,The air is thinning out.,,,
36,The air will be reduced and oxygen will be converted into carbon dioxide,,,
37,"The bag contains carbon dioxide, not oxygen",,,
38,Carbon dioxide would have taken up most of it,,,
39,It is likely that fresh air has decreased and turned into carbon dioxide.,,,
40,A lot of air would have disappeared.,,,
41,I think water droplets will form in the plastic bag,,,
42,Moisture fills the bag.,,,
43,Moisture forms in the bag.,,,
44,Moisture forms in the bag.,,,
45,Moisture forms and droplets form in the bag.,,,
46,"There will be a shortage of oxygen, and more carbon dioxide.",,,
47,It's hot.,,,
48,It will shrink and then swell again.,,,
49,Water vapor forms (water droplets are produced,,,
50,water formation,,,
51,The air would have decreased slowly.,,,
52,The air disappears,,,
53,water-bearing,,,
54,The warm and cold wind will be divided and the bag will be mixed with saliva,,,
55,The bag is filled with air.,,,
56,"Because I breathed several times, carbon dioxide came out and the air got bad",,,
57,I don't know,,,
58,You won't be able to see the inside of the plastic bag.,,,
59,I got wet because I sweated a lot,,,
60,I think the air got hot.,,,
61,The fresh air I inhale and exhale increases carbon dioxide.,,,
62,Saliva is collected and the bag becomes humid.,,,
63,"We breathe in the air in the bag, but when we exhale again, the air changes. That's why the air in the bag is different.",,,
64,I think I'm gonna get a lot of carbon dioxide out of my new air,,,
65,I don't know,,,
66,Air and carbon dioxide will mix.,,,
67,It would have been warmer than cold air because it was inhaled and exhaled,,,
68,You don't think there's air?,,,
69,The proportion of oxygen in the air decreases and the proportion of carbon dioxide increases,,,
70,"The fraction of acid molecules in the air decreases, and the fraction of carbon dioxide increases",,,
71,"The fraction of oxygen in the air would have been low, and the fraction of carbon dioxide would have increased.",,,
72,"The concentration of oxygen gas decreases, and the concentration of carbon dioxide gas increases.",,,
73,The proportion of carbon dioxide will increase.,,,
74,Oxygen concentration decreased and carbon dioxide concentration increased.,,,
75,"Increasing concentration of carbon dioxide, decreasing oxygen concentration",,,
76,Oxygen gas decreases and carbon dioxide gas increases.,,,
77,full of bad breath,,,
78,Carbon dioxide increases and oxygen decreases.,,,
79,The amount of oxygen in the air decreases.,,,
80,"Breathe in air when inhaling, and exhale carbon dioxide when exhaling, so if you breathe in and out repeatedly, the air in the bag becomes thin.",,,
