,2) Why was it so hard to breathe after the first few breaths?,q42_oxygen,q42_carbon dioxide,q42_air
0,It's because there's not enough oxygen,,,
1,Because we are running out of oxygen (O2).,,,
2,Because you're running out of oxygen to breathe,,,
3,Your lung capacity is bad because you haven't breathed for a long time,,,
4,It's because of the plastic,,,
5,full of carbon dioxide,,,
6,I think it will be bitter because it is difficult to breathe as the air is dry.,,,
7,There's oxygen in the plastic bag,,,
8,Breathe in the air,,,
9,"This is because when you inhale, all the air does not enter your mouth and there is some left in the bag.",,,
10,There is a lack of fresh air and air in the air,,,
11,"Because the fresh air disappears,",,,
12,This is because the air in the pe disappears a little while doing the exercise that the pe breathes.,,,
13,This is because the air escapes and filters out bad substances when breathing and exhaling air.,,,
14,I think it is because air is disappearing even though I breathe only when there is air.,,,
15,The air doesn't go through well,,,
16,The air came out of the plastic bag,,,
17,"The amount of air in the bag is that much, so even when you breathe, it will be hard because the air is gradually disappearing",,,
18,"The bag is filled with carbon dioxide, not oxygen",,,
19,"Because people breathe with oxygen, not carbon dioxide, they lack oxygen.",,,
20,"After you drink oxygen, you exhale carbon dioxide, so there will be carbon dioxide left in the bag.",,,
21,It's because the air is getting scarce.,,,
22,Just,,,
23,Just,,,
24,This is because there is a lack of breathing air.,,,
25,"At first, it was clear air, but when you breathe in and out, carbon dioxide comes out and fills the balloon.",,,
26,"Because of the carbon dioxide that people exhale, the air gets bad and a lot of air is gone",,,
27,This is because the air decreases while inhaling the lift.,,,
28,"Because the air that people exhale is carbon dioxide, the air gets worse and they can't breathe",,,
29,This is because I had no choice but to breathe only in a fixed space.,,,
30,be due to low air pressure,,,
31,"Oxygen turned into carbon dioxide, and oxygen ran out.",,,
32,The amount of air you breathe in is small and the air is warm.,,,
33,be due to the lack of oxygen,,,
34,The plastic bag got smaller,,,
35,Air comes out of the mouth or counts out of snow or plastic foil.,,,
36,There's a place where you can zoom in,,,
37,"We breathe with oxygen because there is carbon dioxide in the bag, not oxygen",,,
38,Because carbon dioxide interferes with human hopping and is very short of oxygen,,,
39,This is because it was difficult to breathe air that had been changed to carbon dioxide because drinking carbon dioxide made me feel stuffy.,,,
40,"There is air in the plastic bag, so if you breathe only in the plastic bag, the air gradually escapes and you can't breathe",,,
41,Because the air that you can breathe is disappearing,,,
42,There's not enough air in the bag,,,
43,This is because the air has disappeared in the bag.,,,
44,There's no air in the bag,,,
45,This is because the air disappears in the bag.,,,
46,I'm running low on oxygen,,,
47,I'm running out of air,,,
48,"Because the air was in a constant space,",,,
49,because of lack of oxygen,,,
50,The oxygen disappeared,,,
51,I think the air escaped through my nose and disappeared.,,,
52,Because the air disappears,,,
53,There's too much water,,,
54,"Because of the lack of lung capacity,",,,
55,I don't know.,,,
56,"Because when you breathe, you get carbon dioxide",,,
57,This is because the proportion of oxygen in the air in the plastic bag decreases.,,,
58,This is because it is a limited space for inhaling and exhaling air.,,,
59,Because it's hard,,,
60,"When you breathe in and out air, you breathe out carbon dioxide, so I think it's hard to breathe because of the lack of air.",,,
61,"At first, there was a lot of oxygen in the fresh air, but it's getting harder and harder to breathe because of the carbon dioxide that we breathe out.",,,
62,This is because the air in the bag is limited.,,,
63,"Since the air has changed, it becomes difficult because there is only other air, not the air we have to inhale.",,,
64,There's a lot of carbon dioxide,,,
65,I drank all the air in the bag,,,
66,I drank all the air in the bag,,,
67,I think it was difficult because the air I inhale gradually disappeared as I repeatedly inhale and exhale.,,,
68,Because you can hear it a lot?,,,
69,"If the proportion of carbon dioxide increases, carbon dioxide binds to hemoglobin instead of oxygen, damaging the purification system in the body",,,
70,"Breathing uses oxygen and releases carbon dioxide, which reduces the amount of oxygen in the air, making breathing difficult In addition, excessive humidity in the air due to water vapor generated during the breathing process also contributes to difficulty in breathing",,,
71,This is because the amount of oxygen gas that can be absorbed during breathing has decreased.,,,
72,"As the concentration of carbon dioxide gas increases, the difference in partial pressure of carbon dioxide in the alveoli decreases, making it difficult to exchange gases.",,,
73,"Because the oxygen concentration of the incoming air is low,",,,
74,This is because the oxygen concentration decreases and the carbon dioxide concentration increases as you breathe.,,,
75,Reduced partial pressure difference reduces airflow into the lungs,,,
76,Because carbon dioxide gas increases,,,
77,I'm exhausted,,,
78,"At first, there was oxygen in the plastic bag, but after a few breaths, oxygen decreased and only carbon dioxide remained, making it difficult to breathe.",,,
79,This is because the oxygen in the bag was consumed repeatedly by inhaling and exhaling.,,,
80,"When inhaling, inhaling air, and when exhaling, exhaling carbon dioxide instead of inhaling air, the air becomes thinner and thinner, thus making it difficult to breathe.",,,
81,"The first few breaths had enough oxygen in the air, but after several breaths, the oxygen in the air gradually decreased and was not enough to breathe.",,,
82,"Due to breathing, oxygen decreases and carbon dioxide increases, making it difficult to breathe due to lack of oxygen required for breathing.",,,
83,"Breathing through oxygen in a plastic bag increases the amount of oxygen and carbon dioxide in the plastic bag, and after several times, the amount of oxygen decreases, making it difficult to breathe",,,
84,It's hard to breathe with carbon dioxide because it absorbs oxygen and exhaled carbon dioxide while breathing.,,,
85,This is because the concentration of oxygen required for breathing has decreased and the concentration of carbon dioxide has increased.,,,
86,This is because the amount of oxygen inside vinyl decreases as you inhale. It feels difficult to breathe because oxygen is not supplied to the alveoli.,,,
87,"The first plastic bag contained enough oxygen for us to breathe. Therefore, the first few times I breathed air, I could breathe. However, as we breathe using oxygen, we continue to exhale, and carbon dioxide is released. If we continue to breathe in this state, the amount of oxygen becomes insufficient for us to breathe. Therefore, it becomes difficult to breathe after inhaling air several times.",,,
88,"During the first few times, the relatively large amount of oxygen in a plastic bag was able to breathe smoothly, but over time, the amount of oxygen required for breathing is significantly reduced and difficult to breathe as it turns into air containing a small amount of oxygen and a large amount of carbon dioxide.",,,
89,"At first, oxygen remained in the bag to some extent, but when humans inhale oxygen and exhale carbon dioxide in the process of exhaling, the amount of oxygen in the bag decreases and the amount of carbon dioxide increases. Since life needs oxygen to breathe, it becomes difficult to breathe if the amount of carbon dioxide in the bag is large and the amount of oxygen is small.",,,
90,"Human breathing needs oxygen, because through my breathing, the plastic bag is filled with carbon dioxide and there is no oxygen that humans need.",,,
91,The amount of oxygen in a plastic bag decreases and the amount of carbon dioxide increases as a person repeatedly inhales and exhales. People find it difficult to breathe because they cannot breathe with carbon dioxide.,,,
92,"At first, there was enough oxygen in the plastic bag to breathe, but as you continue to breathe, the oxygen in the plastic bag decreases, making it difficult to breathe.",,,
93,The lack of oxygen required for breathing makes it difficult to breathe.,,,
94,It is frustrating because the amount of carbon dioxide produced by exhalation increases in a bag filled with fresh air. This is also because the amount of oxygen decreases by inhaling oxygen through inhalation.,,,
95,"After several breaths, the air in the bag has less oxygen and relatively more carbon dioxide, so the amount of oxygen used to breathe in is reduced, making it difficult to breathe.",,,
96,"When humans breathe in oxygen and exhale carbon dioxide, the amount of oxygen in the bag decreases, making it difficult to breathe.",,,
97,"Air contains 78% nitrogen, 21% oxygen, and 1% other gases. Human breathing requires only oxygen. Therefore, when exhaling, air enters and iron in hemoglobin in red blood cells binds to oxygen in the blood vessels of the alveoli from the lungs, and nitrogen and other gases except the rest of the oxygen escape by exhalation. If you breathe a lot in that enclosed space, the oxygen concentration becomes insufficient, making it difficult to breathe.",,,
98,"At first, you can breathe because there is enough oxygen in the air, but you have difficulty breathing because the oxygen concentration in the air in the bag decreases while breathing.1)As shown in , the oxygen concentration inside the bag decreases and the carbon dioxide concentration increases, and we try to get oxygen when we breathe. Therefore, it becomes difficult to breathe as the oxygen concentration inside the bag decreases.",,,
99,"We can breathe using oxygen. And when you exhale, you exhale carbon dioxide. Now the bag is sealed because it is tightly attached to the mouth. Therefore, as you breathe, the amount of carbon dioxide increases and the amount of oxygen decreases. Therefore, the amount of oxygen required for breathing decreases, making it difficult to breathe.",,,
100,"As the concentration of carbon dioxide increases gradually,",,,
101,"The amount of oxygen in the bag decreases, making it difficult to breathe",,,
102,It must have been hard because the carbon dioxide concentration was high.,,,
103,"You breathe oxygen every time you breathe, so the more you breathe, the less oxygen you get",,,
104,The amount of carbon dioxide increases,,,
105,"After inhaling oxygen, there's carbon dioxide",,,
106,an increase in carbon dioxide,,,
107,"When people breathe in and out, they breathe in oxygen, and when they breathe out carbon dioxide, but if they continue to breathe, it becomes difficult to breathe because there is more carbon dioxide",,,
108,It will be difficult to breathe because there is only carbon dioxide in the bag.,,,
109,"This is because carbon dioxide is released when exhaled and oxygen is consumed when inhaled, so the air in the plastic bag has changed to carbon dioxide",,,
110,There's less air in the bag,,,
111,Carbon dioxide comes out when you spit it out and it's hard to breathe,,,
112,This is because it is difficult to breathe with carbon dioxide.,,,
113,I'm running low on oxygen,,,
114,"As explained above, the air in the bag is limited, and the oxygen in it is also limited People breathe with oxygen and breathe out carbon dioxide, making it difficult to breathe.",,,
115,This is because carbon dioxide increases and oxygen decreases.,,,
116,"If you continue to breathe, the oxygen in the bag is depleted, making it difficult to supply oxygen, making it difficult to breathe.",,,
117,It may be because there is more carbon dioxide in the bag by inhaling the oxygen in the bag and releasing carbon dioxide,,,
118,This is because the oxygen concentration required for breathing in the air decreased as you breathe.,,,
119,"Since the amount of oxygen decreases gradually, no matter how much you breathe, the amount of oxygen to the brain decreases and the body seems to be tired.",,,
120,There's a lot of carbon dioxide,,,
121,Because oxygen decreases and carbon dioxide increases,,,
122,It would have been difficult to breathe because of the reduced oxygen and increased carbon dioxide needed to breathe,,,
123,"When we breathe, we need oxygen, but the first bag had enough oxygen, but after several trials, it became difficult to breathe due to lack of oxygen.",,,
124,"At first, there was oxygen in the bag, but as he continued to breathe, the amount of oxygen decreased and the amount of carbon dioxide increased.",,,
125,"At first, there was oxygen in the fresh air, but after breathing several times, it becomes difficult to breathe because there is carbon dioxide.",,,
126,"As the amount of oxygen in the bag decreases and carbon dioxide increases, the oxygen required for breathing decreases, making it increasingly difficult to breathe.",,,
127,"At first, it was possible to breathe because there was a little oxygen in the bag, but as the outside oxygen could not enter the bag, only the exhaled carbon dioxide was filled in the bag, making it difficult to breathe",,,
128,"If you breathe out of an isolated space, you release carbon dioxide. And when you breathe in, you get the oxygen you need. This can be seen from the breathing process, and when breathing in, carbon dioxide circulating throughout the body diffuses from the alveoli to the atmosphere due to differences in concentration. Conversely, when breathing, oxygen in the atmosphere diffuses into the alveoli due to differences in concentration. So in an isolated bag, we can feel frustrated because we need less oxygen and more carbon dioxide that we don't need",,,
129,It's filled with carbon dioxide,,,
130,Breathe in all the remaining air,,,
131,"What you need to breathe is oxygen, but it's gone and there's a lot of carbon dioxide that's produced",,,
132,It's because it's getting stuffy,,,
133,It's because the air gets muddy,,,
134,It's because we're running out of oxygen,,,
135,There's a lot of air in my body,,,
136,"Oxygen is gone, carbon dioxide is full",,,
137,It's because I keep breathing.,,,
138,The oxygen inside is reduced,,,
139,lack of oxygen,,,
140,Because the breathing space is filled with carbon dioxide (you need oxygen when you breathe),,,
141,"Since there's less air,",,,
142,Because oxygen is getting less and less,,,
143,"Carbon dioxide comes out when you breathe out, and oxygen comes in when you inhale, so carbon dioxide has a higher ratio than oxygen, making it difficult to breathe.",,,
144,Because oxygen is gone,,,
145,air is gone,,,
146,The air is blocked,,,
147,People can't drink carbon dioxide,,,
148,There's less oxygen and more carbon dioxide,,,
149,This is because the air becomes thinner or oxygen is lost.,,,
150,"This is because when we breathe in, oxygen decreases, and when we breathe out, carbon dioxide comes out!",,,
151,It will be hard to breathe because there is a lot of carbon dioxide coming out of your breath.,,,
152,"We drink oxygen and it's filled with carbon dioxide, so it's going to be hard to rest.",,,
153,"It's full of carbon dioxide, and the clean air disappears",,,
154,"At first, it is easier to breathe because there is more oxygen, but if you breathe several times, there is more carbon dioxide, making it difficult to breathe.",,,
155,"Because of the increase in carbon dioxide,",,,
156,"When the air goes inside and spits out, the air seems to have gone bad.",,,
