,1) Why does 'solar power' help sustainable development for the future compared to fossil energy such as coal and oil?,q43_infinite energy,q43_eco-friendly
0,It uses natural energy that doesn't disappear,,
1,Because it is electricity production using nature.,,
2,"Fossil energy such as coal and oil can be lost, but sunlight is not lost",,
3,The sun is shining,,
4,Hmm... Oh!  The sun shines to help,,
5,Because we can make energy continuously,,
6,Because there is energy???????????????????????????????????????????????????????????????,,
7,Solar power becomes stronger.,,
8,It gives you a hard time.,,
9,Because the sun is not limited energy like oil and fossils.,,
10,at a low cost of electricity,,
11,Because of the energy wake up,,
12,environmental protection,,
13,It is easier and easier to obtain than fossil energy such as coal and oil without polluting the environment.,,
14,Because we can make electricity from the sun,,
15,It reflects sunlight and uses less electricity,,
16,"There may be no coal or heavy oil in the future, so we need it",,
17,The sun makes the rent less expensive,,
18,I'm not sure if I'm going to use a lot of energy from the sun,,
19,You can make your head go up without having a limitless.,,
20,Because resources are infinite and do not emit other pollutants.,,
21,Because coal or oil is not very good.,,
22,They make electricity from the sun,,
23,They make electricity from the sun,,
24,Because solar energy can be produced indefinitely.,,
25,Because we don't use our resources,,
26,To save money,,
27,To save money,,
28,I'm trying to save money by not using expensive oil,,
29,It can save energy and prevent pollution.,,
30,I don't know.,,
31,"Oil and coal are limited, but solar energy is steady",,
32,It creates energy only with the power of nature,,
33,"This is because fossil energy is finite, but sunlight is almost infinite.",,
34,It's eco-friendly and doesn't pollute the environment,,
35,It generates electricity through the power of sunlight.,,
36,A car can travel for a long time,,
37,"Coal and fossils are environments that will one day disappear, but the sun will not disappear in the future",,
38,You can do it indefinitely,,
39,This is because it causes less damage to nature. And because the sun can be used for a very long time to come.,,
40,Because coal and oil are needed to bake this food,,
41,"Coal and oil pollute the environment, and solar power is basically made using sunlight, so it is not environmental pollution",,
42,Because the sun doesn't disappear.,,
43,"There are many villages in the countryside where light does not work well, because solar power can create light.",,
44,"There are many villages in the countryside where light does not work well, because it can make light for solar power generation.",,
45,"There are many villages in the countryside that do not have good light, but solar power is installed to make the light well.",,
46,Solar power is an infinite energy source without polluting the environment,,
47,The reason why solar power is good is that it can only be done by the sun,,
48,"Coal and oil are hard to get, but sunlight is easy to get",,
49,It can save resources and protect the environment.,,
50,ã¶,,
51,.....I don't know.,,
52,It's eco-friendly,,
53,I'm going to grow up,,
54,"Because you get it naturally, your future generations can use it more",,
55,"This is because solar power can be used naturally for life, not fossil energy such as coal and oil.",,
56,"Oil or coal is hard to get, but sunlight is easy to get",,
57,"Coal and oil are threatened to run out, but solar power can continue to generate energy.",,
58,I don't use electricity a lot,,
59,The world doesn't know in the future,,
60,"Solar power can be charged at any time, but fossil energy can run out of resources.",,
61,"If you use a lot of coal or oil, you will run out of resources and you will no longer be able to use it, but solar energy will disappear someday, but it's not the time yet, and solar is the energy that nature can use without destroying.",,
62,"Because the sun is not limited, but coal or oil is limited.",,
63,It can protect the environment and has no limited energy,,
64,do not repel nature,,
65,I don't know,,
66,I doubt it.,,
67,I didn't understand the problem.,,
68,Don't know,,
69,"Oil and coal are limited, while the sun lasts at least a few billion years",,
70,That's because solar energy lasts for about 4.5 billion years as the sun nuclear fuses,,
71,"This is because fossil fuels such as coal and oil cannot be recycled, and the amount is limited.",,
72,"Reduce fumes, greenhouse gases.",,
73,infinity,,
74,This is because more greenhouse gases are emitted.,,
75,Do not emit harmful substances to the environment. So it's advantageous from a long-term and persistent perspective,,
76,The energy supplied is infinite.,,
77,an infinite source of energy,,
78,"This is because the use of solar energy, which can be used infinitely in preparation for the shrinking fossil energy in the future, can prepare for environmental pollution or depleted resources.",,
