,"2) What happens in the future if you use a lot of fossil energy, such as coal or oil?",q44_depleted,q44_environmental pollution
0,Fossil energy disappears,,
1,"Later, coal, oil, etc. become scarce, and energy is no longer available.",,
2,Fossil energy such as coal and oil is lost,,
3,That would be nice,,
4,the collapse of the earth,,
5,"Later, oil or coal becomes scarce",,
6,Global warming will get worse,,
7,The earth is going to perish...,,
8,It's going to be ruined.,,
9,People will not be able to live due to lack of resources.,,
10,No oil or coal for later use,,
11,I don't know,,
12,The environment will improve.,,
13,The environment of the earth will be polluted and it will be difficult for people to live.,,
14,It will be difficult to use electricity later,,
15,"In the future, there will be a lot of power outages due to lack of electricityThere will also be a shortage of resources",,
16,"Global warming comes, and there's no seoktin or oil",,
17,It will be contaminated.,,
18,The environment improves.,,
19,The limited resources are used up and the resources are lost.,,
20,"The environment will be more polluted and resources will be exhausted, making life uncomfortable.",,
21,I don't think I can use it later because it's not enough.,,
22,You're going through it,,
23,You're going through it,,
24,It can run out of resources and become the destruction of mankind.,,
25,I think I'll get better,,
26,The world will perish.,,
27,The number of employees decreases,,
28,I don't think I'll last long,,
29,"It seems that people will have a hard time in the future, and it will be difficult to get air and water.",,
30,I don't know.,,
31,Limited energy such as coal and oil will disappear.,,
32,Our descendants will not be able to use coal or oil.,,
33,"When environmental pollution becomes serious and fossil fuels run out, alternative energy should be found.",,
34,Oil will be gone and there will be garbage,,
35,Nature is destructive and mankind becomes difficult.,,
36,The air is bad,,
37,"In the future, coal or oil will be gone and the atmosphere will be bad because it is used by burning",,
38,Full of fossils due to real gas,,
39,It'll be ruined. That's why you asked the question,,
40,"It will be easier to make food, but it will consume a lot of energy",,
41,I think it will be a bad future for environmental pollution,,
42,It gets contaminated,,
43,"In the future, it seems that we can make light through solar power rather than using electricity.",,
44,"In the future, it seems that we can make more light through solar power rather than using electricity.",,
45,The air gets bad,,
46,Global warming accelerates due to increased greenhouse gases,,
47,The earth becomes dirty and life is hard to live.,,
48,I don't know.,,
49,be short of resources,,
50,deterioration of air,,
51,I don't know.,,
52,The air becomes clear,,
53,The country will be destroyed,,
54,can't see the light,,
55,"If coal and oil are lost, all cars and electricity will be useless.",,
56,The earth is going to perish,,
57,Energy is depleted and energy is no longer available.,,
58,have no future,,
59,Because bad things happen in the future and the air can get bad in the future,,
60,I don't think I can use electricity because of lack of resources.,,
61,Resources run out.,,
62,I'm afraid I'm running out of coal or oil.,,
63,The environment is ruined,,
64,I'm sorry,,
65,I don't know,,
66,"""G-R-Seyo"" (Korean wordplay",,
67,It can vary depending on future movements.,,
68,I think the earth is going to get worse,,
69,be exhausted and unavailable for energy,,
70,Coal and oil are depleted. The average temperature of the Earth increases due to carbon dioxide emissions.,,
71,The greenhouse effect intensifies global warming.,,
72,The air gets bad. The earth is getting hot.,,
73,Global warming,,
74,The temperature of the earth increases and a great cycle occurs.,,
75,Environmental pollution and waste increase.,,
76,The ozone layer is destroyed. Global warming intensifies.,,
77,It's getting hot.,,
78,"In the future, resources will be depleted, making it difficult for everyone to live or starve.",,
79,"The amount of fossil energy will decrease and the fuel that drives the car will be lost, so the vehicle will not be able to move, and the thermal power plant that generates electricity using fossil energy will not be able to operate In addition, global warming caused by the destruction of the ozone layer and the destruction of the ozone layer will also become serious due to the increase in Freon gas from burning fossil energy.",,
80,"If coal or oil is used a lot, harmful gases are emitted, deepening the greenhouse effect, which is the main culprit of global warming. If so, sea levels can rise and various unexpected natural disasters can occur.",,
81,"At some point, fossil fuels such as coal and oil will be depleted and many objects used will be unavailable, leading to great confusion.",,
82,"Because it emits a lot of effects that accelerate global warming such as carbon dioxide, disasters such as abnormal weather may occur in the future",,
83,Fossil energy will be depleted in the future,,
84,"Fossil energy reserves are limited, so if used a lot, energy will be depleted in the future and pollutants such as carbon dioxide will be generated, which will increase human damage such as rising sea levels, flooding in surrounding countries, and natural disasters.",,
85,"The concentration of carbon dioxide in the Earth's atmosphere will increase, resulting in global warming, which will cause ecological confusion and melting of polar glaciers, increasing the risk of flooding in low-lying areas.",,
86,"First of all, the reserves of coal or petroleum energy are limited, so relying heavily on these two could lead to serious energy shortages in the future. In addition, since the main component of fossil energy is carbon, carbon dioxide is generated when energy using coal or petroleum, so the greenhouse effect occurs greatly, and natural disasters occur due to rising global temperature.",,
87,"Using a lot of fossil energy will thicken the ozone layer, which will intensify global warming. This will deepen the problem of desertification and ecosystem destruction caused by the weather, and may no longer be able to live on Earth in the future.",,
88,.,,
89,"To make energy using coal or oil, we need to heat it up.",,
90,"In this case, carbon dioxide is generated during the heating process, and since this carbon dioxide generates a greenhouse effect, global warming occurs. If the temperature of the earth rises due to global warming, glaciers can melt and sea levels rise, causing various problems such as sinking the island.""",,
