,1) Why is there wind on the beach?,q45_barometric pressure,q45_temperature,q45_specific heat
0,I don't know.,,,
1,Because there is a wind from the sea.,,,
2,I don't know,,,
3,"In the evening, the wind blows from the sea to the land, so it is cool, and in the morning, it blows from the land to the sea and covers it",,,
4,"If it's hot, I'll get fat",,,
5,Hot air goes up from the beach and cold air comes in,,,
6,Because the waves are shaking???,,,
7,Because of the atmospheric pressure,,,
8,It's close to the water,,,
9,The sea waves toward the ground and the wind blows together,,,
10,The wind blew from the North Pole,,,
11,It's a natural phenomenon,,,
12,"During the day, wind is generated because of the temperature and air pressure of the air.",,,
13,I think it's about the movement of the waves.,,,
14,It seems to be because the temperature of the air gradually decreases and the air pressure decreases.,,,
15,by the waves of the sea as a natural phenomenon,,,
16,Because of the waves,,,
17,"In order for the water to move,",,,
18,The air pressure is hot and the air is cold,,,
19,"Because the temperature of the air above the sand and the temperature of the water above the sea water are different, the dirty air moves toward the hot side due to the nature of maintaining the temperature of the air.",,,
20,"Warm air goes up, and other air moves there.",,,
21,This is because the wind is blowing on the beach.,,,
22,Just,,,
23,Just,,,
24,........I don't know.,,,
25,"During the day, cold sea air comes down to the shore, and at night, the cold air on the shore doesn't know",,,
26,in the clouds,,,
27,be caused by seawater,,,
28,Because there is a land wind and a sea wind,,,
29,It's because of the waves.,,,
30,"During the day, the cold sea air comes down to the shore, and at night, it goes to the shore",,,
31,"Hot air rises and cold air moves to fill the hot air rises, creating wind.",,,
32,The wind from the land was carried to the beach.,,,
33,"During the day, the cold sea air goes down to the shore, and at night, the cold air on the coast goes to the sea.",,,
34,The water in the sea evaporates and the wind blows,,,
35,The water is cold and the day after tomorrow is just temperature,,,
36,The water in the sea moves to create wind,,,
37,Because of gravity,,,
38,Because the wind blows when the air meets,,,
39,"This is because the air on the land and the sea on the beach is different from each other, so it circulates.",,,
40,The waves of the sea lowered the air and created wind,,,
41,Because the temperature difference between day and night is different,,,
42,It is because of the temperature difference between the sandy beach and the sea water.,,,
43,This is because the direction of the wind is different between day and night.,,,
44,This is because the direction of the wind varies depending on the day and night.,,,
45,Windy days and nights have different directions,,,
46,There's a difference in air pressure,,,
47,Because there are waves,,,
48,Because the air changes direction.,,,
49,The waves and,,,
50,Don't know,,,
51,Air moves because the movement of the waves and wind are.,,,
52,The wind on the beach right or left.,,,
53,The effects of the sea,,,
54,The waves because they bring the wind.,,,
55,I don't know.,,,
56,The sea is warm because blow to the cold because cold side.,,,
57,I don't know,,,
58,The temperature is different.,,,
59,The strike because of windy.,,,
60,The beach is because it is about a temperature of the land and sea.,,,
61,The wind is due to the wind in a cool place.,,,
62,The wind is fresh and ran into the air and sea.,,,
63,I don't know.,,,
64,I'm sorry.,,,
65,Land breeze in accordance with the night and day.Wind blew from the sea,,,
66,"Night and day myukpung, according to the sea breeze from the fire.",,,
67,Day and night in the direction of the wind is different.,,,
68,Because of the sea?,,,
69,"When the temperature difference between the water and the sandy beach occurs, the air on one side rises or falls, resulting in a difference in air pressure, causing the wind to blow",,,
70,There is a difference in temperature because the specific heat of the land and the sea is different. This creates a pressure difference and creates wind.,,,
71,This is because the temperature difference between the surrounding air occurs due to the difference in specific heat between land and sea.,,,
72,"The specific heat of the land is smaller, so it heats up quickly, resulting in a difference in air pressure.",,,
73,the difference in heat capacity between seawater and land,,,
74,This is because the difference in temperature between the ocean and the land creates a difference in atmospheric pressure.,,,
75,the difference in specific heat between the ocean and the land,,,
76,"Air expands due to uneven heating, resulting in a pressure difference. This causes air to move.",,,
77,due to the difference in air pressure,,,
78,"When the ambient air temperature is low, the air pressure decreases and the wind blows.",,,
79,"This is because the specific heat of the land is greater than the specific heat of the sea, and as the air on the land becomes hot quickly, the hot air on the land side rises, and the air on the sea moves to the empty space.",,,
80,"This is because of the difference in specific heat between sandy beaches and seawater. Sea water is heated slowly and cooled slowly due to its high specific heat. The sandy beach has a low specific heat, so it heats up quickly and cools down quickly. This difference in temperature creates wind on the beach.",,,
81,The reason why wind occurs on the beach is because of the convection of air due to the difference in density of air due to the temperature difference due to the difference in specific heat between the sea and the land.,,,
82,"The temperature of the sea rises slowly because the specific heat is large even under solar heat, but the sea is relatively lower during the day than on the land because the specific heat is relatively large when the land is subjected to tangyang heat. However, wind creates wind when there is a temperature difference, so wind occurs at the beach.",,,
83,"Sand has a smaller specific heat than water, so it is relatively smaller than water. Therefore, during the day, the sand gets hotter than water due to sunlight, so the air on the sand rises and the air on the water moves there At night, the water temperature is higher than sand, so the water temperature rises and the air on the sand moves there",,,
84,"Because the specific heat of the sea is larger than the sandy beach, the temperature of the sandy beach is larger than that of the sea during the day, and the air from the sandy beach rises from the sea to the land at night, and the air from the sandy beach flows into the empty spot.",,,
85,"On the hot side, the air becomes hot and on the relatively cold side, the hot air rises due to low density and the cold air descends due to high density, so the air is windy because convection occurs.",,,
86,"The sandy beach with low specific heat heats up faster during the day than the sea, thereby increasing the temperature of the gases on the sandy beach, lowering the density, and increasing the gas. On the other hand, the sea with high specific heat heats up slowly during the day than the sandy beach, and accordingly, the gases on the sea remain relatively low. Gas particles rising from the land side move above the sea with low air pressure, and gas particles falling from the sea side move below the land with low air pressure, and wind blows from the sea.",,,
87,It is a gate with a different scale of land and sea.,,,
88,"Land and sea have different specific heat, resulting in temperature differences. When air at a relatively higher temperature rises due to convection and the air pressure decreases, the air moves from a higher atmospheric pressure and blows wind.",,,
89,"The specific heat of water and sand is different, so the temperature between the sea and the land is different. Sand has a small specific heat, so the temperature is high during the day and the temperature is low at night. Water has a higher specific heat than sand, so the temperature is lower than that of sand during the day and higher than that of sand at night. Therefore, relative high and low pressures create wind to fill the empty space.",,,
90,"During the day, the air on the sandy beach heats up quickly due to sunlight, but the air on the sea side heats up slowly. Therefore, the sandy beach is relatively hotter. Hot air has the property of going up, so the air on the sandy beach goes up. And the air is windy toward the sea because it tries to move from hot to cold. On the contrary, the temperature of the sandy beach at night quickly drops, and the temperature of the sea slowly drops, so the temperature is relatively high on the sea side. As I said earlier, hot air has the property of trying to go up, so the air on the sea side goes up. In addition, the air flows from hot to cold, so the air rising above the sea blows toward the land.",,,
91,Because of the difference in specific heat,,,
92,"Even if the sand and the sea receive the same amount of sunlight, the temperature rises and falls at different speeds. As a result, air on the relatively high temperature rises above and air on the relatively low temperature moves to fill the spot, resulting in wind on the beach.",,,
93,"This is because when receiving the same amount of heat for the same time, the increasing temperature changes are different from the land and the sea. During the day, temperatures easily increase on land, and the temperature of the sea increases relatively slowly. The heated land heats the air above the surface, which rises and fills the blanks with air above the sea. On the other hand, at night, the land gets cold easily, and the sea is relatively warm, so the air on the sea rises and the air on the land fills the space.",,,
94,"When the temperature of the air decreases, the air tries to descend, and when the temperature of the air increases, the air tries to rise. Based on this, during daytime on the beach, the temperature of the sea is not higher than that of the land, so the air pressure on the land is lowered and the air pressure on the sea is increased. Accordingly, the air moves to the land where the air pressure is lowered and the wind blows. On the contrary to day, night is the opposite.",,,
95,"The sea is bordered by land and the sea. The sea has a large specific heat and the land has a small specific heat. In other words, when the same heat is applied, the land has a greater temperature change than the sea. Therefore, during the day, the air pressure on the land is higher than that of the sea, and the air pressure on the sea is relatively lower than that of the land, so the air pressure difference occurs and the wind blows. In addition, at night, the temperature of the land is lower than that of the sea, so the air pressure is higher than that of the land, and the air pressure is lower, so there is a difference in air pressure, which causes wind.",,,
96,"Due to the difference in specific heat between sand and water, the temperature difference between the sandy beach and the seawater occurs during the day and night, resulting in a difference in air pressure between the sandy beach and the seawater, resulting in wind.",,,
97,"Because of the difference in specific heat between the sea and the land, there is a time difference in the rise or fall of the air, so air moves to fill the air where the air is scarce, creating wind.",,,
98,"This is because the temperature varies from place to place. In places with high temperatures, air rises upward and becomes relatively low pressure, and air moves around and winds blow.The sand part is hotter during the day and the sea part is hotter at night, and this temperature difference raises the air in the hot part, which lowers the air pressure below, causing the wind to blow from the cold side. This is why wind is created.",,,
99,"Gas tends to rise when the temperature is high, and to fall when the temperature is low. During the day, the sand beach is relatively warmer than the beach, so the gas rises upward. On the contrary, the gas descends on the beach. However, since the gas on the sandy beach has risen upward, there is no choice but to create an empty space. By the way, there is a descending gas on the beach. Therefore, wind is generated as the gas on the beach fills the empty space on the sandy beach.",,,
100,Pressure difference due to temperature difference due to specific heat difference,,,
101,"Because the heat of the earth and the sea is different, the air is cloudy",,,
102,Pressure differences due to temperature differences caused by specific heat differences between sand and water,,,
103,Because the specific heat of the sand and the specific heat of course,,,
104,the specific heat difference between sand and seawater,,,
105,"The water temperature does not change well because the specific heat is high, but the wind blows from high pressure to low pressure, so when the beach is colder, the wind blows in the sea",,,
106,Energy transfer by temperature difference,,,
107,I don't understand.,,,
108,This is because the air circulates due to the temperature difference between the land and the sea.,,,
109,I don't understand.,,,
110,This is because of the difference in temperature and air pressure between the sea and the land.,,,
111,I don't know.,,,
112,It will be because of the temperature difference.,,,
113,"Because of the difference in temperature between the sea and the land, the air pressure increases when the temperature is low, and the wind blows to the place where the air pressure is low due to the high temperature",,,
114,"The difference between the temperature due to the specific heat of the water and the temperature of the soil causes a difference in air pressure, resulting in wind.",,,
115,"When the sea is at high pressure, the land is at low pressure, so wind blows from high pressure to low pressure.",,,
116,"Due to the difference between temperature and atmospheric pressure, the wind blows from high temperature to low temperature.",,,
117,a wind caused by the direction of the waves,,,
118,"Because the specific heat of the sea and the land is different, the temperature of the land is higher during the day, forming a low pressure, so wind blows from the relatively high pressure to the land, and at night, it is reversed.",,,
119,"The air moves from a cool place to a hot place, so it's windy.",,,
120,I don't know.,,,
121,It's because of the temperature difference,,,
122,Because the wind blows from the cold to the warm,,,
123,"When the warm wind rises, cold air enters the empty space.",,,
124,"Because of the temperature difference,",,,
125,"This is because the water has a large specific heat, so the temperature difference between day and night is not large, and during the day, the air gets hot on the land, forming an upward airflow, resulting in low pressure.Then the wind blows from the sea to the land. The night is the opposite.",,,
126,"During the day, the temperature of the sandy beach is high, resulting in an upward airflow, creating a low pressure, and the sea creates a downward airflow, forming a high pressure. Wind blows from high pressure to low pressure, so it blows from sea to land during the day. On the contrary, at night, it blows from land to sea because it becomes the opposite.",,,
127,I don't know.,,,
128,"Because warm air stays below goes up and cold air goes down, convection occurs, so wind blows.",,,
129,a sea breeze,,,
130,Everywhere in the world is windy,,,
131,a sea and a land winds,,,
132,It is because cold air and warm air meet,,,
133,"During the day, the wind blows from the sea to the land",,,
134,be due to the temperature difference of temperature,,,
135,I don't know.,,,
136,Because of the moon,,,
137,It's because of the waves,,,
138,Wind is generated by the movement of air currents to meet the temperature of the entire Earth. Because the sea is the first place where the wind blows,,,
139,the movement of air,,,
140,"This is because air moves from low temperatures to high places (the sea is cold if it is hot, the land is cold, and the sea is cold if it is hot)",,,
141,It's cool,,,
142,Because the earth rotates,,,
143,on the waves,,,
144,I don't understand.,,,
145,the Jeong-Yon phenomenon,,,
146,Because it's windy,,,
147,I don't know,,,
148,I don't know.,,,
149,Because of the urge to water in the sea?,,,
150,It's because of the sea breeze,,,
151,"As the waves come in, the wind is also blown by the waves.",,,
152,"Because the sand is hotter during the day, the rising airflow occurs, and the falling airflow occurs from the sea to the land during the day, and the sea cools later at night, so the rising airflow occurs quickly and the falling airflow occurs from sand to the sea",,,
153,Because of the air pressure?,,,
154,I don't know.,,,
155,I don't know.,,,
156,"As the temperature goes down, it cools and the wind blows.",,,
157,This is because convection occurs.,,,
158,The temperature of the ocean and land are different,,,
159,in the wind,,,
160,It seems to be caused by the difference in air pressure.,,,
161,Because of the sea water,,,
162,"""I don't know...",,,
163,"""",,,
164,natural phenomena;,,,
165,in the wind,,,
166,I don't remember.,,,
167,I don't know.,,,
168,"The earth rotates from west to east, so the wind is also affected.",,,
169,This is because the air pressure varies due to the difference between the temperature of the land and the temperature of the sea.,,,
170,air pressure difference between land and sea,,,
171,"I learned it in science class, but I don't remember. What should I do?",,,
172,"Because of the pressure difference between the sea and the land,",,,
173,Because of the pressure difference,,,
174,It's a natural shape,,,
175,Wind is generated as the air moves from the cold side to the hot side.,,,
176,I don't know.,,,
177,This is because there is a continuous current wind.,,,
178,It's because of the sea.,,,
179,...,,,
180,"It is because of the relationship between air temperature, air pressure, and wind.",,,
181,"Because the temperatures of the sea and land are different, the wind blows from low to high.",,,
182,I don't know.,,,
183,It's windy because it's the beach.,,,
184,Because of the waves,,,
185,This is because convection occurs.,,,
186,a land wind,,,
187,This is because the air from the land goes back to the sea and circulates to the land.,,,
188,"Because of the force of the waves,",,,
189,It's from the sea,,,
190,"The seawater cools down slowly and heats up slowly, and the air below cools down slowly and heats up slowly, because the air above cools down quickly and heats up quickly",,,
191,The temperature on the ground is different,,,
192,Because of the waves,,,
193,"Because hot air goes up, cold air moves to fasten the air that is not underneath.",,,
194,It's because the air pressure comes from the sea,,,
195,This is because the sea waves.,,,
196,Because of the waves,,,
197,on the edge of the wavesThe air pressure is different,,,
198,The difference in temperature creates wind,,,
199,"During the day, the sandy beach heats up faster than the seawater, and the air on the sandy beach evaporates into the sky.So it is because the air that was still on the cold seawater blew toward the sandy beach, and at night, it is the opposite.",,,
200,"During the day, the air on the sandy beach gets warm because of the sunlight, and the warm air rises above the sky, and the air in the sea goes toward the sandy beach to fill the air on the sandy beach again, so wind occurs on the beach.",,,
