,2) Why is the wind direction different during the day and at night in the sea and on land?,q46_temperature difference,q46_barometric pressure
0,because of the ebb and flow,,
1,Because there are land and sea winds.,,
2,There is wheat and low tide,,
3,because of the sun,,
4,because the air has a different direction,,
5,"""Day: Hot air rises and cold air descends.",,
6,"Night: Day and vice versa""",,
7,Scary during the day and chilly at night?,,
8,because the earth rotates,,
9,Because the sea moves differently,,
10,"When the sun is out, the wind blows because of the heat.",,
11,"The sun rises during the day, but the sun sets in the evening",,
12,natural phenomenon,,
13,"During the day the sand is hot and the wind blows towards the land, and at night the temperature of the sand cools down and the wind blows towards the sea.",,
14,Hot during the day and cold at night,,
15,Because the temperature and pressure of the air change,,
16,The direction of the wind varies depending on the temperature difference of the air.,,
17,"âIt is cold at night and hot during the day, so the hot air goes up and the cold air goes down.",,
18,"Because of that, the baya changes.""",,
19,because the earth rotates,,
20,Because the wind moves from hot to cold,,
21,"The sea is hotter for tigers, and the sand is hotter during the day.",,
22,"The sand (land) is hotter during the day and the sea is hotter at night (since sand heats up and cools quickly, but water heats up and cools later), the air from the hot side rises and the wind blows in that direction.",,
23,Because it depends on the relationship of the wind.,,
24,just,,
25,just,,
26,I do not know.,,
27,because the temperature is different,,
28,Because there are land and sea winds,,
29,do not know,,
30,because the wind blows differently,,
31,This is because air at different temperatures fills air at different temperatures.,,
32,This is because the temperature of the coast is low at night and the temperature is high in the morning.,,
33,"The wind direction changes because the temperature of the water and land changes during the day and night, and the warmer air rises.",,
34,where the wind comes from is different.,,
35,This is because the temperature of the coast is low at night and the temperature of the sea during the day is low.,,
36,because of the sand,,
37,"If the day after day is on the right side of the wind, the wind will go south",,
38,"Because the sand is hot and the water is cold, the direction of the air coming out of the sand is different.",,
39,do not know,,
40,Because the wind from our country is different,,
41,This is because the air over the sea is warm during the day and the air over the land is warmer at night.,,
42,"During the day it is sunny and the wind is slightly less, but at night it is colder because there is no sunlight.",,
43,The land is hotter than the sea during the day and the sea is warmer than the land at night.,,
44,"The air goes up when it's hot and goes down when it's cold, so the air rotates and the wind blows because the temperature of the sandy beach and seawater is different day and night.",,
45,This is because the temperature of the sandy beach and the sea are different.,,
46,The temperature of the sandy beach and the sea is different.,,
47,Because the temperature of water and land are different,,
48,Because air pressure varies over land and sea during the day and night,,
49,There is the sun by day and the moon by night,,
50,Because the temperature is different (because it is colder at night).,,
51,The part where the sunlight shines is different,,
52,Because the sea moves and the land does not.,,
53,Because it is hot during the day and cold at night.,,
54,because there is water,,
55,"I learned last year, I don't know, sorry",,
56,This is because the temperature of seawater changes quickly and the temperature of land does not change quickly.,,
57,I don't know,,
58,"This is because sea water quickly heats up and cools, whereas sandy beaches heat up and cool slowly.",,
59,because there is water,,
60,For it blows from the sea at night and from the land in the morning.,,
61,"Because the water heats up faster, during the day the air from the sea evaporates upwards and the air on land sinks downwards and blows towards the land, but at night it is the other way around, so the wind direction is different during the day and at night.",,
62,"During the day, the land is hotter, but at night the sea is warmer, so the wind direction changes.",,
63,"The sea cools down during the day and the land gets hotter. At night, the sea is warm and the land is cold. Therefore, because the wind blows from a hot place to a cold place, the direction in which the wind blows during the day and at night is different.",,
64,I do not know,,
65,sorry,,
66,I do not know,,
67,there is a temperature difference,,
68,Low sunlight and dark at night?,,
69,"The temperature of the land is high during the day and the temperature of the sea is high at night, so the level of atmospheric pressure changes.",,
70,This is because the land is warmer during the day and the sea is warmer at night.,,
71,This is because the relative temperature of the sea and land is different during the day and at night.,,
72,"At night, as opposed to during the day, the land temperature drops faster, creating a pressure difference.",,
73,Because the temperature is different,,
74,This is because the location where the temperature is higher during the day and at night is different.,,
