,1) Stars are still in the sky during the day. But why can't we see stars during the day? ,q47_sunlight
0,The sunlight is so strong that I can't see the stars,
1,The sun is so bright,
2,covered by the sun,
3,The sunlight is so strong,
4,It's covered by the sun,
5,"Because the sun's light in the daytime is brighter than the stars, we can only see the sun's light, not the star's light",
6,The sunlight is so bright,
7,Because it's bright.,
8,"Because of the strong sunlight,",
9,"The night is dark, so the stars are shining, but they are not visible during the day.",
10,It's too bright,
11,The sunlight is so bright,
12,For the light to be too bright.,
13,Because the sun is too bright.,
14,because of the season,
15,Because the light is too bright to see stars during the day,
16,"During the day, the light is too bright to see the stars",
17,The sun is too bright to see constellations.,
18,"""A star reflects light, but sunlight has strong light",
19,"Then there is a bright light in the morning, so I can't see it",
20,"But at night, there is no light, so we can see the stars",
21,"""So I can't see the stars because there's light in my face.""",
22,Because of the sunlight,
23,"Sunlight is brighter, so I can't see it because of the light",
24,The sun is so strong,
25,Because of the sun,
26,It's bright because of the sun,
27,The sun's light is strong,
28,The sun is so bright,
29,This is because light is not visible to other constellations by the sun.,
30,"The sun is too bright to see during the day, but the stars shine because it is dark at night",
31,It's too bright,
32,It's because it's bright and the sun is shining,
33,"Because the sun's light is brighter than the star's light, the star is invisible.",
34,This is because the sun's light is weaker than the light reflected by stars.,
35,"The sun shines brighter than the stars, so I can't",
36,You can't see stars because the sun's light is brighter than the star's light.,
37,I can't see it because the sun isn't setting.,
38,You can't see it because of the sun.,
39,The sun is shining so much,
40,I don't see much because the sun rises during the day.,
41,You can't see stars during the day because you can't see them.,
42,Because the sun shines on itself during the day.,
43,Because it's bright during the day,
44,The earth rotates,
45,This is because the moon is invisible and because the low sky is bright.,
46,I don't understand.,
47,Because the sun is brighter.,
48,.,
49,The sun's brightness is so strong,
50,Because the sun is bright,
51,It's bright,
52,The brightness of the sun's light is brighter than that of stars,
53,It's bright,
54,It's bright,
55,The sun is so bright,
56,The sun is so bright,
57,Because the sun's light is much bigger than the star's light,
58,It's because the sun is too bright.,
59,You're too bright,
60,The sun is so bright,
61,Because the sun is too bright.,
62,The sun's light is brighter than the stars,
63,The sun is brighter than the starlight,
64,Because the sun's light is so strong that other stars' light is buried,
65,The sunlight is too bright to see the light of stars.,
66,Because sunlight is stronger than starlight.,
67,Because the sun is shining so brightly.,
68,Because the sun is too bright.,
