,2) Why do the constellations change depending on the season?,q48_spin
0,The earth rotates,
1,This is because the earth revolves.,
2,Because the earth rotates,
3,The earth revolves around the sun,
4,"Because the earth is rotating,",
5,The earth revolves around the sun,
6,"Because the Earth is spinning, the constellations in the universe look different",
7,The earth rotates,
8,Because the earth revolves,
9,I do not remember.,
10,This is because the earth rotates.,
11,Because the earth revolves,
12,This is because the Earth's flag orbits.,
13,This is because the earth rotates.,
14,Because of the season,
15,Because the earth revolves around the sun,
16,Because the earth revolves around the sun,
17,It is because the earth revolves and revolves,
18,Because the earth revolves,
19,Because the earth is spinning,
20,"Because the earth revolves around the sun,",
21,Because the earth revolves,
22,"Because the sun revolves around the earth,",
23,Because the earth revolves,
24,The earth rotates and revolves,
25,Because the earth revolves,
26,"As the earth rotates, there are visible and invisible stars.",
27,Time space,
28,I don't know.,
29,The earth rotates,
30,This is because the constellations seen in space change as the Earth rotates.,
31,"Since the Earth orbits the sun for a year, it seems that the constellations seen vary depending on its place.",
32,It is because the earth revolves.,
33,This is because the earth is rotating.,
34,The direction of the earth's rotation changes depending on the season,
35,This is because the earth revolves.,
36,The earth moves around the sun,
37,Because the seasons change.,
38,Attachment also changes because there are various constellations.,
39,Because the moon is spinning.,
40,Because the weather changes depending on the season,
41,"The zodiac signs that you see in spring, summer, fall, and winter are different",
42,It's because the Earth rotates and there are constellations at the location where the Earth rotates.,
43,I don't understand.,
44,"The earth revolves around the sun, and the celestial sphere on the other side of the sun changes.",
45,.,
46,The earth revolves around,
47,The earth revolves and revolves,
48,I don't know,
49,The earth rotates,
50,the earth turns round,
51,The earth is spinning,
52,Because the earth revolves,
53,I'll spin the wheel,
54,Because the earth rotates,
55,It is because of the revolution of the earth.,
56,The Earth Spins,
57,the earth turns round,
58,This is because the earth revolves.,
59,The earth rotates and revolves,
60,I don't know.,
61,Because the earth revolves,
62,This is because the earth is orbiting.,
63,This is because the earth revolves.,
64,This is because the earth revolves.,
65,"This is because the earth revolves. In summer, the Northern Hemisphere looks toward the Milky Way, so there are fewer observable stars, but in winter, there are relatively fewer observable stars because they look at the end of the rod.",
66,This is because the earth revolves.,
67,This is because the earth is fair.,
68,Because the earth revolves,
69,"Because the earth revolves around the sun,",
70,Because the earth revolves,
71,The zodiac sign changes according to the zodiac sign,
72,This is because the earth revolves around the sun.,
73,I don't know.,
74,Because the earth revolves,
75,the earth turns round,
76,It's because of the revolution and the rotation,
77,Because of the revolution of the earth,
78,This is because the earth revolves around the sun.,
79,Because the earth rotates,
80,Because the earth revolves,
81,Because the earth revolves,
82,"I learned it, but I can't explain it in words.",
83,Because the earth revolves,
84,This is because the Earth coexists.,
85,"Due to the revolution of the earth, constellations vary from season to season.",
86,This is because the constellations seen at night vary depending on the season because the Earth orbits.,
87,This is because the earth orbits the sun.,
88,Because the earth rotates,
89,the movement of stars due to the rotation and coexistence of the earth,
90,Because the earth revolves,
91,Because the sun rotates and the stars change,
92,the rotation of the earth,
93,This is because the earth revolves.,
94,The earth rotates,
95,Because the earth revolves,
96,It depends on the Earth's rotation and revolution.,
97,L.,
98,"Because the earth revolves around the sun,Because the earth rotates",
99,The earth revolves around,
100,Because the earth revolves,
101,Because the earth rotates,
102,This is because the earth revolves.,
103,This is because the earth revolves.,
104,Because the earth rotates,
105,Because the earth revolves,
106,"C, d, c, d",
107,I don't know,
108,The earth rotates,
109,This is because the earth rotates.,
110,"Because the earth is spinning, the constellations are different depending on the season",
111,It is because of the Earth's rotation.,
112,be in a whirlwind pace,
113,ãã¹ã,
114,God's heart,
115,Because the earth revolves,
116,The Earth's position has changed,
117,the revolution of the earth,
118,Because they died then?,
119,Because of the revolution of the earth,
120,I don't know.,
121,Because the earth revolves around,
122,The stars ran away after seeing my beauty,
123,The earth revolves around,
124,Because of the revolution of the earth,
125,.,
126,That's when-that's different,
127,Because the earth keeps revolving,
128,The zodiac signs are different,
129,The earth passed on,
130,The earth revolves around,
131,Because the Earth and the Sun revolve,
132,Because the earth revolves,
133,This is because the direction of view at night changes as the earth orbits.,
134,Because the earth revolves.,
135,Because the earth revolves,
136,Because the earth rotates on its own,
137,"The seasons change as the earth rotates, which changes constellations.",
138,on one's bicycle,
139,The earth revolves around,
140,Because the earth revolves,
141,"Because the earth turns,",
142,Because the earth revolves,
143,This is because the earth revolves around the sun.,
144,Because the earth revolves,
145,This is because the earth revolves.,
146,Because the earth revolves,
147,Because the earth revolves,
148,The earth revolves around,
149,This is because the earth revolves.,
150,Because the earth revolves around the sun,
151,The stars are different depending on the season,
152,This is because the earth rotates.,
153,Because the earth rotates,
154,This is because the earth revolves.,
155,This is because the earth revolves.,
156,Because the earth moves,
157,Because the earth revolves.,
158,the earth and the earthJeon,
159,Because the earth rotates,
160,the revolution of the earth,
161,It's because the earth rotates,
162,Because the earth revolves,
163,ã,
164,It is because of the revolution of the earth.,
165,"""",
166,"Because of the revolution of the earth,",
167,Because the earth revolves,
168,Because the earth revolves around the sun.,
169,Because the seasons change,
170,Because the earth revolves and rotates,
171,The earth revolves around,
172,Because of the revolution of the earth,
173,Because the earth rotates and revolves,
174,Because the earth revolves around and the position of the earth changes,
175,Because of the Earth's rotation,
176,"The earth revolves around, and the sky is different",
177,This is because the earth revolves around the sun.,
178,the revolution of the earth,
179,This is because the earth revolves.,
180,This is because the celestial body moves around as the earth orbits. (Because the position of stars on the sky changes),
181,This is because the earth revolves.,
182,Because the earth rotates.,
183,Because the earth revolves around,
184,This is because the position changes as the Earth orbits around the sun.,
185,"Because of the revolution of the earth,",
186,Because the earth is spinning and spinning,
187,Because the earth revolves,
188,Because the earth revolves,
189,Because the earth is spinning,
190,with the moon spinning,
191,The earth revolves around,
192,Because the earth revolves.,
193,The earth revolves around,
194,Because the earth revolves,
195,Because the earth revolves around the sun,
196,This is because the earth revolves and rotates.,
197,"Because the earth revolves.Because the earth revolves around the sun,",
198,This is because the earth revolves.,
199,Because the earth revolves,
200,This is because the earth is orbiting from west to east.,
201,We're doing justice to the Earth's sun,
202,The earth turns...,
203,Because the earth rotates once a year.,
204,the rotation of the earth,
205,It is because of the revolution of the earth.,
206,the revolution of the earth,
207,This is because the earth revolves.,
208,Because the earth revolves,
209,Because the earth revolves,
210,.,
211,The Earth revolves around solarism,
212,The earth revolves according to the season,
213,My eyesight is different,
214,The earth is spinning,
215,Because the earth revolves around the sun,
216,This is because the earth revolves and rotates.,
217,This is because the earth revolves.,
