,1) Let's imagine what happens when you collect sunlight with convex lenses,q49_temperature,q49_refractive,q49_light energy
0,"Light gathers in one place, and smoke comes out when sunlight is collected on dry leaves.",,,
1,The light will gather in the middle.,,,
2,There's a fire,,,
3,Light will go out in all directions.,,,
4,I think it's going to be reflected,,,
5,"After gathering, the temperature rises and a fire breaks out.",,,
6,I don't know.,,,
7,There's a fire,,,
8,I think I'm going to smoke,,,
9,There is nothing to predict.,,,
10,The temperature rises.,,,
11,Sunlight gathers in one place and burns everything.,,,
12,The part where the sunlight is collected gets hot.,,,
13,The light of He is gathered in one place.,,,
14,the property of refracting light,,,
15,This is because the speed of light varies depending on the material.,,,
16,Because the speed of light varies depending on the material,,,
17,The light meets the lens with high frequency and the light becomes stronger and dies,,,
18,I don't know,,,
19,a fire in a cluster,,,
20,Sunlight will gather in the middle,,,
21,You can make a fire.,,,
22,It's on fire,,,
23,It's on fire,,,
24,The thing below burns,,,
25,The light grows and then becomes smaller again.,,,
26,I think I'm going to the ground,,,
27,The goods are burning,,,
28,It all looks close.,,,
29,It's getting red,,,
30,"If you touch the belt to collect sunlight, your hands get hot because of the convex lens.",,,
31,"The place where sunlight is collected is likely to get hot, and if it persists, it may cause a fire.",,,
32,Reflect.,,,
33,There's a fire.,,,
34,I don't think I'll be able to see it well,,,
35,Light refracts.,,,
36,There's a fire,,,
37,Because it heats up the heat.,,,
38,I don't know.,,,
39,There's a fire.,,,
40,You won't be able to see it well,,,
41,I think it'll be bad for the eyes.,,,
42,Sunlight is reflected.,,,
43,I don't understand.,,,
44,Energy is concentrated and the temperature rises.,,,
45,.,,,
46,There's a fire,,,
47,It's burning,,,
48,I don't know,,,
49,It burns when the floor is touched,,,
50,It's burning,,,
51,The sunlight is gathering,,,
52,Zoom in and see,,,
53,I don't know,,,
54,The place where the light is gathered gets hot,,,
55,It can heat up and cause a fire.,,,
56,Bye!,,,
57,It's burning,,,
58,It's on fire,,,
59,It gets hot when the light is gathered,,,
60,The fire is burning,,,
61,Black paper catches fire.,,,
62,The convex lens and what was in begin to burn.,,,
63,"If you keep collecting it, the part that shines the collected light will be on fire.",,,
64,to be able to burn,,,
65,The temperature rises.,,,
66,Ants and black paper can be burned.,,,
67,The heat of the sunlight gathers and causes a fire.,,,
68,The temperature of the collected points rises,,,
69,Smoke or fire occurs where the center of the lens touches,,,
70,Heat can gather in the middle and burn things like a laser.,,,
71,The light is spreading,,,
72,The temperature of the part where sunlight gathers increases.,,,
73,It's getting hot,,,
74,The gathered part gets hot,,,
75,Ants are burning,,,
76,There's a fire,,,
77,The sunlight is reflected again,,,
78,A convex lens brings light into focus.,,,
79,The lumped light gets hot and there's a fire left,,,
80,to be able to burn or make a fire,,,
81,Continuously collecting sunlight with convex lenses in one place produces a little fire.,,,
82,You can make a fire.,,,
83,Light refracts and gathers in one place,,,
84,I don't think it'll come together,,,
85,The temperature rises.,,,
86,The temperature of the part where the sunlight is gathered increases.,,,
87,The temperature of the part where the light gathers increases.,,,
88,It looks convex,,,
89,It's burning,,,
90,It's refracting.,,,
91,Light gathers in one place,,,
92,The heat rises and catches fire,,,
93,It's getting hot,,,
94,Heat is generated,,,
95,The refraction causes light to spread outward.,,,
96,Heat is generated.,,,
97,It's burning,,,
98,A fire rises in the part where the sunlight is collected.burning,,,
99,You can light something like cloth,,,
100,I see something far away,,,
101,It's on fire,,,
102,Light gathers at a point and catches fire.,,,
