,2) How does it look different when you look at things with convex lenses compared to when you look at them with flat glass?,q50_enlarge,q50_backwards
0,"For more information, visit the NAVER!",,
1,Things will look enlarged.,,
2,look round,,
3,It looks smaller and clearer.,,
4,circle,,
5,It looks like it's spreading to the side by side,,
6,I don't know,,
7,I can see it up close,,
8,I think it'll look bigger,,
9,I don't know.,,
10,You'll see it close,,
11,It looks bigger.,,
12,Small and straight.,,
13,It looks more detailed.,,
14,I don't know.,,
15,The light looks brighter.,,
16,The light looks brighter,,
17,I don't know,,
18,I can see it more clearly,,
19,a round appearance,,
20,Close-up view,,
21,?,,
22,It looks small or big,,
23,It looks small or big,,
24,I can see far away,,
25,It looks more magnified.,,
26,Things look big.,,
27,You'll see something else. That's it   Answer!,,
28,I don't know.,,
29,I don't understand.,,
30,"The objects that are illuminated by convex lenses are gathered in the middle, but the objects that are viewed by flat glass are the same objects that we see.",,
31,It seems to be more enlarged than it looks with flat glass.,,
32,It looks more detailed.,,
33,It looks more detailed.,,
34,I think it will look blurry.,,
35,It looks big.,,
36,I can see it in more detail,,
37,I can see well because it's glass.,,
38,It looks big.,,
39,It looks bigger.,,
40,It will look thicker,,
41,I think it will all look round.,,
42,I think it'll look reflective,,
43,I don't understand.,,
44,It depends on the position of the object and the observer,,
45,.,,
46,It looks big,,
47,The near one looks big and the far one is blurry,,
48,I don't know,,
49,Looks small,,
50,It looks short,,
51,It just doesn't look like it,,
52,I can see it enlarged,,
53,I don't know,,
54,A person looks long,,
55,It looks big.,,
56,Significantly,,
57,convexity,,
58,"It looks big as it was at close, and looks small in reverse at far away.",,
59,It looks convex,,
60,.,,
61,"The one near is big, the one far away is small and looks upside down",,
62,"It looks enlarged when viewed closely, and reduced upside down when viewed from a distance.",,
63,It looks enlarged.,,
64,It looks like it's shrinking.,,
65,It will appear distorted.,,
66,It looks bigger.,,
67,The center part looks convex and large.,,
68,It looks bigger,,
69,It looks upside down and big,,
70,Things look big,,
71,It will look more spread than it looks with flat glass,,
72,It looks bigger.,,
73,It looks convex,,
