,1) What would be good for consumers if different bakeries compete with each other?, q51_price,q51_quality,q51_diversity,q51_benefit
0,The price goes down or the quantity goes up. So it benefits the consumer.,,,,
1,"The price of the goods becomes cheaper, and the service becomes better.",,,,
2,You can find out which bread tastes better.,,,,
3,Consumers can buy more delicious rooms.,,,,
4,"""It's easy to live",,,,
5,"""",,,,
6,One plus one plus one or more discounts are good for consumers as their bakery offers more advantageous benefits to consumers,,,,
7,You can buy it cheaper,,,,
8,You'll be able to buy it cheaper,,,,
9,to be able to buy better things,,,,
10,You can buy many items.,,,,
11,You'll be able to buy it cheaper,,,,
12,Consumers can benefit more.,,,,
13,The bread becomes more delicious.,,,,
14,"Better treatment, new menus, and prices can be cheaper.",,,,
15,to be able to gain an advantage,,,,
16,You can get a lot of discounts and buy a lot of things at a low price.,,,,
17,You can get a lot of discounts and buy a lot of water at a low price,,,,
18,You can buy cheaper and better products.,,,,
19,It is a gate where you can gather a lot of people because your bakery is alone,,,,
20,You can buy things or food at a lower price,,,,
21,Consumers can buy things cheap and easily when they are unfamiliar with each other's prices,,,,
22,The bakery is getting better.,,,,
23,to be able to buy things that didn't exist,,,,
24,to be able to sell,,,,
25,I'm going to a cheaper place,,,,
26,"Because if you win the competition, you'll get more benefit",,,,
27,You can live in a better place.,,,,
28,I don't know. I don't know. I don't know,,,,
29,You can make money.,,,,
30,an advertising paper,,,,
31,The price of bread is decreasing to attract more customers.,,,,
32,"You can buy better products or items, and you can look into them in more detail.",,,,
33,"If the bakery competes with each other, they try hard, so they can eat better bread",,,,
34,I don't know.,,,,
35,Consumers can listen to information from bakeries and find better bakeries.,,,,
36,I don't know.,,,,
37,I can eat more delicious bread and eat more kindly,,,,
38,Compete and get more good points.,,,,
39,You can buy things cheaper.,,,,
40,You can buy things cheaper.,,,,
41,"Maybe it will be cheaper to compete, and it will be good because it is cheap and people spend less money",,,,
42,To be able to see better products and receive more services,,,,
43,"If you have a competitor, you're more motivated to win, so to make it look better, you reduce the price or be nicer to your customers",,,,
44,I don't understand.,,,,
45,The supply increases and the price becomes cheaper.,,,,
46,.,,,,
47,"If it gets cheaper, or if the products become more diverse,",,,,
48,I love you,,,,
49,I don't know,,,,
50,"If the price becomes cheaper while competing, you can go there.",,,,
51,You can eat more delicious snacks,,,,
52,I can eat more and cheaper,,,,
53,gain from trying to give a better profit,,,,
54,to be able to pick a better one,,,,
55,It can create a better consumption environment,,,,
56,The price becomes cheaper or events can be held frequently.,,,,
57,It's cheap,,,,
58,The price is cheap.,,,,
59,You can get better benefits.,,,,
60,Consumers gain when bakeries compete and have many events,,,,
61,.,,,,
62,Quality can go up and prices can go down,,,,
63,The price goes down.,,,,
64,More diverse products can be presented to consumers.,,,,
65,The price goes down.,,,,
66,"The lower the price, the better. Benefit from improving product quality.",,,,
67,"In order to compete in price, consumers can buy products at a lower price by lowering each other's prices, and consumers' mouths can be pleasant because they strive to serve more delicious products with each other.",,,,
68,The price goes down.,,,,
69,Consumers can get good products at a low price,,,,
70,"As we strive to provide better services to each other, there are more benefits that consumers can receive.",,,,
71,Consumers can buy bread efficiently.,,,,
72,provide a variety of products,,,,
73,The price goes down.,,,,
74,You can experience various services,,,,
75,to get better goods and prices,,,,
76,More quality and cheaper items to buyable,,,,
77,You can try bread from various bakeries to be able to taste a variety of breads,,,,
78,"Competition is overheated, and various benefits to attract consumers are increased",,,,
79,You can experience a better system than before.,,,,
80,You're working hard not to be so sorry that you get a good bread and you get a good bonus for the event sale,,,,
81,We do a lot of marketing that can cut prices or attract consumers more,,,,
82,It is good to be able to choose another bakery if there is an indirect benefit to consumers by trying to reduce the price of the product and you are not satisfied with one bakery.,,,,
83,You can get more benefits and eat more delicious bread.,,,,
84,The quality of service increases or the price becomes cheaper,,,,
85,We can offer good terms to consumers to lower prices or sell more of each other.,,,,
86,Consumers can buy products at cheaper prices.,,,,
87,"If several bakeries compete with each other, we can expect the price of the bakery to go down to the extent that it can benefit unless the bakery unites to raise the price of the product.",,,,
88,"Bakery stores will devise various ways to improve the quality of products to induce consumers to buy them. Therefore, consumers can buy quality products. In addition, in order to induce consumers to purchase new products, lower the proportion of defective products, or become hygienic, they can purchase products that have an effort to ensure that the bakery's profits are superior to other bakeries.",,,,
89,"""",,,,
90,Better mobility and services can be obtained cheaper.,,,,
91,to be able to taste many confectionery,,,,
92,to be able to buy better products,,,,
93,You can buy better things cheaper.,,,,
94,eat cheaper and serve better,,,,
95,I think it would be better for consumers to be able to access various products,,,,
96,This is because we can produce better quality products and will try to provide better products to consumers.,,,,
97,"""Well,""",,,,
98,"""You can buy better quality products.",,,,
99,"By making better products, you can buy better products.",,,,
100,There is a wider range of choices.,,,,
101,Consumers can get more good products.,,,,
102,You can live by comparing and the economic market becomes active,,,,
103,You can buy it at a lower price,,,,
104,be affordable at a lower price,,,,
105,You can buy products at a low price,,,,
106,You can compare the advantages and disadvantages of various bakeries and buy them cheaper.,,,,
107,You can buy better products because you try to provide better goods and services.,,,,
108,to be able to use low prices or good quality,,,,
109,You can find a better place.,,,,
110,There are more choices and you can buy many benefits and better products,,,,
111,I can offer you a better product,,,,
112,"They lose money, so they compete with each other",,,,
113,Better products can be purchased more reasonably.,,,,
114,It happens that you try to sell better quality products to consumers at lower prices,,,,
115,You can buy products cheaper.,,,,
116,You can buy many better products,,,,
117,to be able to eat cheap and high-quality bread,,,,
118,It's too long,,,,
119,You can buy cheaper and better quality products,,,,
120,You can choose a better bakery and eat it,,,,
121,I don't know.,,,,
122,live a long,,,,
123,You can buy it cheap,,,,
124,I don't know.,,,,
125,I feel good because there are two bakery in my neighborhood,,,,
126,I look cute.,,,,
127,Cheaper and better quality can be used,,,,
128,You can buy it cheaper and get a lot of service,,,,
129,.,,,,
130,get a new taste,,,,
131,.,,,,
132,I can eat it more deliciously,,,,
133,I don't know.,,,,
134,Consumers can buy products cheaply.,,,,
135,"""",,,,
136,to be able to get more money,,,,
137,I don't know,,,,
138,You can find a better bakery by comparing many things.,,,,
139,You can pack things at a lower price because you can give more discounts.,,,,
140,to be able to work hard,,,,
141,There's more that consumers can buy,,,,
142,"It gives a lot of service, and the price goes down.",,,,
143,Cheap to buy,,,,
144,I can eat it deliciously,,,,
145,You can buy things cheaper.,,,,
146,"You can buy it cheaper, make it more delicious, consumers can eat it more deliciously, and you can sample more",,,,
147,...............,,,,
148,good service,,,,
149,"The price goes down and you can buy bread at a low price, there are more services",,,,
150,Better service will come out.,,,,
151,You can buy better services and good items.,,,,
152,The price is discounted and there is an event,,,,
153,Can buy something lower,,,,
154,You can get better service.,,,,
155,Bakery can also buy better services and goods cheaply to win each other,,,,
156,"If you compete with each other, you can lower the price and eat a little more delicious and special food.",,,,
157,I'm curious which one tastes better,,,,
158,It's cheaper and more available,,,,
159,It gives more to consumers by providing services to sell more.,,,,
160,Helping by providing services,,,,
161,It's getting cheaper,,,,
162,"As we compete, it becomes delicious and new products are created.",,,,
163,"If you compete, you will hold events such as various events and have more benefits to attract consumers.become cheaper",,,,
164,Consumers can buy cheaper by cutting prices with each other,,,,
165,The service is getting higher,,,,
166,It's good because it's cheap.,,,,
167,"As they compete, prices are gradually lowered to capture consumers.",,,,
168,ã,,,,
169,We can buy goods cheaply by lowering each other's prices.,,,,
170,It helps consumers to spend more wisely.,,,,
171,The price goes down.,,,,
172,I don't know.,,,,
173,a lot of things,,,,
174,I don't know,,,,
175,You can buy it cheaper,,,,
176,It's easy to improve while making each other better,,,,
177,"It's good for consumers because if bakeries compete, prices will go down.",,,,
178,to be able to buy a better product,,,,
179,cheapness of price,,,,
180,The price goes down or tastes good.,,,,
181,You can taste several kinds of bread.,,,,
182,to be able to buy a product at a low price,,,,
183,Prices can go down as they compete with each other.,,,,
184,Consumers can eat better bread.,,,,
185,"You can buy things at a lower price, and you can buy better things.",,,,
186,Go somewhere comfortable.,,,,
187,There will be a wider range of choices for consumers to make for better ones.,,,,
188,"In order to attract more customers, it is beneficial to consumers by lowering services and prices",,,,
189,"There are more options, so you can go to cheaper places or choose the bread you want",,,,
190,to be able to buy good quality goods,,,,
191,The price can be reduced,,,,
192,to be able to compare different stores with each other,,,,
193,The price might be lower,,,,
194,You can taste many things,,,,
195,to lower the price further,,,,
196,"Consumers can eat more delicious, more diverse foods.",,,,
197,"""The Bakery's Food Becomes More Delicious""""",,,,
198,You can see more products,,,,
199,?,,,,
200,Consumers can buy at a low price.,,,,
201,Consumers can buy goods with more expensive knives.,,,,
202,"""By competing, companies need to sell better products at lower prices",,,,
203,I know you can win the hearts of consumers,,,,
204,"Consumers will be able to buy better goods and cheaper prices.""",,,,
205,"The two bakeries are trying harder to get points from consumers, so I think they can get better treatment than usual",,,,
206,You can buy better products,,,,
207,Consumers can benefit from better bakery access.,,,,
208,I know I'm going to win,,,,
209,The food becomes more delicious.,,,,
210,You can get cheaper or better service.,,,,
211,Money,,,,
212,You can buy better prices and better quality products.,,,,
213,"It's good because bakeries compete, making bread and food more delicious and cheaper to sell.",,,,
214,"If several bakeries compete, they can buy it cheaper because consumer prices have fallen because they cut prices little by little.",,,,
215,You can spend more profitably.,,,,
216,They keep lowering the price to sell more things to each other.,,,,
217,.,,,,
218,I work harder,,,,
219,"There will be more delicious bread, so we can eat more delicious bread.",,,,
220,You can buy it cheap,,,,
221,The price goes down,,,,
222,I don't know.,,,,
223,We will develop something that is more delicious and has a pretty design for consumers.,,,,
224,You can buy cheaper and better products.,,,,
225,Companies may develop further because of their competition with each other.,,,,
226,I can't,,,,
227,Consumers can taste more diverse flavors of bread because they make more diverse breads.,,,,
228,The price gets cheaper and the quality of the product gets better.,,,,
229,I don't know,,,,
230,It's getting cheaper when different bakeries compete with each other,,,,
231,Better quality products can be consumed.,,,,
232,You can buy things at a better price,,,,
233,The price goes down,,,,
234,to get better quality goods,,,,
235,You can get a variety of bread,,,,
236,The quality of the goods gets better and the price gets cheaper. And there's a lot of course,,,,
237,You can eat bread cheaper,,,,
238,"If you compete, you'll buy more and more",,,,
239,The price becomes cheaper and the quality of the product improves.,,,,
240,"This is because bakeries compete, prices are lowered, and facilities are even better.",,,,
241,I can go to a better store,,,,
242,Consumers can live in cheaper places,,,,
243,You can buy it cheaper,,,,
244,You can go to both bakeries. It's good to be cheaper if you don't know the price.,,,,
245,"If several bakeries compete with each other, they can lower their prices to attract customers, so consumers can buy them cheaper.",,,,
246,You can get a discount and buy it cheap,,,,
247,Cheaper ones can be bought,,,,
248,Consumers can eat more delicious bread because the two bakeries compete,,,,
249,"If we compete, it will be beneficial to consumers because they are trying to develop new things to win, and they are going to lower the price and make a lot of new things.",,,,
250,We're jealous of each other,,,,
251,The price goes down and a lot of new food comes out.,,,,
252,I don't know,,,,
253,I don't know.,,,,
254,I don't know.,,,,
255,to be able to eat better bread,,,,
256,Consumers can buy it cheaper because they compete in price to sell well to each other.,,,,
257,to be able to buy at a lower price,,,,
258,You can get a good product at a good price,,,,
259,to be able to choose cheaper and better products,,,,
260,to be able to spend more economically than,,,,
261,You can buy products that are less expensive,,,,
262,Many breads are available and the price is reduced,,,,
263,You can get a better result,,,,
264,Consumer Benefits,,,,
265,become cheaper,,,,
266,The consumer benefits,,,,
267,You can get more products,,,,
268,Lower prices and better product quality are beneficial to consumers,,,,
269,"Bakery stores will lower prices to sell their products, and for this reason, consumers can buy them cheaper",,,,
270,Consumers get better quality products,,,,
271,Facilities and services improve.,,,,
272,The variety of choices increases.,,,,
273,We will be able to provide better products and better services through competition.,,,,
274,Prices go down and the quality of service goes up.,,,,
275,You can get better products and services.,,,,
276,Don't know,,,,
277,You can get a better product.,,,,
278,You can get cheap products.,,,,
279,Consumers can afford to spend money.,,,,
280,Makes us think more about consumers and more,,,,
281,"The price is cheaper, so you can buy the product cheaper.",,,,
282,We are trying to provide better service to each other. That's so sweet,,,,
283,Consumers can buy better products or products at better prices,,,,
284,"If competition improves the taste and lowers the price, it is beneficial to consumers",,,,
285,benefit each other,,,,
286,"If bakeries compete, prices can go down, which is a benefit to consumers. In addition, this can also benefit consumers because the quality of the product improves while competing.",,,,
287,"When bakeries compete with each other, they lower each other's profits and benefit consumers.",,,,
288,The market is big,,,,
289,provide a variety of choices,,,,
290,Better service and quality,,,,
291,You can get various benefits and more reasonable prices that you didn't get originally.,,,,
292,The price goes down.,,,,
293,high-quality bread,,,,
294,You can choose a cheap place,,,,
295,?,,,,
296,Competition between the two stores gives consumers advantages such as buying cheaper or receiving servicesI don't know.,,,,
297,I don't understand.,,,,
298,The quality of the goods improves.,,,,
299,The bread gets cheaper,,,,
300,Lower prices and better quality products,,,,
301,"""The price is falling",,,,
302,"""",,,,
303,You can choose from a variety of products at a lower price,,,,
304,Consumers get better quality bread.,,,,
305,There is much to be gained.,,,,
306,"You can get better, cheaper, or more cost effective items",,,,
307,You can buy better quality products cheaper.,,,,
308,"It is better for consumers, so consumers are satisfied.",,,,
309,You can taste better products.,,,,
310,I don't understand.,,,,
311,The price goes down,,,,
