,1) Let's talk about what plants need to make their own starch ,q53_sun,q53_water,"q53_carbon dioxide (CO2), air",q53_soil,q53_photosynthesis,q53_quantum,q53_chloroplast
0,Sunlight,,,,,,,
1,"Carbon dioxide (Co2), sunlight, water, and appropriate temperatures are required.",,,,,,,
2,We need to use sunlight to photosynthesize,,,,,,,
3,"The primary consumer eats the producer, the secondary consumer eats the primary consumer, and the tertiary consumer eats the secondary consumer",,,,,,,
4,Photosynthesis under sunlight,,,,,,,
5,"Sunlight, water, air",,,,,,,
6,"Air, sunlight, rain",,,,,,,
7,"""Because of the photosynthesis,",,,,,,,
8,"""",,,,,,,
9,I don't know.,,,,,,,
10,Photosynthesis,,,,,,,
11,"Sunlight, water, soil",,,,,,,
12,I don't know,,,,,,,
13,"Water, sunlight, etc",,,,,,,
14,a producer,,,,,,,
15,"Sunlight, air, water",,,,,,,
16,Plants photosynthesize by receiving sunlight and water,,,,,,,
17,"Sunlight, water",,,,,,,
18,"Water, soil, sunlight",,,,,,,
19,Sunlight,,,,,,,
20,"Carbon dioxide, water, sunlight",,,,,,,
21,"Carbon dioxide, sunlight, water, etc. will be needed.",,,,,,,
22,"I think we need soil, air, sunlight, etc.",,,,,,,
23,Water,,,,,,,
24,Water,,,,,,,
25,"water, sunlight, soil",,,,,,,
26,I don't know,,,,,,,
27,Water,,,,,,,
28,I don't know.,,,,,,,
29,Pour water,,,,,,,
30,I feel the temperature by receiving sunlight and drinking water.,,,,,,,
31,I don't know,,,,,,,
32,"You should soak up nutrients, nitrogen, etc. in the soil under sunlight and get enough water. The temperature should be moderate",,,,,,,
33,We need sunlight.,,,,,,,
34,"Water, sunlight, soil",,,,,,,
35,"the sea, soil, and air",,,,,,,
36,"Life, nature, water, soil, etc",,,,,,,
37,grayish color,,,,,,,
38,the sun,,,,,,,
39,I did water and oxygen,,,,,,,
40,Plants,,,,,,,
41,"soil, sea, water",,,,,,,
42,"water, sunlight, soil, etc",,,,,,,
43,Sunlight,,,,,,,
44,"The temperature should be low and sunlight, water, temperature, and nitrogen are needed.",,,,,,,
45,The temperature should be low and sunlight is needed.,,,,,,,
46,"Temperature should be low and proper temperature, water, sunlight and nitrogen should be required",,,,,,,
47,Photosynthesis,,,,,,,
48,"Water, air, sunlight",,,,,,,
49,"water, sunlight, soil",,,,,,,
50,Sunset debt air soil,,,,,,,
51,"sunlight, water, soil",,,,,,,
52,"Sunlight, water, air",,,,,,,
53,nourishment,,,,,,,
54,in order to survive,,,,,,,
55,"Sunlight, water, carbon monoxide?",,,,,,,
56,"Plants make their own nutrients by receiving sunlight, photosynthesis, and eating water.",,,,,,,
57,"sunlight, water, soil",,,,,,,
58,Plants photosynthesize using sunlight and water.,,,,,,,
59,Go ahead. Water oxygen,,,,,,,
60,They make their own nutrients because plants photosynthesize Rice thief,,,,,,,
61,"Sunlight, water, etc",,,,,,,
62,"water, sunlight, soil",,,,,,,
63,"Sea, water, oxygen",,,,,,,
