,"2) What happens when the decomposers (mushrooms, fungi) disappear from Earth?",q55_Constructive ,q55_Food ,q55_Ecosystem
0,The world will be filled with dead bodies of creatures.,,,
1,The earth will become a mountain of corpses and excrements because animals' corpses or excrements will not decompose.,,,
2,The Earth Is Dirty,,,
3,"The dead bodies and excrement of the living thing will not disappear, so it will stink.",,,
4,The soil or the ground is likely to be contaminated,,,
5,"Disposing dead bodies or excrement is a decomposer, but if the decomposer disappears, environmental pollution problems can occur because dirty things such as animal corpses and excrement do not disappear and naturally wait for decay.",,,
6,The world's gonna be weird,,,
7,The bodies pile up,,,
8,It gets dirty because it can't break down the feces of other animals's other animals,,,
9,"This is because if the decomposer disappears, it will dirty the earth, such as excrement.",,,
10,"When the decomposer disappears, the animals cannot decompose and become sick and die.",,,
11,"When there are no decomposers to decompose dead creatures, corpses are scattered everywhere.",,,
12,It gets more excrement and dirty.,,,
13,The bodies will remain on Earth,,,
14,Bodies often appear,,,
15,"This is because if the decomposer disappears, you can't eat mushrooms and if the animals (such as lions, rabbits, roe deer) don't see the feces, you die.",,,
16,"If the decomposers are gone, they can't eat mushrooms, and animals (rabbit lions, etc.) can't poop and get sick",,,
17,The bitter will not go away and will smell,,,
18,"More excrement, more dead animals",,,
19,the failure of the bodies of animals and plants to decompose,,,
20,The dead animals' bodies and their droppings will remain unmixed,,,
21,"As the role of decomposing rotten things disappears, the earth becomes dirty.",,,
22,You will not be able to eat mushrooms.,,,
23,I can't eat mushrooms,,,
24,The ecosystem is in danger,,,
25,"Decomposers grow on the nutrients of dead animals and plants, but if they are gone, they can rot",,,
26,The earth will be full of corpses.,,,
27,"It's very clean, it doesn't smell bad, and people can't eat mushrooms And there will be no poisonous mushrooms, so that person will have more",,,
28,The environment is clean,,,
29,The environment gets worse,,,
30,Dead or rotten bodies won't disappear well.,,,
31,"If the decomposer disappears from Earth, consumers or producers will not be as smooth as they are now.",,,
32,"If the decomposer disappears, the more handsome attitude will be maintained.",,,
33,"When the decomposer is gone, many of the bodies are released because they do not eat the bodies of animals and humans, and eventually the earth is contaminated.",,,
34,"In the ecosystem, it becomes difficult for producers and decomposers to give and receive help from each other in the ecosystem.",,,
35,"The decomposer is one of the factors that make the ecosystem work well, so if it disappears, there will be good things, but there will be many bad things because it disappears from the earth.",,,
