,1. The sentences below misunderstand the meaning of 'human dignity'. So humans are not the real reason for dignity. So what is the real reason for human dignity?,q56_Features,q56_Unique
0,I don't know.,,
1,I don't understand.,,
2,Human dignity cannot be judged because of social requirements because it is a right to be respected from birth,,
3,I don't know.,,
4,I can think about it,,
5,I don't know.,,
6,I don't know.,,
7,Toto,,
8,individual human rights,,
9,I don't know,,
10,Because there is life.,,
11,"Human rights, regardless of skin color, religion, culture, etc",,
12,Because I have emotions,,
13,"There is not a human existence for a particular reason, but because it is a human being, there is a human survival.",,
14,There is too much discrimination,,
15,This is because humans are worth being respected for their existence.,,
16,Just because women and black people are not good looking doesn't mean that they don't have dignity just because they don't have power because they don't have a good university.,,
17,What you see is not everything,,
18,"""I'm a human being, so I'm dignified",,
19,"""",,
20,Because humans are all life. Human beings are dignified just by being alive.,,
21,"The human dignity in the sentence is wrong because it is expressed as dignity by a particular person, a particular organ, etc., rather than being respected as a human being",,
22,Everyone is dignified.It's because we live equally without discrimination,,
23,This is because everyone is born in the world and has the right to enjoy as a person equally.,,
24,Human dignity is a right that must be protected because it is a right naturally picked up by any human being.,,
25,"This is because they claim to have reason and let humans live in their favor by changing the environment. Since there are many individuals called humans and they have continued to develop, they are dignified not to cause harm to humans",,
26,Because there is an ideology that a person is worthy of his existence and that his personality should be respected.,,
27,We're people who care about each other,,
28,"I think humans are dignified because they are human. He is more intelligent than most animals and plants, and has the power to develop the times by using things around him This is because they have learned to live in cooperation with other humans and know how to respect and care for each other.",,
29,Because he has an ego and has a much better ability to think for himself than other animals,,
30,Humans are dignified because they are something that won't hurt anyone's eyes.,,
31,It's because you're precious living beings,,
32,"The reason for human dignity is not determined by gender, power, or race, but by honesty or sincerity.",,
33,"""All men are equal",,
34,"""",,
35,This is because they judged it only by its appearance.,,
36,Because it's different from what it looks like,,
37,Human beings cannot be called human dignity just because they are superior.,,
38,respect for people,,
39,I can breathe,,
40,Because humans are more capable than animals,,
41,"Because humans are creatures, they cannot judge by their appearance.",,
42,You can't judge a book by its cover,,
43,"Human beings are the reason why human dignity is human dignity, even if nothing is outstanding.",,
44,"White, man, wealth, age, good looks, power, good college, no dignity. Everyone thinks it's dignity",,
45,"Animals live according to their instincts, because humans can think and act rationally.",,
46,It is dignified because it is human,,
47,Because I'm a precious and valuable person,,
48,Dignity is ourselves because it is precious and precious.,,
49,Because I'm a man of great importance,,
50,I don't understand people,,
51,Humans can be dignified just by being human.,,
52,"A person who knows how to live for others, cares for others, and has a good mindset can be said to be a person of dignity.",,
53,"Because humans are rational, smart, and moral.",,
54,Everyone is dignified.,,
55,This is because you can think for yourself and put it into action and have reason.,,
56,He is dignified because he is kind and considerate,,
57,be strong,,
58,Because I can think for myself,,
59,"The idea of evaluating a person by gender, race, property, age, appearance, and power education does not seem right. It is not important to look outward, but it is important to look inward and think of people with dignity.",,
60,I can think and relate to it,,
61,It's dignified because of the right mindset.,,
62,You shouldn't judge just by the appearance.,,
63,I can be considerate and respectful for others,,
64,Because I'm a human being,,
65,Because there's only one person in the world,,
66,Because I'm a human being human,,
67,It's because he's alive and has feelings,,
68,M and D,,
69,The reason why humans are precious is because they are life,,
70,This is because human dignity is a value that people have only because they are human.,,
71,Don't just look at the human form from the outside. Human dignity comes from within.,,
72,I don't know,,
73,"Like the sentences above, a person who is not prejudiced is dignified.",,
74,"Like the sentences above, a person who is not prejudiced is dignified.",,
75,Human beings are precious beings that are one and only,,
76,Because he's smart,,
77,I don't know,,
78,The person who can take care of himself while thinking of others is the most dignified.,,
79,Because each and every creation of God is a different creation,,
80,This is because each person has a different idea.,,
81,I think human beings are dignified because they have different ideas and ideas and think that they have nothing to throw away,,
82,It's Mongla,,
83,"I can talk, I can make things, and I understand things well",,
84,You can hide and think about what you've done,,
85,be dignified because one is human,,
86,Because I'm a human being,,
87,Because of G,,
88,Each human being is dignified because it is the only precious thing in the world and will never be in the world again.,,
89,Because I'm a human being,,
90,"""Because you are the only one living in this world",,
91,"""",,
92,Because humans are humans,,
93,Just the existence of a person,,
94,Humans are just a kind of animal.It is not special or dignified because it is human.,,
95,be dignified because one is human,,
96,Because humans are humans,,
97,"Life is very precious, one by one. People are dignified because they are ""life.""",,
98,FIt's because people are considerate of others and everyone's human rights exist,,
99,"Men, whites, property, age, appearance, power, even if not a good university, human beings are dignified",,
100,People are moral people,,
101,Because every human being is dignified without a specific standard,,
102,"This is because they have done actions through their thoughts and given them to anyone or people, and even if they are not successful, they have dignity from the time they fly.",,
103,A man is dignified because he is a precious person with a precious life.,,
104,Because it's a precious life.,,
105,Man is dignified because he has morality.,,
106,This is because each person has a distinct personality and each person's charm is different.,,
107,This is because each person has different thoughts and personalities.,,
108,Because humans exist on this planet.,,
109,"This is because humans can communicate, talk, and respect people.",,
110,It is because there is a human right as a person who should be loved and live in society,,
111,a man of great value,,
112,Because it is valuable and precious.,,
113,A person who is a person and knows how to be considerate and respectful of others is truly a John Mian,,
114,"A man's dignity is not a condition of dignity, but a man who knows he's precious",,
115,Man is dignified because he is a creature,,
116,Because they're all different lives,,
117,This is because human beings are all different in appearance from what they think of each and every one by person.,,
118,Human beings are dignified to admit their mistakes.,,
119,Human beings are dignified only because they are human Human beings themselves should be respected,,
120,Human beings are dignified only because they are human,,
121,have a long life span,,
122,It is dignified because I set my goal and move on.,,
123,be dignified in man's own right,,
124,"Oh, my",,
125,"Human beings are born with rights, so they are dignified",,
126,I think it is the real reason why humans are dignified because they are human and have reason to think.,,
127,Human beings are born with dignity.,,
128,Human beings are dignified by themselves.,,
129,Human beings are all born with dignity,,
130,Because we all have the same human rights,,
131,We are unique and precious,,
132,Because I'm a human being,,
133,I don't know.,,
134,Human beings are born with dignity.,,
135,Because people have human rights from birth.,,
136,Man is dignified because he is precious since he was born,,
137,Because it's a personality.,,
138,Because humans can think,,
139,"Human beings are creatures, so they are dignified in themselves.",,
140,Something with a good personality,,
141,Because humans need to be respected by themselves,,
142,"Since humans are born with human dignity from being born as humans, they do not need social conditions such as power, age, and property.",,
143,.,,
144,"Humans are human beings, so they are dignified by themselves, regardless of special external reasons, education, race, age, etc.",,
145,"Humans are dignified because ""human"" itself is life without any conditions",,
146,Human beings are dignified because they are human.,,
147,"People are born with human rights and dignity, and their human rights are natural human rights, and all humans are equal, and all human beings are the same, so human dignity is the same and should not be discriminated against.",,
148,All human beings are dignified because they have been granted human rights since birth,,
149,"Humans all have human rights, and they all think humans are dignified because they are all equal.",,
150,Because I'm a person,,
151,be dignified because one is a person,,
152,Human beings think that living is dignity,,
153,We were born equal,,
154,Because I'm a human being,,
155,It's because everyone is living a community life and thinking and doing things together,,
156,"Human beings are human beings, so their existence itself is dignified. Regardless of gender, social status, or educational background, humans are dignified in themselves.",,
157,It's alive,,
158,Because I'm a human being human,,
159,I don't know,,
160,have dignity as a human being,,
161,"Humans have no difference in dignity according to gender, property, age, appearance, and power. Human beings are dignified just because they are human",,
162,Because I'm a person,,
163,Because I'm a human being,,
164,I think the reason why humans are dignified is just because they are human.,,
165,Human beings have dignity by themselves,,
166,Human beings are dignified as human beings,,
