,"2. In the picture below, boys and girls are talking about different cultures. What advice do you need to be given to change the attitude of two people toward another country's culture into a desirable one?",q57_Diversity ,q57_Respect
0,I don't know.,,
1,"People in other countries may think that we are strange, so it would be better to experience other countries' cultures often without ignoring them because they are different from ours",,
2,You should learn to respect other countries' cultures more,,
3,We should respect other cultures,,
4,Please speak properly,,
5,Because it is different from country to country,,
6,I don't know.,,
7,Tata (meaning 'Tata',,
8,M and D,,
9,You just have to face a great deal of cultural discrimination,,
10,Because there is their culture.,,
11,They should have the idea that there is such a culture.,,
12,We should not ignore the culture of other countries because each country has a different background,,
13,Don't focus on the culture you belong to and broaden your perspective.,,
14,"That's possible, my friend",,
15,Have an attitude of understanding and respecting the culture of other countries.,,
16,"Yes, if it's another country, you're a foreigner",,
17,He also recognizes that foreigners are foreigners,,
18,You have to understand that each country has a different culture,,
19,You have to admit that the cultures of many countries in the world are different.,,
20,They should correct their negative attitude by frowning at the shape of the language and advise that each country has its own culture and characteristics.,,
21,You have to understand and be considerate of all cultures,,
22,"If you change your position with people from other countries and go to that country and experience culture yourself, prejudice will disappear.",,
23,"They do not have a negative attitude toward the culture of other countries, but have a positive attitude.",,
24,The culture is different depending on the surrounding environment. So there is a cultural difference between Korea and other countries,,
25,Don't whisper behind your back. I solve my questions by myself.,,
26,I understand the culture of other countries,,
27,"Even if we learn about the culture of another country and show a different appearance from us using the culture of another country, we should respect the culture of the country without discriminating or looking at it with a strange perspective.",,
28,It is necessary to accept and respect the culture of other countries openly,,
29,"Not all cultures of our own countries are right, each country has different cultures, so we should understand and respect them.",,
30,"It is a traditional culture of other countries, but we should not discriminate",,
31,We need to understand and respect the differences in cultures.,,
32,"Because the culture is different, not one is right or wrong",,
33,"This is because people with different cultures will think it strange if they see our culture.""",,
34,You have to respect other people's culture.,,
35,The culture of other countries should also be respected.,,
36,Learn and understand about different cultures,,
37,"Even if the culture is different, you have to prove it.",,
38,They do not ignore the culture of other countries,,
39,He'll see you as a freak,,
40,"Guys, you guys look weird to him",,
41,"Because cultures are different from country to country, we should respect different cultures and understand each other.",,
42,We acknowledge and respect each other,,
43,The culture varies slightly from country to region. It may seem strange to others that you are eating rice now. We should respect and understand each other's culture.,,
44,"Don't think it's strange that the culture is different, but you should develop a heart that respects other cultures",,
45,You shouldn't think only your own culture is right. People in other countries should respect and understand.,,
46,"""Thinking that our culture is different even in other countries",,
47,"We should not discriminate against because of that And because different countries have different cultures.""",,
48,Try to understand and respect the culture of other countries,,
49,"Each country has a different culture, so the person is not wrong, it's just different.",,
50,Because each country has its own characteristics,,
51,It is because different countries have different cultures,,
52,"People in other countries will see you the same way, but let's not say anything disparaging",,
53,"We should respect the culture of other countries, not say anything about being different from us.",,
54,"The culture different from the culture of the country where you live is not wrong, but different.",,
55,I go to other countries and teach them true education.,,
56,How would you feel if someone else thought of our country like this?,,
57,Indian people may not understand eating with spoons and chopsticks because you understand other countries' cultures and the continents' cultures were determined by the movement of continents in the past,,
58,Respecting culture of other countries,,
59,They want to know that each other has a different culture,,
60,I think it is right to have an attitude of accepting and understanding other countries' cultures without prejudice to other countries' cultures.,,
61,Make you understand the culture,,
62,Don't ignore other countries' cultures and respect them.,,
63,You have to be determined with the idea that you should respect other cultures.,,
64,"Different countries may have different languages, religions, and cultures The culture must be respected.",,
65,Different countries eat differently ^^,,
66,"Each country has a different culture, so we should respect the culture of the country",,
67,Every country and culture can be different,,
68,People in other countries might think that way about our culture,,
69,M and D,,
70,We have to respect the culture of other cultures,,
71,You have to respect and look at other cultures and see if they can be different. Culture is all different depending on the environment.,,
72,The cultures are different. But I think it's a stranger if you don't force and accept it.,,
73,I don't know,,
74,"We should not think of different cultures as strange, and each country has different cultures, so we should respect and accept them with an attitude of understanding.",,
75,"We should not think of different cultures as strange, and each country has different cultures, so we should respect them and accept them with an attitude of understanding.",,
76,We must respect their culture,,
77,Traditional,,
78,"Each country has a different culture, so we should do this",,
79,Makes it possible to experience culture in the country.,,
80,Culture,,
81,We should respect the culture of other countries.,,
82,"Different countries have different cultures and different laws, so it can be inevitably strange for us, but I think it is wrong to look at it from that perspective because it is familiar to that person",,
83,It stops,,
84,You should be able to respect the culture of other countries.,,
85,You're such a bad kid.,,
86,Recognize the Korean culture of other countries,,
87,I don't know,,
88,We should respect the culture of other countries,,
89,Understand and respect culture that is different from oneself.,,
90,"I look at the culture of other countries with respect, not comparison.",,
91,Understanding and respecting cultures that are different from yours,,
92,to understand each other's culture,,
93,the cultural background of the country,,
94,"Culture isn't wrong, it's different^^",,
95,It's a different culture. I understand,,
96,to understand the culture of another country,,
97,"Let's not think about ""what's wrong with you"" and ""Oh, this country is doing this and that."" ""Let's accept and acknowledge together",,
98,I don't knowYou have to respect the culture of other countries,,
99,"Each has a different culture. Think about it. Each has a different culture, so we have to respect each other and understand each other",,
100,You should understand and respect other cultures.,,
101,Recognize and respect the differences between the cultures of your own country and those of other countries.,,
102,"Other countries' cultures also have their own customs, so they should not be viewed from an external perspective.",,
103,Because each country has different cultures. So please respect other cultures.,,
104,Respect the culture of other countries.,,
105,Let's respect each country's culture.,,
106,Let's understand with an attitude that we should respect the culture of other countries.,,
107,"Each country has a different culture and diet, so you have to respect other countries",,
108,You have to understand and respect the culture of other countries.,,
109,"They are all the same people, and people from different countries will think the same when they see girls and boys. So let's respect culture in any country.",,
110,"Each country has its own unique culture, so it should have an attitude to respect and understand other cultures",,
111,Don't think it's weird that we're different.,,
112,The culture of other countries should be cherished like that of our country.,,
113,"Whatever it looks like, we have to accept it as if it's our culture",,
114,"Each country has a different culture, so it is different because it lives in different cultures",,
115,"We should respect other people's culture because the culture is different for each person and country, so if we can't accept each other's culture, there will be conflict",,
116,You have to respect the culture of other countries,,
117,We need to understand and respect the culture of the country.,,
118,"Instead of looking critically at other countries, we should acknowledge and respect each other's differences.",,
119,"If you respect the culture of each country without discrimination, you should see it",,
120,We should respect the culture of other countries and not prejudge the culture of other countries just because it is different from our own culture,,
121,We have to respect the culture of the country,,
122,"Just because there is a difference between Korea and Korea, let's not say anything as a joke",,
123,You have to respect the culture of other countries,,
124,LOL,,
125,Because different countries have different cultures,,
126,"Schools provide education that understands, respects, and cares about the cultures of other countries.",,
127,"You should not discriminate because you are different from your own culture, but respect various cultures.",,
128,I want you to respect the culture of other countries.,,
129,We have to respect each country's own culture,,
130,You have to understand the culture and be considerate of each other,,
131,"People who eat with their hands may look strange when they see us, and foreigners may look strange when they see our country, so let's change our position and respect the culture of other countries",,
132,Educate the idea of cultural relativism.,,
133,We have to respect each country's culture,,
134,Nina is good,,
135,They think and respect each other's culture.,,
136,You have to have a mindset to understand any people's culture,,
137,You shouldn't criticize other countries' cultures like that. You shouldn't think only your culture is right. The culture of other countries is also important.,,
138,Recognize the culture of the other country and don't belittle it because it's different from their own culture,,
139,You have to respect and understand the culture of other countries.,,
140,I don't know.,,
141,"It is not right to criticize the culture of other countries, so we should respect the culture of other countries.",,
142,"Since cultural differences are different from country to country, it is necessary to understand and respect each other even if their cultures are different.",,
143,"Just as we wonder about other countries' culture, people in other countries will wonder about our culture. I think we should respect each other because each country has a different culture",,
144,Have an attitude of respecting and understanding the culture of the country.,,
145,"When people in other countries see you, you may feel awkward and strange. But the attitude of ignoring the culture of other countries is not right. We need to understand and respect each other.",,
146,"Each country has its own culture, and if you look at it in a strange way, the people in that country will be upset",,
147,We have to understand it because each country has a different culture and lifestyle.,,
148,Please understand that the culture of every country is different,,
149,"The culture of the place of birth and the place of birth, that is, the culture of each country is different. Since they have learned the culture of the country where they were born, they should understand each other's culture because the culture of other countries is unfamiliar. Each country's topography, place, weather, and everything is different, so cultures appear differently.",,
150,You have to understand because each country has a different culture,,
151,"It's natural that each person has a different environment, but you have to realize that it's not wrong, it's different",,
152,"Just as our country eats with chopsticks, our culture has been like this since a long time ago, so it is natural to have a culture like our country in other countries",,
153,I understand.,,
154,Must have a cultural relativistic attitude,,
155,They advise me to respect and know the culture of other countries,,
156,"We should recognize and accept the diversity and differences of culture without thinking that it is a different culture. Our culture may also be unfamiliar to people in other countries. Therefore, we should respect the various cultures of the global village.",,
157,live in the country,,
158,Don't ignore the culture,,
159,I don't know,,
160,It's the first time I see any language,,
161,Relatively understand other cultures from a cultural relativistic point of view.,,
162,You should understand and respect other cultures well,,
163,You can change your perspective,,
164,"Regardless of which country's culture you look at, you need to respect and understand its culture.",,
165,You should understand the culture of other countries,,
166,"Don't live like that, you scumbag",,
167,"Culture is different from society to society, so you should have an attitude of cultural relativism.",,
168,I hope you can understand multiculturalism,,
169,You should know and respect that there is no right or wrong in the culture of other countries.,,
170,I try to think historically and environmentally about why I have such a culture when I understand the culture of other countries and respect it.,,
171,Each country is different,,
172,We should respect the culture of other countries,,
173,Each country has a different culture and language,,
