,"3. Shipyards that build and repair huge ships must drag the repaired ships back to the sea. But the ship is too heavy to move easily. At this time, it can be easily moved by filling the boat with water. What principle did you use to move a ship by filling it with water? Describe the force that floats an object.",q58_Bootage ,q58_Lightness
0,I don't know.,,
1,I don't understand.,,
2,I don't know.,,
3,I don't know.,,
4,Just the principle,,
5,I don't know.,,
6,I don't know.,,
7,Coco,,
8,I don't know,,
9,I don't know,,
10,I don't know...Hah!,,
11,the use of buoyancy,,
12,It's made to float in the water,,
13,buoyancy,,
14,Just the principle,,
15,"The pressure of the ship is less than that of water, so it is easily transferred using buoyancy.",,
16,"Once you are in water rather than on the ground, the friction is reduced and there is air in the ship when you fill it with water, so the boat floats due to buoyancy and you can move the ship much more easily.",,
17,"It's like the sea, and it moves",,
18,"Because of buoyancy, it can float and move on the water",,
19,the power of water,,
20,"If there is no water around, all those who pull the weight must handle it, but if you fill the drainage with water, the boat will float by water.",,
21,buoyancy,,
22,"Since the ship floats on the water as a buoyancy, the buoyancy, which is the force used by the ship, is used by placing water around it.",,
23,Buoyancy is the force that floats in water. Filling water around the stomach reduces the force that a person exerts to move the ship when moving it due to buoyancy.,,
24,Buoyancy (?)...,,
25,buoyancy,,
26,Because of the water power,,
27,"Since a ship is floated using buoyancy, if you spray water around it to float the boat with buoyancy, the weight of the ship will be lighter, so you can easily move the ship to the sea.",,
28,It is easier to float a ship than to stay on the ground because it is floating on the water,,
29,"This is because if you put water in the boat, it will attract you well.",,
30,I don't know,,
31,"""It is easier to move heavier objects outside the water because of less gravity in the water",,
32,"However, outside the water, it is not easy to move because heavy objects have a large pulling force due to gravity.""",,
33,"""You can put water in your stomach and use it.""",,
34,"""",,
35,We use buoyancy.,,
36,"""",,
37,"Using your buoyancy,",,
38,"Because if you fill it with water, it floats because it is heavy",,
39,The ship used buoyancy because it was heavy,,
40,The water is strong,,
41,The water is strong and it's buoyant,,
42,Buoyancy. Buoyancy is the opposite of gravity.,,
43,used buoyancy,,
44,Buoyancy!,,
45,I got buoyancy,,
46,To make it easier for the ship to move by buoyancy.,,
47,It can be easily transferred because it has a ball power and floats when it is in water.,,
48,Use buoyancy to move the ship,,
49,This is because ships float using buoyancy.,,
50,by power of mouth,,
51,Water moves with the principle of force,,
52,"If I fill it with water, my stomach floats",,
53,This is because the buoyancy force acts and the ship can move.,,
54,This is because the boat is washed away by the current.,,
55,Wow.,,
56,It's using buoyancy.,,
57,"As the current of the sea pushes, the ship of a large object can go down to the sea",,
58,frictional force,,
59,Because of the buoyancy?,,
60,I don't know.,,
61,The water makes the boat move,,
62,I don't know,,
63,Use buoyancy to move.,,
64,This is because water has the property of floating matter.,,
65,How do I know?,,
66,Because buoyancy acts in the opposite direction of gravity and has the force to lighten objects,,
67,He used buoyancy,,
68,Because of buoyancy,,
69,M and D,,
70,"The stomach has buoyancy, so it floats while being filled with water, making it easier to move.",,
71,"This is because buoyancy, which is the force to float in water, acts on the ship.",,
72,"If you fill it with water, it seems that the buoyancy forces it to float because of the force that oxygen in the water is about rise.",,
73,I don't know.,,
74,It is because of the buoyancy of objects floating in the water.,,
75,"It seems to be due to buoyancy, the property of objects floating in water.",,
76,Because of the buoyancy,,
77,Far away,,
78,"Because ships float easily, they float and move ships",,
79,The water of the sea and the water of the ship push each other so that the boat floats.,,
80,Because of the buoyancy,,
81,"Water is heavier than others, so water is put in to float the boat.",,
82,I think it moves as the water pressure gets stronger,,
83,buoyancy,,
84,"If there is water, the boat can float and move easily",,
85,by the force of buoyancy,,
86,Because of the buoyancy,,
87,It's under gravity,,
88,"If you go into the water with a tube, it floats",,
89,"When you fill your stomach with water, it floats because of buoyancy",,
90,"If you use buoyancy, you can move it with less force",,
91,"""The buoyancy makes it easier to move",,
92,"""",,
93,Because of the buoyancy,,
94,The water is so strong that it floats,,
95,It's easy to move because of buoyancy,,
96,buoyancy,,
97,buoyancy,,
98,It's easy to move because of the buoyancyBoyle's Law,,
99,I used frictional force,,
100,to be able to move using buoyancy,,
101,The buoyancy caused the floating ship to move.,,
102,Use buoyancy to move objects lighter in weight.,,
103,"If you add water, the boat floats, so you can carry heavy things.",,
104,This is because boats can float in the water and be dragged lightly.,,
105,This is because the boat is floating on the water by buoyancy.,,
106,"We used buoyancy, which is the force that a liquid or gas pushes an object up.",,
107,"Because the current of the sea is strong, the ship can be moved.",,
108,"Because pressure is applied, water can easily come in.",,
109,I used buoyancy.,,
110,"A ship floats by buoyancy, the force that floats an object.",,
111,"Buoyancy uses buoyancy because the larger the area of the surface that touches the water, the more it acts",,
112,This is because it becomes heavy when you put water in the boat.,,
113,This is because buoyancy works.,,
114,I don't know,,
115,"When you fill it with water, it becomes light because the boat floats",,
116,"If you put water in your stomach, it gets heavy",,
117,Because water floats objects lightly,,
118,"This is because when you fill the boat with water, it becomes buoyant and floats well.",,
119,be due to buoyancy,,
120,It's because of the buoyancy that pushes up the stomach,,
121,"This is because when the boat is filled with water, a part of the boat is submerged in the water, and the force that pushes it upward, that is, buoyancy, causes the boat to float in the water",,
122,Gravity,,
123,?,,
124,It's using buoyancy,,
125,Haha,,
126,It's using buoyancy,,
127,"Since ships are used in the sea, they can be easily moved by filling the boat with water and using buoyancy.",,
128,Buoyancy is created by filling the stomach with water.,,
129,Use buoyancy to make it easier to move.,,
130,Fill the boat with water to float and move the boat lightly,,
131,It's because the weight of the boat and the water needs to be well-balanced so that the ship can go out,,
132,"The ship was built to sail the sea, so when it was moved, it was filled with water",,
133,floating buoyancy,,
134,It's light,,
135,This is because ships float in the water.,,
136,"Since water has buoyancy, which is the force that floats the ship, if you fill the surrounding area with water, the ship can move to the sea due to buoyancy.",,
137,"If you fill your stomach with water, you can easily go out to the sea with buoyancy",,
138,Float with buoyancy.,,
139,Buoyancy...?,,
140,I used buoyancy.,,
141,Force,,
142,Water is dense and can float objects.,,
143,"It is thought that the weight or size of the object is not significantly involved in the buoyancy of water, so heavy objects can be easily moved.",,
144,.,,
145,You can float a ship by buoyancy.,,
146,"When the boat floats using buoyancy, the force of water pushing and pulling to the sea operates, making it easier to drag the boat.",,
147,"This is because a ship is a means of transportation on the water, so if you fill it with water and go, you can know the boat without using your strength.",,
148,buoyancy,,
149,Because of the buoyancy,,
150,"Because ships float on water, buoyancy acts. When you come out of the water, it becomes heavy in its original state, so if you fill it with water using the principle of water, buoyancy will act and float.",,
151,I don't know.,,
152,It seems that pouring water will help to move ships because they have to float on water,,
153,It's closely related to ships and water,,
154,I don't know.,,
155,buoyancy,,
156,I don't understand.,,
157,"This is because if you fill the boat with water, the boat floats due to buoyancy and is easy to move.",,
158,I don't know,,
159,I don't know,,
160,I don't know,,
161,I've never heard of it,,
162,Buoyancy acts to lift the belly up.,,
163,the principle of buoyancy,,
164,Don't know,,
165,"If you float an object, it seems that you can easily move it with less force.",,
166,It's the pressure of the water that moves the ship.,,
167,The principle of leverage?,,
168,"Buoyancy acts under the ship, allowing it to move smoothly as if the boat were floating in the water.",,
169,It seems to be moving using buoyancy,,
170,Use buoyancy to float the boat and move it more easily.,,
