,"6. When you go to the mart, there are many agricultural products produced abroad. There are many seafood such as seaweed and oysters exported to the United States. Why do we exchange goods through exchanges between different countries?",q6_resource,q6_price,q6_profit,q6_resource.1,q6_price.1,q6_profit.1
0,It is because the climate is different in each country and the temperature and climate are different in each country,,,,,,
1,in order to benefit each other,,,,,,
2,Opportunity cost is the most beneficial exchange,,,,,,
3,in order to benefit each other,,,,,,
4,It is better to exchange because each country produces different products well,,,,,,
5,"In order to get things that are inferior or have no quality in Korea,",,,,,,
6,This is to benefit each other because the climate of each country is different.,,,,,,
7,It's a gain,,,,,,
8,"Since the climate and natural environment are different for each region, agricultural products are produced to suit the climatic and natural characteristics of each region.",,,,,,
9,It's very efficient,,,,,,
10,"Since not all goods are produced in a country, all of them benefit from trading goods between different countries.",,,,,,
11,Because there are no such agricultural products in the country.,,,,,,
12,"By producing, development is possible through profit and exchange between countries.",,,,,,
13,This is to efficiently exchange each specialized product.,,,,,,
14,"This is because there are goods that are not produced in Korea, and each country produces well, and if they are exchanged, the benefits of both countries are higher than if they were maintained only in self-production.",,,,,,
15,This is because the specialties that come out vary depending on the characteristics of the country.,,,,,,
16,"Each country has many crops that are grown, and they are imported from countries that produce more because they can be sold cheaper in that country.",,,,,,
17,This is because the goods made are different depending on the region or country.,,,,,,
18,This is because countries gain mutual benefits through trade if they trade products specialized in Korea and products specialized in foreign countries.,,,,,,
19,"You can get things that you can't produce in your own country, and you can produce them, but it's more profitable to import them",,,,,,
20,This is because each country has various cultures and climates.,,,,,,
21,This is because the products suitable for the regional characteristics of each country are different.,,,,,,
22,This is because it is economically profitable to buy and sell specialties of each country.,,,,,,
23,"Economically, it is more beneficial for a country to specialize in production of goods, and in nature, cultivation is sometimes impossible in some countries due to geographical characteristics and various climatic characteristics.",,,,,,
24,This is because both countries can benefit from producing and exchanging goods that have the upper hand.,,,,,,
25,You can make the most of your resources and increase your profits.,,,,,,
26,"To make money from import and export relations, to keep diplomatic relations close and to avoid international isolation",,,,,,
27,"Since each country has a different environment, agricultural products and marine products that can be produced in each country are limited. Therefore, the countries exchange their specialties for other countries' specialties for more diverse agriculture.You will be able to access marine products will be available.",,,,,,
28,Each country has a different production advantage,,,,,,
29,"The types of animals and plants that can grow depending on the climate vary, so there are differences in special products depending on the region. Trade can benefit all economically.",,,,,,
30,for each other's benefit,,,,,,
31,I don't know,,,,,,
32,I don't know,,,,,,
33,I don't know,,,,,,
34,It's different from region to region,,,,,,
35,Because it's different from region to region,,,,,,
36,Because I need things or food in other countries,,,,,,
37,"To change the things you don't have and to feed the local people deliciously,",,,,,,
38,Because each region has different specialties,,,,,,
39,Because the production is different,,,,,,
40,Natural environment and specialty products are different,,,,,,
41,To know each other's things that they don't have in their own country,,,,,,
42,Fill the lack of each other and to benefit each other.,,,,,,
43,There are things that are not produced in one country.,,,,,,
44,To use products that are not of our country.,,,,,,
45,Specialties each country is different.,,,,,,
46,You can buy expensive items cheap.,,,,,,
47,Yeongma from all parts of culture is different.,,,,,,
48,Each country need and have different specialties.,,,,,,
49,"Good,",,,,,,
50,Because the growing up in the country is different.,,,,,,
51,Different products,,,,,,
52,Not in our country to bring in other countries.,,,,,,
53,In order to eat a variety of foods.,,,,,,
54,In order to eat a variety of foods.,,,,,,
55,Because the growing up in the country is different.,,,,,,
56,In order to complement the thing that does not in their respective nations.,,,,,,
57,Of the country and each country's climate is different. It's because it',,,,,,
58,"Because the climate is different, the fruits that come out in each country are different",,,,,,
59,"There are also things that don't come from the area, so you exchange them to eat a variety of foods",,,,,,
60,To get the things that can't come out of this country,,,,,,
61,This is because the fruits that grow depending on the temperature are different.,,,,,,
62,"Even things that are not produced in Korea can be easily purchased and used near their homes by exchanging goods, so they exchange to improve the quality of life.",,,,,,
63,We're going to write something good together,,,,,,
64,We have to help each other and live together to become a better country. I think we are exchanging cultural assets because we can import things that are not in Korea and give things that are not in Korea,,,,,,
65,It's because you don't use all kinds of things,,,,,,
66,This is because we can get close to other countries only when exchanges with foreign countries become active.,,,,,,
67,"From Park Ki-mook, the cool water",,,,,,
68,To get closer to the country,,,,,,
69,This is because it builds friendship between countries and is cheap.,,,,,,
70,It is to promote exchanges between countries.,,,,,,
71,To go to something I'm not confident about,,,,,,
72,Each country produces different supplies,,,,,,
73,"If you interact with foreign countries, you can get things that are not in Korea",,,,,,
74,Every country has something they don't have,,,,,,
75,"""Because the seasons and soil conditions are different in each country, the crops that can be grown are different",,,,,,
76,"Each country has its own specialties, and each country has its own well-made and well-bred food.""",,,,,,
77,"If a country sells only its own goods, it may not be able to buy what it needs. For example, fish melo, which is only found in Antarctica, is not produced in Korea, so if you want to eat it, you have to go and get it yourself. If you interact with other countries like this, you can get what you want from each other.",,,,,,
78,"Because the geographical features of each country are different, there are restrictions on production is limited",,,,,,
79,I'm going to make a deal,,,,,,
80,It is to get better quality specialties cheaply.,,,,,,
81,"Each country has its own characteristics, topography, and specialties",,,,,,
82,To enrich our lives by exchanging things that we don't have,,,,,,
83,There are some things that Korea doesn't have,,,,,,
84,To buy things that don't exist in our country,,,,,,
85,To share the advantages of other countries and the advantages of our country?,,,,,,
86,There are items that don't exist in that country,,,,,,
87,To get the things which are not produced in the country.,,,,,,
88,It can get through the exchange that can not be produced in our country.,,,,,,
89,There is nothing in his country.,,,,,,
90,"I have something every country, because products are not.",,,,,,
91,I don't know.,,,,,,
92,Interacting with each other each other is products that are not convenient.,,,,,,
93,Insufficient to supply the items of each other.,,,,,,
94,To see the benefits of each other.,,,,,,
95,There is a fruit that grows with each other and I think that poor fruit to fill the exchanges.,,,,,,
96,It is not in our country were imported from other countries and in other countries because we share and that from Lae to us.,,,,,,
97,Than our money cheap and high-quality produce.,,,,,,
98,"It has been in the country climate and speed of development is different because a b of the country changing machines and a as the country in the country and b, with each other to development.Some of them are hard to get in other countries or have not been produced at all, and LA ribs in the U.S. are cheaper than domestic products.",,,,,,
99,"Since each country has a different climate and culture, there are things that each country does not have, so they exchange.",,,,,,
100,"By buying and selling things that are not in your country and many things in your country, various cultures and history have been made",,,,,,
101,"Since each country has different characteristics and climate, it is to improve the quality of goods by exchanging agricultural products that grow well there or objects that are made well in that country (such as semiconductors in Korea).",,,,,,
102,I don't know.,,,,,,
103,g,,,,,,
104,I'm going to give and receive what I need,,,,,,
105,I don't know,,,,,,
106,I want to see more food,,,,,,
107,To help each other.,,,,,,
108,I want to do something I can't eat,,,,,,
109,"When we need something that we don't have in our country, if we exchange it with another country, we make both profits by exchanging it with the necessary goods",,,,,,
110,I want to taste something new,,,,,,
111,I need things from other countries,,,,,,
112,"In other countries, too",,,,,,
113,Share with each other,,,,,,
114,for each other's benefit,,,,,,
115,People want to eat all kinds of food,,,,,,
116,I'm trying to eat a variety of food,,,,,,
117,Foreign countries are cheaper than Korea,,,,,,
118,Don't know,,,,,,
119,Because we like each other,,,,,,
120,I wanted to taste something new and enjoy it,,,,,,
121,"In order for both countries to benefit,",,,,,,
122,Because the yield varies from country to country,,,,,,
123,"I want to eat food from other countries, too",,,,,,
124,There are things that don't exist in that country,,,,,,
125,It's not in your country,,,,,,
126,We don't have any food or supplies in Korea,,,,,,
127,That's all made in China?,,,,,,
128,We need to exchange to know what's good for America and that there are good things for our country,,,,,,
129,This is because there is no product or food that is not produced in Korea.,,,,,,
