,"5. If you observe conch, the shape of conch shell is slightly different. A conch that lives in a place with strong currents has developed horns on its shell, so it is not easily washed away by water, but a conch that lives in a place where the current is not strong has no horns on its shell. What is the reason?",q60_water current ,q60_depending on the ,q60_environment
0,I don't know.,,,
1,It develops differently depending on where you live,,,
2,The roots are shaved in a place with strong currents,,,
3,The place where the current is weak is because the conch doesn't touch the stone,,,
4,Developed to keep the current from drifting away,,,
5,The place where the current is weak is because the conch doesn't touch the stone,,,
6,I don't know.,,,
7,hohoh,,,
8,I'm going to hang in there,,,
9,The shape of the conch was changed naturally so that it could withstand high currents,,,
10,Because the shell was changed by the current.,,,
11,There are horns to withstand the current.,,,
12,horns to hold out in strong water,,,
13,There are horns to hold out where the current is strong.,,,
14,The current cut the conch,,,
15,"To put horns around it to prevent it from being washed away by the current,",,,
16,Evolved to suit the environment in which conch lives,,,
17,The shape is developed so that it doesn't get washed away,,,
18,It's because I adjusted to the environment where conch lives,,,
19,The current is too weak to be swept away.,,,
20,"A conch with a strong current needs to be supported to settle down. It has horns, but a conch with a weak current does not have horns because it does not have to be supported by a weak current",,,
21,Because it doesn't get swept away,,,
22,Sora in places with strong currents are tailored to the environmental conditions of their habitats to avoid being carried away by strong currents.,,,
23,It is to be embedded in the ground using horns or to disperse the current.,,,
24,"Because the conch is a creature, it changed according to the environment to live",,,
25,Not to be swept away by the water,,,
26,The place where the water rice is strong is to defend the strong water rice,,,
27,"The horn was developed to support the body because there is a risk of breaking the shell by hitting the rock if the current is easily floated, and the horn was not developed because there is no risk of drifting away even if the current is not fixed.",,,
28,"Because the current is weak, there is not much to drift away",,,
29,"This is because even if they are the same conch, they live optimally in their environment.",,,
30,It is because there is a power to cut down conch where the current is strong,,,
31,The swells in the strong current have changed to survive in the strong current environment,,,
32,This is because the shape of conch changes depending on the current.,,,
33,"This is because the current is weak, so it doesn't float well.",,,
34,"The conch in the place where the current is strong changed to adapt to it, but the place where the current is weak did not change because the current was not strong.",,,
35,The place where the current is strong seems to have horns because the shell day of the conch is cut.,,,
36,"The conch with strong currents has roots on it, so it does not leave even if the waves come, and the conch with weak currents has no horns on it, so it is well floated by the waves.",,,
37,"Because the current is strong, the conch is cut",,,
38,The current was so strong that Sora was surprised,,,
39,Because it was mutated to adapt to the environment.,,,
40,To adjust to the environment,,,
41,Not to drift on the current,,,
42,"The current is weak, so it's okay without horns",,,
43,"Because they live in the place where they live, they have developed advantageously in the environment where they live.",,,
44,"""To live in a place with strong currents, you need to stick well together, so your horns are developed",,,
45,"There are no horns because they do not float well in places where the current is weak.""",,,
46,The current is so strong that the shell of a conch is peeled to form a horn? To live well in a place with strong currents,,,
47,"This is because the current is not strong, so it does not drift away.",,,
48,"If the current is weak, the conch will flow well, so the gate will hold you",,,
49,"""Because there needs to be a horn so that it doesn't float away",,,
50,"They don't float away because of the water spray.""",,,
51,It's because the hornless conch is easily pushed away,,,
52,"Because the current is strong, there is a cogwheel-like part in the shell of the conch, so it does not float away even in the strong current.",,,
53,The first conch was cut off by a strong current and shaped like that.,,,
54,The current creates horns,,,
55,This is because you have to fix it with a horn in order not to drift away from a strong current.,,,
56,"It has a pointed shape to prevent the current from being washed away or eaten by other sea creatures because it is strong, and it does not have a pointed shape because the water is less pushed down",,,
57,"Strong currents are easy to drift away, so they are fixed with horns to make them less swept away.",,,
58,"""On the other hand, if the current is weak, the power to be swept away is weak, so it is not easy to float away.""",,,
59,To keep you from being swept away by the water,,,
60,The shape of the shell of a conch changes through weathering and erosion.,,,
61,I was born strong when I was born strong,,,
62,"This is because the current is not strong, so there is no need for horns to develop.",,,
63,"This is because conch shells, located in places where the current is weak, are not peeled by the current.",,,
64,The skin doesn't peel because of the current,,,
65,"If the current is weak, there is no reason to drift away, so there are no horns",,,
66,"The horn is used not to float away because if the current is weak, it will not float away",,,
67,Each place has different characteristics,,,
68,This is because the conch adapted to its habitat.,,,
69,The shell is too weak to have horns,,,
70,"If the current is strong, the conch can float and drift deep into the sea, but if it has horns, it can get stuck in the sand and not float away.",,,
71,"If the current is not strong, you can prevent yourself from drifting away even if the shell horn is not developed. And because the shell is peeled off by the current. Living things change little by little depending on the environment.",,,
72,I don't know.,,,
73,I don't know,,,
74,"This is because when the current is strong, the shell of the conch is cut unevenly by the strong current.",,,
75,"This is because when the current is strong, the shell of the conch is cut unevenly by the strong current.",,,
76,The current is so strong that it's shaved. That's not that,,,
77,I don't know,,,
78,"If you are stuck in a leak, you can stay still",,,
79,Sora also develops to adapt to where she lives.,,,
80,The conch evolves according to the surrounding environment,,,
81,Animals and plants change their models according to their environment and try to write them down,,,
82,"If the current is strong, the shell can break and die. If the shell has horns, the horn can be caught in sand or stone, so the horn can be removed because the strong current can be fixed voluntarily in places with weak currents can be fixed voluntarily",,,
83,I don't know.,,,
84,"This is because there is a horn called a conch with a strong current, so it passes perfectly when the water passes.",,,
85,I don't know.,,,
86,Because horny things can be swept away by the waves,,,
87,There are fewer collisions and fewer currents,,,
88,I don't want to float away with horns,,,
89,"Sora in places with strong currents created horns to avoid being washed away by waves, and Sora in places with weak currents did not create horns because they were not passed down by waves.",,,
90,The horned conch should not be washed away by the water,,,
91,To avoid drifting away in response to a strong current,,,
92,They evolved by adapting to live in different places.I'm not going to get washed up,,,
93,To withstand the current,,,
94,"Where the current is strong, the current can rise and drift away, so horns are formed to prevent it",,,
95,"If you have horns, you look strong and the current weakens",,,
96,I don't want to get caught in the horn and drift away,,,
97,"Living things evolve according to the environment, so where the current is weak, the conch's horns get smaller and then disappear",,,
98,To expose the resistanceBecause the uncountable current does not remove the conch's horns,,,
99,"This is because the horn of the shell living in a place with a strong current has developed to prevent it from being pushed into the water, and the cow in a place with a weak current does not need to be",,,
100,"The conch in the place where the current is strong is peeled off by waves and has horns like the current shape, but the conch in the place where the current is weak is not strong, so it remains in shape",,,
101,"To protect yourself according to the strength of the current,",,,
102,Because the strong current is developed in a way that the horns are fixed between the stones or in the soil and are not easily washed away,,,
103,"The conch in the place where the current is strong was stimulated by the strong current, and the conch in the place where the current is weak was less stimulated because the current was weak.",,,
104,"If the current is strong, it has horns because it has to endure, and if the current is weak, it does not have horns because it does not float away.",,,
105,The horn is developed because the conch that grows in a strong current must survive by causing a protective instinct.,,,
106,The conch where the current is strong and the conch where the current is weak are different,,,
107,"The horn fixes the strong current, so you don't need a horn because the current is weak",,,
108,"This is because when the current is strong, the outer part of the conch is cut off little by little, whereas the place where the current is weak cannot stimulate the outer part of the conch.",,,
109,"The reason why conch living in a place with strong currents has horns is to not be washed away by the current, but it will not be needed because it will not be washed away in places where the current is not strong.",,,
110,"If a conch with a strong current does not have horns, it can be easily washed away, but if the current is weak, it is not necessary to have horns because it is rarely washed away",,,
111,"""Where the current is strong, the conch hits the rock, so the conch looks like this.""",,,
112,"The shape of the conch remains the same because the conch does not hit the rock where the current is weak.""",,,
113,"In places where the current is strong, conch received a lot of current and the shell of conch was broken, so horns were formed.",,,
114,"Where the current is strong, the water is weathered",,,
115,It changes into a shape suitable for living according to the natural environment,,,
116,"When the current is strong, the conch erodes!",,,
117,"Because if there is a horn, it doesn't float well in the current",,,
118,To protect yourself from being pushed easily.,,,
119,"The conch does not easily drift into the water with its horns as a survival instinct to hold out for the conch in a place where the current is strong.The place where the water is weak is not easily washed away by water, so the place where the water is weak does not have horns because it does not need a guji horn.",,,
120,"If the current is strong, the shells of conch are peeled off, so that shape is made",,,
121,Because the conch in the place where the current is weak was washed away by the waves,,,
122,There is a difference between the strong and weak parts of the current.,,,
123,"The current is not strong, so you don't have to hold it strong",,,
124,Evolving by changing appearance according to the environment,,,
125,It looks delicious.,,,
126,"In places with strong currents, horns are required to withstand currents, but conchs that live in places with weak currents are not needed.",,,
127,"This is because they live in a place where the current is weak, so they do not drift away.",,,
128,"This is because the parts used by living creatures are different depending on the different environments in which they live, and the parts that are not used well deteriorate.",,,
129,"In order to prevent the horn from being fixed to the ground and easily washed away, the horn is developed in the shell of a cow living in a place with a strong current.",,,
130,"Depending on the surrounding environment, the horn of the swirling area was developed to prevent the swirling away, and the horn of the swirling area of the weak stream was not developed in the place where the current was weak",,,
131,"The conch evolved according to the environment. If you want to live in that environment, you have to live in that environment",,,
132,"Depending on where you live, the shape and function change over a long period of time",,,
133,Don't get washed away by water,,,
134,The current is weak,,,
135,It was tampered with to avoid being washed away by the current.,,,
136,"Because the current of a cow with a strong current is strong, its horns have developed to withstand its position, and because the current of a cow with a weak current can be in its position, its horns have not developed.",,,
137,The conch in the high water can't just be in the low water because it's low water,,,
138,"Sora in places with strong currents developed horns so that they would not be swept away by strong currents, and conch in places with weak currents did not develop horns because they did not worry about being swept away by currents.",,,
139,"""If you have horns so that the conch doesn't float away from the water,",,,
140,A conch in a place where the current is weak is less likely to be washed away,,,
141,"There are no horns.""",,,
142,"The strong current can be swept away by conch, which protrudes to prevent it from being washed away anywhere.",,,
143,"The current is weak, so it doesn't have to have horns",,,
144,"Where the current isn't strong, there's no need to drift away",,,
145,"Strong currents can damage the outside of conch, and to prevent this, strong currents seem to have developed horns to reduce the intensity of the currents.",,,
146,.,,,
147,"The horn of the conch in the place where the current is strong resists the current and does not drift away easily, but the conch in the place where the current is weak has no horn because it has to reduce the friction force to prevent it from drifting away.",,,
148,"The conch that lives in a place with a strong current has developed horns to avoid being washed away, and the place where the current is weak can live where the conch was originally lived without being washed away",,,
149,This is because Sora evolved her form to suit her environment.,,,
150,"The place where the current is strong is to withstand the current with horns, but if the current is weak, you don't have to worry about drifting away, and if so, you don't have to block the current with horns.",,,
151,It changes depending on the environment,,,
152,"When the current is strong, the shape changes so that it does not drift away easily, and in places where the current is weak, it does not change because it does not drift away easily even if the horn does not develop.",,,
153,It doesn't matter if it's washed away,,,
154,"Where the current is strong, it seems to be pointed to reduce the water's resistance",,,
155,The current is strong,,,
156,To live in the flow of water,,,
157,"""The current is strong, so I'm trying to hold it in.""",,,
158,"""",,,
