,"6. When Hyewon visited the botanical garden, she saw that she was an insectivorous plant that feeds on small insects. Especially, what Hyewon thought was fascinating was the Paris prison. It is said that the flytrap attracts insects with its smell, and when the insect touches the leaves, it closes the leaves to decompose the insects and absorbs nutrients. Hye-won, who read the notice board, has a question. Why are flies in the botanical garden that feed on insects that are animals? Why on earth did the doctors at the botanical garden classify Paris as a plant?",q61_Photosynthesis ,q61_Motoricity
0,I don't know.,,
1,"In case insects hurt other plants,",,
2,I don't know.,,
3,I don't know.,,
4,It's not an animal,,
5,Because it's harmful,,
6,I don't know.,,
7,He he,,
8,Because I don't go around,,
9,The Parisian hell is loose,,
10,I don't know...(Laughing),,
11,"It eats plants, but it's a plant.",,
12,M and D,,
13,This is because there are chloroplasts and cell walls.,,
14,I'm only working with nerves,,
15,This is because insectivorous plants are also a kind of plant.,,
16,"Since it's a plant, the hell doesn't walk around like a human or fly around like a fly",,
17,It looks like a plant,,
18,"It eats animals, but it breaks them down, absorbs them, doesn't move, and it's green",,
19,Parisian hell lives on land.,,
20,This is because Parisian jade eats plants but has a tissue system.,,
21,I don't know,,
22,This is because insect-eating flies produce nutrients and photosynthesize.,,
23,It's because you can photosynthesize.,,
24,The composition and structure of plants are similar,,
25,It looks like an average plant,,
26,It's a plant,,
27,This is because it has stems and leaves and uses sunlight to photosynthesize itself.,,
28,"It doesn't move on its own, it closes itself when it touches the Parisian projection",,
29,Because it is an insectivorous plant.,,
30,Move it,,
31,This is because Parisian jade photosynthesizes like other plants.,,
32,"""To eat insects and protect them from harmful creatures,",,
33,"""",,
34,"To make sure that no flies disturb other plants,",,
35,I live in the dirt,,
36,by photosynthesis,,
37,"It's fascinating to eat flies, but it's the same as living things",,
38,Because it's green.,,
39,Green and photosynthetic?,,
40,It has roots and stems like plants.,,
41,"Because I can't move.""",,
42,"This is because other plants have stems and root leaves, like plants, to prevent flies from disturbing them",,
43,This is because it is a plant that uses sunlight to photosynthesize.,,
44,"Parisian hell eats worms, but it's a living plant",,
45,They grow and grow like plants and do what plants do.,,
46,"They grow on the ground, they have plant properties, they don't move much, they photosynthesize, they have chlorophyll",,
47,Paris Hell has root-stemmed leaves like the cilantro,,
48,Plants can photosynthesize because Parisian jade also photosynthesizes.,,
49,Because it grows on the ground,,
50,It's because I live on Sooben,,
51,Because it has the same conditions as plants,,
52,"The flytrap cannot move on its own and does not photosynthesize with light, but rather attracts bugs to its own smell and eats them.",,
53,Because Parisian jade is also a plant.,,
54,It's a plant,,
55,"This is because Parisian jade has roots, stems, and photosynthesis.",,
56,"The flytrap also eats insects, but because it is originally a plant, it is a plant and a cannibal, so we call it a plant",,
57,Because they photosynthesize,,
58,I get nourishment by myself and live,,
59,Because Parisian hell is a living creature,,
60,"It has roots, photosynthesis, and leaves",,
61,Because it has roots and lives in the ground.,,
62,"Like other plants, Parisian jade seems to be classified as a plant because it needs soil, water, and air to survive.",,
63,It looks like a plant,,
64,"It has roots, photosynthesis, leaves, and it's a plant",,
65,It's because they get food on its own,,
66,"Plants are characterized by water and sunlight.It grows on nutrients, and this flytrap also has this plant characteristic",,
67,Plants get nourishment from sunlight and live in need of water because so do Parisian hell.,,
68,Parisian jade is a plant because it is structured with cellulose and has chloroplasts that can photosynthesized.,,
69,"This is because Paris jade is structured in this way, such as a root stem leaf, which is the structure of a plant.",,
70,This is because Parisian jade is an object that does not move to other places like animals and lives by getting nutrients through its teeth.,,
71,"If a rose uses thorns to protect itself, the flytrap eats other insects to live in reverse.",,
72,I don't know,,
73,It is in the botanical garden because it is made up of different structures from animals.,,
74,It is a plant because it has different structures from animals.,,
75,"He's alive, but he can't move",,
76,on the ground,,
77,It's because it has roots and can't move,,
78,It is to eat unnecessary worms entering the botanical garden.,,
79,"This is because Parisian jade is composed of leaf stalks, etc. as well as catching flies to get nutrients",,
80,"They don't just eat insects, they eat water, and they photosynthesize.",,
81,They can't photosynthesize and grow on the ground and make sounds,,
82,It's a plant,,
83,This is because Parisian jade also photosynthesizes.,,
84,It's a green plant,,
85,Parisian jade also lives on its own nutrients,,
86,They live in the ground and have many similarities with other plants,,
87,I'm trying to catch flies around me,,
88,This is because Parisian jade photosynthesizes.,,
89,"Because the characteristics of plants stand out more than the characteristics of animals,",,
90,"Parisian jade takes its own nutrients, makes its own nutrients, and photosynthesis",,
91,"Like plants, Parisian jade feeds on water and photosynthesis",,
92,I can't move on food,,
93,an insectivorous plant,,
94,"Unlike animals, they live with roots in the ground",,
95,You need to photosynthesize and drink water,,
96,It's because you can't move by yourself,,
97,"To reduce the damage to other plants,",,
98,It's because it's an insectivorous plant that eats insectsHow do you absorb nutrients?,,
99,"This is because flytrap, an insectivorous plant, moves alive and eats nutrients from the soil, just as other plants eat nutrients from the soil.",,
100,"Like plants, they photosynthesize and absorb nutrients",,
101,"This is because there is no difference from other plants that absorb water and nutrients. Of course, it's just a different way of getting nourishment",,
102,"This is because unlike animals, Parisian jade cannot move its entire body.",,
103,"Because it breeds like a plant, not like giving birth to babies.",,
104,It is in the botanical garden because it is an insectivorous plant that eats animals.,,
