,"7. The following is a list of car features that many students thought of. Cars have similar characteristics to living things, but we don't call them living things. What is the reason?",q62_Producer ,q62_Replication,q62_Growth ,q62_Reaction,q62_Breathing,q62_Cell,q62_Metabolism
0,I don't know.,,,,,,,
1,I don't understand.,,,,,,,
2,be unreasonable,,,,,,,
3,Because there's no life,,,,,,,
4,Because there's no life,,,,,,,
5,Because it's not alive,,,,,,,
6,It's not natural,,,,,,,
7,"Okay, okay",,,,,,,
8,Because there's no life,,,,,,,
9,Cars have no organs,,,,,,,
10,"This is because living things breathe, but cars cannot breathe.",,,,,,,
11,Because it's not alive.,,,,,,,
12,Because there are no cells,,,,,,,
13,This is because there is no proliferation activity or reproductive activity.,,,,,,,
14,Because it's not alive,,,,,,,
15,Because it's not a breathing creature,,,,,,,
16,"Because cars don't have life, they don't have thoughts, they're artificially made for convenience by humans",,,,,,,
17,Because cars are objects and living things are living things,,,,,,,
18,Because I don't have any life,,,,,,,
19,Because cars are made by humans.,,,,,,,
20,"In the case of cars, they are not called creatures because they use electricity and use products (instruments) rather than various institutions.",,,,,,,
21,Not breathing,,,,,,,
22,"This is because it is not alive, but just a combination of elements that make up a biological car.",,,,,,,
23,"This is because metabolism, stimulation, and reaction do not appear.",,,,,,,
24,I don't do life activities,,,,,,,
25,"Not composed of cells, not metabolizing substances.",,,,,,,
26,"Life is about living, breathing, communicating, and moving on your own",,,,,,,
27,"This is because cars cannot even move on their own without the owner of the car what almost all creatures do, such as moving on their own or breathing.",,,,,,,
28,Because you can't move yourself,,,,,,,
29,Because cars have no instinct like living things.,,,,,,,
30,"This is because cars move by themselves like living things, or they don't eat food, but only by oil",,,,,,,
31,"Biology refers to things that can breathe or grow alone because cars are made of metal, so they can't grow or breathe.",,,,,,,
32,This is because cars move and move using fuel.,,,,,,,
33,Because cars don't think and act on their own.,,,,,,,
34,Cars don't think and act on their own,,,,,,,
35,Cars are not creatures because they help people conveniently.,,,,,,,
36,"A car spills oil, but a creature moves without oil and its heart beats",,,,,,,
37,Because I didn't breathe,,,,,,,
38,Because I don't have a heart!,,,,,,,
39,"This is because cars are made by humans, not by themselves.",,,,,,,
40,Because cars do not think and act on their own,,,,,,,
41,Cars are not called living things because they are machines designed to make it more convenient for people to move around.,,,,,,,
42,Because cars aren't really alive,,,,,,,
43,I don't know.,,,,,,,
44,He's not alive. He's not breathing,,,,,,,
45,I can't talk and eat,,,,,,,
46,"""Bodies need to breathe, they can't upgrade, but cars don't",,,,,,,
47,"That's because.""",,,,,,,
48,It's a machine,,,,,,,
49,Because he's not alive,,,,,,,
50,Cars aren't alive,,,,,,,
51,This is because cars cannot move on their own.,,,,,,,
52,Because cars do not have cells.,,,,,,,
53,"This is because living things live on food, but cars eat fuel, and cars are not made up of cells",,,,,,,
54,Because cars are not living things.,,,,,,,
55,"Cars move, but they don't have emotions like humans, and they're made up of various appendages, so they're not called creatures",,,,,,,
56,It's not a collective movement,,,,,,,
57,The car can't produce food on its own and it can't move on its own,,,,,,,
58,Because living things have hearts and cars don't have the same emotions or feelings as living things,,,,,,,
59,"They don't just run, they don't get food themselves, they only move when humans drive, and they're robots",,,,,,,
60,Because cars are lifeless and emotionless.,,,,,,,
61,"Because it is made by assembling several parts, the car cannot be called a creature.",,,,,,,
62,"It's similar to living things, but it doesn't have a heart and cell",,,,,,,
63,It's not a living creature,,,,,,,
64,Because cars don't get food by themselves,,,,,,,
65,"Life is about living plants, animals, etc., but cars are about fuel",,,,,,,
66,"Living things live in life, but cars don't.",,,,,,,
67,"Cars are made of iron and cannot move like living things, but they are not living things because they are made in factories.",,,,,,,
68,"This is because cars are made for people's convenience and are made of various parts, unlike life rafts.",,,,,,,
69,A living thing is an object that maintains a living phenomenon by itself with life. But cars are kept alive by one other object. That's why it's not a creature.,,,,,,,
70,"All living things move and grow on their own, but cars need fuel. Also, living things are not organically organized.",,,,,,,
71,"This is because unlike living things, cars use fuel and are made up of many accessories.",,,,,,,
72,"This is because cars cannot feel emotions, do not breathe, and do not consist of cells.",,,,,,,
73,"This is because cars cannot feel emotions, do not breathe, and do not consist of cells.",,,,,,,
74,"Unlike living things, cars use fuel and are made up of numerous accessories",,,,,,,
75,It's because it's made by humans,,,,,,,
76,It's a machine,,,,,,,
77,This is because cars have no thoughts and minds and cannot move unless a person controls them.,,,,,,,
78,Because it's a creation created by humans,,,,,,,
79,"Because cars are controlled by humans, even if there is an autonomous car, they are made by humans.",,,,,,,
80,I don't think cars are called creatures because they are thoughtless and human-controlled,,,,,,,
81,It's lifelessness,,,,,,,
82,Because cars are machines and use fuel.,,,,,,,
83,They don't hide,,,,,,,
84,"There's no life, there's no emotion",,,,,,,
85,"Because we use various parts and people drive,",,,,,,,
86,I can't speak and I can't think,,,,,,,
87,It changes in form and there is no life.You can't move without fuel.,,,,,,,
88,"There's no life, and it's not about thinking and there's no movement",,,,,,,
89,"Because cars are not lifeless, they are not judged directly, and they are not rational",,,,,,,
90,I don't feel any emotions,,,,,,,
91,It's a machine,,,,,,,
92,You can't live on your own without feeling the pain.,,,,,,,
93,You can't move by yourself,,,,,,,
94,I couldn't feel the deep end,,,,,,,
95,It's because you can't think for yourself and you can't do what you want,,,,,,,
96,I can't photosynthesize,,,,,,,
97,Because I can't eat and breathe,,,,,,,
98,Because he's not aliveBecause cars aren't alive,,,,,,,
99,People artificially make it out of various materials.,,,,,,,
100,"They don't have organs like living things, and they're all made of man-made iron, plastic, etc",,,,,,,
101,This is because it is different in appearance from creatures like humans.,,,,,,,
102,"Because you can't move on your own, and you don't live breathing.",,,,,,,
103,Because it's not alive.,,,,,,,
104,"Cars move, but they are not creatures because they are not alive.",,,,,,,
105,"Because cars are machines, not creatures.",,,,,,,
106,Because cars don't live and breathe.,,,,,,,
107,"A car is not a creature because living things move according to their own will, but a car moves according to the driver's will.",,,,,,,
108,Because they're not alive and they don't grow on their own,,,,,,,
109,"The reason we don't call it a creature is that car accessories aren't creatures, so cars aren't creatures.",,,,,,,
110,"This is because living things photosynthesize, but living things don't photosynthesize.",,,,,,,
111,You can't think and act like a human being,,,,,,,
112,Because he's not alive,,,,,,,
113,"Cars do not breathe and cars are made using parts. It's like our bodies that can't move when a part is missing, but cars aren't creatures",,,,,,,
114,Because I can't breathe,,,,,,,
115,Because living things are not machines.,,,,,,,
116,"Living things photosynthesize, but this car is not living things, so it cannot photosynthesize.Therefore, it is not called a creature.",,,,,,,
117,"Because cars are electrical products, not living things, and they cannot be called living things",,,,,,,
118,"A car must have a stool and a manufacturer, and it cannot replicate itself and make the same car",,,,,,,
119,"The body has no organ heart, lungs, intestines, etc. and cannot move on its own.",,,,,,,
120,It's because it's driven by people,,,,,,,
121,Because I can't think and move on my own,,,,,,,
122,(Laughing)Don't know,,,,,,,
123,Because I can't move without a user,,,,,,,
124,"This is because cars are made up of many accessories. Because accessories are man-made, cars show similar characteristics to living things, but they cannot be called living things.",,,,,,,
125,"A creature has several actions inside its body, because a car adds a substance that artificially causes the action.",,,,,,,
126,Because I can't do something on my own.,,,,,,,
127,Because cars are artificially made means,,,,,,,
