,"8. Patients who have a sudden heart attack risk serious brain damage. At this time, performing CPR on the patient as shown in the picture can prevent brain damage. Why can CPR prevent brain damage? Let's focus on the circulation of blood in our bodies and explain why.",q63_blood,q63_heart,q63_oxgen
0,I don't know.,,,
1,I don't know.,,,
2,"Blood that supplies oxygen to the brain is sent through the heart to the brain, but the heart does not beat itself, so it is sent to the brain like the blood pressure artificially sent by the heart",,,
3,Because it makes your heart beat,,,
4,Cardiopulmonary resuscitation provides blood to the brain,,,
5,Because it makes your heart beat,,,
6,I don't know.,,,
7,yes,,,
8,Because our body's blood circulates,,,
9,Because of my heart,,,
10,This is because our body's blood is spread by chest pressure.,,,
11,This is because it puts pressure on the heart.,,,
12,It helps blood circulate while compressing the heart,,,
13,This is because pump action occurs by pressing the áá³á¯ áá¡á¸áá¡á¨.,,,
14,To supply the blood in the heart,,,
15,"Since the heart plays a role in sending blood to the whole body, brain damage occurs when the heart stops. Therefore, CPR should send blood to the brain",,,
16,It gives oxygen to the brain,,,
17,I'm going to save it by CPR,,,
18,"""Because blood supply to the brain can prevent brain damage, CPR on a heart attack patient can prevent brain damage",,,
19,"""",,,
20,Because it makes the heart beat and supplies blood smoothly.,,,
21,It is CPR that compresses the heart and allows blood to flow well.,,,
22,to be able to prevent blood damage,,,
23,This is because it can help blood reach the brain by making the heart run.,,,
24,"Gas exchange occurs through blood circulation and oxygen is supplied to the whole body. This process cannot be carried out smoothly, which can lead to brain damage. Therefore, CPR, which facilitates blood circulation, can prevent brain damage.",,,
25,"I know that brain damage is caused by blood not entering the brain. The heart beats and transmits blood to the brain, which occurs because when the heart stops, blood is not supplied to the brain. It is important because I know that CPR puts pressure on the heart that slowly stops and makes it beat again.",,,
26,"The direction of blood goes from the heart to the brain through the lungs, and if oxygen is injected into the lungs, fresh air flows into the brain, so blood circulation is smooth.",,,
27,"Blood circulation flows up and down from the heart, but when the heart stops, blood is not transferred to the brain",,,
28,"Our body needs to supply blood to the whole body around the heart, but heart attack is a disease caused by not smoothly supplying blood to the whole body, so CPR can prevent brain damage because air enters the body from the outside.",,,
29,"If you let the heart beat, the blood circulates through the body",,,
30,This is because the brain is also activated when the heart is activated.,,,
31,"Pressing the chest also connects the head to the compressed area, which can prevent brain damage",,,
32,"Lack of oxygen is highly likely to cause brain damage, but CPR allows them to breathe.",,,
33,This is because it is golden time before brain damage. It was because they supplied oxygen.,,,
34,This is because cardiopulmonary resuscitation causes the heart to beat again and blood circulation to resume.,,,
35,"Cardiopulmonary resuscitation is performed to shock the heart and cause the heart to beat again, allowing blood to circulate again in the heart.",,,
36,Cardiopathic resuscitation can prevent brain damage by re-supplying blood.,,,
37,Cardiopulmonary resuscitation can make your heart beat,,,
38,It makes my heart beat again,,,
39,"It shocks the heart, causing blood to flow",,,
40,"Blood is produced in the heart, and cardiopulmonary resuscitation causes blood to circulate in the body and blood circulation in the brain.",,,
41,Blood is produced in the heart because blood circulates through cardiopulmonary resuscitation,,,
42,I don't know,,,
43,I lift up my neck so that I can breathe,,,
44,I don't know.,,,
45,"Blood should go to the head, but when the heart beats, blood goes to the head, but when a heart attack occurs, it cannot go, so CPR is performed to prevent blood from getting on the head to prevent brain damage.",,,
46,You can breathe well if you press your body with strength,,,
47,Lying down and raising your chin can prevent brain damage because blood circulation is achieved.,,,
48,Because air goes into the body if you do simpesosynthesis,,,
49,It's because my heart beats because I press my heart,,,
50,It forces the heart to beat and makes the body's blood flow as well,,,
51,It helps blood circulation by performing lung resuscitation to increase blood circulation in the heart and prevents brain damage,,,
52,The oxygenated brain is not damaged by beating the heart.,,,
53,"If the heart stops, the blood will not circulate, so there is a risk of brain damage, so CPR will circulate the blood",,,
54,It can prevent brain damage because it supplies oxygen to the brain by circulating blood.,,,
55,It's because the pituitary gland is connected with the person breathing,,,
56,Compression of the heart causes circulation and prevents brain damage,,,
57,"It plays a role in circulating blood in the heart, and if the kimchi stops immediately and cardiac arrest occurs, the blood does not spread to the body, so if you don't respond to cardiac arrest, it leads to damage to the brain and there is a risk of brain death",,,
58,"""When the heart stops, there's no blood circulating, so there's no oxygen. If there's no oxygen, the brain is damaged, so even artificially, there's no force on the heart",,,
59,It makes the heart beat and prevents brain damage,,,
60,It helps blood circulation,,,
61,"When a heart attack occurs, the function of the brain gradually stops, and CPR can cause blood circulation and prevent brain damage.",,,
62,It provides oxygen to the brain by circulating blood.,,,
63,"If a person collapses, there may be a risk of brain damage because it can cause problems in blood circulation, so simple pesosynthesis prevents brain damage.",,,
64,It gives oxygen to the brain by allowing blood circulation through cardiopulmonary resuscitation,,,
65,"When the cardiac arrest occurs, all organs in the body stop, and oxygen is cut off, but if the brain is not oxygenated, it's brain damage",,,
66,"When the heart stops, brain cells do not rotate, so CPR does not stop the heart, so the brain cells return to their original state.",,,
67,"When the heart stops, blood cannot circulate and the brain cannot be supplied with oxygen, which can lead to death. However, if the heart is compressed by CPR to circulate blood, the brain can be supplied with oxygen.",,,
68,"""When the heart stops, there is no blood circulation and no oxygen to the whole body.",,,
69,"Cardiopulmonary resuscitation is performed to provide blood and oxygen to the whole body, including the brain.""",,,
70,"The brain needs oxygen from time to time. However, if a heart attack occurs, blood circulation is not possible and oxygen is not supplied, so oxygen supply to the brain is cut off, resulting in brain damage.",,,
71,"If you don't breathe, oxygen is not supplied to the brain, so oxygen supply can prevent brain damage.",,,
72,"If the heart stops and the brain is not oxygenated, there may be brain damage. However, taking emergency measures such as CPR can prevent serious brain damage because it provides oxygen and circulates blood.",,,
73,"If you continue to send blood through simpesosynthesis, it keeps the blood flow in the brain, so it prevents such an unheard-of stroke",,,
74,This is because compressing the heart causes blood circulation and prevents brain arrest.,,,
75,This is because compressing the heart can prevent brain damage by circulating blood.,,,
76,"If you continue to send blood through CPR, the blood flow in the brain will be maintained, so it prevents non-history",,,
77,I don't know.,,,
78,"It's not circulating, so it presses the heart and causes blood circulation",,,
79,Blood circulation in the body causes the brain to move again.,,,
80,"It circulates the blood, making it reachable to the brain",,,
81,"Because blood circulates from the heart, pressing the heart quickly when the heart stops can prevent damage to the human brain.",,,
82,"Since blood circulates from the heart, the brain that circulates first is damaged when the heart stops, so I think simpesosynthesis can prevent brain damage",,,
83,Send him oxygen,,,
84,This is because CPR causes the heart to shrink and blood to go to the brain.,,,
85,It's connected to the heart and brain,,,
86,It's a pump instead of a heart,,,
87,"If you do a pneumoconiosis, the air can enter the human body and save a person",,,
88,"""Because it doesn't shock you with your brain",,,
89,"""",,,
90,Pump me up instead of a suspended heart It helps with blood circulation and even blood circulation to the brain to prevent brain damage,,,
91,"Instead of a stopped heart, it sends power from the outside and pumps it instead, causing blood to circulate in the brain, slowing brain death",,,
92,"""If you do CPR, you will be able to breathe if you continue to press instead of the stopped heart, so oxygen is supplied to the brain",,,
93,"""",,,
94,The heart pumps blood throughout our bodies because it stops and blood doesn't flow,,,
95,Press the chest to deliver oxygen and blood to the brain,,,
96,"Instead of a stopped heart, it's manually pumped to prevent brain death by causing blood to circulate",,,
97,"If your heart doesn't beat, blood doesn't go to your brain, so if you don't do CPR, your brain will be damaged",,,
98,"My heart is pumping, so my blood flows, but my heart stops, so my blood doesn't flowWhen you have a heart attack, your heart doesn't beat and blood doesn't go to your brain, because it manually presses your heart to send blood to your brain and circulates blood",,,
99,Because I have a seizure,,,
100,I don't know.,,,
101,"The heart is the center of blood circulation, and if you have a heart attack, your blood circulation may stop and you may suffer brain damage",,,
102,"The heart needs to beat in order to circulate blood, but when a heart attack occurs, the brain becomes stiff and becomes damaged.",,,
103,"""",,,
104,My heart is beating again and my blood circulates back into my head.,,,
105,It shocks the heart and makes it beat again,,,
106,This is because blood circulation is good when the heart beats.,,,
107,Because it makes the heart beat and makes the heart beat and blood circulation.,,,
108,"Cardiopulmonary resuscitation that helps blood circulation by compressing the heart so that blood can be delivered to the brain, can prevent brain damage.",,,
109,Blood circulates well because it compresses the heart.,,,
110,in order to secure the airway,,,
111,"This is because when the heart beats, it becomes a total circulation from the heart to the brain.",,,
112,"Since blood cells enter and exit the heart, cardiopulmonary resuscitation is performed to help the movement of the gall fluid smoothly.",,,
113,"Since the center of blood circulation is the heart, if the heart is pressed to circulate, blood circulates in the brain.",,,
114,"There is a golden time after a heart attack, and after that golden time, the brain gradually begins to get damaged. Cardiopulmonary resuscitation can prevent brain damage.",,,
115,This is because blood is supplied again.,,,
116,Cardiopulmonary resuscitation can prevent brain damage by moving the body and circulating the blood widely because the blood is pushy around the heart,,,
117,Sympesosymbiosis leads to blood circulation,,,
118,The reason why it can prevent brain damage is that the brain hardens after the golden time. Cardiopulmonary resuscitation is what makes the heart beat so that the blood works Cardiopulmonary resuscitation will cause blood to flow and prevent the brain from hardening.,,,
119,"It's because if you harm cardiopulmonary resuscitation, blood circulates and transmits it to the brain",,,
120,It's because blood doesn't go to the head.,,,
121,"The heart is an important organ that supplies blood to our bodies. If this organ stops, the whole body's blood nucleus circulation stops, which can cause brain damage. However, CPR can prevent brain damage by circulating the heart's blood.",,,
122,Because it can deliver oxygen,,,
123,"Compression of the paralyzed heart by CPR does not stop the circulation of the whole body, which can deliver oxygen to the brain",,,
124,It provides air to prevent brain damage,,,
125,It makes your heart beat with your hands and makes your blood circulate,,,
126,It pumps the heart and artificially circulates the blood,,,
127,It makes my heart race,,,
128,Because it compresses the chest and sends blood to the brain,,,
129,This is because CPR allows blood in the heart to rise to the brain under the pressure of CPR.,,,
