,"9. Recently, various problems are occurring due to global warming. Let's think about the causes of global warming and explain the scientific method to solve global warming.",q64_fossil fuel,q64_carbon dioxide
0,I don't know.,0,0
1,I don't understand.,0,0
2,"Fossil fuels, fumes from various factories, and boilers for domestic use",1,0
3,Global warming occurs by using many things such as air conditioning.be in need of throug,0,0
4,The use of eco-friendly products due to increased greenhouse gas emissions,1,1
5,Need to save,0,0
6,electricity saving,0,0
7,okay,0,0
8,Develop hydrogen cars.,1,0
9,Shampoo and body wash that people use pollute the environment. So you can try to reduce the use of the product as much as possible.,0,0
10,Reduce electrical energy.,0,0
11,Renewable energy is used to compensate for problems caused by the increase in fossil fuels.,1,0
12,economize on coal and oil,1,0
13,"The cause of global warming seems to be the increase in exhaust gases such as carbon dioxide. The main cause of emissions is the combustion of fossil fuels. Therefore, using renewable energy will reduce emissions.",0,1
14,the use of a transportation,0,0
15,Develop new and renewable energy to reduce fossil fuel use,1,0
16,We need to reduce the emission of Freon gas,0,0
17,setting an electricity limit,0,0
18,Reduce the use of fossil fuels to prevent the destruction of the ozone layer,1,0
19,"Fossil fuel use, smoke, etc",1,0
20,I don't take out the unused wires and turn it on all day.,0,0
21,Reduce Disposable Items,0,1
22,It reduces the concentration of carbon dioxide in the atmosphere by developing new and renewable energy more than fossil energy.,1,1
23,It develops a device that converts fuel emitted from factories or automobiles into eco-friendly gases and discharges them.,1,0
24,Utilize nature to use energy. But it doesn't damage nature too much.,1,0
25,Global warming cannot be solved. But it can be delayed. We humans use greenhouse gases for a more convenient life. So using renewable energy without using greenhouse gases could slow global warming.,1,0
26,to use renewable energy,1,0
27,"Emissions of greenhouse gases, increased waste, increased energy consumption, etc",0,0
28,save electricity and water,0,0
29,It would be nice to have a machine that can escape carbon dioxide or sunlight anywhere.,0,1
30,It's because of carbon dioxide,0,1
31,"""To reduce carbon dioxide,",0,1
32,Stop ruthless tree-priming and reduce factory complexes,0,0
33,Increase the use of public transportation to reduce car fumes,1,0
34,Reduce indoor air conditioning,1,0
35,"""Plant a lot of trees""",0,1
36,Don't smoke and quit smoking. Reduce greenhouse gas emissions.,1,0
37,"We go by bicycle or by foot, not by car.",0,1
38,"""",0,1
39,I ride a bicycle for a short distance and take good care of garbage.,1,0
40,We need to reduce carbon dioxide.,1,0
41,I throw away trash and use a lot of fumes,0,1
42,It eliminates carbon dioxide. Action Beam BBB BBB BBB BBB!,1,0
43,Get rid of carbon dioxide! You villain!,0,1
44,I use public transportation.,0,0
45,I walk for a short distance,0,1
46,Reduce carbon dioxide so that heat escapes easily from the magnetic sphere,1,0
