,"7. The roots of plants are underground, so they are hard to see, but they have many functions. What do plant roots do? Let's explain in detail using knowledge of plant structure and function. ",q7_storage,q7_support,q7_carry,q7_storage.1,q7_support.1,q7_Transport.1
0,It absorbs water that sprays plants,,,,,,
1,water absorption,,,,,,
2,"Absorption of nutrients, absorption",,,,,,
3,water absorption,,,,,,
4,It absorbs water,,,,,,
5,It absorbs water and nutrients through its roots to help plants grow well,,,,,,
6,It absorbs water from the ground and makes it available. It often stores nutrients.,,,,,,
7,"Plant fixation, nutrient absorption",,,,,,
8,The roots absorb water as much as possible by widening the surface area as possible.,,,,,,
9,water absorption,,,,,,
10,Plant roots absorb nutrients and water from the ground and carry them to stems and leaves.,,,,,,
11,It functions to absorb nutrients.,,,,,,
12,Filter using the intubation pressure function and transport energy to the body and water pipes.,,,,,,
13,It absorbs nutrients.,,,,,,
14,It prevents landslides by holding the soil firmly.,,,,,,
15,It absorbs water to make a living for plants.,,,,,,
16,It absorbs and supports moisture,,,,,,
17,It keeps the plants from falling down,,,,,,
18,Plant roots can absorb moisture and nutrients by applying the maximum contact area with a minimum volume.,,,,,,
19,Plant roots hold the plant in place and get nutrients from the ground.,,,,,,
20,It absorbs nutrients and water.,,,,,,
21,The roots of the plant take a distant form and serve to absorb nutrients and moisture in the ground.,,,,,,
22,It absorbs water from the ground and supports plants.,,,,,,
23,"Moisture absorption, nutrients absorption",,,,,,
24,Roots support plants from falling and absorb water and nutrients.,,,,,,
25,It absorbs water and nutrients and supports plants.,,,,,,
26,There is a growth point. It absorbs nutrients from the roots to the ground,,,,,,
27,"It has a function to absorb moisture from the ground and maintain life. In addition, it is embedded in the ground with fine roots and sticks out its roots deeply so that it is not selected by large weather events such as typhoons.",,,,,,
28,"Staying on the ground, absorbing nutrients",,,,,,
29,"Plant roots, along with moisture, serve to absorb nutrients, support plants, and store nutrients.",,,,,,
30,It makes plants live,,,,,,
31,Drink water,,,,,,
32,Plants grow,,,,,,
33,I don't know,,,,,,
34,Unknowingness,,,,,,
35,Unknowingness,,,,,,
36,Unknowingness,,,,,,
37,"In order for animal insects in the ground to live better,",,,,,,
38,Unknowingness,,,,,,
39,Unknowingness,,,,,,
40,It feeds on plants and nourishes them,,,,,,
41,Eat nourishment.,,,,,,
42,The roots distribute nutrients evenly throughout the plant and help the plant grow well.,,,,,,
43,I don't know.,,,,,,
44,The roots of the plant are in the ground and absorb soil nutrients and moisture from the soil.,,,,,,
45,It makes it clear,,,,,,
46,It makes the air dry,,,,,,
