,"Breathing: Oxygen absorption, carbon dioxide release",q8_ecosystem,q8_Respect for Life,q8_Human
0,"""",,,
1,"""1. Supporting and supporting water",,,
2,"2. Store nutrients made from leaves""",,,
3,"Rooted in the soil to support the entire body, it absorbs water and inorganic nutrients from the root hairs and supplies them through the water pipes, accepts oxygen, releases carbon dioxide, and stores the remaining nutrients in the root hairs and epidermal cells",,,
4,It supports plants to support the body and absorbs and stores water to make nutrients,,,
5,It absorbs water and sends it to grass for photosynthesis,,,
6,Plant roots absorb nutrients from the ground and send them to the whole plant,,,
7,"Store water, support plants, and store nutrients.",,,
8,keep from being swayed by the wind,,,
9,Support plants and store nutrients,,,
10,"The root serves to firmly support the plant to support the body, which is called the ""supportive action"" of the root.  Just as we cannot live without water, plants cannot live without water. Sucking such important water from the ground into the body of a plant is called the ""absorption"" of the root. The principle that the roots absorb water can be explained by osmotic pressure. Almost all of the membranes that make up the plant are semi-permeable membranes. When plants absorb water from their roots, comparing root hairs and water in the soil, the water in the soil is low and the root hairs are relatively high. In order to achieve concentration equilibrium, low concentration of moisture in the soil permeates into the high concentration of root hairs through the cell membrane. The roots absorb not only water but also nutrients in the water through this absorption.",,,
11,It supports the plants without shaking and sucks nutrients from the ground.,,,
12,"And it supports you.""",,,
13,Plant roots absorb nutrients into the ground and hold the plant in place.,,,
14,"""Plant roots absorb nutrients into the ground",,,
15,"It holds the plant.""",,,
16,Plant roots take in water,,,
17,"Support, Absorption, Storage",,,
18,to store or supply moisture,,,
19,"Water absorption, nutrients absorption, and supporting functions",,,
20,absorption of nutrients,,,
21,"Nutrient absorption, water absorption, support",,,
22,Store nutrients,,,
23,Bees nourish,,,
24,Sucking in the water or not going to the country in the wind,,,
25,a suction of water,,,
26,It absorbs nutrients,,,
27,Plants need water to grow their roots,,,
28,"Plants have roots, stems, leaves, etc",,,
29,nourish the life of leaves and stems,,,
30,nourish a plant,,,
31,Store moisture in the roots of the absorption.,,,
32,The roots of plants absorb water and nutrients to make them live well,,,
33,The plant's roots nourish the plants by absorbing nutrients from the water and ground for their stems and leaves.,,,
34,"It supports plants and absorbs water and minerals, and breeds through roots to increase the size of the population.",,,
35,"Because of its roots, plants can grow well",,,
36,Plant roots absorb nutrients from the ground and feed the leaves and stems,,,
37,I don't know.,,,
38,"Water absorption, fixing to the ground",,,
39,Sturdy water by sucking nutrients.,,,
40,Roots absorb water and nutrients and send nutrients and water to stem and fruit flowers,,,
41,It sucks the nutrients from the soil and spreads them throughout the plant.,,,
42,It helps plants grow.,,,
43,Roots allow plants to grow well,,,
44,I don't know.,,,
45,"Support, absorb, and breathe.",,,
46,The roots of plants absorb water and grow by photosynthesis in sunlight,,,
47,Roots absorb moisture or nutrients in the soil.,,,
48,It supports the plant.,,,
49,"Support, nourishment and moisture absorption, and nutrient storage",,,
50,Absorption of nutrients,,,
51,The roots of plants absorb water and nutrients from the soil and support them.,,,
52,Roots absorb nutrients and moisture by widening the surface area.,,,
53,It absorbs water from the soil.,,,
54,Plant roots support plants and absorb water and minerals. It also stores nutrients.,,,
55,It absorbs moisture and minerals and supports plants.,,,
56,It absorbs water.,,,
57,supporting action,,,
58,"Support, storage, absorption",,,
59,It absorbs water through the root hairs.,,,
60,"It supports the whole plant, absorbs water and minerals. It also stores nutrients.",,,
61,nutrient supply,,,
62,collecting nutrients to absorb moisture,,,
63,eat nutrients,,,
64,Water Absorption Nutrient Storage,,,
65,It absorbs nutrients from the ground,,,
66,Plants suck in nutrients and moisture from the soil.,,,
67,It stores and absorbs moisture and energy,,,
68,"Through the roots, plants get the nutrients and moisture they need to live.",,,
69,It softens the ground. Eat the nutrients evenly.,,,
70,"It absorbs nutrients, making plants grow and supporting",,,
71,Energy absorption,,,
72,The roots of the plant are responsible for saving and absorbing nutrients and supporting the plant to the ground.,,,
73,It absorbs moisture from the ground for nourishment,,,
74,It's... It's-----?¡ã¡?¡ã¡??I don't know.,,,
75,absorption of water,,,
76,"The roots absorb moisture from the soil, so the nutrients...",,,
77,Sucking in water and taking in nutrients,,,
78,"It absorbs moisture from the ground and supplies it to plants, and supports them in windy or steep areas.",,,
79,Suck the water in.,,,
80,The plant's roots support the plant's stems and leaves and also absorb nutrients in the soil.,,,
81,It works to provide water and nutrients.,,,
82,Roots make plants stand well,,,
83,I don't know.,,,
84,It supports plants.,,,
85,It absorbs the separators on the ground to photosynthesize plants,,,
86,Various,,,
87,It supports stems on the ground or stores nutrients,,,
88,It absorbs water or nutrients and supports plants,,,
89,Plant roots absorb soil nutrients and water and transfer it to the plant's body,,,
90,"Plants have tubes that can carry nutrients and water, and they move there.""",,,
91,It provides nutrients to plants on the ground.,,,
92,Hold it upright and drink water.,,,
93,"They photosynthesize and absorb water with organs such as stems, leaves, roots, etc",,,
94,nourish,,,
95,"It absorbs water in the soil, decomposes nitrogen components such as fertilizers, and delivers them to its own stems.",,,
96,Absorb water from the soil and supply it to the plant body,,,
97,It absorbs nutrients from the ground,,,
98,to supply water to plantsTo restore nature,,,
99,A variety of creatures gives us a variety of conveniences.,,,
100,"If you restore fish from ancient times, there are many things for foreigners to see, so exports can be expensive",,,
101,This is because almost all plants have to increase diversity because they help living things.,,,
102,The world is better when the ecosystem is maintained well,,,
103,I can't see any more extinct creatures,,,
104,"By maintaining biodiversity, we can continue to obtain resources from ecosystems",,,
105,"""Because if there are not many different species, all of them can be wiped out when there is an infectious disease that kills them later.On the other hand, if there's a variety, even if there's an epidemic, among various creatures,",,,
106,"You can find and study the immune system to prevent infectious diseases.""",,,
107,To keep animals in the zoo,,,
108,"In order for people to see many creatures at the zoo,",,,
109,"If plants become extinct, they will not be able to eat them in the future",,,
110,"If it's extinct, it's a class to watch",,,
111,The creature is doing something to help the Earth in its previous life,,,
112,"Without plants, animals and humans would starve",,,
113,"To prevent fine dust,",,,
114,It's good to see various creatures.,,,
115,For Science,,,
116,I thought it would be good to see and live with many things,,,
117,"Because everything has an important role one by one (e.g., worms make the land good)",,,
118,This is because increasing biodiversity is also helpful to us humans.,,,
119,"Without animals, humans are gone",,,
120,"If the environment changes rapidly, there is a high probability of extinction",,,
121,Biodiversity also gives us economic benefits and many other benefits,,,
122,"This is because if biodiversity is destroyed, humans will also suffer.",,,
123,This is because we need to protect and protect the environment.,,,
124,Lower biodiversity also damages humans.,,,
125,"Because when biodiversity collapses, the damage affects people",,,
126,"If there's a variety of plants, there's a lot of oxygen",,,
127,The reason for increasing biodiversity is that the Earth's environment can be changed by living things,,,
128,We want to increase the diversity of living things so that humans can study them and gain knowledge,,,
129,Life because I can help in our lives.,,,
130,To get to what's needed to increase the diversity.,,,
131,Live human beings are live creatures.,,,
132,"Enhance biodiversity, the new things about life can be.",,,
133,I don't have food that we can live without animals to be.,,,
134,"Has many kinds of animals away, all those people and animals are suffering greatly.",,,
135,"As the world turns, development,",,,
136,A new thing to see ^^ ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;.,,,
137,In order to see a new life.,,,
138,In the past to see,,,
139,"Have a higher biodiversity, like paper would most likely derived from similar species. So, will more likely to create a vaccine for disease.",,,
140,One of the changing how you can observe the Earth.,,,
141,A variety of creatures existed a variety of information only in animal studies and because they can apply it in real life? Huh.,,,
142,Some people are living in an environment should be life can live.,,,
143,"Biological interactions to humans live. Therefore, life is important to humans.",,,
144,It's because the environment gets better when the ecosystem is diversified,,,
145,This is because the environment becomes better when the ecosystem is diversified.,,,
146,Too many to look good :D,,,
147,This is because people are curious and greedy for human beings.,,,
148,"To get a variety of genes to survive in some extreme environment,",,,
149,"This is because the higher the biodiversity, the more advantageous it is for human life.",,,
150,For the future,,,
151,So I can eat it later It's food for the future,,,
152,Increasing biodiversity may be useful for the tourism industry.,,,
153,"It's because if the ecosystem is ruined, it's hard for us to live",,,
154,"Otherwise, I won't be able to see the cute rabbit",,,
155,"That way, the zoo's income will be good",,,
156,I'm going to put it in the zoo and watch it,,,
157,"This is because the more diverse living things are, the more animals and plants we can know.",,,
158,This is because we can see more living things if we increase biodiversity.,,,
159,"""Because there is less and less food available to humans,",,,
160,"""",,,
161,"This is because the more we learn about biodiversity, the more scientific humanity can develop.",,,
162,"A variety of organisms can carry out genetically engineered tasks, thus increasing biodiversity",,,
163,Increasing biodiversity allows genetic manipulation and can conduct related experiments.,,,
164,Increasing biodiversity allows genetic manipulation and can conduct his related experiments,,,
165,"If we increase biodiversity, we can genetically modify it and conduct courtship-related experiments",,,
166,"If we increase biodiversity, we can genetically modify it, so we can conduct experiments",,,
167,"Increasing biodiversity enables genetic tissue, allowing experiments related to it.",,,
168,"Increasing biodiversity allows genetic manipulation, allowing experiments related to it.",,,
169,"Failure to preserve biodiversity will reduce human fisheries, agricultural production, or raw materials for medicines, and increase infectious diseases and autoimmune disorders. Also, indigenous people who rely directly on ecosystems will be threatened with livelihoods.",,,
170,Because living things help us a lot,,,
