,original,synonyms
0,aardvark,anteater
1,aardvark,edentate
0,abacus,calculator
1,abacus,computer
0,abaft,astern
1,abaft,back
0,abalone,mollusk
1,abalone,ear
0,abandoner,defector
1,abandoner,deserter
0,abandonment,dereliction
1,abandonment,desertion
0,abase,belittle
1,abase,debase
0,abasement,degradation
1,abasement,dishonor
0,abash,disconcert
1,abash,rattle
0,abatement,decline
1,abatement,decrease
0,abattoir,butchery
1,abattoir,shambles
0,abbas,administrator
1,abbas,cleric
0,abbess,Holy Mother
1,abbess,ecclesiarch
0,abbey,nunnery
1,abbey,cloister
0,abbreviate,abridge
1,abbreviate,compress
0,abdicate,forgo
1,abdicate,relinquish
0,abdication,abandonment
1,abdication,disavowal
0,abduct,kidnap
1,abduct,seize
0,abduction,kidnapping
1,abduction,rape
0,aberrance,aberrancy
1,aberrance,aberration
0,aberrancy,aberrance
1,aberrancy,aberration
0,aberration,oddity
1,aberration,peculiarity
0,abettor,accessory
1,abettor,accomplice
0,abeyance,discontinuation
1,abeyance,dormancy
0,abeyancy,deferral
1,abeyancy,dormancy
0,abhor,despise
1,abhor,detest
0,abhorrence,detestation
1,abhorrence,disgust
0,abhorrent,despicable
1,abhorrent,loathsome
0,abider,ally
1,abider,defender
0,abigail,soubrette
1,abigail,lady of the bedchamber
0,ability,capability
1,ability,capacity
0,abject,wretched
1,abject,base
0,abjection,abasement
1,abjection,blahs
0,abjuration,backdown
1,abjuration,recantation
0,abjure,forswear
1,abjure,recant
0,ablate,erode
1,ablate,evaporate
0,ablation,abscission
1,ablation,cutting
0,ablaze,afire
1,ablaze,aflame
0,ablegate,pontiff
1,ablegate,legate
0,ableness,aptitude
1,ableness,capability
0,ablution,bath
1,ablution,cleansing
0,abnegate,abstain
1,abnegate,decline
0,abnegation,abandonment
1,abnegation,abstinence
0,abnormality,anomaly
1,abnormality,deformity
0,aboard,boarded
1,aboard,consigned
0,abode,address
1,abode,apartment
0,abolition,abolishment
1,abolition,abrogation
0,abolitionism,autonomy
1,abolitionism,citizenship
0,abolitionist,activist
1,abolitionist,advocate
0,abomination,anathema
1,abomination,aversion
0,aborigine,aboriginal
1,aborigine,autochthon
0,abort,break off
1,abort,cut off
0,abortion,miscarriage
1,abortion,aborticide
0,abrasion,scrape
1,abrasion,injury
0,abraxas,abracadabra
1,abraxas,access
0,abreaction,ablution
1,abreaction,cleansing
0,abreast,beside
1,abreast,equal
0,abridge,abbreviate
1,abridge,curtail
0,abridgment,breviary
1,abridgment,compendium
0,abrogation,annulment
1,abrogation,repudiation
0,abscess,ulcer
1,abscess,boil
0,abscission,ablation
1,abscission,cutting
0,abscond,bolt
1,abscond,break
0,absconder,absentee
1,absconder,escapee
0,absence,AWOL
1,absence,absenteeism
0,absentee,remote
1,absentee,absent
0,absenteeism,absence
1,absenteeism,defection
0,absolute,complete
1,absolute,full
0,absolution,forgiveness
1,absolution,acquittal
0,absolutism,autarchy
1,absolutism,autocracy
0,absolve,acquit
1,absolve,exempt
0,absorb,consume
1,absorb,ingest
0,absorber,armor
1,absorber,buffer
0,absorption,consumption
1,absorption,digestion
0,absquatulate,abscond
1,absquatulate,bolt
0,abstain,cease
1,abstain,forgo
0,abstainer,nondrinker
1,abstainer,teetotaler
0,abstention,abstinence
1,abstention,avoidance
0,absterge,bathe
1,absterge,brush
0,abstersion,coup
1,abstersion,evacuation
0,abstinence,chastity
1,abstinence,fasting
0,abstraction,absorption
1,abstraction,aloofness
0,abstruse,esoteric
1,abstruse,perplexing
0,absurdity,craziness
1,absurdity,farce
0,abundance,affluence
1,abundance,bounty
0,abundancy,fertility
1,abundancy,fruitfulness
0,abuse,corruption
1,abuse,crime
0,abuser,offender
1,abuser,victimizer
0,abut,adjoin
1,abut,border on
0,abutment,support
1,abutment,arch end
0,academism,procedure
1,academism,red tape
0,accedence,accession
1,accedence,acknowledgment
0,accelerate,advance
1,accelerate,expedite
0,accelerator,particle accelerator
1,accelerator,atom smasher
0,accent,significance
1,accent,stress
0,accentuation,accent
1,accentuation,attention
0,acceptability,qualification
1,acceptability,ability
0,acceptance,acknowledgment
1,acceptance,admission
0,acceptation,connotation
1,acceptation,denotation
0,acceptor,adherent
1,acceptor,devotee
0,access,approach
1,access,connection
0,accessibility,convenience
1,accessibility,openness
0,accessory,adornment
1,accessory,appliance
0,accidence,alphabet
1,accidence,syntax
0,accident,calamity
1,accident,casualty
0,accidentality,blessing
1,accidentality,fortuity
0,acclaim,acclamation
1,acclaim,applause
0,acclamation,ovation
1,acclamation,salutation
0,acclamatory,admiring
1,acclamatory,approbatory
0,acclimate,accustom
1,acclimate,acclimatize
0,acclimation,acclimatization
1,acclimation,adjustment
0,acclimatization,acclimation
1,acclimatization,adjustment
0,acclivity,elevation
1,acclivity,hill
0,accolade,distinction
1,accolade,kudos
0,accommodate,contain
1,accommodate,entertain
0,accommodativeness,acquiescence
1,accommodativeness,agreeableness
0,accompanist,artist
1,accompanist,crooner
0,accomplice,aide
1,accomplice,associate
0,accord,deal
1,accord,pact
0,accordance,accord
1,accordance,conformity
0,accost,annoy
1,accost,buttonhole
0,accouchement,birthing
1,accouchement,childbearing
0,account,detail
1,account,explanation
0,accountability,liability
1,accountability,answerability
0,accountableness,accountability
1,accountableness,burden
0,accounting,bookkeeping
1,accounting,computing
0,accouter,accoutre
1,accouter,array
0,accouterment,accessory
1,accouterment,accoutrement
0,accredit,assign
1,accredit,ascribe
0,accreditation,diploma
1,accreditation,authorization
0,accretion,accumulation
1,accretion,accession
0,accroach,appropriate
1,accroach,assume
0,accruement,compensation
1,accruement,reimbursement
0,acculturate,assimilate
1,acculturate,civilize
0,acculturation,acclimatization
1,acculturation,assimilation
0,accumbency,decubitus
1,accumbency,decumbency
0,accumulation,accretion
1,accumulation,aggregation
0,accumulator,connoisseur
1,accumulator,hobbyist
0,accuracy,certainty
1,accuracy,efficiency
0,accurse,anathemize
1,accurse,comminate
0,accusation,allegation
1,accusation,complaint
0,accuse,allege
1,accuse,arraign
0,accustom,acquaint
1,accustom,adapt
0,ace,champion
1,ace,distinguished
0,acedia,inactivity
1,acedia,inertia
0,acerate,acerose
1,acerate,acerous
0,acerb,acerbic
1,acerb,acetous
0,acerbate,aggravate
1,acerbate,annoy
0,acerbity,acidity
1,acerbity,asperity
0,acervulus,arenaceous
1,acervulus,ammophilous
0,ache,anguish
1,ache,misery
0,achievement,accomplishment
1,achievement,attainment
0,achromatopsia,achromatic vision
1,achromatopsia,color vision deficiency
0,achy,aching
1,achy,hurtful
0,acid,acerbic
1,acid,biting
0,acidity,acerbity
1,acidity,acridness
0,acidosis,heartburn
1,acidosis,nausea
0,acidulate,acerbate
1,acidulate,acidify
0,aciniform,botryose
1,aciniform,racemose
0,aciurgy,abscission
1,aciurgy,enucleation
0,acme,apogee
1,acme,capstone
0,acne,blackheads
1,acne,pimples
0,acolyte,follower
1,acolyte,aid
0,acquaintance,associate
1,acquaintance,colleague
0,acquaintanceship,cooperation
1,acquaintanceship,partnership
0,acquiescence,acceptance
1,acquiescence,assent
0,acquiescent,acquiescing
1,acquiescent,assentive
0,acquirer,appropriator
1,acquirer,claimant
0,acquisition,addition
1,acquisition,gain
0,acquisitive,rapacious
1,acquisitive,avaricious
0,acquit,absolve
1,acquit,clear
0,acquittance,acquittal
1,acquittance,excuse
0,acre,acreage
1,acre,estate
0,acreage,expanse
1,acreage,holding
0,acridity,acerbity
1,acridity,acidity
0,acrimony,animosity
1,acrimony,antagonism
0,acrobat,clown
1,acrobat,dancer
0,acropolis,alcazar
1,acropolis,citadel
0,acrylic,color
1,acrylic,cosmetic
0,act,action
1,act,deed
0,actinic,synthetic
1,actinic,alchemical
0,actinism,Roentgen rays
1,actinism,Röntgen rays
0,actinometer,ASA scale
1,actinometer,Scheiner scale
0,action,activity
1,action,deal
0,activate,call up
1,activate,mobilize
0,activation,bracing
1,activation,brisk
0,activator,catalyst
1,activator,
0,activism,advocacy
1,activism,involvement
0,activity,action
1,activity,enterprise
0,acton,pursue
1,acton,act upon
0,actor,artist
1,actor,character
0,actuality,achievement
1,actuality,actualization
0,actualization,materialization
1,actualization,realization
0,actuation,desire
1,actuation,feeling
0,acuate,acuminate
1,acuate,barbed
0,acuity,awareness
1,acuity,brilliance
0,aculeate,biting
1,aculeate,bitter
0,acumination,acicula
1,acumination,apex
0,acute,intense
1,acute,keen
0,acuteness,fierceness
1,acuteness,forcefulness
0,ad,announcement
1,ad,circular
0,adage,aphorism
1,adage,axiom
0,adamantine,adamant
1,adamantine,firm
0,adapt,acclimate
1,adapt,accommodate
0,adaptability,flexibility
1,adaptability,versatility
0,adaptation,reworking
1,adaptation,transformation
0,adapter,connection
1,adapter,bond
0,adaption,accommodation
1,adaption,adjustment
0,aday,A-day
1,aday,D-day
0,add,calculate
1,add,cast
0,addendum,appendix
1,addendum,postscript
0,adder,cobra
1,adder,asp
0,addict,buff
1,addict,devotee
0,addiction,bag
1,addiction,bent
0,addition,extension
1,addition,inclusion
0,additory,aggregate
1,additory,increasing
0,addle,baffle
1,addle,befuddle
0,addlebrain,blockhead
1,addlebrain,blunderer
0,addlepate,boob
1,addlepate,idiot
0,adduce,cite
1,adduce,illustrate
0,adenoid,beak
1,adenoid,snout
0,adequacy,competence
1,adequacy,fairness
0,adequation,civil rights
1,adequation,coordination
0,adherent,backer
1,adherent,believer
0,adhesion,adherence
1,adhesion,adhesiveness
0,adhesiveness,adherence
1,adhesiveness,attachment
0,adiposity,breadth
1,adiposity,bulkiness
0,adit,admission
1,adit,approach
0,adjacency,intimacy
1,adjacency,proximity
0,adjoin,abut
1,adjoin,approximate
0,adjournment,deferment
1,adjournment,deferral
0,adjudge,adjudicate
1,adjudge,arbitrate
0,adjudicate,arbitrate
1,adjudicate,adjudge
0,adjudication,conclusion
1,adjudication,decision
0,adjudicator,arbitrator
1,adjudicator,go-between
0,adjudicature,accord
1,adjudicature,agreement
0,adjure,beseech
1,adjure,charge
0,adjuster,dial
1,adjuster,knob
0,adjustment,alteration
1,adjustment,arrangement
0,adjuvant,additional
1,adjuvant,accessory
0,admeasure,allocate
1,admeasure,apportion
0,admeasurement,allocation
1,admeasurement,apportionment
0,admensuration,part
1,admensuration,quota
0,administer,administrate
1,administer,carry out
0,administrate,allocate
1,administrate,apportion
0,administration,agency
1,administration,authority
0,admiration,adoration
1,admiration,affection
0,admire,adore
1,admire,applaud
0,admissibility,adequacy
1,admissibility,compatibility
0,admission,acceptance
1,admission,access
0,admit,accept
1,admit,concede
0,admittance,access
1,admittance,entrance
0,admixture,amalgamation
1,admixture,blend
0,admonition,advice
1,admonition,apprisal
0,adnoun,accessory
1,adnoun,adjunct
0,ado,bother
1,ado,confusion
0,adobe,brick
1,adobe,clay
0,adolescence,boyhood
1,adolescence,teens
0,adolescent,boyish
1,adolescent,teen
0,adopt,accept
1,adopt,approve
0,adoption,acceptance
1,adoption,approval
0,adorableness,allure
1,adorableness,artistry
0,adoration,admiration
1,adoration,devotion
0,adorer,churchgoer
1,adorer,devotee
0,adrenaline,
1,adrenaline,caffeine
0,adrift,afloat
1,adrift,drifting
0,adscription,acknowledgment
1,adscription,assignment
0,adulation,applause
1,adulation,commendation
0,adulator,fawner
1,adulator,flatterer
0,adulatory,appreciative
1,adulatory,congratulatory
0,adult,developed
1,adult,grown
0,adulterate,contaminate
1,adulterate,alloy
0,adulteration,contamination
1,adulteration,deterioration
0,adulterator,adulterant
1,adulterator,adulteration
0,adulterer,Casanova
1,adulterer,Don Juan
0,adulterine,cheating
1,adulterine,untrue
0,adulthood,life
1,adulthood,maturity
0,adumbrate,augur
1,adumbrate,bode
0,adumbration,badge
1,adumbration,banner
0,adusk,funereal
1,adusk,bistered
0,advance,first
1,advance,forward
0,advancement,advance
1,advancement,growth
0,advantage,asset
1,advantage,choice
0,adventure,experience
1,adventure,exploit
0,adventurer,charlatan
1,adventurer,daredevil
0,adversative,antagonistic
1,adversative,adverse
0,adversity,calamity
1,adversity,catastrophe
0,advert,attend
1,advert,consider
0,advertence,allusion
1,advertence,hint
0,advertent,attentive
1,advertent,discerning
0,advertise,announce
1,advertise,communicate
0,advertisement,announcement
1,advertisement,broadcast
0,advertising,PR
1,advertising,announcement
0,advice,aid
1,advice,consultation
0,advisability,sensibility
1,advisability,suitability
0,advise,admonish
1,advise,caution
0,advisement,calculation
1,advisement,consideration
0,adviser,aide
1,adviser,coach
0,advisor,adviser
1,advisor,aide
0,advocacy,advancement
1,advocacy,assistance
0,advocator,activist
1,advocator,apostle
0,adytum,haven
1,adytum,hideaway
0,adz,chopper
1,adz,hatchet
0,aegis,auspices
1,aegis,patronage
0,aerate,oxygenate
1,aerate,aerify
0,aerialist,clown
1,aerialist,dancer
0,aerie,brood
1,aerie,penthouse
0,aeriform,flying
1,aeriform,aeronautical
0,aerify,oxygenate
1,aerify,charge
0,aerobic,aquarobics
1,aerobic,dance workout
0,aeroembolism,bends
1,aeroembolism,caisson disease
0,aerogram,aerogramme
1,aerogram,airgraph
0,aerology,weather forecasting
1,aerology,climatology
0,aeroplane,aircraft
1,aeroplane,airliner
0,aerosol,sprayer
1,aerosol,sprinkler
0,aery,aerial
1,aery,airy
0,aestheticism,breeding
1,aestheticism,improvement
0,affability,agreeability
1,affability,agreeableness
0,affair,case
1,affair,employment
0,affect,alter
1,affect,change
0,affectation,air
1,affectation,airs
0,affectibility,acuteness
1,affectibility,awareness
0,affectivity,affection
1,affectivity,emotion
0,afferent,audiovisual
1,afferent,auditory
0,affiance,agreement
1,affiance,assurance
0,affidavit,oath
1,affidavit,testimony
0,affiliate,branch
1,affiliate,partner
0,affiliation,connection
1,affiliation,partnership
0,affinity,affection
1,affinity,closeness
0,affirm,assert
1,affirm,confirm
0,affirmation,assertion
1,affirmation,confirmation
0,afflatus,encouragement
1,afflatus,enthusiasm
0,afflict,annoy
1,afflict,beset
0,affliction,calamity
1,affliction,disease
0,afford,allow
1,afford,manage
0,afforestation,arboriculture
1,afforestation,silviculture
0,affranchise,liberate
1,affranchise,loosen
0,affray,altercation
1,affray,assault
0,affricate,click
1,affricate,consonant
0,affright,alarm
1,affright,daunt
0,affront,indignity
1,affront,provocation
0,aflame,afire
1,aflame,alight
0,aflutter,afraid
1,aflutter,agitated
0,afoot,hiking
1,afoot,on foot
0,aforethought,studied
1,aforethought,treated
0,aforetime,ahead
1,aforetime,back
0,afoul,afield
1,afoul,badly
0,aft,abaft
1,aft,back
0,afterlife,hereafter
1,afterlife,eternity
0,aftermath,chain reaction
1,aftermath,impact
0,aftermost,antipodal
1,aftermost,closing
0,afternoon,siesta
1,afternoon,teatime
0,afterpiece,climax
1,afterpiece,conclusion
0,aftershock,aftermath
1,aftershock,consequence
0,aftertaste,aftereffect
1,aftertaste,reaction
0,aftertime,destiny
1,aftertime,fate
0,afterward,afterwards
1,afterward,eventually
0,agape,open
1,agape,yawning
0,agate,font
1,agate,boldface
0,age,life
1,age,maturity
0,agee,curved
1,agee,curving
0,ageless,timeless
1,ageless,dateless
0,agency,bureau
1,agency,company
0,agenda,calendar
1,agenda,plan
0,agendum,agenda
1,agendum,blueprint
0,agent,assistant
1,agent,broker
0,agglomerate,aggregate
1,agglomerate,cluster
0,agglomeration,cluster
1,agglomeration,heap
0,agglutinate,blend
1,agglutinate,coalesce
0,agglutination,abutment
1,agglutination,accord
0,agglutinin,antibody
1,agglutinin,agglutinogen
0,agglutinogen,antibody
1,agglutinogen,agglutinin
0,agglutinoid,antibody
1,agglutinoid,agglutinin
0,aggrandizement,elevation
1,aggrandizement,ennoblement
0,aggravate,bother
1,aggravate,irritate
0,aggregation,aggregate
1,aggregation,gathering
0,aggress,assail
1,aggress,assault
0,aggression,assault
1,aggression,encroachment
0,aggressor,assailant
1,aggressor,intruder
0,aghast,agog
1,aghast,amazed
0,agile,athletic
1,agile,buoyant
0,agility,cleverness
1,agility,dexterity
0,agitate,disturb
1,agitate,beat
0,agitator,anarchist
1,agitator,demagogue
0,agitprop,disinformation
1,agitprop,hype
0,agname,brand
1,agname,flag
0,agony,anguish
1,agony,misery
0,agreeability,affability
1,agreeability,agreeableness
0,agreeableness,affability
1,agreeableness,agreeability
0,agreement,accord
1,agreement,arrangement
0,agriculturalist,grower
1,agriculturalist,laborer
0,agriculturist,agronomist
1,agriculturist,gardener
0,ague,fever
1,ague,malaria
0,ahoy,calling
1,ahoy,cry
0,aid,assistance
1,aid,benefit
0,aide,assistant
1,aide,deputy
0,aider,comforter
1,aider,intercessor
0,aigrette,ridge
1,aigrette,caruncle
0,aiguille,crest
1,aiguille,hill
0,aileron,airfoil
1,aileron,appendage
0,ailment,ache
1,ailment,condition
0,aimless,desultory
1,aimless,erratic
0,air,atmosphere
1,air,breeze
0,aircraft,airliner
1,aircraft,balloon
0,airdrome,airfield
1,airdrome,airstrip
0,airdrop,fly
1,airdrop,
0,airless,stifling
1,airless,stuffy
0,airlift,air freight
1,airlift,
0,airliner,balloon
1,airliner,chopper
0,airport,airfield
1,airport,airstrip
0,airsickness,car sickness
1,airsickness,mal de mer
0,airstrip,airfield
1,airstrip,installation
0,airy,breezy
1,airy,uncluttered
0,ajar,open
1,ajar,unclosed
0,aka,assumed name
1,aka,moniker
0,akimbo,jagged
1,akimbo,V-shaped
0,ala,according to
1,ala,in accord with
0,alabaster,alabastrine
1,alabaster,fair
0,alabastrine,fair
1,alabastrine,ivory
0,alacrity,alertness
1,alacrity,avidity
0,alameda,boulevard
1,alameda,boardwalk
0,alarm,anxiety
1,alarm,apprehension
0,alarmable,demonstrative
1,alarmable,fidgety
0,alarum,alert
1,alarum,bell
0,alate,feathered
1,alate,elevated
0,albino,auricomous
1,albino,bleached
0,alchemist,charmer
1,alchemist,clairvoyant
0,alcohol,booze
1,alcohol,drink
0,alcoholism,addiction
1,alcoholism,crapulence
0,aleatory,accidental
1,aleatory,haphazard
0,alee,away
1,alee,first
0,alert,active
1,alert,bright
0,alfresco,farther
1,alfresco,foreign
0,algae,seaweed
1,algae,dulse
0,algebra,calculation
1,algebra,calculus
0,algidity,chill
1,algidity,snow
0,algific,chilly
1,algific,cold
0,algorithm,breakthrough
1,algorithm,conclusion
0,alias,otherwise
1,alias,also called
0,alibi,excuse
1,alibi,justification
0,alien,exotic
1,alien,incongruous
0,alienation,disaffection
1,alienation,estrangement
0,align,adjust
1,align,coordinate
0,alimental,alimentative
1,alimental,balanced
0,alimentation,bread
1,alimentation,food
0,alist,aristocracy
1,alist,beau monde
0,aliveness,alertness
1,aliveness,appreciation
0,alkalescent,salty
1,alkalescent,soluble
0,alky,booze
1,alky,drink
0,allay,alleviate
1,allay,assuage
0,allayment,abatement
1,allayment,alleviation
0,allegation,accusation
1,allegation,charge
0,allege,charge
1,allege,cite
0,allegiance,adherence
1,allegiance,dedication
0,allegorist,liar
1,allegorist,narrator
0,aller,complete
1,aller,entire
0,allergen,antigen
1,allergen,dander
0,alleviate,allay
1,alleviate,assuage
0,alleviator,mediator
1,alleviator,referee
0,alley,alleyway
1,alley,lane
0,alliance,accord
1,alliance,affiliation
0,alliteration,adumbration
1,alliteration,allegory
0,allocation,allotment
1,allocation,appropriation
0,allocution,address
1,allocution,lecture
0,allot,allocate
1,allot,appoint
0,allotment,allocation
1,allotment,allowance
0,allotrope,gem
1,allotrope,jewel
0,allover,fidget
1,allover,jump
0,alloy,admixture
1,alloy,adulterant
0,allude,advert
1,allude,imply
0,allure,attraction
1,allure,charisma
0,allurer,charmer
1,allurer,enchanter
0,allusion,quotation
1,allusion,charge
0,alluvion,Niagara
1,alluvion,cascade
0,alluvium,delta
1,alluvium,deposition
0,aloof,detached
1,aloof,distant
0,aloofness,remoteness
1,aloofness,distance
0,alopecia,MPB
1,alopecia,baldness
0,aloud,loudly
1,aloud,audibly
0,alpenstock,cane
1,alpenstock,crutch
0,alpha,first
1,alpha,start
0,alphabet,ABCs
1,alphabet,characters
0,alpine,aerial
1,alpine,elevated
0,alt,Ctrl
1,alt,F key
0,altar,shrine
1,altar,chantry
0,alter,adjust
1,alter,amend
0,alteration,adjustment
1,alteration,amendment
0,altercate,contend
1,altercate,disagree
0,altercation,argument
1,altercation,bickering
0,alterer,adjective
1,alterer,adverb
0,alterity,difference
1,alterity,disparity
0,alternate,back up
1,alternate,double
0,alternator,dynamo
1,alternator,
0,altiloquence,balderdash
1,altiloquence,bluster
0,alto,bass
1,alto,deep
0,altruism,benevolence
1,altruism,humanitarianism
0,alum,graduate
1,alum,postgraduate
0,aluminum,bottle
1,aluminum,bucket
0,alumna,alum
1,alumna,graduate
0,alveolate,gaping
1,alveolate,huge
0,alway,consistently
1,alway,constantly
