,original,synonyms
0,Abba,administrator
1,Abba,cleric
0,Abigail,soubrette
1,Abigail,lady of the bedchamber
0,Academic,collegiate
1,Academic,intellectual
0,Acer,champion
1,Acer,distinguished
0,Acheronian,bleak
1,Acheronian,forlorn
0,Acherontic,bleak
1,Acherontic,discouraging
0,Adonis,vision
1,Adonis,Apollo
0,Advent,arrival
1,Advent,coming
0,Aerosol,sprayer
1,Aerosol,sprinkler
0,Afar,
1,Afar,far away
0,Afghan,blanket
1,Afghan,covering
0,Aggie,agrarian
1,Aggie,horticultural
0,Ah,ahem
1,Ah,alas
0,Aides,abettor
1,Aides,adjutant
0,Airedale,beagle
1,Airedale,afghan
0,Aka,assumed name
1,Aka,moniker
0,Alaska,America's Icebox
1,Alaska,Seward's Folly
0,Alb,frock
1,Alb,garb
0,Albion,Blighty
1,Albion,Britain
0,Aline,adulation
1,Aline,baloney
0,Allah,Father in Heaven
1,Allah,God
0,Allies,associate
1,Allies,colleague
0,Ally,associate
1,Ally,colleague
0,Alopecias,MPB
1,Alopecias,baldness
0,Alpine,aerial
1,Alpine,elevated
0,Alpinism,mountaineering
1,Alpinism,rock climbing
0,Alpinist,climber
1,Alpinist,mountaineer
0,Amati,fiddle
1,Amati,Stradivarius
0,Amen,certainly
1,Amen,exactly
0,America,North America
1,America,South America
0,Amerind,American Indian
1,Amerind,Amerindian
0,Amerindian,American Indian
1,Amerindian,Amerind
0,Amex,exchange
1,Amex,American Stock Exchange
0,Amigo,ally
1,Amigo,associate
0,Amir,chieftain
1,Amir,governor
0,Amores,admiration
1,Amores,devotion
0,Ana,oeuvre
1,Ana,analects
0,Anacreontic,amatory
1,Anacreontic,amorous
0,Anas,oeuvre
1,Anas,analects
0,Anemia,chlorosis
1,Anemia,emptiness
0,Angelical,angelic
1,Angelical,angel-like
0,Angelus,chimes
1,Angelus,glockenspiel
0,Angers,acrimony
1,Angers,animosity
0,Angles,corner
1,Angles,edge
0,Anglian,OE
1,Anglian,early English
0,Animalia,animal group
1,Animalia,animal life
0,Anti,antithetical
1,Anti,conflicting
0,Apollo,vision
1,Apollo,Adonis
0,Apollyon,Antichrist
1,Apollyon,Beelzebub
0,Apostolic,ecclesiastical
1,Apostolic,ministerial
0,Aquarius,Aries
1,Aquarius,Cancer
0,Arabic,cipher
1,Arabic,figure
0,Arcadia,Shangri-la
1,Arcadia,garden
0,Arcadian,bucolic
1,Arcadian,country
0,Archer,administrator
1,Archer,cleric
0,Aries,Aquarius
1,Aries,Cancer
0,Aristarch,attacker
1,Aristarch,carper
0,Aristotelianism,Aristotelian philosophy
1,Aristotelianism,categorical logic
0,Arizona,Apache State
1,Arizona,Copper State
0,Arkansas,Bear State
1,Arkansas,Bowie State
0,Armageddon,annihilation
1,Armageddon,cataclysm
0,Arras,drapery
1,Arras,dosser
0,Art,craft
1,Art,profession
0,Ascot,band
1,Ascot,neckerchief
0,Asher,drab
1,Asher,dusty
0,Astragalus,bone
1,Astragalus,anklebone
0,Aten,good-looking
1,Aten,winsome
0,Atlas,album
1,Atlas,booklet
0,Attic,garret
1,Attic,loft
0,Atticism,grandeur
1,Atticism,Hellenism
0,August,grand
1,August,baronial
0,Augustan,classic
1,Augustan,humanistic
0,Austral,meridional
1,Austral,midi
0,Autogiro,chopper
1,Autogiro,eggbeater
0,Ave,Ave Maria
1,Ave,Hail Mary pass
0,Aves,Ave Maria
1,Aves,Hail Mary pass
0,Awol,away
1,Awol,missing
0,Axis,arbor
1,Axis,axle
0,Babel,bedlam
1,Babel,clang
0,Bacchanalia,binge
1,Bacchanalia,rampage
0,Balmoral,clothes
1,Balmoral,kilt
0,Ban,boycott
1,Ban,censorship
0,Bantam,diminutive
1,Bantam,little
0,Barbarian,lowbrow
1,Barbarian,philistine
0,Bare,bald
1,Bare,exposed
0,Barmecidal,false
1,Barmecidal,hallucinatory
0,Baroque,florid
1,Baroque,ornate
0,Barrio,central city
1,Barrio,downtown
0,Basilica,shrine
1,Basilica,temple
0,Bastard,counterfeit
1,Bastard,fake
0,Bat,sock
1,Bat,bang
0,Bath,shower
1,Bath,tub
0,Beagle,afghan
1,Beagle,airedale
0,Beck,branch
1,Beck,burn
0,Bee,bumblebee
1,Bee,drone
0,Beelzebub,Lucifer
1,Beelzebub,Mephistopheles
0,Beguin,passion
1,Beguin,desire
0,Ben,boy
1,Ben,child
0,Benedict,groom
1,Benedict,helpmate
0,Benedictus,invocation
1,Benedictus,amen
0,Benny,stimulant
1,Benny,STP
0,Benton,bound
1,Benton,dead set on
0,Bertha,Vandyke
1,Bertha,capote
0,Beta,suspect
1,Beta,testing
0,Bethlehem,cradle
1,Bethlehem,stable
0,bibber,alcoholic
1,bibber,bacchanal
0,Bible,authority
1,Bible,creed
0,Biblical,doctrinal
1,Biblical,ecclesiastical
0,Bice,blue-green
1,Bice,olive
0,Biddy,battle-ax
1,Biddy,beldam
0,Bill,check
1,Bill,debt
0,Billy,cudgel
1,Billy,mace
0,Blanch,flinch
1,Blanch,recoil
0,Bob,bow
1,Bob,duck
0,Bobby,bluecoat
1,Bobby,cop
0,Bohemian,free spirit
1,Bohemian,hippie
0,Bohemianism,breach
1,Bohemianism,denial
0,Bolo,bola tie
1,Bolo,string tie
0,Bologna,cold cuts
1,Bologna,cold meat
0,Bolshevik,Bolshevist
1,Bolshevik,Commie
0,Bolsheviki,Bolshevik
1,Bolsheviki,Bolshevist
0,Bolshevism,socialism
1,Bolshevism,totalitarianism
0,Bolshevist,Bolshevik
1,Bolshevist,Commie
0,bomber,bombardier
1,bomber,aerial attach plane
0,Bonny,blithe
1,Bonny,buxom
0,Bookman,bibliophile
1,Bookman,bookwoman
0,Boston,Beantown
1,Boston,Athens of America
0,Bourbon,alcohol
1,Bourbon,drink
0,Bowery,favela
1,Bowery,ghetto
0,Boxer,fighter
1,Boxer,prizefighter
0,Brad,fastener
1,Brad,latch
0,Brahman,aristocrat
1,Brahman,noble
0,Brahmin,courteous
1,Brahmin,elegant
0,Brandy,whiskey
1,Brandy,cognac
0,Bride,mate
1,Bride,newlywed
0,Britain,Commonwealth of Nations
1,Britain,England
0,Britannia,Albion
1,Britannia,Blighty
0,Broadway,comedy
1,Broadway,farce
0,Brobdingnagian,big
1,Brobdingnagian,colossal
0,Brummagem,tinsel
1,Brummagem,cheap
0,Brutus,Judas
1,Brutus,backstabber
0,Bud,bloom
1,Bud,blossom
0,Burgundy,cardinal
1,Burgundy,coral
0,Bushman,
1,Bushman,aborigine
0,Butler,man
1,Butler,manservant
0,Byzantine,daedal
1,Byzantine,complicated
0,C,corruption
1,C,disease
0,Cadet,student
1,Cadet,youth
0,Caesar,despot
1,Caesar,fascist
0,Caesarean,C-section
1,Caesarean,Cesarean section
0,Caesarian,C-section
1,Caesarian,Cesarean section
0,California,Bear Flag State
1,California,Cal
0,Calliope,church organ
1,Calliope,organ
0,Calvary,agony
1,Calvary,anguish
0,Cambric,bedding
1,Cambric,cloth
0,Came,arose
1,Came,
0,Canaan,Promised Land
1,Canaan,immortality
0,Canicula,Sirius
1,Canicula,Sothis
0,Cannabis,bhang
1,Cannabis,hashish
0,Canton,billet
1,Canton,corner
0,Cape,arm
1,Cape,beak
0,Capitol,center
1,Capitol,dome
0,Capricorn,Aquarius
1,Capricorn,Aries
0,Capuchin,babushka
1,Capuchin,bonnet
0,Carmine,cherry
1,Carmine,color
0,Carol,Noel
1,Carol,ballad
0,Caroling,belt out
1,Caroling,chant
0,Carry,bear
1,Carry,bring
0,Cary,crater
1,Cary,armpit
0,Case,bag
1,Case,baggage
0,Cashmere,fleece
1,Cashmere,fur
0,Cassandra,worrywart
1,Cassandra,doomsayer
0,Cat,kitten
1,Cat,kitty
0,Catalan,Continental
1,Catalan,French
0,Catty,rancorous
1,Catty,spiteful
0,Cayuse,crib
1,Cayuse,glass
0,Celluloid,cinema
1,Celluloid,feature
0,Centrales,average
1,Centrales,center
0,Cerberus,curator
1,Cerberus,keeper
0,Cete,beluga
1,Cete,dolphin
0,Chablis,Gewurztraminer
1,Chablis,Liebfraumilch
0,Charleston,disco
1,Charleston,samba
0,Chateau,castle
1,Chateau,estate
0,Chin,button
1,Chin,jaw
0,Chink,crevice
1,Chink,fissure
0,Chinook,cyclone
1,Chinook,hurricane
0,Chip,slice
1,Chip,wafer
0,Choctaw,Greek
1,Choctaw,babble
0,Chou,cannoli
1,Chou,cream horn
0,Christ,Good Shepherd
1,Christ,Jesus
0,Christian,God-fearing
1,Christian,faithful
0,Christmas,Christmastide
1,Christmas,Noel
0,Christmastide,Noel
1,Christmastide,Xmas
0,Chuck,abandon
1,Chuck,can
0,Ciceronianism,grandeur
1,Ciceronianism,Hellenism
0,Cimmerian,black
1,Cimmerian,cloudy
0,Clay,brick
1,Clay,earth
0,Clement,balmy
1,Clement,clear
0,Cliff,bluff
1,Cliff,crag
0,Cockaigne,Cloudcuckooland
