,original,synonyms
0,abdomen,belly
1,abdomen,gut
0,acoustics,echo
1,acoustics,noise
0,acrobatics,balancing
1,acrobatics,feats
0,acronym,cipher
1,acronym,composition
0,acumen,acuity
1,acumen,awareness
0,addlings,bewilderment
1,addlings,disorientation
0,adversaria,diary
1,adversaria,journal
0,aerobatics,bars
1,aerobatics,calisthenics
0,aerodynamics,aeronautics
1,aerodynamics,navigation
0,aeronautics,aviation
1,aeronautics,flight
0,aesthetics,esthetics
1,aesthetics,artistic taste
0,afternoons,siesta
1,afternoons,teatime
0,aftertimes,destiny
1,aftertimes,fate
0,afterwards,eventually
1,afterwards,later
0,agnomen,alias
1,agnomen,epithet
0,agronomics,cultivation
1,agronomics,culture
0,alas,dear
1,alas,gee
0,allies,associate
1,allies,colleague
0,alms,aid
1,alms,assistance
0,alumni,alum
1,alumni,old grad
0,amanuenses,agent
1,amanuenses,auditor
0,amen,certainly
1,amen,exactly
0,amphiboly,innuendo
1,amphiboly,pun
0,amphora,ornament
1,amphora,urn
0,anagrams,cipher
1,anagrams,game
0,analects,oeuvre
1,analects,ana
0,analyses,inquiry
1,analyses,investigation
0,analytics,data
1,analytics,analysis
0,annals,journal
1,annals,archives
0,antipodes,antithesis
1,antipodes,contrary
0,antitheses,antipode
1,antitheses,contra
0,anywheres,anyplace
1,anywheres,all over
0,apologetics,apology
1,apologetics,defense
0,apotheoses,deification
1,apotheoses,elevation
0,apron,smock
1,apron,cover
0,aqua,broth
1,aqua,juice
0,arms,accoutrements
1,arms,armaments
0,arras,drapery
1,arras,dosser
0,ashes,charcoal
1,ashes,cinders
0,ashy,ash-colored
1,ashy,ashen
0,asphalt,blacktop
1,asphalt,bitumen
0,assets,belongings
1,assets,capital
0,assizes,bar
1,assizes,bench
0,astrophysics,astrometry
1,astrophysics,selenology
0,athletics,contest
1,athletics,drill
0,atlas,album
1,atlas,booklet
0,atmospherics,animosity
1,atmospherics,antagonism
0,atomics,particle physics
1,atomics,quantum mechanics
0,atomistics,particle physics
1,atomistics,quantum mechanics
0,auspices,aegis
1,auspices,patronage
0,automata,agent
1,automata,clone
0,aviatrices,aviator
1,aviatrices,ace
0,axes,adz
1,axes,chopper
0,axiom,adage
1,axiom,aphorism
0,backwards,back
1,backwards,backward
0,backwoods,backcountry
1,backwoods,outback
0,bacteria,bacilli
1,bacteria,germs
0,badlands,barren
1,badlands,barrens
0,bases,paltry
1,bases,common
0,beanbags,buffer
1,beanbags,headrest
0,becomes,come
1,becomes,develop into
0,bedclothes,bed linen
1,bedclothes,bedspread
0,behooves,have to
1,behooves,is becoming
0,betimes,early
1,betimes,anon
0,betters,exceptional
1,betters,improved
0,biceps,branch
1,biceps,rod
0,biogenetics,DNA fingerprinting
1,biogenetics,GM
0,bionomics,conservation
1,bionomics,preservation
0,bios,biography
1,bios,confession
0,bitters,aggravate
1,bitters,annoy
0,bitumen,blacktop
1,bitumen,
0,blackeyes,bad name
1,blackeyes,black mark
0,blackheads,pimples
1,blackheads,pustules
0,blinks,flash
1,blinks,flicker
0,bloomers,panties
1,bloomers,pants
0,blowings,bluster
1,blowings,blowing
0,blues,dejection
1,blues,despondency
0,boondocks,backwoods
1,boondocks,bush
0,boots,footwear
1,boots,brogan
0,bowels,belly
1,bowels,core
0,braces,bracelets
1,braces,chains
0,brains,acuity
1,brains,awareness
0,breeches,hosiery
1,breeches,sock
0,brethren,relative
1,brethren,twin
0,briefs,boxers
1,briefs,drawers
0,broadways,entertainment industry
1,broadways,movie industry
0,brushes,broom
1,brushes,toothbrush
0,burnsides,bristles
1,burnsides,goatee
0,butterfingers,bungler
1,butterfingers,clod
0,buttons,knob
1,buttons,catch
0,calipers,adjust
1,calipers,assess
0,calisthenics,constitutional
1,calisthenics,daily workout
0,calves,herd
1,calves,oxen
0,campus,dorm
1,campus,square
0,capes,arm
1,capes,beak
0,caries,crater
1,caries,armpit
0,caryopses,kernel
1,caryopses,achene
0,catachreses,atrocity
1,catachreses,barbarity
0,catechumen,learner
1,catechumen,neophyte
0,catoptrics,optical fiber
1,catoptrics,dioptrics
0,cattle,herd
1,cattle,oxen
0,ceramics,wares
1,ceramics,china
0,chaps,denims
1,chaps,pants
0,checkers,appraiser
1,checkers,auditor
0,chignon,bun
1,chignon,knot
0,chinks,crevice
1,chinks,fissure
0,chips,coin
1,chips,currency
0,chrysalides,advancement
1,chrysalides,evolution
0,cicatrices,blot
1,cicatrices,blotch
0,civics,art of the possible
1,civics,governance
0,clammy,close
1,clammy,dank
0,classes,collection
1,classes,degree
0,cleavers,axe
1,cleavers,foe
0,clips,mow
1,clips,prune
0,clothes,attire
1,clothes,garb
0,coccyges,dorsal region
1,coccyges,lumbar region
0,codices,album
1,codices,booklet
0,cognomen,epithet
1,cognomen,handle
0,colluvies,gallimaufry
1,colluvies,hash
0,collywobbles,dithers
1,collywobbles,heart skipping a beat
0,colors,badge
1,colors,emblem
0,commons,canteen
1,commons,mess hall
0,compasses,ambit
1,compasses,area
0,concertina,groanbox
1,concertina,melodeon
0,cones,conoid
1,cones,pyramid
0,contents,capacity
1,contents,cargo
0,contretemps,disaster
1,contretemps,embarrassment
0,cornerways,catty-corner
1,cornerways,crosswise
0,cortices,bark
1,cortices,layer
0,cosmos,galaxy
1,cosmos,solar system
0,cottagers,provincial
1,cottagers,ruralist
0,cowlicks,eyebrow
1,cowlicks,fiber
0,crackers,crazy
1,crackers,cuckoo
0,craggy,precipitous
1,craggy,rocky
0,craps,bones
1,craps,counters
0,cripes,dang
1,cripes,doggone
0,criteria,belief
1,criteria,conduct
0,crossroads,crisis
1,crossroads,pass
0,crotchet,caprice
1,crotchet,eccentricity
0,crumblings,bankruptcy
1,crumblings,collapse
0,customs,imposts
1,customs,tariffs
0,cybernetics,automation
1,cybernetics,artificial intelligence
0,daggers,acrimony
1,daggers,alienation
0,damages,amends
1,damages,bill
0,darts,bound
1,darts,dash
0,data,dossier
1,data,evidence
0,days,age
1,days,cycle
0,diagnoses,analyze
1,diagnoses,determine
0,diagnostics,ailment
1,diagnostics,disorder
0,dialectics,logic
1,dialectics,reasoning
0,dietetics,nourishment
1,dietetics,diet
0,diggings,apartment
1,diggings,cabin
0,digs,address
1,digs,apartment
0,dioptrics,optical fiber
1,dioptrics,catoptrics
