,original,synonyms
0,abolish,abrogate
1,abolish,annul
0,acclimatize,acclimate
1,acclimatize,accommodate
0,achromatize,lighten
1,achromatize,blanch
0,acquire,achieve
1,acquire,amass
0,actify,call up
1,actify,mobilize
0,activize,animate
1,activize,electrify
0,actualize,accomplish
1,actualize,engineer
0,allegorize,connect
1,allegorize,correlate
0,alphabetize,index
1,alphabetize,order
0,amplify,augment
1,amplify,deepen
0,anathematize,accurse
1,anathematize,anathemize
0,anatomize,dissect
1,anatomize,evaluate
0,anesthetize,desensitize
1,anesthetize,impair
0,animalize,bastardize
1,animalize,bestialize
0,antagonize,alienate
1,antagonize,anger
0,anthologize,amass
1,anthologize,arrange
0,antiseptize,cleanse
1,antiseptize,disinfect
0,antithesize,comprehend
1,antithesize,discern
0,apprize,advise
1,apprize,brief
0,approve,accept
1,approve,favor
0,aromatize,perfume
1,aromatize,scent
0,asexualize,mutilate
1,asexualize,neuter
0,assize,assembly
1,assize,court
0,atomize,destroy
1,atomize,grate
0,attitudinize,masquerade
1,attitudinize,pose
0,authorize,empower
1,authorize,enable
0,automatize,automate
1,automatize,brutalize
0,bake,heat
1,bake,melt
0,bastardize,adulterate
1,bastardize,bestialize
0,be,abide
1,be,act
0,beatify,consecrate
1,beatify,sanctify
0,bedaze,amaze
1,bedaze,bemuse
0,bedlamize,confound
1,bedlamize,disorganize
0,begin,commence
1,begin,create
0,bestialize,abuse
1,bestialize,animalize
0,blemish,blot
1,blemish,blotch
0,breakage,deterioration
1,breakage,ruination
0,brutalize,dehumanize
1,brutalize,demoralize
0,calorify,bake
1,calorify,boil
0,camber,arc
1,camber,arch
0,cannibalize,disassemble
1,cannibalize,dismantle
0,canonize,beatify
1,canonize,consecrate
0,capitalize,exploit
1,capitalize,take advantage of
0,caponize,change
1,caponize,fix
0,carbonize,burn
1,carbonize,cauterize
0,catechize,ask
1,catechize,drill
0,categorize,classify
1,categorize,pigeonhole
0,catheterize,bleed
1,catheterize,consume
0,cauterize,burn
1,cauterize,sear
0,centralize,consolidate
1,centralize,integrate
0,ceremonialize,honor
1,ceremonialize,laud
0,characterize,define
1,characterize,describe
0,check,analysis
1,check,audit
0,circularize,announce
1,circularize,communicate
0,civilize,acquaint
1,civilize,enlighten
0,clabber,acerbate
1,clabber,acidify
0,clarify,analyze
1,clarify,clear up
0,climatize,accustom
1,climatize,acclimatize
0,clobber,drub
1,clobber,smother
0,clove,cleavage
1,clove,crater
0,codify,summarize
1,codify,arrange
0,colonize,conquer
1,colonize,found
0,commensurate,comparable
1,commensurate,compatible
0,commercialize,degrade
1,commercialize,advertise
0,communalize,associate
1,communalize,club
0,communize,adjust
1,communize,even up
0,compartmentalize,break up
1,compartmentalize,cut off
0,conceptualize,gestate
1,conceptualize,develop a thought
0,confuse,amaze
1,confuse,astonish
0,connaturalize,homogenize
1,connaturalize,absorb
0,controversialize,bicker
1,controversialize,clash
0,conventionalize,pigeonhole
1,conventionalize,catalogue
0,corporealize,appear
1,corporealize,emerge
0,costume,apparel
1,costume,attire
0,countermove,balance
1,countermove,counterattack
0,cradle,crib
1,cradle,bassinet
0,crystallize,assume a pattern
1,crystallize,become definite
0,cucumber,currency
1,cucumber,greenback
0,dandify,attire
1,dandify,bundle up
0,dauber,calciminer
1,dauber,interior decorator
0,decentralize,disperse
1,decentralize,distribute
0,decolorize,lighten
1,decolorize,achromatize
0,dehumanize,automate
1,dehumanize,brutalize
0,dehumidify,bake
1,dehumidify,blot
0,dematerialize,abandon
1,dematerialize,depart
0,demilitarize,disband
1,demilitarize,shut off
0,demobilize,disarm
1,demobilize,disband
0,democratize,adjust
1,democratize,even up
0,demonize,
1,demonize,criticize
0,denationalize,decontrol
1,denationalize,leave be
0,densify,abbreviate
1,densify,constrict
0,deodorize,aerate
1,deodorize,air
0,depose,demote
1,depose,dethrone
0,deputize,assign
1,deputize,authorize
0,desensitize,deaden
1,desensitize,anesthetize
0,desexualize,change
1,desexualize,fix
0,despotize,badger
1,despotize,bully
0,devalorize,decrease
1,devalorize,depress
0,develop,advance
1,develop,establish
0,devitalize,deaden
1,devitalize,debilitate
0,dignify,exalt
1,dignify,magnify
0,disclose,acknowledge
1,disclose,admit
0,disharmonize,differ
1,disharmonize,conflict
0,disimprove,decrease
1,disimprove,depreciate
0,disorganize,demobilize
1,disorganize,derange
0,disparate,contrasting
1,disparate,discordant
0,disprove,belie
1,disprove,confound
0,disqualify,bar
1,disqualify,exclude
0,disunify,alienate
1,disunify,antagonize
0,dogmatize,miscalculate
1,dogmatize,misconstrue
0,dove,drab
1,dove,dusty
0,dramatize,amplify
1,dramatize,exaggerate
0,drill,assignment
1,drill,conditioning
0,dualize,grow
1,dualize,increase
0,duplify,grow
1,duplify,increase
0,dynamize,amaze
1,dynamize,animate
0,economize,conserve
1,economize,cut down
0,ecstasize,beguile
1,ecstasize,captivate
0,edify,enlighten
1,edify,uplift
0,emblematize,demonstrate
1,emblematize,epitomize
0,emphasize,accentuate
1,emphasize,affirm
0,encourage,boost
1,encourage,buoy
0,energize,animate
1,energize,electrify
0,ensure,assure
1,ensure,establish
0,entify,appear
1,entify,emerge
0,epistolize,answer
1,epistolize,pen
0,epitomize,characterize
1,epitomize,embody
0,equalize,adjust
1,equalize,even up
0,establish,authorize
1,establish,base
0,eternalize,eternize
1,eternalize,memorialize
0,eternize,eternalize
1,eternize,memorialize
0,etherize,desensitize
1,etherize,impair
0,ethicize,acquaint
1,ethicize,enlighten
0,eulogize,applaud
1,eulogize,commend
0,eunuchize,mutilate
1,eunuchize,neuter
0,evangelize,preachify
1,evangelize,proclaim
0,exemplify,demonstrate
1,exemplify,depict
0,experimentalize,analyze
1,experimentalize,assess
0,expurgate,bleep
1,expurgate,bowdlerize
0,extemporize,ad-lib
1,extemporize,devise
0,exteriorize,convey
1,exteriorize,exemplify
0,externalize,convey
1,externalize,exemplify
0,familiarize,enlighten
1,familiarize,naturalize
0,finance,banking
1,finance,business
0,focalize,attract
1,focalize,focus
0,formalize,characterize
1,formalize,construe
0,fortify,brace
1,fortify,build up
0,fraternize,hobnob
1,fraternize,be friendly
0,galvanize,arouse
1,galvanize,astonish
0,gelatinize,clabber
1,gelatinize,clot
0,generalize,conclude
1,generalize,derive
0,ghastliness,atrocity
1,ghastliness,awfulness
0,glorify,eulogize
1,glorify,exalt
0,glowworm,candle fly
1,glowworm,fire beetle
0,gormandize,Hoover
1,gormandize,binge
0,grader,backhoe
1,grader,excavator
0,grow,advance
1,grow,age
0,happen,appear
1,happen,arise
0,harmonize,adjust
1,harmonize,cooperate
0,homogenize,accommodate
1,homogenize,adapt
0,homologize,accommodate
1,homologize,adapt
0,hoove,dogs
1,hoove,hoof
0,humanize,civilize
1,humanize,tame
0,humidify,bedew
1,humidify,besprinkle
0,hybridize,admix
1,hybridize,adulterate
0,hyperbolize,amplify
1,hyperbolize,boast
0,hypnotize,anesthetize
1,hypnotize,captivate
0,hypostatize,demonstrate
1,hypostatize,epitomize
0,idealize,glorify
1,idealize,admire
0,identify,analyze
1,identify,classify
0,idolize,admire
1,idolize,adore
0,illegalize,bar
1,illegalize,exclude
0,immobilize,cripple
1,immobilize,debilitate
0,immortalize,commemorate
1,immortalize,canonize
0,immunize,inoculate
1,immunize,protect
0,improve,advance
1,improve,better
0,incommensurate,disproportionate
1,incommensurate,inadequate
0,inconsiderate,boorish
1,inconsiderate,brash
0,indefinite,infinite
1,indefinite,undefined
0,indemnify,compensate
1,indemnify,pay
0,individualize,analyze
1,individualize,ascertain
0,induce,activate
1,induce,breed
0,industrialize,motorize
1,industrialize,equip
0,initialize,boot
1,initialize,load
0,institutionalize,regulate
1,institutionalize,order
0,intellectualize,analyze
1,intellectualize,appraise
0,intensify,add to
1,intensify,aggravate
0,internalize,embody
1,internalize,incarnate
0,interpose,arbitrate
1,interpose,insert
0,interwove,associate
1,interwove,braid
0,irate,annoyed
1,irate,enraged
0,itemize,enumerate
1,itemize,catalog
0,keep,carry
1,keep,conduct
0,keepsake,memento
1,keepsake,relic
0,kettledrum,pan
1,kettledrum,steel pan
0,kingfish,expert
1,kingfish,judge
0,kingmaker,behind-the-scenes operator
1,kingmaker,eminence grise
0,kinkiness,aberration
1,kinkiness,anomaly
0,kirtle,blouse
1,kirtle,coat
0,kith,affinity
1,kith,blood
0,kittenish,childish
1,kittenish,coquettish
0,knave,bastard
1,knave,blackguard
0,knuckle,accept
1,knuckle,acquiesce
0,kudize,approve
1,kudize,cheer
0,legalize,approve
1,legalize,authorize
0,legitimatize,approve
1,legitimatize,authorize
0,legitimize,codify
1,legitimize,constitute
0,lionize,eulogize
1,lionize,glorify
0,localize,center
1,localize,contain
0,logicalize,analyze
1,logicalize,appraise
0,logomachize,bicker
1,logomachize,clash
0,love,affection
1,love,appreciation
0,macadamize,brick
1,macadamize,cobblestone
0,magnetize,allure
1,magnetize,attract
0,magnify,aggravate
1,magnify,amplify
0,martyrize,torment
1,martyrize,excruciate
0,materialize,appear
1,materialize,emerge
0,maximize,augment
1,maximize,bloat
0,mechanize,industrialize
1,mechanize,motorize
0,melodramatize,amplify
1,melodramatize,exaggerate
0,memorialize,admire
1,memorialize,adore
0,memorize,cram
1,memorize,know
0,mesmerize,enthrall
1,mesmerize,fascinate
0,metastasize,clean
1,metastasize,drain
0,metropolitanize,urbanize
1,metropolitanize,
0,mineralize,calcify
1,mineralize,clarify
0,minimize,curtail
1,minimize,decrease
0,misprize,abhor
1,misprize,deride
0,mistake,aberration
1,mistake,blunder
0,modernize,improve
1,modernize,rejuvenate
0,modify,adapt
1,modify,adjust
0,mollify,allay
1,mollify,alleviate
0,monetize,cast
1,monetize,construct
0,mongrelize,crossbreed
1,mongrelize,hybridize
0,monopolize,absorb
1,monopolize,exclude
0,monumentalize,celebrate
1,monumentalize,memorialize
0,moralize,admonish
1,moralize,edify
0,motorize,industrialize
1,motorize,equip
0,mustache,beard
1,mustache,bristles
0,nebula,galaxy
1,nebula,nimbus
0,needer,abstain
1,needer,be deprived of
0,nib,snout
1,nib,bill
0,noose,hitch
1,noose,lariat
0,nut,kernel
1,nut,achene
0,obtain,access
1,obtain,achieve
0,officialize,behave
1,officialize,operate
0,ogreish,atrocious
1,ogreish,beastly
0,optimize,advance
1,optimize,amend
0,opus,magnum opus
1,opus,composition
0,organize,construct
1,organize,coordinate
0,ostracize,blackball
1,ostracize,blacklist
0,outsize,colossal
1,outsize,enormous
0,overseen,administered
1,overseen,commanded
0,oxidize,burn
1,oxidize,corrode
0,palletize,clothe
1,palletize,pack
0,panegyrize,acclaim
1,panegyrize,admire
0,parallelize,complement
1,parallelize,correlate
0,participate,aid
1,participate,compete
0,particularize,agree
1,particularize,arrange
0,pasteurize,castrate
1,pasteurize,neuter
0,patronize,deign
1,patronize,snub
0,pauperize,bankrupt
1,pauperize,impoverish
0,pen,cage
1,pen,coop
0,penalize,castigate
1,penalize,chastise
0,personalize,illustrate
1,personalize,actualize
0,personify,act out
1,personify,embody
0,philosophize,contemplate
1,philosophize,deliberate
0,phlebotomize,drain
1,phlebotomize,ooze
0,plagiarize,paraphrase
1,plagiarize,appropriate
0,platinize,anodize
1,platinize,bronze
0,playbook,article
1,playbook,book
0,plunk,plop
1,plunk,drop
0,polarize,part
1,polarize,separate
0,popularize,catch on
1,popularize,disseminate
0,portage,consignment
1,portage,distribution
0,preachify,proclaim
1,preachify,proselytize
0,preconize,beep
1,preconize,announce
0,pressurize,browbeat
1,pressurize,bully
0,proportionate,commensurate
1,proportionate,comparable
0,propose,ask
1,propose,come up with
0,proselytize,accept
1,proselytize,adopt
0,pulverize,shatter
1,pulverize,abrade
0,quantify,appraise
1,quantify,assess
0,raciness,bitterness
1,raciness,piquancy
0,rage,animosity
1,rage,bitterness
0,ratify,approve
1,ratify,confirm
0,rationalize,justify
1,rationalize,deliberate
0,realize,comprehend
1,realize,get
0,rectify,amend
1,rectify,fix
0,redraw,alter
1,redraw,amend
0,reduce,curtail
1,reduce,cut
0,regularize,adjust
1,regularize,even up
0,reify,demonstrate
1,reify,epitomize
0,rejoin,reunite
1,rejoin,answer
0,rekindle,renew
1,rekindle,revitalize
0,remove,abolish
1,remove,clear away
0,rend,rive
1,rend,break
0,reopen,reinstate
1,reopen,renew
0,reorganize,reconstruct
1,reorganize,reshuffle
0,replace,change
1,replace,follow
0,replenish,refill
1,replenish,refresh
0,repose,inactivity
1,repose,stillness
0,reprove,admonish
1,reprove,berate
0,resource,ability
1,resource,capability
0,reunify,join
1,reunify,reconcile
0,revitalize,enliven
1,revitalize,modernize
0,revivify,animate
1,revivify,arouse
0,revolutionize,change
1,revolutionize,recast
0,ripply,rough
1,ripply,uneven
0,ritualize,honor
1,ritualize,laud
0,rivalize,follow suit
1,rivalize,imitate
0,roan,horse
1,roan,
0,roar,barrage
1,roar,blast
0,robber,bandit
1,robber,burglar
0,robotize,automate
1,robotize,brutalize
0,rocklike,loyal
1,rocklike,staunch
0,romanticize,glamorize
1,romanticize,idealize
0,rove,drift
1,rove,gad
0,runny,flowing
1,runny,running
0,scandalize,defame
1,scandalize,offend
0,schematize,arrange
1,schematize,array
0,scrutinize,analyze
1,scrutinize,check
0,seer,forecaster
1,seer,prophet
0,sell,advertise
1,sell,auction
0,sensitize,sharpen
1,sensitize,animate
0,sentimentalize,glamorize
1,sentimentalize,idealize
0,sermonize,admonish
1,sermonize,edify
0,severalize,comprehend
1,severalize,discern
0,sheathe,encase
1,sheathe,cover
0,shoulder,accept
1,shoulder,assume
0,signify,add up to
1,signify,bespeak
0,similize,associate
1,similize,liken
0,simplify,clarify
1,simplify,cut down
0,singularize,acknowledge
1,singularize,admire
0,skeletonize,delineate
1,skeletonize,describe
0,skepticize,distrust
1,skepticize,hesitate
0,slow,easy
1,slow,gradual
0,slumberland,bedtime
1,slumberland,catnap
0,snowflake,sleet
1,snowflake,slush
0,soar,ascend
1,soar,escalate
0,socialize,entertain
1,socialize,get around
0,solemnize,bless
1,solemnize,celebrate
0,solidify,cement
1,solidify,crystallize
0,soliloquize,chant
1,soliloquize,communicate
0,solve,clarify
1,solve,clear up
0,specialize,train
1,specialize,practice
0,speechify,gush
1,speechify,boast
0,spermatize,impregnate
1,spermatize,inseminate
0,spiritualize,acquaint
1,spiritualize,enlighten
0,stabilize,balance
1,stabilize,fix
0,standardize,institutionalize
1,standardize,assimilate
0,sterilize,castrate
1,sterilize,decontaminate
0,stigmatize,characterize
1,stigmatize,class
0,storify,ad-lib
1,storify,blend
0,strategize,accomplish
1,strategize,achieve
0,stroboscope,blinking light
1,stroboscope,searchlight
0,stultify,mock
1,stultify,make a fool of
0,stylize,accord
1,stylize,conform
0,subsidize,bankroll
1,subsidize,contribute
0,substantialize,appear
1,substantialize,emerge
0,subtile,extraordinary
1,subtile,limited
0,subtilize,cavil
1,subtilize,chop logic
0,succeed,accomplish
1,succeed,achieve
0,summarize,compile
1,summarize,encapsulate
0,swabber,bluejacket
1,swabber,boater
0,switch,about-face
1,switch,alteration
0,symbolize,embody
1,symbolize,epitomize
0,symmetrize,match
1,symmetrize,align
0,sympathize,commiserate
1,sympathize,comprehend
0,synchronize,adjust
1,synchronize,harmonize
0,synthesize,incorporate
1,synthesize,amalgamate
0,systematize,arrange
1,systematize,array
0,systemize,arrange
1,systemize,array
0,tabularize,alphabetize
1,tabularize,arrange
0,tackle,accouterment
1,tackle,apparatus
0,take,booty
1,take,catch
0,tantalize,annoy
1,tantalize,baffle
0,terrorize,alarm
1,terrorize,bludgeon
0,testify,announce
1,testify,argue
0,theatricalize,burlesque
1,theatricalize,caricature
0,theorize,speculate
1,theorize,conjecture
0,totalize,calculate
1,totalize,cast
0,track,path
1,track,record
0,tragedize,amplify
1,tragedize,exaggerate
0,tranquilize,sedate
1,tranquilize,calm
0,transmogrify,alter
1,transmogrify,apply
0,traumatize,disturb
1,traumatize,grieve
0,trivialize,depreciate
1,trivialize,dismiss
0,twitch,blink
1,twitch,flutter
0,typify,embody
1,typify,epitomize
0,tyrannize,dictate
1,tyrannize,dominate
0,undersize,miniature
1,undersize,pint-sized
0,winebibber,alcoholic
1,winebibber,bacchanal
0,womanize,dally
1,womanize,flirt
