,original,synonyms
0,abased,boorish
1,abased,depraved
0,abashed,bewildered
1,abashed,bugged
0,abed,lying
1,abed,reclining
0,aborted,break off
1,aborted,cut off
0,abrade,chafe
1,abrade,erode
0,abridged,canned
1,abridged,condensed
0,abscessed,aching
1,abscessed,bruised
0,absconded,escaped
1,absconded,fled
0,accelerated,increased
1,accelerated,quick
0,accepted,acknowledged
1,accepted,approved
0,accredited,authorized
1,accredited,certified
0,accursed,bedeviled
1,accursed,condemned
0,accused,arraigned
1,accused,implicated
0,accustomed,addicted
1,accustomed,acclimatized
0,acknowledged,accepted
1,acknowledged,approved
0,acquainted,abreast
1,acquainted,conversant
0,acridness,acerbity
1,acridness,astringency
0,added,combined
1,added,extra
0,addicted,absorbed
1,addicted,accustomed
0,addlebrained,addle-headed
1,addlebrained,addle-pated
0,addlepated,abashed
1,addlepated,addled
0,adjoined,abut
1,adjoined,approximate
0,admired,cherished
1,admired,dear
0,admitted,professed
1,admitted,accepted
0,advised,considered
1,advised,well-considered
0,affected,afflicted
1,affected,concerned
0,afflicted,depressed
1,afflicted,stricken
0,affrighted,alarm
1,affrighted,daunt
0,affronted,annoyed
1,affronted,bitter
0,afterthought,reconsideration
1,afterthought,review
0,aged,elderly
1,aged,ancient
0,agglomerated,amass
1,agglomerated,bring together
0,agora,forum
1,agora,rialto
0,agreed,certain
1,agreed,defined
0,airbrained,airheaded
1,airbrained,daffy
0,airfield,airstrip
1,airfield,installation
0,airfreight,payload
1,airfreight,
0,airtight,impenetrable
1,airtight,closed
0,alarmed,aroused
1,alarmed,afraid
0,alit,descend
1,alit,disembark
0,allied,affiliated
1,allied,amalgamated
0,amazed,agog
1,amazed,anxious
0,ambuscade,attack
1,ambuscade,bushwhack
0,amused,entertained
1,amused,diverted
0,anchored,fast
1,anchored,robust
0,angled,bent
1,angled,crooked
0,animated,energetic
1,animated,spirited
0,annulated,annulate
1,annulated,circular
0,antiquated,ancient
1,antiquated,archaic
0,anuran,frog
1,anuran,peeper
0,appressed,solid
1,appressed,tight
0,apriori,based on theory
1,apriori,deduced
0,arcade,gallery
1,arcade,mall
0,arched,curved
1,arched,domed
0,arcked,arc
1,arcked,bend
0,arcuated,arched
1,arcuated,arching
0,argot,lingo
1,argot,parlance
0,armored,bulletproof
1,armored,protected
0,articled,constrained
1,articled,enslaved
0,articulated,choral
1,articulated,lyric
0,ashamed,apologetic
1,ashamed,bashful
0,assessed,delayed
1,assessed,negotiated
0,assigned,defined
1,assigned,precise
0,assorted,sundry
1,assorted,diversified
0,assured,guaranteed
1,assured,settled
0,atlatl,ammunition
1,atlatl,bomb
0,attached,absorbed
1,attached,accustomed
0,attired,arrayed
1,attired,clothed
0,autocade,ceremony
1,autocade,demonstration
0,avowed,professed
1,avowed,accepted
0,axed,fired
1,axed,freed
0,babied,cherish
1,babied,coddle
0,backed,approved
1,backed,assisted
0,backhanded,sarcastic
1,backhanded,ambiguous
0,backwatered,abolish
1,backwatered,abrogate
0,bade,propose
1,bade,submit
0,bagged,nail
1,bagged,acquire
0,balanced,equitable
1,balanced,fair
0,banded,involved
1,banded,married
0,banked,amass
1,banked,hoard
0,barbed,biting
1,barbed,pointed
0,barefaced,apparent
1,barefaced,arrant
0,barefooted,discalceated
1,barefooted,discalced
0,barred,blocked
1,barred,clogged
0,barreled,dash
1,barreled,fly
0,barricade,barrier
1,barricade,blockade
0,basset,beagle
1,basset,afghan
0,bastioned,barricaded
1,bastioned,covered
0,bated,delicate
1,bated,dim
0,battered,decrepit
1,battered,ramshackle
0,battled,argue
1,battled,clamor
0,bawd,courtesan
1,bawd,doxy
0,bayed,bawl
1,bayed,bay
0,bayoneted,knife
1,bayoneted,pierce
0,beaded,bead
1,beaded,bleed
0,beaked,angled
1,beaked,bent
0,beamed,broadcast
1,beamed,
0,bearded,shaggy
1,bearded,unshaven
0,beast,animal
1,beast,creature
0,beastie,animal
1,beastie,creature
0,bedfast,circumscribed
1,bedfast,cramped
0,beetled,beetle
1,beetled,bulge
0,begotten,heir
1,begotten,branch
0,behold,catch
1,behold,consider
0,belated,delayed
1,belated,long-delayed
0,belled,bell
1,belled,bong
0,bellied,enlarge
1,bellied,expand
0,belt,ribbon
1,belt,ring
0,belted,bordered
1,belted,surrounded
0,bemused,distracted
1,bemused,absent
0,benighted,unlearned
1,benighted,untaught
0,benumbed,deadened
1,benumbed,asleep
0,bepaid,bring in
1,bepaid,come to
0,berthed,dock
1,berthed,settle
0,besotted,buzzed
1,besotted,cooked
0,bespoke,sewn
1,bespoke,custom-fit
0,bestrew,infuse
1,bestrew,pepper
0,bethought,deliberate
1,bethought,devise
0,betrothed,affianced
1,betrothed,committed
0,beveled,chamfered
1,beveled,slanting
0,bevelled,skew
1,bevelled,tend
0,bewhiskered,shaggy
1,bewhiskered,unshaven
0,bewildered,astonished
1,bewildered,awed
0,bibliognost,curator
1,bibliognost,cataloger
0,biddy,battle-ax
1,biddy,beldam
0,biflected,arched
1,biflected,crooked
0,bifurcated,angled
1,bifurcated,bifurcate
0,bighearted,benevolent
1,bighearted,charitable
0,bigmouthed,chattery
1,bigmouthed,chatty
0,bigoted,biased
1,bigoted,chauvinistic
0,billed,advertised
1,billed,publicized
0,biped,animal
1,biped,anthropoid
0,birdy,crazy
1,birdy,eccentric
0,bistered,bistred
1,bistered,brunet
0,bitted,constrain
1,bitted,curb
0,biz,employment
1,biz,field
0,blackhearted,dire
1,blackhearted,evil
0,blade,knife
1,blade,sword
0,blamed,accursed
1,blamed,blasted
0,blanked,blank
1,blanked,clobber
0,blanketed,bury
1,blanketed,coat
0,blasted,accursed
1,blasted,blamed
0,bleached,blonde
1,bleached,golden
0,bleared,blurred
1,bleared,blurry
0,bleed,drain
1,bleed,ooze
0,blended,attenuated
1,blended,contaminated
0,blessed,adored
1,blessed,beatified
0,blight,affliction
1,blight,canker
0,blinded,dazed
1,blinded,distracted
0,blistered,charred
1,blistered,scorched
0,bloated,distended
1,bloated,tumefied
0,blobbed,bloat
1,blobbed,protrude
0,blockade,barricade
1,blockade,closure
0,blocked,impassable
1,blocked,closed
0,blockheaded,boneheaded
1,blockheaded,dense
0,bloke,chap
1,bloke,gent
0,blooded,juice
1,blooded,claret
0,bloodied,blood-soaked
1,bloodied,bloodstained
0,bloodshed,bloodbath
1,bloodshed,bloodletting
0,bloodstained,blood-soaked
1,bloodstained,bleeding
0,blotched,dappled
1,blotched,dotted
0,bludgeoned,alarm
1,bludgeoned,appall
0,blurred,cloudy
1,blurred,dim
0,blurt,exclaim
1,blurt,babble
0,bobbed,coiffed
1,bobbed,cropped
0,bobsled,luge
1,bobsled,dogsled
0,boiled,baked
1,boiled,broiled
0,bold,adventurous
1,bold,audacious
0,bombed,buzzed
1,bombed,faced
0,bombsight,gunsight
1,bombsight,periscope
0,bonded,secured
1,bonded,certified
0,boned,afflict
1,boned,annoy
0,boneheaded,dense
1,boneheaded,dimwitted
0,booked,contracted
1,booked,engaged
0,booted,footwear
1,booted,brogan
0,boozed,buzzed
1,boozed,faced
0,bordered,belted
1,bordered,surrounded
0,bossed,capital
1,bossed,champion
0,botched,broken
1,botched,cracked
0,botryose,aciniform
1,botryose,racemose
0,bottled,conserved
1,bottled,kept
0,bottomed,hang
1,bottomed,lie
0,bought,acquired
1,bought,procured
0,bounded,belted
1,bounded,bordered
0,bowed,curved
1,bowed,rounded
0,boweled,decimate
1,boweled,empty
0,braced,fast
1,braced,robust
0,braided,bunched
1,braided,clustered
0,brambled,bobble
1,brambled,bungle
0,branched,cleft
1,branched,prorated
0,branded,charred
1,branded,scorched
0,brazenfaced,audacious
1,brazenfaced,barefaced
0,breathed,exhale
1,breathed,inhale
0,brew,beverage
1,brew,blend
0,bridled,abstinent
1,bridled,ascetic
0,bright,blazing
1,bright,brilliant
0,brimmed,fill
1,brimmed,fill up
0,bristled,bridle
1,bristled,fume
0,broke,bankrupt
1,broke,destitute
0,bronzed,blooming
1,bronzed,blowsy
0,brooked,beck
1,brooked,branch
0,brought,bear
1,brought,carry
0,brushed,coated
1,brushed,stuffed
0,bucked,animated
1,bucked,bright
0,buckled,awry
1,buckled,off-center
0,buffed,blonde
1,buffed,canary
0,bulked,brew
1,bulked,come on
0,bulldogged,constant
1,bulldogged,continual
0,bullheaded,headstrong
1,bullheaded,obstinate
0,bummed,afflicted
1,bummed,ailing
0,bunted,butt
1,bunted,meet
0,buried,covered
1,buried,hidden
0,burned,charred
1,burned,scorched
0,burred,boycott
1,burred,disregard
0,bushed,beat
1,bushed,fatigued
0,busied,attend
1,busied,employ
0,busted,bankrupt
1,busted,destitute
0,bustled,commotion
1,bustled,hubbub
0,buttered,allure
1,buttered,bait
0,butterfingered,inept
1,butterfingered,blundering
0,buttoned,close
1,buttoned,engage
0,cabled,circuited
1,cabled,lined
0,cadenced,cadent
1,cadenced,measured
0,caged,enslaved
1,caged,imprisoned
0,calcified,caked
1,calcified,cemented
0,calcined,blaze
1,calcined,char
0,calculated,determined
1,calculated,computed
0,came,arose
1,came,
0,cankered,blight
1,cankered,corrosion
0,canned,bottled
1,canned,conserved
0,canted,absurd
1,canted,askance
0,cantoned,abide
1,cantoned,reside
0,capped,camouflaged
1,capped,closed
0,carded,announce
1,carded,argue
0,careworn,lean
1,careworn,pale
0,carried,borne
1,carried,drifting
0,cased,bag
1,cased,baggage
0,cassonade,carbohydrate
1,cassonade,candy
0,cast,casting
1,cast,ejection
0,castled,swap
1,castled,alternate
0,cataracted,cascade
1,cataracted,discharge
0,catchweed,brier
1,catchweed,burr
0,caught,arrested
1,caught,captured
0,celebrated,acclaimed
1,celebrated,lionized
0,centered,intent
1,centered,lost
0,chained,confined
1,chained,bound
0,chambered,gaping
1,chambered,huge
0,channeled,avenue
1,channeled,carrier
0,channelled,crumpled
1,channelled,creased
0,chapped,crude
1,chapped,grainy
0,chartered,democratic
1,chartered,lawful
0,chattiness,garrulousness
1,chattiness,glibness
0,checked,late
1,checked,sluggish
0,checkered,diversified
1,checkered,motley
0,cheered,renowned
1,cheered,extolled
0,chickenhearted,chicken
1,chickenhearted,craven
0,chilled,bitter
1,chilled,bleak
0,chinned,articulate
1,chinned,assert
0,chipped,chop
1,chipped,crack
0,chiseled,engraved
1,chiseled,sculpted
0,choke,clog
