,original,synonyms
0,abhorring,despise
1,abhorring,detest
0,abiding,continuing
1,abiding,enduring
0,abounding,filled
1,abounding,flush
0,absorbing,arresting
1,absorbing,captivating
0,abutting,adjacent
1,abutting,contiguous
0,accommodating,considerate
1,accommodating,friendly
0,according,agnate
1,according,blending
0,aching,hurting
1,aching,nagging
0,acting,adjutant
1,acting,alternate
0,adjoining,adjacent
1,adjoining,contiguous
0,admiring,approbatory
1,admiring,approving
0,advancing,combative
1,advancing,contentious
0,affecting,poignant
1,affecting,stirring
0,afflicting,appalling
1,afflicting,atrocious
0,affronting,abuse
1,affronting,anger
0,aggravating,bothersome
1,aggravating,disturbing
0,aging,crumbling
1,aging,declining
0,agreeing,congruent
1,agreeing,in concert
0,ailing,diseased
1,ailing,feeble
0,aiming,address
1,aiming,design
0,airing,fumigation
1,airing,ventilation
0,alarming,dangerous
1,alarming,disquieting
0,allthing,all
1,allthing,business
0,alluring,beguiling
1,alluring,captivating
0,almsgiving,donation
1,almsgiving,endowment
0,alternating,changeable
1,alternating,developing
0,amazing,awesome
1,amazing,fascinating
0,ambling,drift
1,ambling,loiter
0,amusing,campy
1,amusing,charming
0,angling,fishery
1,angling,fishing
0,animating,enlivening
1,animating,exhilarating
0,annoying,aggravating
1,annoying,bothersome
0,antiquing,alter
1,antiquing,belie
0,aping,caricature
1,aping,parody
0,appalling,alarming
1,appalling,astounding
0,appealing,engaging
1,appealing,tempting
0,appeasing,assuaging
1,appeasing,calm
0,appraising,assess
1,appraising,audit
0,approaching,coming
1,approaching,imminent
0,arching,arched
1,arching,bending
0,arcing,arc
1,arcing,bend
0,arcking,arc
1,arcking,bend
0,arming,fortify
1,arming,load
0,arresting,extraordinary
1,arresting,eye-catching
0,ascending,climbing
1,ascending,growing
0,aspiring,eager
1,aspiring,would-be
0,assaying,appraisal
1,assaying,assessment
0,assenting,agreeable
1,assenting,benign
0,assuming,domineering
1,assuming,forward
0,assuring,acceptable
1,assuring,expected
0,astonishing,amazing
1,astonishing,astounding
0,astounding,astonishing
1,astounding,breathtaking
0,avenging,antagonistic
1,avenging,hostile
0,awakening,activation
1,awakening,animating
0,awing,admiration
1,awing,apprehension
0,awning,covering
1,awning,tent
0,babbling,blabbering
1,babbling,blathering
0,backbreaking,arduous
1,backbreaking,exhausting
0,backing,advocacy
1,backing,aid
0,backlashing,fail
1,backlashing,flop
0,backslapping,cheerful
1,backslapping,clubby
0,baffling,bewildering
1,baffling,confusing
0,bagging,backpack
1,bagging,briefcase
0,baking,blistering
1,baking,boiling
0,balancing,adjusting
1,balancing,atoning
0,ballasting,carry
1,ballasting,cram
0,balloting,appointment
1,balloting,ballot
0,banding,bordering
1,banding,bounding
0,banging,brouhaha
1,banging,confusion
0,banning,ban
1,banning,embargo
0,bantling,child
1,bantling,kid
0,baring,disclosure
1,baring,hazard
0,barking,cry
1,barking,growl
0,barnstorming,canvass
1,barnstorming,campaign
0,barring,bar
1,barring,discounting
0,basting,grease
1,basting,drip
0,bathing,ablution
1,bathing,absolution
0,bating,abate
1,bating,check
0,battening,fix
1,battening,secure
0,batting,sock
1,batting,bang
