,original,synonyms
0,abandoned,deserted
1,abandoned,discarded
0,absorbed,captivated
1,absorbed,consumed
0,abstracted,engrossed
1,abstracted,preoccupied
0,accomplished,adept
1,accomplished,consummate
0,accosted,annoy
1,accosted,buttonhole
0,aciculated,acerate
1,aciculated,acerose
0,acquired,captured
1,acquired,collected
0,addleheaded,addle-brained
1,addleheaded,addle-pated
0,adopted,alien
1,adopted,different
0,aggrieved,disturbed
1,aggrieved,grieving
0,anguished,distressed
1,anguished,heartbroken
0,antenna,receiver
1,antenna,wire
0,applied,enforced
1,applied,practiced
0,armed,equipped
1,armed,loaded
0,aspersed,blacken
1,aspersed,defame
0,assented,acknowledgment
1,assented,acquiescence
0,associated,identical
1,associated,like
0,assumed,affected
1,assumed,counterfeit
0,augmented,expanded
1,augmented,extended
0,averted,amused
1,averted,changed
0,baked,dried
1,baked,melted
0,based,established
1,based,occupying
0,beached,abandoned
1,beached,deserted
0,bedded,base
1,bedded,embed
0,been,abide
1,been,act
0,begun,going
1,begun,happening
0,beloved,admired
1,beloved,cherished
0,beribboned,adorn
1,beribboned,dress
0,beset,bedevil
1,beset,beleaguer
0,besieged,beleaguer
1,besieged,beset
0,bewired,fret
1,bewired,jiggle
0,biformed,binary
1,biformed,coupled
0,blighted,austere
1,blighted,chilly
0,blinked,flash
1,blinked,flicker
0,blossomed,bloom
1,blossomed,burgeon
0,blown,blasted
1,blown,fanned
0,bodied,mean
1,bodied,perform
0,born,constitutional
1,born,essential
0,bound,constrained
1,bound,enslaved
0,breakdown,disintegration
1,breakdown,disruption
0,bridged,link
1,bridged,overpass
0,brokenhearted,crestfallen
1,brokenhearted,crushed
0,built,assembled
1,built,completed
0,bulleted,dart
1,bulleted,dash
0,busybodied,hamper
1,busybodied,hinder
0,candied,cajoling
1,candied,flattering
0,carven,chiseled
1,carven,engraved
0,catenated,accompany
1,catenated,attend
0,certified,authorized
1,certified,vouched for
0,chapfallen,dejected
1,chapfallen,despondent
0,chined,carve
1,chined,divide
0,chosen,called
1,chosen,conscript
0,citified,burghal
1,citified,civic
0,classed,graded
1,classed,appraised
0,classified,confidential
1,classified,restricted
0,clipped,brusque
1,clipped,concise
0,closefisted,greedy
1,closefisted,miserly
0,closemouthed,buttoned-up
1,closemouthed,clammed up
0,coated,camouflaged
1,coated,capped
0,cocked,elevated
1,cocked,firm
0,combined,connected
1,combined,mixed
0,complexioned,imbue
1,complexioned,suffuse
0,comprised,admitted
1,comprised,combined
0,concerned,anxious
1,concerned,distressed
0,conditioned,habituated
1,conditioned,learned
0,conflated,amalgamate
1,conflated,consolidate
0,constrained,strained
1,constrained,embarrassed
0,constricted,cramped
1,constricted,definite
0,contented,content
1,contented,fulfilled
0,continued,endless
1,continued,extended
0,copped,bust
1,copped,capture
0,coronated,inaugurate
1,coronated,induct
0,correlated,enforced
1,correlated,practiced
0,corrugated,crumpled
1,corrugated,channelled
0,craven,mean-spirited
1,craven,chicken
0,crenelated,broken
1,crenelated,cloven
0,crestfallen,dejected
