,original,synonyms
0,abbot,monk
1,abbot,friar
0,abler,adept
1,abler,adequate
0,abrupt,blunt
1,abrupt,brusque
0,abyss,chasm
1,abyss,crevasse
0,accede,acquiesce
1,accede,accept
0,accession,enlargement
1,accession,extension
0,accordant,agreeing
1,accordant,conforming
0,accurate,authentic
1,accurate,careful
0,achene,kernel
1,achene,caryopsis
0,acidic,sour
1,acidic,astringent
0,acidify,acerbate
1,acidify,acidulate
0,acknowledge,accept
1,acknowledge,agree
0,acquaint,accustom
1,acquaint,advise
0,acuminate,edged
1,acuminate,fine
0,adequate,acceptable
1,adequate,capable
0,adjourn,defer
1,adjourn,delay
0,adjust,accommodate
1,adjust,accustom
0,admonitor,aide
1,admonitor,coach
0,adroit,adept
1,adroit,artful
0,adumbrative,classic
1,adumbrative,classical
0,adventuresome,audacious
1,adventuresome,bold
0,aerodrome,air base
1,aerodrome,airfield
0,aerophyte,epiphyte
1,aerophyte,epiphytic plant
0,affectionate,caring
1,affectionate,friendly
0,afire,aflame
1,afire,burning
0,aftereffect,aftermath
1,aftereffect,aftershock
0,aggregate,accumulated
1,aggregate,combined
0,aggrieve,oppress
1,aggrieve,abuse
0,agnosticism,ambiguity
1,agnosticism,apprehension
0,agrology,farming
1,agrology,gardening
0,agronomist,gardener
1,agronomist,grower
0,ah,ahem
1,ah,alas
0,ai,intracervical insemination
1,ai,intratubal insemination
0,airhead,airbrain
1,airhead,birdbrain
0,ait,isle
1,ait,islet
0,alcazar,acropolis
1,alcazar,citadel
0,allow,grant
1,allow,acquiesce
0,altitude,distance
1,altitude,elevation
0,am,Artium Magister
1,am,ma
0,amanuensis,agent
1,amanuensis,auditor
0,amative,amatory
1,amative,amorous
0,amend,alter
1,amend,enhance
0,amethyst,color
1,amethyst,lavender
0,amour,affair
1,amour,entanglement
0,amphetamine,stimulant
1,amphetamine,STP
0,anachronism,misplacement
1,anachronism,prolepsis
0,anachronize,antecede
1,anachronize,backdate
0,analysis,inquiry
1,analysis,investigation
0,anarchism,chaos
1,anarchism,complication
0,anecdote,episode
1,anecdote,gag
0,anecdotist,storyteller
1,anecdotist,narrator
0,anodize,bronze
1,anodize,chrome
0,antagonization,alienation
1,antagonization,disaffection
0,antecessor,forebear
1,antecessor,forefather
0,antithesis,antipode
1,antithesis,contra
0,aphorism,adage
1,aphorism,axiom
0,apologia,apologetics
1,apologia,apology
0,apotheosis,deification
1,apotheosis,elevation
0,append,affix
1,append,adjoin
0,applesauce,bunk
1,applesauce,fudge
0,aptitude,predilection
1,aptitude,propensity
0,aquifer,water level
1,aquifer,artesian basin
0,archaicism,age
1,archaicism,ancientness
0,archfiend,beast
1,archfiend,demon
0,are,abide
1,are,act
0,arena,field
1,arena,gym
0,arose,came
1,arose,
0,arrant,absolute
1,arrant,blatant
0,artistry,ability
1,artistry,accomplishment
0,ascend,climb
1,ascend,escalate
0,asceticism,chastity
1,asceticism,fasting
0,asepticism,blandness
1,asepticism,drabness
0,aspect,attitude
1,aspect,condition
0,asperse,blacken
1,asperse,defame
0,aspersive,backbiting
1,aspersive,calumniatory
0,assay,appraisal
1,assay,assessment
0,assert,affirm
1,assert,allege
0,asseveration,affirmation
1,asseveration,allegation
0,assiduity,assiduousness
1,assiduity,attention
0,assume,accept
1,assume,conclude
0,astronomer,astrophysicist
1,astronomer,cosmologist
0,asyndeton,adumbration
1,asyndeton,allegory
0,atelier,cave
1,atelier,hotbed
0,attain,complete
1,attain,earn
0,attend,show up
1,attend,visit
0,attendant,accompanying
1,attendant,consequent
0,attributive,accessory
1,attributive,adjunct
0,autoclave,airtight pot
1,autoclave,
0,ave,Ave Maria
1,ave,Hail Mary pass
0,aviatrix,aviator
1,aviatrix,ace
0,avid,ardent
1,avid,devoted
0,await,anticipate
1,await,attend
0,backlash,reaction
1,backlash,repercussion
0,backlog,inventory
1,backlog,stockpile
0,backwash,aftermath
1,backwash,result
0,balky,unruly
1,balky,averse
0,ban,boycott
1,ban,censorship
0,bandstand,arbor
1,bandstand,belvedere
0,barbarize,automate
1,barbarize,brutalize
0,bash,celebration
1,bash,spree
0,beaten,humbled
1,beaten,overpowered
0,bedstead,bunk
1,bedstead,cot
0,beeswax,interest
1,beeswax,issue
0,behave,act
1,behave,operate
0,believe,accept
1,believe,admit
0,bellicose,antagonistic
1,bellicose,combative
0,bereave,dispossess
1,bereave,divest
0,bibcock,nozzle
1,bibcock,valve
0,biome,ecosystem
1,biome,habitat
0,bittersweet,poignant
1,bittersweet,stirring
0,blackface,clown white
1,blackface,greasepaint
0,blain,abscess
1,blain,cyst
0,blase,apathetic
1,blase,been around twice
0,bleach,lighten
1,bleach,achromatize
0,blend,amalgam
1,blend,brew
0,blink,flash
1,blink,flicker
0,blubber,blub
1,blubber,fat
0,bombastry,balderdash
1,bombastry,bluster
0,boondoggle,betrayal
1,boondoggle,deceit
0,brainsick,batty
1,brainsick,bonkers
0,brave,adventurous
1,brave,audacious
0,breeze,air
1,breeze,breath
0,bridgework,dentition
1,bridgework,denture
0,brink,fringe
1,brink,periphery
0,burglarize,break into
1,burglarize,burgle
0,burnt,charred
1,burnt,parched
0,caballer,accomplice
1,caballer,collaborator
0,cadre,organization
1,cadre,personnel
0,cake,loaf
1,cake,block
0,caliph,emperor
1,caliph,monarch
0,cancroid,Cancer
1,cancroid,excrescence
0,canonicate,priesthood
1,canonicate,cardinalate
0,canonist,adherent
1,canonist,devotee
0,cantaloupe,melon
