,original,synonyms
0,abandon,spontaneity
1,abandon,disregard
0,adays,A-day
1,adays,D-day
0,adieu,farewell
1,adieu,goodbye
0,aeronaut,flier
1,aeronaut,navigator
0,afar,
1,afar,far away
0,afterhours,midnight
1,afterhours,bedtime
0,aguey,fevered
1,aguey,fiery
0,alb,frock
1,alb,garb
0,alkali,antacid
1,alkali,salt
0,alleluia,chant
1,alleluia,ditty
0,almanac,calendar
1,almanac,journal
0,alp,mount
1,alp,pike
0,ambo,pulpit
1,ambo,rostrum
0,amends,apology
1,amends,redress
0,amir,chieftain
1,amir,governor
0,anadem,chaplet
1,anadem,circle
0,anger,acrimony
1,anger,animosity
0,anomaly,aberration
1,anomaly,abnormality
0,antes,pay
1,antes,pot
0,anyways,anyhow
1,anyways,ever
0,apathy,indifference
1,apathy,insensitivity
0,apices,apogee
1,apices,culmination
0,aplomb,equanimity
1,aplomb,nonchalance
0,appendices,addendum
1,appendices,postscript
0,archangel,cherub
1,archangel,guardian
0,arches,arc
1,arches,archway
0,architectonics,building
1,architectonics,construction
0,arioso,melodious
1,arioso,ariose
0,armadillo,aardvark
1,armadillo,anteater
0,askew,awry
1,askew,off-center
0,astasia,disequilibrium
1,astasia,instability
0,asteroid,earth
1,asteroid,globe
0,atlantes,album
1,atlantes,booklet
0,aureola,aura
1,aureola,aureole
0,autocrat,despot
1,autocrat,fascist
0,autoschediasm,spontaneity
1,autoschediasm,extemporization
0,bacchantes,merrymaker
1,bacchantes,ranter
0,bats,bananas
1,bats,crazy
0,bees,bumblebee
1,bees,drone
0,bellows,bark
1,bellows,bawl
0,beluga,dolphin
1,beluga,grampus
0,blaze,bonfire
1,blaze,conflagration
0,bowls,candlepins
1,bowls,duckpins
0,brandy,whiskey
1,brandy,cognac
0,bulb,corn
1,bulb,ball
0,bundle,array
1,bundle,assortment
0,bureaucrat,administrator
1,bureaucrat,civil servant
0,buzzer,alarm
1,buzzer,bell
0,camper,RV
1,camper,Winnebago
0,cantina,buvette
1,cantina,concession
0,canton,billet
1,canton,corner
0,cathedra,armchair
1,cathedra,bench
0,cereal,bran
1,cereal,corn
0,charisma,allure
1,charisma,glamour
0,chichi,flamboyant
1,chichi,swank
0,chomp,chew
